simulations,OFV
100,1971.12
200,1959.9
300,1950.35
400,1943.52
500,1939.39
600,1934.17
700,1931.41
800,1932.92
900,1934.87
1000,1936.24
1100,1936.45
1200,1937.15
1300,1938.09
1400,1938.84
1500,1939.32
1600,1939.86
1700,1938.43
1800,1937.32
1900,1936.76
2000,1937.71
2100,1937.92
2200,1938.51
2300,1936.79
2400,1934.1
2500,1934.62
2600,1932.34
2700,1930.87
2800,1930.5
2900,1930.65
3000,1931.08
3100,1931.37
3200,1931.25
3300,1931.61
3400,1932.03
3500,1932.51
3600,1932.96
3700,1932.84
3800,1933.36
3900,1933.29
4000,1929.04
4100,1928.5
4200,1928.27
4300,1928.71
4400,1928.92
4500,1928.85
4600,1929.24
4700,1929.22
4800,1929.35
4900,1929.73
5000,1929.87
5100,1930.21
5200,1930.34
5300,1930.14
5400,1929.34
5500,1929.69
5600,1929.9
5700,1930.2
5800,1930.19
5900,1930.25
6000,1930.35
6100,1930.35
6200,1930.49
6300,1930.57
6400,1930.6
6500,1930.87
6600,1931
6700,1931.28
6800,1931.24
6900,1931.41
7000,1931.69
7100,1931.88
7200,1931.93
7300,1931.92
7400,1932.05
7500,1931.98
7600,1932.16
7700,1932.33
7800,1932.05
7900,1931.78
8000,1931.99
8100,1931.87
8200,1932.04
8300,1932.27
8400,1932.38
8500,1932.58
8600,1932.71
8700,1932.8
8800,1933.01
8900,1933.1
9000,1933.02
9100,1933.07
9200,1933.25
9300,1933.11
9400,1933.24
9500,1933.2
9600,1933.13
9700,1933.29
9800,1933.19
9900,1933.29
10000,1933.2
