standEta_beta_exp_abscissa,standEta_beta_exp_pdf,standEta_delta0_abscissa,standEta_delta0_pdf,standEta_p_abscissa,standEta_p_pdf,standEta_td_abscissa,standEta_td_pdf,standEta_b_exp_abscissa,standEta_b_exp_pdf,standEta_h_0_abscissa,standEta_h_0_pdf,standEta_tc_abscissa,standEta_tc_pdf,standEta_sigma_abscissa,standEta_sigma_pdf,standEta_rho_exp_abscissa,standEta_rho_exp_pdf,standEta_q_exp_abscissa,standEta_q_exp_pdf,standEta_ifn0_abscissa,standEta_ifn0_pdf,split
-1.51181,0.333398,-2.09846,0.0710421,-2.29623,0.119941,-2.32753,0.0198776,-1.7231,0.234662,-2.23713,0.0227863,-1.96756,0.126489,-1.91818,0.136516,-1.64209,0.0991142,-2.23047,0.0183758,-1.39304,0.168983,All
-1.15734,0.282106,-1.71456,0.213126,-1.91726,0,-1.87018,0,-1.37444,0.286809,-1.83816,0.113932,-1.53634,0.210815,-1.51862,0.159269,-1.2752,0.396457,-1.73575,0.0551275,-0.962663,0.359089,All
-0.80286,0.38469,-1.33067,0.213126,-1.53829,0.167917,-1.41284,0.159021,-1.02577,0.260735,-1.4392,0.227863,-1.10511,0.210815,-1.11907,0.318538,-0.908319,0.421236,-1.24103,0.110255,-0.532282,0.401335,All
-0.448383,0.435982,-0.94677,0.449933,-1.15931,0.215894,-0.955494,0.377674,-0.677106,0.365029,-1.04024,0.478513,-0.673884,0.442712,-0.719519,0.455055,-0.541433,0.421236,-0.746305,0.459395,-0.1019,0.549195,All
-0.0939063,0.307752,-0.562875,0.307849,-0.780337,0.335835,-0.498149,0.457184,-0.328442,0.208588,-0.641276,0.341795,-0.242658,0.295141,-0.319967,0.386796,-0.174547,0.470793,-0.251584,0.496147,0.328482,0.50695,All
0.260571,0.282106,-0.17898,0.236807,-0.401363,0.26387,-0.0408046,0.278286,0.0202228,0.182515,-0.242313,0.25065,0.188569,0.252978,0.0795856,0.0910109,0.19234,0.148671,0.243138,0.422644,0.758863,0.168983,All
0.615048,0.38469,0.204916,0.284168,-0.0223883,0.287858,0.41654,0.556572,0.368887,0.156441,0.15665,0.205077,0.619795,0.484875,0.479138,0.364044,0.559226,0.17345,0.737859,0.275637,1.18924,0.105615,All
0.969525,0.179522,0.588811,0.426253,0.356586,0.335835,0.873885,0.298164,0.717552,0.469323,0.555613,0.410154,1.05102,0.252978,0.87869,0.364044,0.926112,0.3469,1.23258,0.110255,1.61963,0.0844916,All
1.324,0.102584,0.972706,0.307849,0.73556,0.52774,1.33123,0.0397552,1.06622,0.756132,0.954576,0.296222,1.48225,0.168652,1.27824,0.25028,1.293,0.198228,1.7273,0.0918791,2.05001,0.0844916,All
1.67848,0.333398,1.3566,0.260488,1.11453,0.455776,1.78857,0,1.41488,0.182515,1.35354,0.25065,1.91347,0.0632446,1.6778,0.0455055,1.65988,0.148671,2.22202,0.110255,2.48039,0.0422458,All
2.03296,0.051292,1.7405,0.0710421,1.49351,0.167917,2.24592,0.198776,1.76355,0.0260735,1.7525,0.136718,2.3447,0.0210815,2.07735,0.159269,2.02677,0.148671,2.71674,0.0551275,2.91077,0.0633687,All
