standEta_beta_exp_abscissa,standEta_beta_exp_cdf,standEta_delta0_abscissa,standEta_delta0_cdf,standEta_p_abscissa,standEta_p_cdf,standEta_td_abscissa,standEta_td_cdf,standEta_b_exp_abscissa,standEta_b_exp_cdf,standEta_h_0_abscissa,standEta_h_0_cdf,standEta_tc_abscissa,standEta_tc_cdf,standEta_sigma_abscissa,standEta_sigma_cdf,standEta_rho_exp_abscissa,standEta_rho_exp_cdf,standEta_q_exp_abscissa,standEta_q_exp_cdf,standEta_ifn0_abscissa,standEta_ifn0_cdf,split
-0.982254,0.2,-1.09517,0.2,-0.869175,0.2,-0.84373,0.2,-1.09394,0.2,-1.15352,0.2,-0.999953,0.2,-1.02468,0.2,-1.02859,0.2,-0.6397,0.2,-0.76138,0.2,All
-0.935115,0.208333,-1.08946,0.208333,-0.851246,0.208333,-0.809166,0.208333,-1.06942,0.208333,-1.09746,0.208333,-0.953852,0.208333,-1.00906,0.208333,-1.02609,0.208333,-0.627769,0.208333,-0.750153,0.208333,All
-0.93162,0.216667,-1.07561,0.216667,-0.833158,0.216667,-0.774674,0.216667,-1.06336,0.216667,-1.06407,0.216667,-0.935668,0.216667,-1.00006,0.216667,-0.993262,0.216667,-0.624105,0.216667,-0.726945,0.216667,All
-0.922609,0.225,-1.06663,0.225,-0.817649,0.225,-0.743187,0.225,-0.960103,0.225,-1.06221,0.225,-0.858492,0.225,-0.934496,0.225,-0.983807,0.225,-0.619329,0.225,-0.70565,0.225,All
-0.920838,0.233333,-1.05713,0.233333,-0.80702,0.233333,-0.738071,0.233333,-0.945974,0.233333,-1.03868,0.233333,-0.849549,0.233333,-0.905521,0.233333,-0.962339,0.233333,-0.598886,0.233333,-0.672388,0.233333,All
-0.910317,0.241667,-0.993192,0.241667,-0.748696,0.241667,-0.636038,0.241667,-0.925311,0.241667,-1.03322,0.241667,-0.845724,0.241667,-0.88741,0.241667,-0.948359,0.241667,-0.595949,0.241667,-0.665481,0.241667,All
-0.872103,0.25,-0.983497,0.25,-0.729206,0.25,-0.599505,0.25,-0.871681,0.25,-1.0314,0.25,-0.822908,0.25,-0.82634,0.25,-0.915239,0.25,-0.581814,0.25,-0.657046,0.25,All
-0.837253,0.258333,-0.983374,0.258333,-0.708934,0.258333,-0.593152,0.258333,-0.849255,0.258333,-0.988698,0.258333,-0.820246,0.258333,-0.813002,0.258333,-0.91288,0.258333,-0.565006,0.258333,-0.65659,0.258333,All
-0.816478,0.266667,-0.97989,0.266667,-0.682859,0.266667,-0.589097,0.266667,-0.812463,0.266667,-0.968837,0.266667,-0.78943,0.266667,-0.802386,0.266667,-0.862137,0.266667,-0.564611,0.266667,-0.655252,0.266667,All
-0.814274,0.275,-0.950097,0.275,-0.663072,0.275,-0.580246,0.275,-0.782355,0.275,-0.9465,0.275,-0.714996,0.275,-0.787019,0.275,-0.815743,0.275,-0.557252,0.275,-0.640903,0.275,All
