standEta_beta_exp_abscissa,standEta_beta_exp_cdf,standEta_delta0_abscissa,standEta_delta0_cdf,standEta_p_abscissa,standEta_p_cdf,standEta_td_abscissa,standEta_td_cdf,standEta_b_exp_abscissa,standEta_b_exp_cdf,standEta_h_0_abscissa,standEta_h_0_cdf,standEta_tc_abscissa,standEta_tc_cdf,standEta_sigma_abscissa,standEta_sigma_cdf,standEta_rho_exp_abscissa,standEta_rho_exp_cdf,standEta_q_exp_abscissa,standEta_q_exp_cdf,standEta_ifn0_abscissa,standEta_ifn0_cdf,split
1.57542,0.925,1.35166,0.925,1.25718,0.925,2.2636,0.925,1.2093,0.925,1.46922,0.925,1.37318,0.925,1.43969,0.925,1.55126,0.925,1.91145,0.925,1.79953,0.925,All
1.58353,0.933333,1.36338,0.933333,1.29303,0.933333,2.31941,0.933333,1.23696,0.933333,1.49398,0.933333,1.38805,0.933333,1.79597,0.933333,1.62935,0.933333,2.1571,0.933333,1.92943,0.933333,All
1.61097,0.941667,1.3661,0.941667,1.29638,0.941667,2.32868,0.941667,1.2482,0.941667,1.50242,0.941667,1.41768,0.941667,1.84786,0.941667,1.64223,0.941667,2.19474,0.941667,2.11914,0.941667,All
1.61917,0.95,1.39576,0.95,1.31794,0.95,2.37629,0.95,1.25262,0.95,1.53705,0.95,1.48905,0.95,1.9437,0.95,1.68862,0.95,2.23852,0.95,2.15327,0.95,All
1.71092,0.958333,1.49823,0.958333,1.31961,0.958333,2.40139,0.958333,1.27963,0.958333,1.71532,0.958333,1.53339,0.958333,2.02108,0.958333,2.02465,0.958333,2.28771,0.958333,2.20981,0.958333,All
1.79688,0.966667,1.53111,0.966667,1.34875,0.966667,2.42362,0.966667,1.28232,0.966667,1.73514,0.966667,1.54853,0.966667,2.14565,0.966667,2.04462,0.966667,2.37051,0.966667,2.37837,0.966667,All
1.79952,0.975,1.53169,0.975,1.37338,0.975,2.43304,0.975,1.28426,0.975,1.75505,0.975,1.89688,0.975,2.21696,0.975,2.07169,0.975,2.43511,0.975,2.45341,0.975,All
1.8332,0.983333,1.57604,0.983333,1.47542,0.983333,2.43402,0.983333,1.47935,0.983333,1.80603,0.983333,2.04427,0.983333,2.23242,0.983333,2.08873,0.983333,2.51092,0.983333,2.73972,0.983333,All
1.98894,0.991667,1.74193,0.991667,1.61778,0.991667,2.46192,0.991667,1.49868,0.991667,1.83455,0.991667,2.11963,0.991667,2.23549,0.991667,2.12719,0.991667,2.51631,0.991667,3.02893,0.991667,All
2.21019,1,1.93244,1,1.683,1,2.47459,1,1.93788,1,1.95198,1,2.56031,1,2.27712,1,2.21021,1,2.9641,1,3.12596,1,All
4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,4,1,All
