rep,ID,standEta_beta_exp_simulated,standEta_delta0_simulated,standEta_p_simulated,standEta_td_simulated,standEta_b_exp_simulated,standEta_h_0_simulated,standEta_tc_simulated,standEta_sigma_simulated,standEta_rho_exp_simulated,standEta_q_exp_simulated,standEta_ifn0_simulated,filter
1,7,1.37943,0.665521,-2.12816,0.266054,-1.65239,1.73514,-0.159823,-0.383262,2.04462,0.919503,0.542199,0
2,7,1.57542,-0.384666,-2.37311,0.708931,-1.47783,1.46922,-0.0929324,0.365409,1.62935,0.0955453,0.911601,0
3,7,1.08981,0.886204,-1.59393,0.586629,-1.53768,1.50242,0.100119,0.611683,1.55126,-0.130041,0.145962,0
4,7,0.425146,1.09638,-1.01626,0.215213,-1.77591,1.95198,0.0386755,-0.934496,1.45541,-1.20103,-0.620452,0
5,7,1.61097,0.749525,-2.46029,1.12643,-1.40707,1.464,0.297732,1.10297,2.12719,1.77044,2.45341,0
6,7,0.707208,1.18302,-1.11424,0.866406,-1.59315,1.71532,0.174226,0.389346,1.45221,0.0281388,0.295088,0
7,7,1.61917,0.341702,-2.48572,1.16088,-1.23471,1.31815,0.0207489,0.893383,2.21021,1.80765,1.75321,0
8,7,1.11186,1.74193,-1.54099,0.361386,-1.75009,1.80603,1.54853,1.18244,2.08873,0.468254,0.920241,0
9,7,0.703095,1.3661,-1.59185,0.273125,-1.51073,1.75505,0.437898,0.797306,1.68862,-0.370897,0.209755,0
10,7,1.05753,1.00114,-1.47161,0.470748,-1.77634,1.83455,0.52033,0.520964,1.64223,0.120613,1.24344,0
1,8,-0.780227,-1.06663,0.682854,0.624819,0.932833,-0.728559,-0.845724,-1.1717,-1.39874,-0.27896,-0.0224271,0
2,8,-0.597316,-0.118753,0.852828,0.633259,0.588609,-0.599674,-0.162892,-1.22391,-1.02859,-0.598886,-0.454879,0
3,8,-1.07783,-0.74373,0.380797,0.549796,0.951624,-0.70818,-0.822908,-1.26323,-1.07963,-0.938363,0.51663,0
4,8,-1.35218,-1.11873,1.12056,0.538009,0.675878,-0.414662,-1.72822,-1.81479,-1.27177,-0.715244,-0.762983,0
5,8,-0.910317,-0.70334,0.837132,-0.204123,0.719026,-0.837533,-0.597408,-0.757085,-0.91288,-0.438163,0.0228123,0
6,8,-1.05577,-1.5408,1.683,0.939259,1.49868,-1.76872,-0.858492,-0.813002,-1.82553,-0.413822,0.34697,0
7,8,-0.703422,-1.61854,1.01761,0.527967,1.05185,-1.17369,-0.557843,-0.330151,-0.948359,0.691853,0.648108,0
8,8,-1.3845,-0.83943,1.34875,0.64011,1.15335,-1.15352,-0.447818,-0.249955,-0.983807,0.0722963,0.462627,0
9,8,-1.61722,-0.97989,1.31961,0.819062,0.768196,-0.515996,-0.820246,-1.04054,-1.08637,-0.0871218,-0.177447,0
10,8,-1.42631,-0.785801,1.25718,0.838076,1.15481,-0.924117,-0.487318,-1.00006,-1.65196,-0.719464,-0.290746,0
1,9,0.718969,-0.0291824,0.0239553,-0.392005,-0.127245,-0.104469,-0.0132957,0.482756,0.0767353,0.0763452,-0.238262,0
2,9,-0.207077,-0.696439,1.02621,-0.265875,0.850088,-1.42649,-0.280759,-0.632855,-1.1448,0.27621,-0.125169,0
3,9,-0.0946788,-0.591807,1.47542,-0.489649,0.917453,-1.73234,-0.195807,-1.46611,-1.81357,0.39829,-0.176618,0
