rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,7,1,0,5.71957e+15,1.39345,1,All,#4682B4,0
2,7,1,0,5.71957e+15,1.11724,1,All,#4682B4,0
3,7,1,0,5.71957e+15,0,1,All,#4682B4,0
4,7,1,0,5.71957e+15,0,1,All,#4682B4,0
5,7,1,0,5.71957e+15,1.07444,1,All,#4682B4,0
6,7,1,0,5.71957e+15,0,1,All,#4682B4,0
7,7,1,0,5.71957e+15,0,1,All,#4682B4,0
8,7,1,0,5.71957e+15,0,1,All,#4682B4,0
9,7,1,0,5.71957e+15,0,1,All,#4682B4,0
10,7,1,0,5.71957e+15,0,1,All,#4682B4,0
1,7,1.5,0,5.71957e+15,1.15663,1,All,#4682B4,0
2,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
3,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
4,7,1.5,0,5.71957e+15,1.09262,1,All,#4682B4,0
5,7,1.5,0,5.71957e+15,1.14981,1,All,#4682B4,0
6,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
7,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
8,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
9,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
10,7,1.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,2,0,5.71957e+15,0,1,All,#4682B4,0
2,7,2,0,5.71957e+15,0,1,All,#4682B4,0
3,7,2,0,5.71957e+15,0,1,All,#4682B4,0
4,7,2,0,5.71957e+15,0,1,All,#4682B4,0
5,7,2,0,5.71957e+15,0,1,All,#4682B4,0
6,7,2,0,5.71957e+15,0,1,All,#4682B4,0
7,7,2,0,5.71957e+15,1.73519,1,All,#4682B4,0
8,7,2,0,5.71957e+15,0,1,All,#4682B4,0
9,7,2,0,5.71957e+15,0,1,All,#4682B4,0
10,7,2,0,5.71957e+15,1.73087,1,All,#4682B4,0
1,7,2.5,0,5.71957e+15,1.02933,1,All,#4682B4,0
2,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
3,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
4,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
5,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
6,7,2.5,0,5.71957e+15,1.92656,1,All,#4682B4,0
7,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
8,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
9,7,2.5,0,5.71957e+15,1.49282,1,All,#4682B4,0
10,7,2.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,3,0,5.71957e+15,1.04011,1,All,#4682B4,0
2,7,3,0,5.71957e+15,0,1,All,#4682B4,0
3,7,3,0,5.71957e+15,0,1,All,#4682B4,0
4,7,3,0,5.71957e+15,0,1,All,#4682B4,0
5,7,3,0,5.71957e+15,0,1,All,#4682B4,0
6,7,3,0,5.71957e+15,0,1,All,#4682B4,0
7,7,3,0,5.71957e+15,0,1,All,#4682B4,0
8,7,3,0,5.71957e+15,0,1,All,#4682B4,0
9,7,3,0,5.71957e+15,0,1,All,#4682B4,0
10,7,3,0,5.71957e+15,0,1,All,#4682B4,0
1,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
2,7,3.5,0,5.71957e+15,1.01913,1,All,#4682B4,0
3,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
4,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
5,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
6,7,3.5,0,5.71957e+15,1.33886,1,All,#4682B4,0
7,7,3.5,0,5.71957e+15,2.27532,1,All,#4682B4,0
8,7,3.5,0,5.71957e+15,1.25815,1,All,#4682B4,0
9,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
10,7,3.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,4,0,5.71957e+15,0,1,All,#4682B4,0
2,7,4,0,5.71957e+15,0,1,All,#4682B4,0
3,7,4,0,5.71957e+15,2.11179,1,All,#4682B4,0
4,7,4,0,5.71957e+15,0,1,All,#4682B4,0
5,7,4,0,5.71957e+15,0,1,All,#4682B4,0
6,7,4,0,5.71957e+15,2.69619,1,All,#4682B4,0
7,7,4,0,5.71957e+15,1.20243,1,All,#4682B4,0
8,7,4,0,5.71957e+15,3.24702,1,All,#4682B4,0
9,7,4,0,5.71957e+15,1.02802,1,All,#4682B4,0
10,7,4,0,5.71957e+15,1.73267,1,All,#4682B4,0
1,7,4.5,0.807764,1.45932,-0.49513,1,All,#4682B4,0
2,7,4.5,0.580436,3.02965,-0.661189,1,All,#4682B4,0
3,7,4.5,0.38338,5.89766,-0.760541,1,All,#4682B4,0
4,7,4.5,0.286212,8.76569,-0.342574,1,All,#4682B4,0
5,7,4.5,0.0445485,70.1511,-0.0792504,1,All,#4682B4,0
6,7,4.5,0.384819,5.86608,-0.636967,1,All,#4682B4,0
7,7,4.5,0.605068,2.80249,-0.276544,1,All,#4682B4,0
8,7,4.5,0.280062,9.01415,0.388937,1,All,#4682B4,0
9,7,4.5,0.750328,1.76624,0.528091,1,All,#4682B4,0
10,7,4.5,0.463569,4.43633,-0.547637,1,All,#4682B4,0
1,7,5,1.74862,-0.698021,-0.759248,1,All,#4682B4,0
2,7,5,1.39845,-0.234242,-0.896252,1,All,#4682B4,0
3,7,5,1.10742,0.374404,0.0671347,1,All,#4682B4,0
4,7,5,1.25023,0.0403243,-0.355012,1,All,#4682B4,0
5,7,5,0.945335,0.875832,0.251604,1,All,#4682B4,0
6,7,5,1.36019,-0.169094,-0.761871,1,All,#4682B4,0
7,7,5,1.4693,-0.34591,-0.354805,1,All,#4682B4,0
8,7,5,1.20196,0.14437,-0.00975436,1,All,#4682B4,0
9,7,5,1.63157,-0.565141,-1.57898,1,All,#4682B4,0
10,7,5,1.48796,-0.37356,-1.60774,1,All,#4682B4,0
1,7,5.5,2.58372,0.173997,0.173997,0,All,#4682B4,0
2,7,5.5,2.08762,0.821356,0.821356,0,All,#4682B4,0
3,7,5.5,1.73936,1.49641,1.49641,0,All,#4682B4,0
4,7,5.5,2.24227,0.588826,0.588826,0,All,#4682B4,0
5,7,5.5,1.70183,1.58567,1.58567,0,All,#4682B4,0
6,7,5.5,2.26743,0.554,0.554,0,All,#4682B4,0
7,7,5.5,2.13127,0.752309,0.752309,0,All,#4682B4,0
8,7,5.5,2.08911,0.818951,0.818951,0,All,#4682B4,0
9,7,5.5,2.4614,0.309369,0.309369,0,All,#4682B4,0
10,7,5.5,2.47727,0.291049,0.291049,0,All,#4682B4,0
1,7,6,3.12037,0.449198,0.449198,0,All,#4682B4,0
2,7,6,2.57631,1.0826,1.0826,0,All,#4682B4,0
3,7,6,2.27,1.57281,1.57281,0,All,#4682B4,0
4,7,6,3.23734,0.34082,0.34082,0,All,#4682B4,0
5,7,6,2.26935,1.57397,1.57397,0,All,#4682B4,0
6,7,6,3.0575,0.510866,0.510866,0,All,#4682B4,0
7,7,6,2.52479,1.15673,1.15673,0,All,#4682B4,0
8,7,6,2.88618,0.692575,0.692575,0,All,#4682B4,0
9,7,6,3.18065,0.392349,0.392349,0,All,#4682B4,0
10,7,6,3.29452,0.290644,0.290644,0,All,#4682B4,0
1,7,6.5,3.24803,-0.288958,-0.288958,0,All,#4682B4,0
2,7,6.5,2.76972,0.101536,0.101536,0,All,#4682B4,0
3,7,6.5,2.64548,0.226077,0.226077,0,All,#4682B4,0
4,7,6.5,4.03408,-0.729564,-0.729564,0,All,#4682B4,0
5,7,6.5,2.55259,0.327103,0.327103,0,All,#4682B4,0
6,7,6.5,3.517,-0.461892,-0.461892,0,All,#4682B4,0
7,7,6.5,2.64957,0.221784,0.221784,0,All,#4682B4,0
8,7,6.5,3.3829,-0.379112,-0.379112,0,All,#4682B4,0
9,7,6.5,3.59151,-0.505213,-0.505213,0,All,#4682B4,0
10,7,6.5,3.58611,-0.502137,-0.502137,0,All,#4682B4,0
1,7,7,3.14989,-0.785235,-0.785235,0,All,#4682B4,0
2,7,7,2.75505,-0.532293,-0.532293,0,All,#4682B4,0
3,7,7,2.79415,-0.560524,-0.560524,0,All,#4682B4,0
4,7,7,4.19614,-1.2253,-1.2253,0,All,#4682B4,0
5,7,7,2.59179,-0.405181,-0.405181,0,All,#4682B4,0
6,7,7,3.50592,-0.964465,-0.964465,0,All,#4682B4,0
7,7,7,2.61186,-0.421663,-0.421663,0,All,#4682B4,0
8,7,7,3.43796,-0.933122,-0.933122,0,All,#4682B4,0
9,7,7,3.58947,-1.00137,-1.00137,0,All,#4682B4,0
10,7,7,3.46317,-0.944889,-0.944889,0,All,#4682B4,0
1,7,7.5,2.95714,0.614755,0.614755,0,All,#4682B4,0
2,7,7.5,2.65475,0.975262,0.975262,0,All,#4682B4,0
3,7,7.5,2.74224,0.862786,0.862786,0,All,#4682B4,0
4,7,7.5,3.93742,-0.1732,-0.1732,0,All,#4682B4,0
5,7,7.5,2.50152,1.19121,1.19121,0,All,#4682B4,0
6,7,7.5,3.27251,0.309758,0.309758,0,All,#4682B4,0
7,7,7.5,2.50035,1.19296,1.19296,0,All,#4682B4,0
8,7,7.5,3.23667,0.341426,0.341426,0,All,#4682B4,0
9,7,7.5,3.37783,0.22058,0.22058,0,All,#4682B4,0
10,7,7.5,3.20661,0.368526,0.368526,0,All,#4682B4,0
1,7,8,2.727,-0.567639,-0.567639,0,All,#4682B4,0
2,7,8,2.5213,-0.4059,-0.4059,0,All,#4682B4,0
3,7,8,2.58963,-0.462475,-0.462475,0,All,#4682B4,0
4,7,8,3.5713,-1.03634,-1.03634,0,All,#4682B4,0
5,7,8,2.35396,-0.253461,-0.253461,0,All,#4682B4,0
6,7,8,2.98012,-0.73603,-0.73603,0,All,#4682B4,0
7,7,8,2.35856,-0.257942,-0.257942,0,All,#4682B4,0
8,7,8,2.93434,-0.70773,-0.70773,0,All,#4682B4,0
9,7,8,3.09745,-0.804753,-0.804753,0,All,#4682B4,0
10,7,8,2.91013,-0.692398,-0.692398,0,All,#4682B4,0
1,7,8.5,2.48686,-0.622309,-0.622309,0,All,#4682B4,0
2,7,8.5,2.37619,-0.532521,-0.532521,0,All,#4682B4,0
3,7,8.5,2.40248,-0.554599,-0.554599,0,All,#4682B4,0
4,7,8.5,3.18364,-1.04425,-1.04425,0,All,#4682B4,0
5,7,8.5,2.18618,-0.357157,-0.357157,0,All,#4682B4,0
6,7,8.5,2.68079,-0.761775,-0.761775,0,All,#4682B4,0
7,7,8.5,2.20901,-0.379827,-0.379827,0,All,#4682B4,0
8,7,8.5,2.59947,-0.705829,-0.705829,0,All,#4682B4,0
9,7,8.5,2.80107,-0.838572,-0.838572,0,All,#4682B4,0
10,7,8.5,2.60652,-0.710818,-0.710818,0,All,#4682B4,0
1,7,9,2.24185,-1.10551,-2.25147,1,All,#4682B4,0
2,7,9,2.23003,-1.09785,-1.30651,1,All,#4682B4,0
3,7,9,2.21036,-1.08493,-1.31689,1,All,#4682B4,0
4,7,9,2.7973,-1.39238,-1.45975,1,All,#4682B4,0
5,7,9,2.01757,-0.944918,-1.89638,1,All,#4682B4,0
6,7,9,2.3936,-1.1971,-1.92606,1,All,#4682B4,0
7,7,9,2.06404,-0.98106,-1.08091,1,All,#4682B4,0
8,7,9,2.2641,-1.11971,-1.95703,1,All,#4682B4,0
9,7,9,2.51113,-1.26043,-1.72285,1,All,#4682B4,0
10,7,9,2.3123,-1.14953,-1.22893,1,All,#4682B4,0
1,7,9.5,1.96677,1.61201,1.61201,0,All,#4682B4,0
2,7,9.5,2.06177,1.42023,1.42023,0,All,#4682B4,0
3,7,9.5,2.028,1.48634,1.48634,0,All,#4682B4,0
4,7,9.5,2.42117,0.830859,0.830859,0,All,#4682B4,0
5,7,9.5,1.8602,1.85046,1.85046,0,All,#4682B4,0
6,7,9.5,2.1271,1.29829,1.29829,0,All,#4682B4,0
7,7,9.5,1.93032,1.69061,1.69061,0,All,#4682B4,0
8,7,9.5,1.94267,1.66364,1.66364,0,All,#4682B4,0
9,7,9.5,2.23823,1.10721,1.10721,0,All,#4682B4,0
10,7,9.5,2.03325,1.47593,1.47593,0,All,#4682B4,0
1,7,10,1.66555,0.72645,0.72645,0,All,#4682B4,0
2,7,10,1.83957,0.416489,0.416489,0,All,#4682B4,0
3,7,10,1.85372,0.393838,0.393838,0,All,#4682B4,0
4,7,10,2.04517,0.118252,0.118252,0,All,#4682B4,0
5,7,10,1.72005,0.622626,0.622626,0,All,#4682B4,0
6,7,10,1.88614,0.343238,0.343238,0,All,#4682B4,0
7,7,10,1.75646,0.556852,0.556852,0,All,#4682B4,0
8,7,10,1.64193,0.773576,0.773576,0,All,#4682B4,0
9,7,10,1.98776,0.195321,0.195321,0,All,#4682B4,0
10,7,10,1.77522,0.524028,0.524028,0,All,#4682B4,0
1,7,10.5,1.34272,0.621603,0.621603,0,All,#4682B4,0
2,7,10.5,1.56148,0.177226,0.177226,0,All,#4682B4,0
3,7,10.5,1.61288,0.0903153,0.0903153,0,All,#4682B4,0
4,7,10.5,1.64926,0.032076,0.032076,0,All,#4682B4,0
5,7,10.5,1.59716,0.11631,0.11631,0,All,#4682B4,0
6,7,10.5,1.63284,0.0580357,0.0580357,0,All,#4682B4,0
7,7,10.5,1.48106,0.325337,0.325337,0,All,#4682B4,0
8,7,10.5,1.36505,0.569713,0.569713,0,All,#4682B4,0
9,7,10.5,1.76267,-0.134069,-0.134069,0,All,#4682B4,0
10,7,10.5,1.54052,0.214349,0.214349,0,All,#4682B4,0
1,7,11,1.00653,0.667548,-1.19462,1,All,#4682B4,0
2,7,11,1.22723,0.0888806,-0.00752788,1,All,#4682B4,0
3,7,11,1.29302,-0.0453993,-0.693219,1,All,#4682B4,0
4,7,11,1.24061,0.0604051,-0.00511502,1,All,#4682B4,0
5,7,11,1.40384,-0.243136,-0.438358,1,All,#4682B4,0
6,7,11,1.31042,-0.0786663,-0.44806,1,All,#4682B4,0
7,7,11,1.10701,0.375487,-0.804464,1,All,#4682B4,0
8,7,11,1.1138,0.357637,-0.0627882,1,All,#4682B4,0
9,7,11,1.55173,-0.46301,-1.42457,1,All,#4682B4,0
10,7,11,1.32899,-0.113195,-0.352008,1,All,#4682B4,0
1,7,11.5,0.653397,2.40658,0.533486,1,All,#4682B4,0
2,7,11.5,0.84131,1.29945,0.123054,1,All,#4682B4,0
3,7,11.5,0.903271,1.03538,-1.19195,1,All,#4682B4,0
4,7,11.5,0.81743,1.41191,0.426182,1,All,#4682B4,0
5,7,11.5,1.06699,0.485205,-0.816755,1,All,#4682B4,0
6,7,11.5,0.928049,0.939647,-0.837557,1,All,#4682B4,0
7,7,11.5,0.651992,2.41726,0.339551,1,All,#4682B4,0
8,7,11.5,0.889654,1.09026,0.0584233,1,All,#4682B4,0
9,7,11.5,1.23926,0.0632663,-0.110008,1,All,#4682B4,0
10,7,11.5,1.0822,0.442548,-0.705467,1,All,#4682B4,0
1,7,12,0.289355,8.64274,0.934636,1,All,#4682B4,0
2,7,12,0.408759,5.37315,-0.663975,1,All,#4682B4,0
3,7,12,0.455863,4.55444,0.028144,1,All,#4682B4,0
4,7,12,0.382055,5.92695,0.571079,1,All,#4682B4,0
5,7,12,0.598825,2.85829,1.76342,1,All,#4682B4,0
6,7,12,0.488868,4.07478,-0.248515,1,All,#4682B4,0
7,7,12,0.135431,21.3641,0.408438,1,All,#4682B4,0
8,7,12,0.684624,2.18049,0.139893,1,All,#4682B4,0
9,7,12,0.812366,1.43661,-0.695884,1,All,#4682B4,0
10,7,12,0.747558,1.78223,0.433035,1,All,#4682B4,0
1,7,12.5,0,5.71957e+15,0,1,All,#4682B4,0
2,7,12.5,0,5.71957e+15,0,1,All,#4682B4,0
3,7,12.5,0,5.71957e+15,0,1,All,#4682B4,0
4,7,12.5,0,5.71957e+15,0,1,All,#4682B4,0
5,7,12.5,0.0284251,111.389,-0.232288,1,All,#4682B4,0
6,7,12.5,0.00171312,1888,1.3087,1,All,#4682B4,0
7,7,12.5,0,5.71957e+15,0,1,All,#4682B4,0
8,7,12.5,0.34514,6.83364,-0.740106,1,All,#4682B4,0
9,7,12.5,0.280121,9.01172,0.459014,1,All,#4682B4,0
10,7,12.5,0.331914,7.20757,-0.891538,1,All,#4682B4,0
1,7,13,0,5.71957e+15,0,1,All,#4682B4,0
2,7,13,0,5.71957e+15,1.26745,1,All,#4682B4,0
3,7,13,0,5.71957e+15,0,1,All,#4682B4,0
4,7,13,0,5.71957e+15,0,1,All,#4682B4,0
5,7,13,0,5.71957e+15,2.07928,1,All,#4682B4,0
6,7,13,0,5.71957e+15,0,1,All,#4682B4,0
7,7,13,0,5.71957e+15,0,1,All,#4682B4,0
8,7,13,0,5.71957e+15,0,1,All,#4682B4,0
9,7,13,0,5.71957e+15,0,1,All,#4682B4,0
10,7,13,0,5.71957e+15,0,1,All,#4682B4,0
1,7,13.5,0,5.71957e+15,1.5148,1,All,#4682B4,0
2,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
3,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
4,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
5,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
6,7,13.5,0,5.71957e+15,1.67312,1,All,#4682B4,0
7,7,13.5,0,5.71957e+15,1.70465,1,All,#4682B4,0
8,7,13.5,0,5.71957e+15,2.08665,1,All,#4682B4,0
9,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
10,7,13.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,14,0,5.71957e+15,1.4006,1,All,#4682B4,0
2,7,14,0,5.71957e+15,0,1,All,#4682B4,0
3,7,14,0,5.71957e+15,0,1,All,#4682B4,0
4,7,14,0,5.71957e+15,0,1,All,#4682B4,0
5,7,14,0,5.71957e+15,1.65639,1,All,#4682B4,0
6,7,14,0,5.71957e+15,1.65311,1,All,#4682B4,0
7,7,14,0,5.71957e+15,0,1,All,#4682B4,0
8,7,14,0,5.71957e+15,0,1,All,#4682B4,0
9,7,14,0,5.71957e+15,0,1,All,#4682B4,0
10,7,14,0,5.71957e+15,0,1,All,#4682B4,0
1,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
2,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
3,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
4,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
5,7,14.5,0,5.71957e+15,1.2847,1,All,#4682B4,0
6,7,14.5,0,5.71957e+15,1.29403,1,All,#4682B4,0
7,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
8,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
9,7,14.5,0,5.71957e+15,1.08318,1,All,#4682B4,0
10,7,14.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,15,0,5.71957e+15,1.31323,1,All,#4682B4,0
2,7,15,0,5.71957e+15,0,1,All,#4682B4,0
3,7,15,0,5.71957e+15,0,1,All,#4682B4,0
4,7,15,0,5.71957e+15,0,1,All,#4682B4,0
5,7,15,0,5.71957e+15,0,1,All,#4682B4,0
6,7,15,0,5.71957e+15,0,1,All,#4682B4,0
7,7,15,0,5.71957e+15,0,1,All,#4682B4,0
8,7,15,0,5.71957e+15,1.08799,1,All,#4682B4,0
9,7,15,0,5.71957e+15,0,1,All,#4682B4,0
10,7,15,0,5.71957e+15,0,1,All,#4682B4,0
1,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
2,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
3,7,15.5,0,5.71957e+15,2.16512,1,All,#4682B4,0
4,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
5,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
6,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
7,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
8,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
9,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
10,7,15.5,0,5.71957e+15,0,1,All,#4682B4,0
1,7,16,0,5.71957e+15,0,1,All,#4682B4,0
2,7,16,0,5.71957e+15,0,1,All,#4682B4,0
3,7,16,0,5.71957e+15,3.09618,1,All,#4682B4,0
4,7,16,0,5.71957e+15,1.74457,1,All,#4682B4,0
5,7,16,0,5.71957e+15,0,1,All,#4682B4,0
6,7,16,0,5.71957e+15,0,1,All,#4682B4,0
7,7,16,0,5.71957e+15,0,1,All,#4682B4,0
8,7,16,0,5.71957e+15,0,1,All,#4682B4,0
9,7,16,0,5.71957e+15,2.1261,1,All,#4682B4,0
10,7,16,0,5.71957e+15,0,1,All,#4682B4,0
1,8,1,0,5.71957e+15,1.2505,1,All,#4682B4,0
2,8,1,0,5.71957e+15,0,1,All,#4682B4,0
3,8,1,0,5.71957e+15,0,1,All,#4682B4,0
4,8,1,0,5.71957e+15,0,1,All,#4682B4,0
5,8,1,0,5.71957e+15,1.25247,1,All,#4682B4,0
6,8,1,0,5.71957e+15,1.22194,1,All,#4682B4,0
7,8,1,0,5.71957e+15,0,1,All,#4682B4,0
8,8,1,0,5.71957e+15,1.46075,1,All,#4682B4,0
9,8,1,0,5.71957e+15,0,1,All,#4682B4,0
10,8,1,0,5.71957e+15,0,1,All,#4682B4,0
1,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
2,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
3,8,1.5,0,5.71957e+15,2.2934,1,All,#4682B4,0
4,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
5,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
6,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
7,8,1.5,0,5.71957e+15,1.25352,1,All,#4682B4,0
8,8,1.5,0,5.71957e+15,2.3557,1,All,#4682B4,0
9,8,1.5,0,5.71957e+15,1.58336,1,All,#4682B4,0
10,8,1.5,0,5.71957e+15,0,1,All,#4682B4,0
1,8,2,0,5.71957e+15,0,1,All,#4682B4,0
2,8,2,0,5.71957e+15,1.12633,1,All,#4682B4,0
3,8,2,0,5.71957e+15,0,1,All,#4682B4,0
4,8,2,0,5.71957e+15,0,1,All,#4682B4,0
5,8,2,0.109275,27.0883,0.274815,1,All,#4682B4,0
6,8,2,0,5.71957e+15,0,1,All,#4682B4,0
7,8,2,0,5.71957e+15,0,1,All,#4682B4,0
8,8,2,0,5.71957e+15,1.46394,1,All,#4682B4,0
9,8,2,0,5.71957e+15,0,1,All,#4682B4,0
10,8,2,0,5.71957e+15,0,1,All,#4682B4,0
1,8,2.5,0.117004,25.1304,1.19863,1,All,#4682B4,0
2,8,2.5,0,5.71957e+15,0,1,All,#4682B4,0
3,8,2.5,0.40653,5.41659,1.2934,1,All,#4682B4,0
4,8,2.5,0.179466,15.4963,-0.907203,1,All,#4682B4,0
5,8,2.5,1.48484,-0.36898,-1.37527,1,All,#4682B4,0
6,8,2.5,0,5.71957e+15,1.61438,1,All,#4682B4,0
7,8,2.5,0.860709,1.21268,0.0386444,1,All,#4682B4,0
8,8,2.5,0.257512,10.0268,0.352008,1,All,#4682B4,0
9,8,2.5,0,5.71957e+15,0,1,All,#4682B4,0
10,8,2.5,0,5.71957e+15,0,1,All,#4682B4,0
1,8,3,2.09261,-0.283472,-0.283472,0,All,#4682B4,0
2,8,3,1.55142,0.507238,0.507238,0,All,#4682B4,0
3,8,3,1.93129,-0.0941359,-0.0941359,0,All,#4682B4,0
4,8,3,1.80129,0.0831151,0.0831151,0,All,#4682B4,0
5,8,3,1.9472,-0.114206,-0.114206,0,All,#4682B4,0
6,8,3,1.95668,-0.126003,-0.126003,0,All,#4682B4,0
7,8,3,2.06663,-0.254978,-0.254978,0,All,#4682B4,0
8,8,3,1.96651,-0.138117,-0.138117,0,All,#4682B4,0
9,8,3,1.37133,0.908763,0.908763,0,All,#4682B4,0
10,8,3,1.90683,-0.0626276,-0.0626276,0,All,#4682B4,0
1,8,3.5,2.65668,-1.33109,-1.38749,1,All,#4682B4,0
2,8,3.5,2.14159,-1.03788,-1.15294,1,All,#4682B4,0
3,8,3.5,2.4404,-1.22305,-1.31361,1,All,#4682B4,0
4,8,3.5,2.39208,-1.19624,-2.09872,1,All,#4682B4,0
5,8,3.5,2.18951,-1.07098,-1.7481,1,All,#4682B4,0
6,8,3.5,2.51438,-1.2621,-1.53966,1,All,#4682B4,0
7,8,3.5,2.46166,-1.23451,-2.22009,1,All,#4682B4,0
8,8,3.5,2.41409,-1.20859,-1.35281,1,All,#4682B4,0
9,8,3.5,2.16869,-1.05678,-1.10257,1,All,#4682B4,0
10,8,3.5,2.58751,-1.29851,-1.81019,1,All,#4682B4,0
1,8,4,2.94056,0.563226,0.563226,0,All,#4682B4,0
2,8,4,2.4382,1.20469,1.20469,0,All,#4682B4,0
3,8,4,2.70738,0.831377,0.831377,0,All,#4682B4,0
4,8,4,2.71039,0.827619,0.827619,0,All,#4682B4,0
5,8,4,2.33338,1.37337,1.37337,0,All,#4682B4,0
6,8,4,2.73871,0.792686,0.792686,0,All,#4682B4,0
7,8,4,2.65883,0.893123,0.893123,0,All,#4682B4,0
8,8,4,2.63418,0.925344,0.925344,0,All,#4682B4,0
9,8,4,2.55638,1.03112,1.03112,0,All,#4682B4,0
10,8,4,2.89586,0.611278,0.611278,0,All,#4682B4,0
1,8,4.5,3.08932,-1.50182,-1.52302,1,All,#4682B4,0
2,8,4.5,2.60582,-1.3073,-1.47782,1,All,#4682B4,0
3,8,4.5,2.86451,-1.41954,-2.39768,1,All,#4682B4,0
