bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median,theoretical_median_piLower,theoretical_median_piUpper,theoretical_lower_median,theoretical_lower_piLower,theoretical_lower_piUpper,theoretical_upper_median,theoretical_upper_piLower,theoretical_upper_piUpper,split
1.25,0.992574,0.135053,2.92008,0.347051,-0.135184,0.876188,-0.971226,-1.54071,-0.431371,3.16145,1.43265,5.42922,All
2.25,3.09305,0.441436,7.249,3.31453,0.846638,5.28811,-0.416966,-1.1844,0.642175,7.39318,5.89736,8.78726,All
3.25,6.7165,2.24748,8.8366,6.46712,5.03008,7.51546,0.851694,-0.688235,4.63957,8.72699,7.78867,9.50415,All
4.25,7.4675,3.61481,8.5834,7.3922,6.56043,7.9902,4.18036,-0.177748,6.26235,8.99447,8.31613,9.72187,All
5.25,7.644,6.1289,8.7425,7.44781,6.81537,8.05465,5.36034,0.60722,6.51563,8.93501,8.27306,9.57972,All
6.25,8.11,6.1032,8.8139,7.23184,6.71344,7.82255,5.5073,2.53029,6.45999,8.70573,8.06386,9.35651,All
7.25,7.5715,6.3276,9.1642,6.9434,6.38947,7.52806,5.30558,3.13059,6.18769,8.42932,7.83666,9.17431,All
8.25,6.6775,5.5522,7.9736,6.62232,5.99621,7.15778,4.88584,3.09446,5.70094,8.11413,7.44934,8.8608,All
9.25,6.248,5.0842,7.5823,6.19341,5.48529,6.81354,4.34766,2.69795,5.273,7.79053,7.11733,8.61387,All
10.25,5.6415,3.9394,7.1289,5.73142,5.00532,6.50278,3.78365,2.10436,4.76983,7.50734,6.74505,8.35442,All
11.25,4.6605,2.00075,7.2998,5.25642,4.37779,6.06217,3.19885,1.85491,4.16159,7.23191,6.31314,8.16184,All
12.25,4.491,2.55674,6.9075,4.75521,3.90333,5.53845,2.74186,1.31699,3.63875,6.81909,5.76181,7.75006,All
13.25,3.451,1.70025,5.6506,4.20087,3.39936,4.99162,2.17875,0.695337,3.21914,6.21962,5.17822,7.21323,All
14.25,3.5475,1.91252,5.4179,3.66485,2.81731,4.42842,1.64783,0.193704,2.61569,5.59353,4.6051,6.59782,All
15.2273,2.31678,1.13913,4.1072,3.09774,2.2824,3.95788,0.952248,-0.224245,2.1194,5.15062,4.18638,6.23239,All
16.4524,2.83107,1.70938,4.4528,2.50099,1.36494,3.61769,0.22461,-0.887935,1.70735,4.65509,3.34881,6.2189,All
18.0833,2.03788,0.718557,3.3912,1.75422,0.270565,3.50225,-0.240142,-1.29311,1.37275,3.99185,2.06839,6.08693,All
