bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median,theoretical_median_piLower,theoretical_median_piUpper,theoretical_lower_median,theoretical_lower_piLower,theoretical_lower_piUpper,theoretical_upper_median,theoretical_upper_piLower,theoretical_upper_piUpper,split
-1,-1.2322,-11.9496,0.0665204,-7.06119,-9.56716,-4.43821,-13.0921,-16.5787,-9.92631,-1.14982,-4.27143,2.15091,All
0,-0.240652,-4.24611,-0.0773724,-7.03991,-9.6754,-4.65838,-13.0546,-16.5407,-9.65292,-1.19669,-4.14429,2.36183,All
1,-0.306273,-15.7112,-0.110872,-6.29087,-8.79711,-3.6562,-12.3524,-15.9798,-9.19596,-0.769021,-3.7591,2.40916,All
2,-1.0215,-5.82571,-0.0965875,-1.9782,-5.06231,-0.137167,-9.94352,-14.2999,-5.0059,1.32573,-0.258213,3.57466,All
3,-0.234279,-4.19157,1.08041,0.414068,-0.749903,1.59506,-5.38465,-11.6958,-0.889261,3.43297,1.77354,5.45101,All
4,0.717143,-3.77364,2.13405,1.49976,0.359577,2.69586,-2.01023,-8.24157,0.340202,4.25184,2.82637,6.06238,All
5,1.20348,-0.449507,2.18357,1.76765,0.739163,2.7808,-0.921378,-5.73202,0.47728,4.3495,3.03276,5.82222,All
6,1.95611,0.158962,2.41172,1.63726,0.69574,2.65085,-0.651928,-4.38411,0.653892,3.98043,2.69997,5.5984,All
7,1.49906,0.887259,3.18769,1.37343,0.55284,2.3459,-0.55462,-4.6306,0.600544,3.64856,2.36889,5.10636,All
8,1.38811,0.644804,2.46171,1.05356,0.314861,1.84553,-0.607273,-3.77138,0.272447,3.02672,1.96911,4.54019,All
9,1.0128,0.0677776,2.05861,0.655781,0.0124612,1.42201,-0.913272,-4.13178,-0.00837328,2.55089,1.39441,3.97865,All
10,0.579226,-0.148613,1.82457,0.282156,-0.340916,0.941095,-1.42086,-4.25703,-0.418814,2.03826,0.946231,3.4917,All
11,-0.207794,-3.64939,1.51853,-0.077261,-0.773241,0.553708,-2.27131,-4.89207,-0.875132,1.70507,0.725157,3.1585,All
12,-0.402558,-4.55989,1.16878,-0.399778,-1.45657,0.289067,-2.9173,-5.63505,-1.39127,1.26995,0.363129,2.87116,All
13,-0.160634,-4.56982,1.28545,-0.882082,-1.98069,-0.051899,-3.83733,-6.48818,-1.98688,0.862387,-0.13272,2.30299,All
14,-1.83607,-4.23435,0.66268,-1.4637,-2.71786,-0.455347,-4.62148,-7.49878,-2.72273,0.604065,-0.426893,1.98515,All
