time,empiricalCumulatedFrequencies,median,piLower,piUpper,split
10.5754,0.170833,0.104167,0.0708333,0.152083,All
10.6683,0.170833,0.104167,0.0708333,0.152083,All
10.7613,0.170833,0.104167,0.0708333,0.152083,All
10.8543,0.170833,0.104167,0.0708333,0.152083,All
10.9472,0.170833,0.104167,0.0708333,0.152083,All
11.0402,0.166667,0.103175,0.0674603,0.14881,All
11.1332,0.166667,0.103175,0.0674603,0.14881,All
11.2261,0.166667,0.103175,0.0674603,0.14881,All
11.3191,0.166667,0.103175,0.0674603,0.14881,All
11.4121,0.166667,0.103175,0.0674603,0.14881,All
11.505,0.166667,0.102273,0.0681818,0.147727,All
11.598,0.166667,0.102273,0.0681818,0.147727,All
11.691,0.166667,0.102273,0.0681818,0.147727,All
11.7839,0.166667,0.102273,0.0681818,0.147727,All
11.8769,0.166667,0.102273,0.0681818,0.147727,All
11.9698,0.166667,0.102273,0.0681818,0.147727,All
12.0628,0.163043,0.101449,0.0688406,0.146739,All
12.1558,0.163043,0.101449,0.0688406,0.146739,All
12.2487,0.163043,0.101449,0.0688406,0.146739,All
12.3417,0.163043,0.101449,0.0688406,0.146739,All
12.4347,0.163043,0.101449,0.0688406,0.146739,All
12.5276,0.170139,0.104167,0.0694444,0.149306,All
12.6206,0.170139,0.104167,0.0694444,0.149306,All
12.7136,0.170139,0.104167,0.0694444,0.149306,All
12.8065,0.170139,0.104167,0.0694444,0.149306,All
12.8995,0.170139,0.104167,0.0694444,0.149306,All
12.9925,0.170139,0.104167,0.0694444,0.149306,All
13.0854,0.18,0.11,0.0733333,0.153333,All
13.1784,0.18,0.11,0.0733333,0.153333,All
13.2714,0.18,0.11,0.0733333,0.153333,All
13.3643,0.18,0.11,0.0733333,0.153333,All
13.4573,0.18,0.11,0.0733333,0.153333,All
13.5503,0.192308,0.112179,0.0769231,0.158654,All
13.6432,0.192308,0.112179,0.0769231,0.158654,All
13.7362,0.192308,0.112179,0.0769231,0.158654,All
13.8291,0.192308,0.112179,0.0769231,0.158654,All
13.9221,0.192308,0.112179,0.0769231,0.158654,All
14.0151,0.200617,0.12037,0.0802469,0.169753,All
14.108,0.200617,0.12037,0.0802469,0.169753,All
14.201,0.200617,0.12037,0.0802469,0.169753,All
14.294,0.200617,0.12037,0.0802469,0.169753,All
14.3869,0.200617,0.12037,0.0802469,0.169753,All
14.4799,0.200617,0.12037,0.0802469,0.169753,All
14.5729,0.21131,0.127976,0.0863095,0.175595,All
14.6658,0.21131,0.127976,0.0863095,0.175595,All
14.7588,0.21131,0.127976,0.0863095,0.175595,All
14.8518,0.21131,0.127976,0.0863095,0.175595,All
14.9447,0.21131,0.127976,0.0863095,0.175595,All
15.0377,0.227011,0.135057,0.0933908,0.186782,All
15.1307,0.227011,0.135057,0.0933908,0.186782,All
15.2236,0.227011,0.135057,0.0933908,0.186782,All
15.3166,0.227011,0.135057,0.0933908,0.186782,All
15.4095,0.227011,0.135057,0.0933908,0.186782,All
15.5025,0.23743,0.145251,0.101955,0.192737,All
15.5955,0.23743,0.145251,0.101955,0.192737,All
15.6884,0.23743,0.145251,0.101955,0.192737,All
15.7814,0.23743,0.145251,0.101955,0.192737,All
15.8744,0.23743,0.145251,0.101955,0.192737,All
15.9673,0.23743,0.145251,0.101955,0.192737,All
16.0603,0.243169,0.153005,0.10929,0.202186,All
16.1533,0.243169,0.153005,0.10929,0.202186,All
16.2462,0.243169,0.153005,0.10929,0.202186,All
16.3392,0.243169,0.153005,0.10929,0.202186,All
16.4322,0.243169,0.153005,0.10929,0.202186,All
16.5251,0.252011,0.158177,0.112601,0.207775,All
16.6181,0.252011,0.158177,0.112601,0.207775,All
16.7111,0.252011,0.158177,0.112601,0.207775,All
16.804,0.252011,0.158177,0.112601,0.207775,All
16.897,0.252011,0.158177,0.112601,0.207775,All
16.9899,0.252011,0.158177,0.112601,0.207775,All
17.0829,0.253298,0.163588,0.116095,0.21372,All
17.1759,0.253298,0.163588,0.116095,0.21372,All
17.2688,0.253298,0.163588,0.116095,0.21372,All
17.3618,0.253298,0.163588,0.116095,0.21372,All
17.4548,0.253298,0.163588,0.116095,0.21372,All
17.5477,0.260417,0.169271,0.119792,0.21875,All
17.6407,0.260417,0.169271,0.119792,0.21875,All
17.7337,0.260417,0.169271,0.119792,0.21875,All
17.8266,0.260417,0.169271,0.119792,0.21875,All
17.9196,0.260417,0.169271,0.119792,0.21875,All
18.0126,0.263566,0.173127,0.121447,0.222222,All
18.1055,0.263566,0.173127,0.121447,0.222222,All
18.1985,0.263566,0.173127,0.121447,0.222222,All
18.2915,0.263566,0.173127,0.121447,0.222222,All
18.3844,0.263566,0.173127,0.121447,0.222222,All
18.4774,0.263566,0.173127,0.121447,0.222222,All
18.5704,0.267352,0.174807,0.123393,0.22365,All
18.6633,0.267352,0.174807,0.123393,0.22365,All
18.7563,0.267352,0.174807,0.123393,0.22365,All
18.8492,0.267352,0.174807,0.123393,0.22365,All
18.9422,0.267352,0.174807,0.123393,0.22365,All
19.0352,0.269231,0.174359,0.124359,0.223077,All
19.1281,0.269231,0.174359,0.124359,0.223077,All
19.2211,0.269231,0.174359,0.124359,0.223077,All
19.3141,0.269231,0.174359,0.124359,0.223077,All
19.407,0.269231,0.174359,0.124359,0.223077,All
19.5,0.2711,0.176471,0.12532,0.225064,All
