time,empiricalCumulatedFrequencies,median,piLower,piUpper,split
-1,0.5,0.583333,0.333333,0.75,All
-0.924623,0.5,0.583333,0.333333,0.75,All
-0.849246,0.5,0.583333,0.333333,0.75,All
-0.773869,0.5,0.583333,0.333333,0.75,All
-0.698492,0.5,0.583333,0.333333,0.75,All
-0.623116,0.5,0.583333,0.333333,0.75,All
-0.547739,0.5,0.583333,0.333333,0.75,All
-0.472362,0.5,0.583333,0.333333,0.75,All
-0.396985,0.5,0.583333,0.333333,0.75,All
-0.321608,0.5,0.583333,0.333333,0.75,All
-0.246231,0.5,0.583333,0.333333,0.75,All
-0.170854,0.5,0.583333,0.333333,0.75,All
-0.0954774,0.5,0.583333,0.333333,0.75,All
-0.0201005,0.5,0.583333,0.333333,0.75,All
0.0552764,0.375,0.541667,0.375,0.75,All
0.130653,0.375,0.541667,0.375,0.75,All
0.20603,0.375,0.541667,0.375,0.75,All
0.281407,0.375,0.541667,0.375,0.75,All
0.356784,0.375,0.541667,0.375,0.75,All
0.432161,0.375,0.541667,0.375,0.75,All
0.507538,0.375,0.541667,0.375,0.75,All
0.582915,0.375,0.541667,0.375,0.75,All
0.658291,0.375,0.541667,0.375,0.75,All
0.733668,0.375,0.541667,0.375,0.75,All
0.809045,0.375,0.541667,0.375,0.75,All
0.884422,0.375,0.541667,0.375,0.75,All
0.959799,0.375,0.541667,0.375,0.75,All
1.03518,0.388889,0.555556,0.416667,0.694444,All
1.11055,0.388889,0.555556,0.416667,0.694444,All
1.18593,0.388889,0.555556,0.416667,0.694444,All
1.26131,0.388889,0.555556,0.416667,0.694444,All
1.33668,0.388889,0.555556,0.416667,0.694444,All
1.41206,0.388889,0.555556,0.416667,0.694444,All
1.48744,0.388889,0.555556,0.416667,0.694444,All
1.56281,0.388889,0.555556,0.416667,0.694444,All
1.63819,0.388889,0.555556,0.416667,0.694444,All
1.71357,0.388889,0.555556,0.416667,0.694444,All
1.78894,0.388889,0.555556,0.416667,0.694444,All
1.86432,0.388889,0.555556,0.416667,0.694444,All
1.9397,0.388889,0.555556,0.416667,0.694444,All
2.01508,0.458333,0.5625,0.427083,0.6875,All
2.09045,0.458333,0.5625,0.427083,0.6875,All
2.16583,0.458333,0.5625,0.427083,0.6875,All
2.24121,0.458333,0.5625,0.427083,0.6875,All
2.31658,0.458333,0.5625,0.427083,0.6875,All
2.39196,0.458333,0.5625,0.427083,0.6875,All
2.46734,0.458333,0.5625,0.427083,0.6875,All
2.54271,0.458333,0.5625,0.427083,0.6875,All
2.61809,0.458333,0.5625,0.427083,0.6875,All
2.69347,0.458333,0.5625,0.427083,0.6875,All
2.76884,0.458333,0.5625,0.427083,0.6875,All
2.84422,0.458333,0.5625,0.427083,0.6875,All
2.9196,0.458333,0.5625,0.427083,0.6875,All
2.99497,0.458333,0.5625,0.427083,0.6875,All
3.07035,0.466667,0.533333,0.4,0.633333,All
3.14573,0.466667,0.533333,0.4,0.633333,All
3.22111,0.466667,0.533333,0.4,0.633333,All
3.29648,0.466667,0.533333,0.4,0.633333,All
3.37186,0.466667,0.533333,0.4,0.633333,All
3.44724,0.466667,0.533333,0.4,0.633333,All
3.52261,0.466667,0.533333,0.4,0.633333,All
3.59799,0.466667,0.533333,0.4,0.633333,All
3.67337,0.466667,0.533333,0.4,0.633333,All
3.74874,0.466667,0.533333,0.4,0.633333,All
3.82412,0.466667,0.533333,0.4,0.633333,All
3.8995,0.466667,0.533333,0.4,0.633333,All
3.97487,0.466667,0.533333,0.4,0.633333,All
4.05025,0.416667,0.472222,0.361111,0.569444,All
4.12563,0.416667,0.472222,0.361111,0.569444,All
4.20101,0.416667,0.472222,0.361111,0.569444,All
4.27638,0.416667,0.472222,0.361111,0.569444,All
4.35176,0.416667,0.472222,0.361111,0.569444,All
4.42714,0.416667,0.472222,0.361111,0.569444,All
4.50251,0.416667,0.472222,0.361111,0.569444,All
4.57789,0.416667,0.472222,0.361111,0.569444,All
4.65327,0.416667,0.472222,0.361111,0.569444,All
4.72864,0.416667,0.472222,0.361111,0.569444,All
4.80402,0.416667,0.472222,0.361111,0.569444,All
4.8794,0.416667,0.472222,0.361111,0.569444,All
4.95477,0.416667,0.472222,0.361111,0.569444,All
5.03015,0.369048,0.416667,0.321429,0.5,All
5.10553,0.369048,0.416667,0.321429,0.5,All
5.1809,0.369048,0.416667,0.321429,0.5,All
5.25628,0.369048,0.416667,0.321429,0.5,All
5.33166,0.369048,0.416667,0.321429,0.5,All
5.40704,0.369048,0.416667,0.321429,0.5,All
5.48241,0.369048,0.416667,0.321429,0.5,All
5.55779,0.369048,0.416667,0.321429,0.5,All
5.63317,0.369048,0.416667,0.321429,0.5,All
5.70854,0.369048,0.416667,0.321429,0.5,All
5.78392,0.369048,0.416667,0.321429,0.5,All
5.8593,0.369048,0.416667,0.321429,0.5,All
5.93467,0.369048,0.416667,0.321429,0.5,All
6.01005,0.333333,0.369792,0.28125,0.447917,All
6.08543,0.333333,0.369792,0.28125,0.447917,All
6.1608,0.333333,0.369792,0.28125,0.447917,All
6.23618,0.333333,0.369792,0.28125,0.447917,All
6.31156,0.333333,0.369792,0.28125,0.447917,All
6.38693,0.333333,0.369792,0.28125,0.447917,All
6.46231,0.333333,0.369792,0.28125,0.447917,All
