pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.99441,0.0630542,-3.12122,0.0039812,-2.08683,0.0193115,All
-1.72891,0.10509,-2.98743,0,-1.79786,0.0772458,All
-1.4634,0.0210181,-2.85363,0.0079624,-1.50889,0.0965573,All
-1.1979,0.126108,-2.71983,0.0039812,-1.21993,0.154492,All
-0.932397,0.10509,-2.58604,0.0119436,-0.930961,0.154492,All
-0.666894,0.147127,-2.45224,0.0238872,-0.641995,0.347606,All
-0.401392,0.273235,-2.31844,0.019906,-0.353029,0.424852,All
-0.135889,0.65156,-2.18465,0.0119436,-0.0640632,0.560032,All
0.129614,0.945813,-2.05085,0.0278684,0.224903,0.521409,All
0.395117,0.399343,-1.91705,0.059718,0.513869,0.386229,All
0.660619,0.44138,-1.78326,0.079624,0.802835,0.251049,All
0.926122,0.168145,-1.64946,0.0836052,1.0918,0.154492,All
1.19162,0.0630542,-1.51566,0.0915676,1.38077,0.424852,All
1.45713,0.525452,-1.38187,0.103511,1.66973,0.13518,All
,,-1.24807,0.0836052,,,All
,,-1.11427,0.246834,,,All
,,-0.980477,0.16721,,,All
,,-0.846681,0.274703,,,All
,,-0.712884,0.26674,,,All
,,-0.579088,0.330439,,,All
,,-0.445291,0.326458,,,All
,,-0.311495,0.370251,,,All
,,-0.177698,0.414045,,,All
,,-0.0439018,0.493669,,,All
,,0.0898947,0.386176,,,All
,,0.223691,0.437932,,,All
,,0.357488,0.358308,,,All
,,0.491284,0.282665,,,All
,,0.625081,0.234891,,,All
,,0.758877,0.250815,,,All
,,0.892674,0.226928,,,All
,,1.02647,0.254797,,,All
,,1.16027,0.258778,,,All
,,1.29406,0.187116,,,All
,,1.42786,0.83207,,,All
,,1.56166,0.16721,,,All
,,1.69545,0.0477744,,,All
,,1.82925,0.115455,,,All
,,1.96305,0.0358308,,,All
,,2.09684,0.0159248,,,All
,,2.23064,0.0278684,,,All
,,2.36444,0.0119436,,,All
,,2.49823,0,,,All
,,2.63203,0.0079624,,,All
