pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.12776,0.230869,-2.37521,0.0317707,-1.3732,0.0867995,All
-0.91839,0.705434,-2.28526,0.011553,-1.18758,0.216999,All
-0.709018,0.769564,-2.1953,0.0346589,-1.00195,0.405065,All
-0.499646,1.14152,-2.10535,0.0577649,-0.816317,0.520797,All
-0.290274,0.538695,-2.01539,0.0606531,-0.630688,0.448464,All
-0.0809019,0.333478,-1.92543,0.0722061,-0.445059,0.520797,All
0.12847,0.218043,-1.83548,0.0866473,-0.259429,0.564197,All
0.337842,0.102609,-1.74552,0.101089,-0.0738002,0.520797,All
0.547215,0.218043,-1.65557,0.112641,0.111829,0.390598,All
0.756587,0.141087,-1.56561,0.121306,0.297458,0.433998,All
0.965959,0.153913,-1.47566,0.144412,0.483087,0.303798,All
1.17533,0.102609,-1.3857,0.199289,0.668717,0.231465,All
1.3847,0.102609,-1.29574,0.196401,0.854346,0.260399,All
1.59408,0.0897825,-1.20579,0.161742,1.03998,0.216999,All
1.80345,0.0513043,-1.11583,0.202177,1.2256,0.144666,All
2.01282,0.0256521,-1.02588,0.187736,1.41123,0.159133,All
2.22219,0.0384782,-0.935922,0.181959,1.59686,0.101266,All
2.43156,0.0256521,-0.845966,0.231059,1.78249,0.072333,All
2.64094,0.0128261,-0.75601,0.216618,1.96812,0.0433998,All
2.85031,0.0128261,-0.666054,0.21373,2.15375,0.0144666,All
,,-0.576099,0.265718,,,All
,,-0.486143,0.271495,,,All
,,-0.396187,0.245501,,,All
,,-0.306232,0.274383,,,All
,,-0.216276,0.283048,,,All
,,-0.12632,0.283048,,,All
,,-0.0363644,2.09686,,,All
,,0.0535914,0.309042,,,All
,,0.143547,0.26283,,,All
,,0.233503,0.28016,,,All
,,0.323459,0.254165,,,All
,,0.413414,0.268607,,,All
,,0.50337,0.245501,,,All
,,0.593326,0.300377,,,All
,,0.683282,0.291713,,,All
,,0.773237,0.219507,,,All
,,0.863193,0.245501,,,All
,,0.953149,0.199289,,,All
,,1.0431,0.332148,,,All
,,1.13306,0.26283,,,All
,,1.22302,0.257054,,,All
,,1.31297,0.196401,,,All
,,1.40293,0.170406,,,All
,,1.49288,0.144412,,,All
,,1.58284,0.112641,,,All
,,1.67279,0.138636,,,All
,,1.76275,0.0808708,,,All
,,1.85271,0.0866473,,,All
,,1.94266,0.0433237,,,All
,,2.03262,0.0548766,,,All
,,2.12257,0.0404354,,,All
,,2.21253,0.0317707,,,All
,,2.30248,0.0202177,,,All
,,2.39244,0.0173295,,,All
,,2.4824,0.0288824,,,All
,,2.57235,0.011553,,,All
,,2.66231,0.00866473,,,All
,,2.75226,0.00866473,,,All
,,2.84222,0,,,All
,,2.93217,0.00866473,,,All
,,3.02213,0,,,All
,,3.11209,0.00577649,,,All
,,3.20204,0.00866473,,,All
