parameters,shrinkage_mode,shrinkage_mean,shrinkage_condDist
beta_exp,2.58738,4.36125,3.57276
delta0,3.59319,4.36654,1.62736
p,-2.54698,-0.985157,-0.733929
td,-1.73657,-0.206754,4.0708
b_exp,2.11417,2.7049,2.67471
h_0,3.15044,4.22045,2.83697
tc,5.72354,5.09642,-1.47103
sigma,1.68914,2.88619,-1.37018
phi_exp,nan,nan,nan
rho_exp,6.43008,5.23025,1.96098
dF,nan,nan,nan
q_exp,11.501,11.3945,7.32999
ifn0,11.5562,12.7958,-4.45329
