rep,id,eta_beta_exp,eta_delta0,eta_p,eta_td,eta_b_exp,eta_h_0,eta_tc,eta_sigma,eta_phi_exp,eta_rho_exp,eta_dF,eta_q_exp,eta_ifn0
1,7,-0.162169,0.507792,-0.0225043,0.359137,-0.858776,0.192776,1.18683,0.0337123,0,-0.0272653,0,-0.00450271,-0.121551
2,7,-0.565294,-1.3181,-0.141588,0.536505,0.408894,-0.0485394,-0.452419,0.0815001,0,-0.323254,0,-0.0075675,0.363917
3,7,0.0144782,0.030335,-0.399747,0.342766,-1.14185,0.276141,0.87057,0.155596,0,0.146689,0,-0.023044,0.541764
4,7,-0.554434,-1.27044,-0.0963461,0.480005,-0.212215,0.0853199,-0.683548,-0.190988,0,-0.410014,0,-0.0370053,0.211955
5,7,0.158469,0.0568933,-0.666611,0.212928,-1.51448,0.364538,0.80961,-0.318867,0,0.275295,0,-0.0276276,0.495601
1,8,-0.0166544,-1.04365,0.0774378,0.23348,0.913461,-0.274789,-1.65283,-0.626192,0,-1.05935,0,-0.0275256,-0.197902
2,8,-0.293522,-1.38013,-0.0120047,0.275997,0.912904,-0.175435,-1.81577,-0.434796,0,-0.729238,0,-0.0545426,0.420153
3,8,-0.391757,-0.757343,0.318261,0.213243,1.23581,-0.23597,-0.354298,0.047559,0,-0.5422,0,-0.0293204,0.368552
4,8,-0.31564,-1.20911,-0.114738,0.213613,0.862206,-0.0837878,-1.23512,-0.403337,0,-0.741118,0,-0.0381596,0.278779
5,8,-0.245055,-0.663176,0.106678,0.303784,0.542359,-0.017847,-0.634549,-0.229832,0,-0.44147,0,0.002585,0.0353811
1,9,0.158122,0.41752,-0.0797759,-0.218968,-0.614335,0.111268,0.740537,-0.0234216,0,0.0394679,0,0.00301991,0.0943065
2,9,0.0770669,-0.500198,-0.155157,-0.114113,0.424307,-0.0834234,-0.759391,-0.257284,0,-0.104218,0,-0.0107925,-0.167553
3,9,0.179346,-0.179607,0.110729,-0.189466,0.545951,-0.182423,-0.27845,-0.35299,0,-0.518691,0,0.0136225,-0.221123
4,9,-0.0288925,-0.824885,0.142257,-0.0976258,0.953294,-0.237186,-1.44251,-0.261599,0,-0.672141,0,-0.0321545,-0.0358213
5,9,0.485178,0.0530072,0.075778,-0.310775,-0.0595564,-0.0898395,0.125443,0.115141,0,0.092354,0,0.0101264,-0.301201
1,10,0.281937,1.76209,0.323523,-0.398904,0.109076,0.0654236,-0.0122288,0.256315,0,0.719035,0,0.0178002,-0.95553
2,10,0.58964,1.39652,0.318824,-0.330959,1.00242,-0.232467,-0.0799667,0.492678,0,0.591668,0,0.0408084,-1.30247
3,10,0.382423,1.6343,0.783307,-0.286189,0.563633,-0.133812,0.171296,0.544065,0,0.363215,0,0.0445463,-0.935922
4,10,0.185295,1.24979,0.570548,-0.375559,0.151294,0.00374457,0.157756,0.463904,0,0.576536,0,0.0367894,-0.742039
5,10,0.266346,0.940275,0.551792,-0.351539,0.435319,-0.0883709,0.217793,0.388633,0,0.260425,0,0.0159803,-0.188932
1,11,-0.467873,-1.26838,0.362176,-0.116835,1.37724,-0.328053,-1.09481,0.197901,0,-0.809348,0,-0.0335103,0.237651
2,11,-0.48062,-1.47837,0.139728,-0.0763779,1.53096,-0.31841,-1.67176,-0.170429,0,-1.1325,0,-0.0334308,0.536977
3,11,-0.938767,-1.42586,0.617904,-0.0694657,1.76783,-0.33216,-0.746916,0.584558,0,-0.504165,0,-0.0370556,0.0998504
4,11,-0.283734,-0.347816,0.355149,-0.370448,0.430255,-0.0796483,-0.307077,0.167129,0,0.000952859,0,-0.0185113,0.379117
5,11,-0.548226,-0.377804,0.906062,-0.123775,0.859835,-0.289699,-0.1485,0.781813,0,0.0011762,0,-0.0161889,0.195033
1,12,0.162744,0.713906,-0.942156,0.787201,0.508257,0.0318741,-1.101,-0.745774,0,-0.0317323,0,-0.00397725,-0.36169
2,12,0.250447,0.53985,-1.26469,0.784886,0.773313,-0.0178374,-0.778253,-1.07385,0,-0.453678,0,0.0143594,-0.659802
3,12,0.0984082,1.00613,-1.02502,0.746303,0.679703,0.0423431,-0.356207,-1.12794,0,-0.387031,0,0.00413066,-0.557423
