rep,id,beta_exp,delta0,p,td,b_exp,h_0,tc,sigma,phi_exp,rho_exp,dF,q_exp,ifn0
1,7,-3.98632,1.6474,2.92167,2.76352,-3.17559,0.736769,9.36705,0.420219,-1.44683,-1.82449,0.943972,-4.28183,0.354218
2,7,-4.38944,0.265354,2.80259,3.29983,-1.90792,0.578801,4.90206,0.440788,-1.44683,-2.12048,0.943972,-4.2849,0.575582
3,7,-3.80967,1.02198,2.54443,2.71864,-3.45867,0.800822,8.66023,0.474689,-1.44683,-1.65054,0.943972,-4.30038,0.687615
4,7,-4.37858,0.278307,2.84783,3.11856,-2.52903,0.661704,4.24861,0.335652,-1.44683,-2.20724,0.943972,-4.31434,0.494437
5,7,-3.66568,1.04948,2.27757,2.38761,-3.8313,0.874836,8.51134,0.29536,-1.44683,-1.52193,0.943972,-4.30496,0.656594
1,8,-3.8408,0.349155,3.02162,2.43719,-1.40336,0.461605,2.06563,0.217212,-1.44683,-2.85657,0.943972,-4.30486,0.32818
2,8,-4.11767,0.249394,2.93217,2.54305,-1.40391,0.509823,1.80169,0.26303,-1.44683,-2.52646,0.943972,-4.33187,0.608878
3,8,-4.2159,0.464898,3.26244,2.38837,-1.081,0.479876,5.18891,0.426078,-1.44683,-2.33942,0.943972,-4.30665,0.578256
4,8,-4.13979,0.29591,2.82944,2.38925,-1.45461,0.558755,2.87963,0.271436,-1.44683,-2.53834,0.943972,-4.31549,0.528606
5,8,-4.0692,0.510804,3.05086,2.6147,-1.77446,0.596841,4.38403,0.322864,-1.44683,-2.2387,0.943972,-4.27475,0.414406
1,9,-3.66602,1.5052,2.8644,1.55022,-2.93115,0.679098,8.33798,0.396883,-1.44683,-1.75776,0.943972,-4.27431,0.439559
2,9,-3.74708,0.601221,2.78902,1.7216,-1.89251,0.558958,4.04285,0.314121,-1.44683,-1.90144,0.943972,-4.28812,0.338293
3,9,-3.6448,0.828448,3.05491,1.59664,-1.77087,0.506273,5.41334,0.285452,-1.44683,-2.31592,0.943972,-4.26371,0.320647
4,9,-3.85304,0.434535,3.08644,1.75022,-1.36352,0.479293,2.45042,0.312769,-1.44683,-2.46937,0.943972,-4.30949,0.385925
5,9,-3.33897,1.04541,3.01996,1.41424,-2.37637,0.555383,6.62091,0.455869,-1.44683,-1.70487,0.943972,-4.26721,0.295972
1,10,-3.54221,5.77477,3.2677,1.29494,-2.20774,0.648669,6.21004,0.52499,-1.44683,-1.07819,0.943972,-4.25953,0.153843
2,10,-3.23451,4.00652,3.263,1.38598,-1.3144,0.48156,6.00691,0.66497,-1.44683,-1.20556,0.943972,-4.23652,0.108744
3,10,-3.44172,5.08202,3.72749,1.44944,-1.75319,0.531491,6.75665,0.700034,-1.44683,-1.43401,0.943972,-4.23279,0.15689
4,10,-3.63885,3.45976,3.51473,1.32552,-2.16552,0.609868,6.71664,0.646109,-1.44683,-1.22069,0.943972,-4.24054,0.190457
5,10,-3.5578,2.53877,3.49597,1.35775,-1.8815,0.5562,6.89349,0.599261,-1.44683,-1.5368,0.943972,-4.26135,0.331137
1,11,-4.29202,0.27888,3.30635,1.71692,-0.939576,0.437661,3.19779,0.495202,-1.44683,-2.60657,0.943972,-4.31084,0.507306
2,11,-4.30477,0.226059,3.08391,1.78781,-0.785861,0.441902,2.03346,0.342624,-1.44683,-2.92973,0.943972,-4.31076,0.684331
3,11,-4.76291,0.238245,3.56208,1.80021,-0.548992,0.435867,4.07636,0.728962,-1.44683,-2.30139,0.943972,-4.31439,0.442002
4,11,-4.10788,0.700185,3.29933,1.33232,-1.88656,0.561072,5.3284,0.480195,-1.44683,-1.79627,0.943972,-4.29584,0.584398
5,11,-4.37237,0.6795,3.85024,1.70505,-1.45698,0.454774,5.80138,0.887916,-1.44683,-1.79605,0.943972,-4.29352,0.486141
1,12,-3.6614,2.02448,2.00202,4.24002,-1.80856,0.627267,3.18329,0.19273,-1.44683,-1.82896,0.943972,-4.28131,0.278599
2,12,-3.5737,1.70107,1.67948,4.23021,-1.5435,0.596847,3.99244,0.138825,-1.44683,-2.2509,0.943972,-4.26297,0.206782
3,12,-3.72574,2.71159,1.91916,4.07011,-1.63711,0.633868,5.18329,0.131516,-1.44683,-2.18426,0.943972,-4.2732,0.229073
4,12,-3.56541,1.39359,1.77801,4.15192,-1.73387,0.60305,2.83165,0.177616,-1.44683,-1.94237,0.943972,-4.26267,0.222165
5,12,-3.99439,1.43902,1.88156,4.22479,-1.17602,0.578995,3.2829,0.155276,-1.44683,-2.23956,0.943972,-4.26188,0.325398
1,13,-2.50288,4.31237,2.78882,0.625985,-5.2529,0.908484,11.1207,0.638501,-1.44683,-0.719796,0.943972,-4.21192,0.186057
2,13,-2.34925,2.62223,2.81305,0.541565,-5.40946,0.88524,10.2761,0.500304,-1.44683,-0.776957,0.943972,-4.22262,0.219705
3,13,-2.50456,11.847,3.14206,0.748334,-5.34251,0.915784,11.4218,0.703329,-1.44683,-0.567166,0.943972,-4.23433,0.221465
4,13,-2.84153,2.97462,2.912,0.897428,-4.64011,0.821604,10.2411,0.513166,-1.44683,-0.81623,0.943972,-4.22607,0.292231
