beta_exp_abscissa,beta_exp_pdf,beta_exp_cdf,delta0_abscissa,delta0_pdf,delta0_cdf,p_abscissa,p_pdf,p_cdf,td_abscissa,td_pdf,td_cdf,b_exp_abscissa,b_exp_pdf,b_exp_cdf,h_0_abscissa,h_0_pdf,h_0_cdf,tc_abscissa,tc_pdf,tc_cdf,sigma_abscissa,sigma_pdf,sigma_cdf,rho_exp_abscissa,rho_exp_pdf,rho_exp_cdf,q_exp_abscissa,q_exp_pdf,q_exp_cdf,ifn0_abscissa,ifn0_pdf,ifn0_cdf,split
-5.35663,0.0315321,0.00735425,0.472853,0.0311145,0.00222587,1.71671,0.0104912,0.0013697,0.648996,0.00485944,0.000273201,-4.86949,0.0514185,0.0288854,0.228642,0.00386255,5.54058e-05,0.497103,0.0383223,0.0145115,0.0550096,0.881709,0.0164088,-3.54736,0.0635867,0.0312712,-5.60076,0.00510498,0.000512714,0.111932,0.0892895,0.00127945,All
-5.32482,0.0355171,0.0084197,0.539233,0.0576778,0.00512022,1.74262,0.0125533,0.0016675,0.702949,0.0102676,0.00066718,-4.81981,0.055299,0.0315354,0.243186,0.00891898,0.000144074,0.613097,0.0395921,0.0190352,0.0773863,1.36986,0.0418522,-3.5018,0.0685919,0.0342811,-5.57712,0.00633327,0.000647415,0.125925,0.177087,0.00309714,All
-5.293,0.0399087,0.00961832,0.605614,0.093375,0.0100863,1.76852,0.0149659,0.00202316,0.756902,0.0194275,0.00144861,-4.77013,0.0593832,0.0343832,0.25773,0.0186116,0.000337197,0.72909,0.040459,0.0236809,0.099763,1.70964,0.076588,-3.45624,0.073866,0.0375252,-5.55349,0.00782259,0.000814145,0.139917,0.30589,0.00642736,All
-5.26119,0.0447346,0.0109635,0.671994,0.136655,0.0176852,1.79443,0.0177768,0.00244637,0.810856,0.0335446,0.00285279,-4.72045,0.0636734,0.037439,0.272273,0.0355904,0.000720665,0.845084,0.0410731,0.0284114,0.12214,1.91152,0.117332,-3.41069,0.0794111,0.0410158,-5.52985,0.00961972,0.00101962,0.15391,0.475337,0.0118478,All
-5.22938,0.0500223,0.0124694,0.738375,0.185117,0.0283436,1.82034,0.0210386,0.00294813,0.864809,0.0536414,0.00517604,-4.67077,0.0681711,0.0407131,0.286817,0.0630875,0.00142337,0.961078,0.041522,0.033203,0.144516,2.00742,0.161345,-3.36513,0.0852281,0.0447652,-5.50622,0.0117778,0.00127172,0.167902,0.679898,0.019894,All
-5.19757,0.0557994,0.0141513,0.804755,0.236029,0.0423155,1.84625,0.0248078,0.00354083,0.918762,0.0803798,0.00876078,-4.62109,0.0728771,0.0442158,0.301361,0.104654,0.00262394,1.07707,0.0418599,0.0380398,0.166893,2.02819,0.206612,-3.31957,0.0913166,0.0487858,-5.48258,0.0143567,0.00157967,0.181895,0.910223,0.0309953,All
-5.16576,0.0620927,0.0160251,0.871135,0.286744,0.0596743,1.87215,0.0291454,0.00423841,0.972715,0.113938,0.0139725,-4.57141,0.0777911,0.0479574,0.315905,0.163776,0.00455268,1.19307,0.0421217,0.042911,0.18927,1.99825,0.251737,-3.27401,0.0976746,0.0530899,-5.45895,0.0174234,0.0019542,0.195887,1.15489,0.0454336,All
-5.13394,0.0689282,0.0181077,0.937516,0.334978,0.0803286,1.89806,0.0341162,0.00505643,1.02667,0.15396,0.0211719,-4.52173,0.082912,0.0519484,0.330448,0.243422,0.00748741,1.30906,0.0423313,0.0478095,0.211647,1.93557,0.295798,-3.22845,0.104299,0.0576898,-5.43531,0.0210524,0.00240771,0.20988,1.40208,0.0633265,All
-5.10213,0.0763305,0.0204166,1.0039,0.378941,0.104051,1.92397,0.0397889,0.00601216,1.08062,0.199586,0.0306868,-4.47206,0.0882374,0.0561988,0.344992,0.345612,0.0117427,1.42505,0.0425049,0.05273,0.234023,1.85288,0.338212,-3.18289,0.111183,0.0625974,-5.41167,0.0253256,0.00295443,0.223872,1.64085,0.0846312,All
-5.07032,0.0843227,0.0229704,1.07028,0.417379,0.130514,1.94987,0.0462351,0.00712471,1.13457,0.249531,0.0427864,-4.42238,0.093764,0.0607188,0.359536,0.471071,0.0176534,1.54105,0.0426542,0.0576691,0.2564,1.75901,0.378638,-3.13733,0.118322,0.0678245,-5.38804,0.0303323,0.00361064,0.237865,1.86199,0.109163,All
