beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,q_exp_abscissa,q_exp_cdf,ifn0_abscissa,ifn0_cdf,split
-5.35663,0,0.472853,0,1.71671,0,0.648996,0,-4.86949,0.00833333,0.228642,0,0.497103,0.00833333,0.0550096,0,-3.54736,0,-5.60076,0,0.111932,0,All
-4.87222,0.00833333,0.615096,0.00833333,1.93497,0.00833333,0.866935,0.00833333,-4.72991,0.0166667,0.330141,0.00833333,0.636869,0.0166667,0.0557736,0.00833333,-3.5065,0.00833333,-5.3137,0.00833333,0.20284,0.00833333,All
-4.82585,0.0166667,0.655632,0.0166667,1.94586,0.0166667,1.208,0.0166667,-4.7142,0.025,0.377482,0.0166667,0.655346,0.025,0.0616392,0.0166667,-3.49325,0.0166667,-5.10676,0.0166667,0.212399,0.0166667,All
-4.77135,0.025,0.731765,0.025,1.98318,0.025,1.2091,0.025,-4.71365,0.0333333,0.387155,0.025,0.66385,0.0333333,0.0684355,0.025,-3.37653,0.025,-5.03242,0.025,0.212909,0.025,All
-4.75634,0.0333333,0.808108,0.0333333,2.06089,0.0333333,1.23645,0.0333333,-4.68055,0.0416667,0.390751,0.0333333,0.736533,0.0416667,0.0687166,0.0333333,-3.31427,0.0333333,-4.99794,0.0333333,0.215167,0.0333333,All
-4.75539,0.0416667,0.809487,0.0416667,2.08804,0.0416667,1.25758,0.0416667,-4.55526,0.05,0.391982,0.0416667,1.00162,0.05,0.0705764,0.0416667,-3.07449,0.0416667,-4.95435,0.0416667,0.220667,0.0416667,All
-4.70678,0.05,0.817327,0.05,2.31674,0.05,1.25902,0.05,-4.54083,0.0583333,0.395665,0.05,1.12162,0.0583333,0.0720212,0.05,-3.07107,0.05,-4.85876,0.05,0.228402,0.05,All
-4.70262,0.0583333,0.818289,0.0583333,2.31763,0.0583333,1.28512,0.0583333,-4.47929,0.0666667,0.411462,0.0583333,1.17081,0.0666667,0.0929835,0.0583333,-3.05252,0.0583333,-4.85184,0.0583333,0.232771,0.0583333,All
-4.69916,0.0666667,0.81896,0.0666667,2.32074,0.0666667,1.33059,0.0666667,-4.45056,0.075,0.41519,0.0666667,1.29293,0.075,0.096641,0.0666667,-3.03383,0.0666667,-4.83542,0.0666667,0.239135,0.0666667,All
-4.67563,0.075,0.846254,0.075,2.33941,0.075,1.34297,0.075,-4.40815,0.0833333,0.419957,0.075,1.45974,0.0833333,0.0970507,0.075,-3.01367,0.075,-4.80781,0.075,0.243936,0.075,All
-4.66411,0.0833333,0.877816,0.0833333,2.35853,0.0833333,1.34871,0.0833333,-4.3736,0.0916667,0.427369,0.0833333,1.5965,0.0916667,0.102638,0.0833333,-2.89322,0.0833333,-4.80464,0.0833333,0.252953,0.0833333,All
-4.65875,0.0916667,0.878077,0.0916667,2.36911,0.0916667,1.36348,0.0916667,-4.33141,0.1,0.428031,0.0916667,1.83948,0.1,0.102881,0.0916667,-2.88551,0.0916667,-4.76689,0.0916667,0.256153,0.0916667,All
