beta_exp_abscissa,beta_exp_pdf,delta0_abscissa,delta0_pdf,p_abscissa,p_pdf,td_abscissa,td_pdf,b_exp_abscissa,b_exp_pdf,h_0_abscissa,h_0_pdf,tc_abscissa,tc_pdf,sigma_abscissa,sigma_pdf,rho_exp_abscissa,rho_exp_pdf,q_exp_abscissa,q_exp_pdf,ifn0_abscissa,ifn0_pdf,split
-4.75781,0.516488,0.794815,0.404673,2.01609,0.280174,1.02609,0.0285601,-4.64593,0.182993,0.361505,0.724615,1.01907,0.0870824,0.156434,2.4836,-3.30334,0.0894953,-5.22556,0.0515719,0.261674,2.78132,All
-4.529,0.437028,1.15425,0.733469,2.17833,0,1.3444,0.656882,-4.19882,0.223659,0.424235,2.31877,2.06302,0.0522494,0.357755,0.722501,-2.89702,0.357981,-5.04929,0.154716,0.379342,3.0131,All
-4.30018,0.595948,1.51369,0.354089,2.34056,0.392243,1.66271,0.828242,-3.75171,0.203326,0.486964,3.47815,3.10696,0.034833,0.559076,0.812814,-2.4907,0.380355,-4.87301,0.309431,0.49701,1.77696,All
-4.07136,0.675407,1.87313,0.227628,2.5028,0.504313,1.98101,0.399841,-3.3046,0.284656,0.549693,1.73908,4.1509,0.0696659,0.760397,0.587032,-2.08438,0.380355,-4.69673,1.2893,0.614678,0.618072,All
-3.84254,0.476758,2.23257,0.404673,2.66504,0.784487,2.29932,0.771122,-2.85749,0.162661,0.612422,1.884,5.19485,0.0435412,0.961717,0.270938,-1.67807,0.425103,-4.52046,1.39244,0.732346,0.231777,All
-3.61372,0.437028,2.592,0.303504,2.82727,0.616383,2.61763,0.371281,-2.41038,0.142328,0.675151,1.15938,6.23879,0.0870824,1.16304,0.135469,-1.27175,0.134243,-4.34418,1.18615,0.850014,0.231777,All
-3.3849,0.595948,2.95144,0.25292,2.98951,0.672417,2.93594,0.0856803,-1.96327,0.121996,0.737881,2.02892,7.28273,0.0609577,1.36436,0,-0.865428,0.156617,-4.1679,0.773578,0.967682,0.231777,All
-3.15609,0.278109,3.31088,0.151752,3.15175,0.784487,3.25425,0,-1.51616,0.365987,0.80061,1.59415,8.32668,0.0696659,1.56568,0.0903126,-0.459109,0.313234,-3.99163,0.309431,1.08535,0.154518,All
-2.92727,0.158919,3.67032,0.12646,3.31398,1.23277,3.57255,0,-1.06905,0.589645,0.863339,0.869538,9.37062,0.0870824,1.767,0.0903126,-0.0527907,0.178991,-3.81535,0.257859,1.20302,0,All
-2.69845,0.516488,4.02975,0.0505841,3.47622,1.06466,3.89086,0,-0.621941,0.142328,0.926068,0.724615,10.4146,0.121915,1.96832,0.0451563,0.353528,0.134243,-3.63907,0.309431,1.32069,0.077259,All
-2.46963,0.0794597,4.38919,0.025292,3.63846,0.392243,4.20917,0.285601,-0.174831,0.0203326,0.988798,0.869538,11.4585,0.330913,2.16964,0.180625,0.759847,0.134243,-3.4628,0.154716,1.43835,0.154518,All
