ID,TIME,popPred_medianCOV,cens_popPred_medianCOV,popPred,cens_popPred,indivPred_mean,cens_indivPred_mean,indivPred_mode,cens_indivPred_mode,obsid
7,3.52,7.44595,0,7.44595,0,3.59795,0,3.66507,0,y1
7,3.54061505831818,7.46812,0,7.46812,0,3.6442,0,3.71106,0,y1
7,3.62002585153162,7.54874,0,7.54874,0,3.81982,0,3.88554,0,y1
7,3.64,7.56785,0,7.56785,0,3.86334,0,3.92877,0,y1
7,3.70121771215141,7.62362,0,7.62362,0,3.99514,0,4.05963,0,y1
7,3.76,7.67329,0,7.67329,0,4.11954,0,4.18294,0,y1
7,3.78423058690238,7.69268,0,7.69268,0,4.17021,0,4.23313,0,y1
7,3.86910531845573,7.75578,0,7.75578,0,4.34489,0,4.40611,0,y1
7,3.88,7.76334,0,7.76334,0,4.36701,0,4.428,0,y1
7,3.95588366552373,7.81276,0,7.81276,0,4.51927,0,4.57856,0,y1
7,4,7.83891,0,7.83891,0,4.60623,0,4.66454,0,y1
7,4.04460832340522,7.86348,0,7.86348,0,4.69315,0,4.75032,0,y1
7,4.12,7.9008,0,7.9008,0,4.83761,0,4.89284,0,y1
7,4.13532294499186,7.90776,0,7.90776,0,4.86659,0,4.92146,0,y1
7,4.22807216224552,7.94551,0,7.94551,0,5.03948,0,5.092,0,y1
7,4.24,7.94983,0,7.94983,0,5.0614,0,5.11358,0,y1
7,4.32290160815741,7.9766,0,7.9766,0,5.21179,0,5.26159,0,y1
7,4.36,7.98682,0,7.98682,0,5.27801,0,5.32679,0,y1
7,4.41985793919965,8.00113,0,8.00113,0,5.38346,0,5.43059,0,y1
7,4.48,8.01289,0,8.01289,0,5.48771,0,5.53307,0,y1
7,4.5,8.01623,0,8.01623,0,5.52201,0,5.56676,0,y1
7,4.51898885828049,8.01915,0,8.01915,0,5.5544,0,5.59857,0,y1
7,4.6,8.02889,0,8.02889,0,5.69077,0,5.73245,0,y1
7,4.62034313821434,8.03066,0,8.03066,0,5.72455,0,5.76561,0,y1
7,4.72,8.03562,0,8.03562,0,5.88738,0,5.9255,0,y1
7,4.72397064571812,8.03569,0,8.03569,0,5.89378,0,5.93177,0,y1
7,4.82992236594598,8.03451,0,8.03451,0,6.06194,0,6.09641,0,y1
7,4.84,8.0341,0,8.0341,0,6.07769,0,6.11184,0,y1
7,4.93825042757415,8.02767,0,8.02767,0,6.22902,0,6.26021,0,y1
7,4.96,8.02567,0,8.02567,0,6.26194,0,6.29243,0,y1
7,5,8.02147,0,8.02147,0,6.3219,0,6.35103,0,y1
7,5.04900812844846,8.01544,0,8.01544,0,6.39444,0,6.42191,0,y1
7,5.08,8.01114,0,8.01114,0,6.43982,0,6.46629,0,y1
7,5.16224996180711,7.99804,0,7.99804,0,6.55835,0,6.58222,0,y1
7,5.2,7.99127,0,7.99127,0,6.61171,0,6.63438,0,y1
7,5.27803164309158,7.97596,0,7.97596,0,6.71982,0,6.73997,0,y1
7,5.32,7.96705,0,7.96705,0,6.7768,0,6.79551,0,y1
7,5.39641013735879,7.9497,0,7.9497,0,6.87841,0,6.89481,0,y1
7,5.44,7.93919,0,7.93919,0,6.93509,0,6.95043,0,y1
7,5.5,7.92402,0,7.92402,0,7.01144,0,7.02537,0,y1
7,5.51744368730824,7.91946,0,7.91946,0,7.03324,0,7.04677,0,y1
