bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median,theoretical_median_piLower,theoretical_median_piUpper,theoretical_lower_median,theoretical_lower_piLower,theoretical_lower_piUpper,theoretical_upper_median,theoretical_upper_piLower,theoretical_upper_piUpper,split
1.25,1.9374e-16,3.17765e-17,4.02003e-16,1.15905e-17,-9.20337e-17,1.03408e-16,-2.78126e-16,-4.02398e-16,-1.53421e-16,3.30939e-16,1.89644e-16,0.165444,All
2.25,2.11109e-16,4.65465e-17,2.85,2.29742e-16,3.08279e-17,0.623838,-2.03581e-16,-3.49114e-16,-5.58214e-17,2.13712,0.924716,3.40565,All
3.25,1.615,1.4055e-16,4.299,1.41137,0.55401,2.22884,6.99094e-18,-2.46867e-16,0.420599,3.53522,2.50932,4.87317,All
4.25,2.11,0.505674,3.68,2.09215,1.48872,2.85224,0.401253,-9.85021e-17,1.27076,4.09987,3.14235,5.23487,All
5.25,2.515,0.973046,3.737,2.26566,1.67316,2.89453,0.822255,1.32567e-16,1.48887,4.07961,3.11948,5.08713,All
6.25,2.865,0.697555,3.971,2.08555,1.54168,2.67333,0.793872,0.00333238,1.34126,3.75779,2.94146,4.77385,All
7.25,2.235,0.993742,4.246,1.81758,1.27189,2.35821,0.639101,2.18693e-16,1.18627,3.34833,2.57157,4.32125,All
8.25,1.09468,0.4711,2.433,1.48358,1.01393,1.94516,0.484815,2.07632e-16,0.92676,2.87425,2.16454,3.81089,All
9.25,1.03038,0.407369,1.794,1.16433,0.743126,1.63007,0.309092,-6.5851e-18,0.698278,2.43694,1.72463,3.34941,All
10.25,0.934274,0.39022,1.831,0.86684,0.538463,1.24349,0.104168,-1.04168e-16,0.450763,1.97928,1.43105,2.87227,All
11.25,0.575533,0.15859,1.688,0.636889,0.318284,1.03498,1.71039e-16,-1.78041e-16,0.265075,1.70247,1.11686,2.44618,All
12.25,0.37526,9.06224e-09,1.21519,0.440996,0.115372,0.809426,-1.91065e-17,-2.71102e-16,0.100364,1.44672,0.868357,2.25698,All
13.25,0.186296,1.66075e-16,0.690225,0.213269,2.068e-16,0.549972,-1.339e-16,-2.9195e-16,1.93712e-16,1.06707,0.594222,1.86416,All
14.25,0.107067,1.69672e-16,0.272583,0.0160952,7.29131e-17,0.323379,-1.70773e-16,-3.67532e-16,1.56049e-17,0.813904,0.337135,1.58892,All
15.2273,0.0415072,4.49381e-17,0.193757,2.18859e-16,1.28957e-17,0.213641,-2.06944e-16,-3.6651e-16,-3.04623e-17,0.683749,0.170071,1.55075,All
16.4524,0.0212548,6.46642e-17,0.0803901,1.43748e-16,-3.76868e-17,0.200381,-2.16648e-16,-3.80243e-16,-5.6377e-17,0.604282,3.61787e-16,1.69203,All
18.0833,0.00844044,2.62901e-17,0.0220906,1.15014e-16,-1.09928e-16,0.351387,-2.38612e-16,-4.76504e-16,2.03029e-17,0.348515,1.94938e-16,1.67307,All
