bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median,theoretical_median_piLower,theoretical_median_piUpper,theoretical_lower_median,theoretical_lower_piLower,theoretical_lower_piUpper,theoretical_upper_median,theoretical_upper_piLower,theoretical_upper_piUpper,split
1.25,0.846167,0.135492,1.99441,0.119839,-0.290978,0.515192,-1.08084,-1.60186,-0.583302,1.66205,0.945059,4.23119,All
2.25,3.02108,0.217337,7.249,2.83548,0.712346,5.17586,-0.516704,-1.15087,0.309359,7.44215,5.86459,8.74814,All
3.25,6.7165,1.56321,8.8366,6.66031,5.30068,7.67291,2.15637,-0.385299,4.84202,8.90338,7.90401,9.8988,All
4.25,7.4675,3.59337,8.5834,7.63885,6.84805,8.28451,5.03979,2.03161,6.71627,9.26955,8.5153,9.97617,All
5.25,7.644,6.1289,8.7425,7.71854,7.09556,8.25028,6.00743,4.05885,6.96652,9.13201,8.4728,9.74145,All
6.25,8.11,6.1032,8.8139,7.36412,6.82099,7.86403,5.86278,4.7378,6.61581,8.77704,8.10154,9.42465,All
7.25,7.5715,6.3276,9.1642,6.90479,6.34915,7.3877,5.4183,4.1212,6.08438,8.29173,7.71929,8.98265,All
8.25,6.6775,5.5522,7.9736,6.3871,5.81742,6.88516,4.75889,3.42436,5.56962,7.83114,7.22735,8.44135,All
9.25,6.248,5.0842,7.5823,5.87203,5.23462,6.39208,4.07379,2.43156,5.02733,7.35974,6.74561,8.07119,All
10.25,5.6415,3.9394,7.1289,5.35165,4.6637,5.94668,3.44083,1.77599,4.44062,6.95552,6.26747,7.78909,All
11.25,4.6605,1.70298,7.2998,4.90767,4.13854,5.59438,2.71717,1.1562,3.79555,6.71345,5.94361,7.5812,All
12.25,4.491,2.52148,6.9075,4.44704,3.67636,5.30524,2.32605,0.827997,3.38287,6.41898,5.48428,7.35213,All
13.25,3.451,1.54681,5.6506,4.03442,3.17681,4.83014,1.93201,0.448641,2.91944,5.91705,5.11655,6.81718,All
14.25,3.5475,2.11665,5.4179,3.59306,2.78303,4.34033,1.48121,0.0682647,2.58762,5.43921,4.51201,6.2778,All
15.2273,2.54381,0.964822,4.1072,3.23089,2.4349,4.03285,1.05924,-0.351061,2.19925,5.04613,4.14675,5.90367,All
16.4524,2.71034,1.86264,4.4528,2.87834,1.67913,3.74165,0.525712,-0.715572,2.06313,4.64646,3.64321,5.93724,All
18.0833,2.41721,1.02156,3.3912,2.41918,0.716721,3.87013,0.337417,-1.11682,2.0532,4.24108,2.71462,5.61653,All
