rep,id,eta_beta_exp,eta_delta0,eta_p,eta_td,eta_b_exp,eta_h_0,eta_tc,eta_sigma,eta_phi_exp,eta_rho_exp,eta_alpha_exp
10,15,-0.106539,1.12658,0.126802,0.290236,-0.304883,0.0643145,2.93626,1.27499,0,1.02355,-0.0931753
1,16,0.70439,-0.257461,-0.570405,-0.713616,-2.30829,0.403907,-1.50199,-0.984735,0,1.41806,0.0770618
2,16,0.417331,-0.831682,-0.760034,-0.237387,-1.36214,0.286687,-2.53787,-1.17495,0,0.820379,-0.533941
3,16,0.307244,-0.953288,-0.170958,-0.360621,-2.10464,0.340875,-0.804589,-1.29495,0,-0.00270612,0.132337
4,16,0.723262,0.853405,-0.332486,-0.815413,-2.37456,0.382678,0.691664,-0.594616,0,1.44946,-0.208204
5,16,0.393986,-1.38857,-0.685769,0.0785241,-0.415158,0.054511,-3.89995,-1.34555,0,-0.16172,-0.337705
6,16,0.628364,0.0837667,-0.476043,-0.706683,-2.46311,0.439358,-0.831699,-0.732089,0,1.43109,-0.147287
7,16,0.39934,-0.542298,-0.503869,-0.848825,-1.73725,0.285427,-1.78538,-1.26093,0,0.936391,-0.371097
8,16,0.0319163,-0.859861,-0.326853,-0.708692,-1.56074,0.297653,-2.60945,-1.34909,0,0.575011,-0.317558
9,16,0.518486,-0.436353,-0.506187,-0.740878,-2.07599,0.370712,-0.573056,-1.08357,0,0.84358,-0.0690078
10,16,0.489739,-1.61092,-0.813688,0.0779796,-0.53884,0.0762609,-3.16054,-1.36774,0,-0.130345,-0.0646736
1,17,-0.415902,-1.01032,0.0018141,0.19493,-0.554665,0.195047,-0.862665,-0.237577,0,0.312118,-0.00844099
2,17,-0.125684,0.855365,-0.212267,-0.207727,-1.46217,0.340621,0.283589,-0.206841,0,1.02683,-0.337201
3,17,0.0594503,-0.0937409,-0.355755,0.0371227,-1.28245,0.319015,0.0365165,0.11926,0,0.892298,-0.250257
4,17,-0.912079,-0.408461,0.271725,0.461367,0.552708,-0.0393545,0.101806,0.617449,0,0.334466,-0.689439
5,17,-0.549155,-0.392734,0.100669,0.170244,-0.895776,0.215995,-0.672644,-0.122274,0,0.846121,-0.201898
6,17,-0.778109,-0.928011,-0.215853,0.179707,-0.467865,0.270677,-1.72254,-0.171428,0,0.931193,-0.306853
7,17,0.301951,0.333572,-0.309985,-0.0636558,-1.72177,0.344691,0.354202,0.0149935,0,1.10857,-0.646772
8,17,-0.0715417,0.101268,-0.180149,-0.215767,-1.38046,0.29315,-0.103928,-0.146459,0,0.955297,-0.475229
9,17,-0.912486,-0.530435,0.209249,0.377923,0.849301,-0.108136,-0.440755,0.232403,0,-0.00820331,-0.0830584
10,17,-0.315918,-0.764843,0.0763624,0.237389,-0.773029,0.210801,-0.358674,0.00240705,0,0.462805,-0.127886
1,18,-1.22972,-0.532512,0.500797,0.372802,1.47779,-0.237642,-0.438056,0.775017,0,-0.354057,-0.244222
2,18,-0.859907,-0.991247,0.241657,0.487812,1.82715,-0.288839,-0.73711,0.434116,0,-0.440464,-0.137881
3,18,-0.597228,0.343762,0.190207,0.480442,1.49872,-0.213709,-0.0886799,0.256052,0,-0.893446,-0.044288
4,18,-1.11637,-1.12854,0.870529,0.481949,2.32928,-0.51361,-0.643005,0.948657,0,-0.753279,-0.21262
5,18,-1.05325,-0.885299,0.566632,0.454459,2.13215,-0.405859,-0.333291,0.793911,0,-0.659423,-0.198162
6,18,-0.894251,-1.68517,0.246272,0.385543,1.53958,-0.207163,-1.33391,0.0627654,0,-0.892633,0.0212533
7,18,-0.838461,-0.703256,0.596705,0.441053,1.88149,-0.437546,-0.369098,0.788291,0,-0.537005,-0.0627853
8,18,-0.0800842,-0.675578,-0.0559118,0.515083,1.9993,-0.38555,-0.237215,0.681047,0,-0.483866,-0.380106
9,18,-1.15588,-1.52625,0.712927,0.519096,1.85966,-0.284994,-0.698101,0.679058,0,-0.645198,-0.287312
10,18,-0.773203,-0.867222,0.383973,0.493293,1.85854,-0.359681,-0.801443,0.314472,0,-1.30896,0.146432
