rep,ID,standEta_beta_exp_simulated,standEta_delta0_simulated,standEta_p_simulated,standEta_td_simulated,standEta_b_exp_simulated,standEta_h_0_simulated,standEta_tc_simulated,standEta_sigma_simulated,standEta_rho_exp_simulated,standEta_q_exp_simulated,standEta_ifn0_simulated,filter
10,16,0.628618,-0.806847,-1.51933,-0.601073,-0.894395,0.952304,-0.304766,-2.26035,0.0164711,-0.237119,0.64879,0
1,17,-0.740255,-0.0629592,0.799324,0.52465,-0.204123,0.305076,0.155744,0.54576,0.496172,-1.01363,0.898847,0
2,17,-0.48707,-0.382933,-0.441417,0.844502,0.395243,-0.182721,-0.330175,-0.271815,-0.0918105,-0.218212,0.766065,0
3,17,-1.10227,-1.28473,0.174546,0.853813,0.755188,-0.5029,-1.06116,-0.0472472,-0.717447,-0.933032,1.09663,0
4,17,0.175625,-0.0492127,-0.816105,0.182641,-0.705139,0.985566,-0.261681,-1.05087,0.207399,-0.841778,0.447988,0
5,17,-0.519491,0.0323511,-0.634085,0.751394,0.282318,0.161697,0.171619,-0.159304,-0.149717,-0.50228,-0.1718,0
6,17,-0.546604,-0.164282,0.0742086,0.758756,0.415106,-0.222828,-0.16498,0.0327397,-0.277647,-0.445273,1.49742,0
7,17,-0.375514,0.223987,0.449592,0.65597,-0.594139,0.771581,0.321659,0.00531007,0.0382125,0.583686,1.09247,0
8,17,-1.20957,-0.847762,0.590284,0.924503,0.731589,-0.456051,-1.06546,-0.340076,-0.849741,-1.10934,1.0047,0
9,17,-0.032713,-0.214111,-0.321966,0.477281,-0.506647,0.792244,-0.186964,-0.422829,-0.0137723,-0.774676,1.01844,0
10,17,-0.549582,-0.364603,-0.0362753,0.8525,0.441721,-0.304429,-0.468796,-0.601168,-0.715032,-0.565344,1.04457,0
1,18,-1.32065,-0.497033,1.35602,0.809236,1.00673,-1.11832,-0.519082,0.825006,-0.562154,0.0109358,0.042409,0
2,18,-1.50494,-0.34966,0.897803,0.646798,0.878478,-0.631918,-0.605717,0.356993,-0.385197,-0.503219,0.340241,0
3,18,-1.57282,0.00766004,1.5523,0.550092,0.916694,-0.982731,-0.232278,0.968823,-0.163855,-0.670284,0.394041,0
4,18,-1.26779,-1.26755,1.13953,0.750453,1.23519,-1.35355,-1.18608,0.637005,-0.980117,-1.04473,0.514439,0
5,18,-0.745733,0.477751,0.602436,0.818188,0.986296,-0.983609,-0.0225319,0.623308,-0.381799,0.140653,-0.816227,0
6,18,-1.48182,-0.682966,0.406673,0.415533,0.837615,-0.502024,-1.01697,0.0245194,-0.703289,-0.569771,0.95733,0
7,18,-0.579543,0.643662,1.30175,0.721833,0.391986,-0.247438,-0.0122913,0.669509,0.41676,0.786082,-0.75738,0
8,18,-1.30941,-1.04395,1.13028,0.715553,1.04619,-1.05342,-1.30363,0.235385,-1.05016,-0.612209,0.399161,0
9,18,-1.05792,-0.565491,0.867296,0.518344,0.92946,-0.949084,-0.68115,0.24435,-0.757654,-0.961987,0.857687,0
10,18,-0.859303,0.158477,0.894193,0.545758,0.856978,-0.827029,-0.14266,0.607151,0.0605742,0.165626,0.0317396,0
