ID,standEta_beta_exp_mean,standEta_beta_exp_mode,standEta_delta0_mean,standEta_delta0_mode,standEta_p_mean,standEta_p_mode,standEta_td_mean,standEta_td_mode,standEta_b_exp_mean,standEta_b_exp_mode,standEta_h_0_mean,standEta_h_0_mode,standEta_tc_mean,standEta_tc_mode,standEta_sigma_mean,standEta_sigma_mode,standEta_rho_exp_mean,standEta_rho_exp_mode,standEta_q_exp_mean,standEta_q_exp_mode,standEta_ifn0_mean,standEta_ifn0_mode,filter
7,-0.244103,-0.204363,0.0319743,0.0313717,-0.63492,-0.635367,0.715654,0.857399,-0.678707,-0.7067,0.96084,0.989543,0.542707,0.554214,-0.116738,-0.138408,0.217984,0.220639,-0.136031,-0.163149,0.646802,0.67327,0
8,-0.69462,-0.692454,-1.02051,-1.05285,0.405932,0.418003,0.499199,0.507611,0.818173,0.805565,-0.909829,-0.912018,-0.868122,-0.862875,-0.302201,-0.30613,-1.1078,-1.12205,-0.973014,-0.968759,0.715512,0.713294,0
9,0.309404,0.336899,-0.0595501,-0.0612163,-0.0779277,-0.0737479,-0.387802,-0.364911,0.168676,0.193542,-0.370739,-0.350558,-0.203515,-0.203699,-0.182787,-0.213419,-0.14709,-0.138691,0.121918,0.0647831,-0.45841,-0.468558,0
10,0.590973,0.611709,1.0195,1.00153,0.921755,0.897592,-0.752051,-0.728038,0.42296,0.423175,-0.476904,-0.454843,0.0584751,0.0585555,0.719416,0.713857,0.756455,0.745372,0.960736,0.982404,-1.4489,-1.48443,0
11,-1.21865,-1.24676,-1.16847,-1.20708,0.968515,0.991771,-0.265026,-0.221386,1.06082,1.07437,-1.28976,-1.3038,-0.699638,-0.693643,0.552237,0.553318,-0.992164,-0.944985,-0.900447,-0.909645,0.914596,0.901835,0
12,0.29297,0.327788,0.578558,0.566925,-2.36363,-2.40272,1.69155,1.73638,0.420177,0.379159,0.207036,0.263875,-0.605034,-0.630042,-1.75156,-1.76694,-0.212116,-0.293693,0.366572,0.304588,-0.926518,-0.928377,0
13,2.17762,2.1828,1.35222,1.38816,-0.14722,-0.131708,-2.29726,-2.30276,-2.06973,-2.06267,1.50711,1.4956,1.81377,1.76728,0.51213,0.521988,1.69664,1.66933,1.66314,1.64838,-1.1485,-1.18752,0
14,-0.0199138,-0.00582707,-0.127085,-0.12764,0.51393,0.556735,-0.258093,-0.192501,0.564776,0.561203,-0.543297,-0.53977,-0.650994,-0.636278,-0.0220418,0.0095722,-0.298321,-0.291727,-0.181711,-0.169339,-0.235679,-0.247125,0
15,0.462077,0.482934,1.81517,1.79784,0.161562,0.0867104,-0.0200078,0.0171653,-1.18208,-1.22302,1.43418,1.47584,1.94261,1.9549,1.63572,1.64122,1.85677,1.8322,1.49871,1.50393,-1.08258,-1.10679,0
16,0.843488,0.870919,-0.955147,-0.953647,-1.39468,-1.4055,-0.542617,-0.425739,-0.795455,-0.828845,0.690696,0.731509,-0.381462,-0.372672,-1.70144,-1.75103,-0.41348,-0.437533,-0.524704,-0.495756,0.715,0.704119,0
17,-0.53657,-0.574902,-0.327293,-0.342549,-0.0928132,-0.150012,0.714145,0.767817,0.159498,0.156705,0.0476373,0.0884375,-0.246859,-0.24442,-0.162792,-0.212496,-0.216599,-0.184522,-0.480423,-0.452617,0.630417,0.630241,0
18,-1.26063,-1.31541,-0.401648,-0.401001,1.02302,1.0674,0.700822,0.753748,1.05626,1.05007,-1.08106,-1.08248,-0.517574,-0.506569,0.697733,0.681039,-0.609806,-0.577774,-0.546956,-0.591332,0.349639,0.358073,0
