standEta_beta_exp_abscissa,standEta_beta_exp_cdf,standEta_delta0_abscissa,standEta_delta0_cdf,standEta_p_abscissa,standEta_p_cdf,standEta_td_abscissa,standEta_td_cdf,standEta_b_exp_abscissa,standEta_b_exp_cdf,standEta_h_0_abscissa,standEta_h_0_cdf,standEta_tc_abscissa,standEta_tc_cdf,standEta_sigma_abscissa,standEta_sigma_cdf,standEta_rho_exp_abscissa,standEta_rho_exp_cdf,standEta_q_exp_abscissa,standEta_q_exp_cdf,standEta_ifn0_abscissa,standEta_ifn0_cdf,split
-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,-4,0,All
-1.57282,0.00833333,-1.54688,0.00833333,-2.97084,0.00833333,-2.61092,0.00833333,-2.23341,0.00833333,-1.79056,0.00833333,-1.46817,0.00833333,-2.42993,0.00833333,-1.51308,0.00833333,-1.86114,0.00833333,-2.20411,0.00833333,All
-1.50494,0.0166667,-1.50727,0.0166667,-2.90101,0.0166667,-2.49776,0.0166667,-2.20852,0.0166667,-1.59268,0.0166667,-1.30363,0.0166667,-2.39212,0.0166667,-1.46363,0.0166667,-1.53099,0.0166667,-2.1315,0.0166667,All
-1.48182,0.025,-1.50065,0.025,-2.77258,0.025,-2.43979,0.025,-2.16961,0.025,-1.55493,0.025,-1.26002,0.025,-2.27222,0.025,-1.41643,0.025,-1.49588,0.025,-2.08223,0.025,All
-1.45173,0.0333333,-1.43114,0.0333333,-2.57496,0.0333333,-2.4387,0.0333333,-2.14172,0.0333333,-1.55314,0.0333333,-1.25992,0.0333333,-2.26035,0.0333333,-1.30578,0.0333333,-1.47782,0.0333333,-1.99553,0.0333333,All
-1.44469,0.0416667,-1.41479,0.0416667,-2.50354,0.0416667,-2.3483,0.0416667,-2.13807,0.0416667,-1.52305,0.0416667,-1.25965,0.0416667,-2.19597,0.0416667,-1.2743,0.0416667,-1.47309,0.0416667,-1.9745,0.0416667,All
-1.44302,0.05,-1.34973,0.05,-2.42885,0.05,-1.89144,0.05,-1.98909,0.05,-1.42203,0.05,-1.21774,0.05,-2.07812,0.05,-1.24977,0.05,-1.39878,0.05,-1.97251,0.05,All
-1.39848,0.0583333,-1.31688,0.0583333,-2.12954,0.0583333,-1.86508,0.0583333,-1.98778,0.0583333,-1.4143,0.0583333,-1.21694,0.0583333,-2.0468,0.0583333,-1.22988,0.0583333,-1.26882,0.0583333,-1.92873,0.0583333,All
-1.36634,0.0666667,-1.31037,0.0666667,-2.04731,0.0666667,-1.81951,0.0666667,-1.94989,0.0666667,-1.40399,0.0666667,-1.18608,0.0666667,-1.91109,0.0666667,-1.16506,0.0666667,-1.25872,0.0666667,-1.71559,0.0666667,All
-1.32065,0.075,-1.30097,0.075,-1.97723,0.075,-1.81775,0.075,-1.93555,0.075,-1.35355,0.075,-1.16459,0.075,-1.89906,0.075,-1.1545,0.075,-1.14645,0.075,-1.62564,0.075,All
-1.30941,0.0833333,-1.28473,0.0833333,-1.54144,0.0833333,-1.79007,0.0833333,-1.77712,0.0833333,-1.25632,0.0833333,-1.14122,0.0833333,-1.87566,0.0833333,-1.10372,0.0833333,-1.12664,0.0833333,-1.60951,0.0833333,All
-1.26779,0.0916667,-1.27068,0.0916667,-1.52397,0.0916667,-1.14828,0.0916667,-1.75892,0.0916667,-1.21176,0.0916667,-1.06546,0.0916667,-1.87013,0.0916667,-1.07386,0.0916667,-1.10934,0.0916667,-1.57565,0.0916667,All
-1.20957,0.1,-1.26755,0.1,-1.51933,0.1,-0.990208,0.1,-1.73444,0.1,-1.18709,0.1,-1.06116,0.1,-1.69526,0.1,-1.05461,0.1,-1.10629,0.1,-1.41627,0.1,All
-1.15883,0.108333,-1.26618,0.108333,-1.3432,0.108333,-0.90428,0.108333,-1.56601,0.108333,-1.16521,0.108333,-1.01697,0.108333,-1.60037,0.108333,-1.05016,0.108333,-1.07826,0.108333,-1.4089,0.108333,All
-1.15214,0.116667,-1.23966,0.116667,-1.30542,0.116667,-0.891735,0.116667,-1.55001,0.116667,-1.14642,0.116667,-1.00157,0.116667,-1.30768,0.116667,-1.02291,0.116667,-1.04473,0.116667,-1.34341,0.116667,All
-1.15086,0.125,-1.20132,0.125,-1.26911,0.125,-0.812461,0.125,-1.26901,0.125,-1.11832,0.125,-0.963071,0.125,-1.28717,0.125,-0.980117,0.125,-1.01363,0.125,-1.34281,0.125,All
-1.10227,0.133333,-1.20013,0.133333,-1.20469,0.133333,-0.811659,0.133333,-1.24845,0.133333,-1.05342,0.133333,-0.961428,0.133333,-1.23484,0.133333,-0.953449,0.133333,-0.985894,0.133333,-1.32918,0.133333,All
-1.06976,0.141667,-1.16688,0.141667,-1.18447,0.141667,-0.802274,0.141667,-1.21299,0.141667,-1.0393,0.141667,-0.951575,0.141667,-1.22891,0.141667,-0.926668,0.141667,-0.980918,0.141667,-1.31554,0.141667,All
-1.05792,0.15,-1.15171,0.15,-1.09892,0.15,-0.789116,0.15,-1.20869,0.15,-0.984749,0.15,-0.886698,0.15,-1.17433,0.15,-0.864679,0.15,-0.961987,0.15,-1.31236,0.15,All
-1.04138,0.158333,-1.13416,0.158333,-0.938338,0.158333,-0.776978,0.158333,-1.1837,0.158333,-0.983609,0.158333,-0.883187,0.158333,-1.05087,0.158333,-0.849741,0.158333,-0.933032,0.158333,-1.28542,0.158333,All
-1.00504,0.166667,-1.12323,0.166667,-0.917135,0.166667,-0.754053,0.166667,-1.1502,0.166667,-0.982731,0.166667,-0.881489,0.166667,-0.980055,0.166667,-0.840029,0.166667,-0.907096,0.166667,-1.2852,0.166667,All
-1.00198,0.175,-1.05387,0.175,-0.847172,0.175,-0.72764,0.175,-1.04836,0.175,-0.949084,0.175,-0.878512,0.175,-0.882215,0.175,-0.834132,0.175,-0.865346,0.175,-1.11029,0.175,All
-0.882468,0.183333,-1.05044,0.183333,-0.816105,0.183333,-0.707441,0.183333,-1.01805,0.183333,-0.937206,0.183333,-0.860489,0.183333,-0.742021,0.183333,-0.808726,0.183333,-0.865049,0.183333,-1.11016,0.183333,All
-0.871752,0.191667,-1.04395,0.191667,-0.776941,0.191667,-0.698205,0.191667,-1.01646,0.191667,-0.908294,0.191667,-0.853353,0.191667,-0.730356,0.191667,-0.80481,0.191667,-0.847858,0.191667,-1.06383,0.191667,All
-0.859303,0.2,-1.01002,0.2,-0.766546,0.2,-0.676249,0.2,-0.984279,0.2,-0.895408,0.2,-0.810565,0.2,-0.669626,0.2,-0.804399,0.2,-0.841778,0.2,-1.01064,0.2,All
-0.826368,0.208333,-0.998509,0.208333,-0.753123,0.208333,-0.611826,0.208333,-0.98283,0.208333,-0.851022,0.208333,-0.792862,0.208333,-0.662141,0.208333,-0.786613,0.208333,-0.84111,0.208333,-0.985199,0.208333,All
-0.790425,0.216667,-0.924059,0.216667,-0.717586,0.216667,-0.601073,0.216667,-0.941737,0.216667,-0.827029,0.216667,-0.771046,0.216667,-0.625676,0.216667,-0.779836,0.216667,-0.84059,0.216667,-0.981897,0.216667,All
-0.778489,0.225,-0.900334,0.225,-0.677024,0.225,-0.52335,0.225,-0.894395,0.225,-0.821784,0.225,-0.748465,0.225,-0.623048,0.225,-0.764688,0.225,-0.813602,0.225,-0.911142,0.225,All
-0.745733,0.233333,-0.847762,0.233333,-0.663335,0.233333,-0.514515,0.233333,-0.740926,0.233333,-0.821154,0.233333,-0.740354,0.233333,-0.601168,0.233333,-0.757654,0.233333,-0.798538,0.233333,-0.871307,0.233333,All
-0.740255,0.241667,-0.806847,0.241667,-0.656579,0.241667,-0.46478,0.241667,-0.7157,0.241667,-0.796038,0.241667,-0.721477,0.241667,-0.565499,0.241667,-0.747284,0.241667,-0.774676,0.241667,-0.857897,0.241667,All
-0.732978,0.25,-0.784792,0.25,-0.634085,0.25,-0.461281,0.25,-0.705139,0.25,-0.776889,0.25,-0.71753,0.25,-0.557578,0.25,-0.735886,0.25,-0.680092,0.25,-0.82774,0.25,All
-0.714736,0.258333,-0.748928,0.258333,-0.633711,0.258333,-0.448743,0.258333,-0.664907,0.258333,-0.761211,0.258333,-0.696392,0.258333,-0.481745,0.258333,-0.717447,0.258333,-0.670284,0.258333,-0.825834,0.258333,All
-0.669959,0.266667,-0.746804,0.266667,-0.626814,0.266667,-0.444611,0.266667,-0.654517,0.266667,-0.754825,0.266667,-0.68115,0.266667,-0.479847,0.266667,-0.715032,0.266667,-0.661671,0.266667,-0.823021,0.266667,All
-0.63432,0.275,-0.701169,0.275,-0.625556,0.275,-0.412379,0.275,-0.640512,0.275,-0.702972,0.275,-0.636298,0.275,-0.422829,0.275,-0.703289,0.275,-0.648837,0.275,-0.816227,0.275,All
-0.619351,0.283333,-0.682966,0.283333,-0.594732,0.283333,-0.405624,0.283333,-0.616026,0.283333,-0.70076,0.283333,-0.636158,0.283333,-0.400294,0.283333,-0.625374,0.283333,-0.636647,0.283333,-0.801019,0.283333,All
-0.579543,0.291667,-0.671417,0.291667,-0.498504,0.291667,-0.362949,0.291667,-0.594139,0.291667,-0.687413,0.291667,-0.634691,0.291667,-0.379889,0.291667,-0.623077,0.291667,-0.62194,0.291667,-0.78426,0.291667,All
-0.549582,0.3,-0.565491,0.3,-0.464876,0.3,-0.361014,0.3,-0.556393,0.3,-0.647709,0.3,-0.62633,0.3,-0.374933,0.3,-0.586761,0.3,-0.612209,0.3,-0.763306,0.3,All
-0.546604,0.308333,-0.557395,0.308333,-0.441417,0.308333,-0.348201,0.308333,-0.519568,0.308333,-0.631918,0.308333,-0.605717,0.308333,-0.35533,0.308333,-0.583949,0.308333,-0.569771,0.308333,-0.75738,0.308333,All
-0.519491,0.316667,-0.540906,0.316667,-0.37329,0.316667,-0.332283,0.316667,-0.506647,0.316667,-0.604606,0.316667,-0.593698,0.316667,-0.349365,0.316667,-0.580311,0.316667,-0.565344,0.316667,-0.750462,0.316667,All
-0.48707,0.325,-0.535916,0.325,-0.364275,0.325,-0.324629,0.325,-0.487419,0.325,-0.596518,0.325,-0.591813,0.325,-0.340076,0.325,-0.575009,0.325,-0.541893,0.325,-0.715026,0.325,All
-0.446684,0.333333,-0.534264,0.333333,-0.328879,0.333333,-0.320252,0.333333,-0.41359,0.333333,-0.571604,0.333333,-0.588881,0.333333,-0.307205,0.333333,-0.57244,0.333333,-0.517192,0.333333,-0.68973,0.333333,All
-0.429614,0.341667,-0.512,0.341667,-0.324843,0.341667,-0.316345,0.341667,-0.361615,0.341667,-0.567532,0.341667,-0.569247,0.341667,-0.303308,0.341667,-0.571064,0.341667,-0.510888,0.341667,-0.650539,0.341667,All
-0.413656,0.35,-0.497033,0.35,-0.321966,0.35,-0.302814,0.35,-0.28315,0.35,-0.557133,0.35,-0.557155,0.35,-0.279402,0.35,-0.562154,0.35,-0.503219,0.35,-0.606746,0.35,All
-0.375514,0.358333,-0.476025,0.358333,-0.286451,0.358333,-0.297999,0.358333,-0.204123,0.358333,-0.5029,0.358333,-0.554967,0.358333,-0.271815,0.358333,-0.517253,0.358333,-0.50228,0.358333,-0.600294,0.358333,All
-0.362919,0.366667,-0.397796,0.366667,-0.27577,0.366667,-0.295101,0.366667,-0.147457,0.366667,-0.502024,0.366667,-0.552766,0.366667,-0.236218,0.366667,-0.501125,0.366667,-0.482854,0.366667,-0.594815,0.366667,All
-0.317665,0.375,-0.382933,0.375,-0.255793,0.375,-0.277436,0.375,-0.115502,0.375,-0.465551,0.375,-0.520403,0.375,-0.210853,0.375,-0.483122,0.375,-0.445273,0.375,-0.512468,0.375,All
-0.266828,0.383333,-0.364603,0.383333,-0.105653,0.383333,-0.26672,0.383333,-0.0732005,0.383333,-0.456051,0.383333,-0.519082,0.383333,-0.204856,0.383333,-0.470334,0.383333,-0.444828,0.383333,-0.5002,0.383333,All
-0.214047,0.391667,-0.34966,0.391667,-0.0986921,0.391667,-0.260006,0.391667,0.0139541,0.391667,-0.398246,0.391667,-0.492588,0.391667,-0.170262,0.391667,-0.413573,0.391667,-0.419558,0.391667,-0.479009,0.391667,All
-0.197259,0.4,-0.342166,0.4,-0.0608308,0.4,-0.238606,0.4,0.0216808,0.4,-0.375198,0.4,-0.468796,0.4,-0.159916,0.4,-0.411452,0.4,-0.373805,0.4,-0.45203,0.4,All
-0.179336,0.408333,-0.326173,0.408333,-0.0395999,0.408333,-0.214406,0.408333,0.0259145,0.408333,-0.346172,0.408333,-0.468286,0.408333,-0.159304,0.408333,-0.399073,0.408333,-0.343436,0.408333,-0.439744,0.408333,All
-0.159116,0.416667,-0.214111,0.416667,-0.0362753,0.416667,-0.212208,0.416667,0.0309451,0.416667,-0.326545,0.416667,-0.450783,0.416667,-0.0557093,0.416667,-0.385197,0.416667,-0.325154,0.416667,-0.428404,0.416667,All
-0.0686026,0.425,-0.209228,0.425,-0.00277389,0.425,-0.202602,0.425,0.113483,0.425,-0.304429,0.425,-0.392548,0.425,-0.0539501,0.425,-0.384122,0.425,-0.313394,0.425,-0.391395,0.425,All
-0.032713,0.433333,-0.19843,0.433333,0.0107682,0.433333,-0.197356,0.433333,0.123056,0.433333,-0.299762,0.433333,-0.374593,0.433333,-0.0472472,0.433333,-0.381799,0.433333,-0.298647,0.433333,-0.382435,0.433333,All
-0.00958818,0.441667,-0.164282,0.441667,0.0564735,0.441667,-0.191278,0.441667,0.169513,0.441667,-0.278852,0.441667,-0.372318,0.441667,-0.04205,0.441667,-0.284828,0.441667,-0.282772,0.441667,-0.378546,0.441667,All
-0.00518768,0.45,-0.0629592,0.45,0.0702926,0.45,-0.188568,0.45,0.211966,0.45,-0.247438,0.45,-0.368501,0.45,-0.0366735,0.45,-0.277647,0.45,-0.244267,0.45,-0.355839,0.45,All
0.0278049,0.458333,-0.0604212,0.458333,0.0742086,0.458333,-0.188178,0.458333,0.237909,0.458333,-0.237131,0.458333,-0.364992,0.458333,-0.0264527,0.458333,-0.197086,0.458333,-0.237119,0.458333,-0.343048,0.458333,All
0.0566299,0.466667,-0.0492127,0.466667,0.0783901,0.466667,-0.185047,0.466667,0.263314,0.466667,-0.222828,0.466667,-0.356416,0.466667,-0.0085062,0.466667,-0.188237,0.466667,-0.234118,0.466667,-0.306257,0.466667,All
0.0634137,0.475,-0.0206515,0.475,0.0895516,0.475,-0.174719,0.475,0.282318,0.475,-0.212037,0.475,-0.351412,0.475,0.00531007,0.475,-0.178826,0.475,-0.218212,0.475,-0.30136,0.475,All
0.0831594,0.483333,-0.00833118,0.483333,0.0902039,0.483333,-0.161837,0.483333,0.28506,0.483333,-0.18743,0.483333,-0.340209,0.483333,0.0245194,0.483333,-0.170151,0.483333,-0.197512,0.483333,-0.264254,0.483333,All
0.10138,0.491667,-0.00802974,0.491667,0.0943323,0.491667,-0.151854,0.491667,0.334579,0.491667,-0.185534,0.491667,-0.330175,0.491667,0.0295208,0.491667,-0.163855,0.491667,-0.19659,0.491667,-0.250887,0.491667,All
