standEta_beta_exp_abscissa,standEta_beta_exp_cdf,standEta_delta0_abscissa,standEta_delta0_cdf,standEta_p_abscissa,standEta_p_cdf,standEta_td_abscissa,standEta_td_cdf,standEta_b_exp_abscissa,standEta_b_exp_cdf,standEta_h_0_abscissa,standEta_h_0_cdf,standEta_tc_abscissa,standEta_tc_cdf,standEta_sigma_abscissa,standEta_sigma_cdf,standEta_rho_exp_abscissa,standEta_rho_exp_cdf,standEta_alpha_exp_abscissa,standEta_alpha_exp_cdf,split
-0.978324,0.216667,-0.903256,0.216667,-0.672565,0.216667,-0.642292,0.216667,-1.0646,0.216667,-0.881908,0.216667,-0.750974,0.216667,-0.716883,0.216667,-0.793779,0.216667,-0.850431,0.216667,All
-0.951737,0.225,-0.887596,0.225,-0.666952,0.225,-0.638202,0.225,-1.05512,0.225,-0.881743,0.225,-0.727138,0.225,-0.603918,0.225,-0.784205,0.225,-0.829924,0.225,All
-0.834079,0.233333,-0.883306,0.233333,-0.628574,0.233333,-0.535542,0.233333,-0.956435,0.233333,-0.877766,0.233333,-0.617323,0.233333,-0.592123,0.233333,-0.752225,0.233333,-0.820439,0.233333,All
-0.831014,0.241667,-0.870838,0.241667,-0.617925,0.241667,-0.477869,0.241667,-0.912076,0.241667,-0.790354,0.241667,-0.585318,0.241667,-0.567562,0.241667,-0.742584,0.241667,-0.791612,0.241667,All
-0.760305,0.25,-0.850977,0.25,-0.586035,0.25,-0.458896,0.25,-0.907406,0.25,-0.787894,0.25,-0.55535,0.25,-0.552909,0.25,-0.735998,0.25,-0.75133,0.25,All
-0.67538,0.258333,-0.83749,0.258333,-0.584807,0.258333,-0.456013,0.258333,-0.896026,0.258333,-0.784834,0.258333,-0.554463,0.258333,-0.502827,0.258333,-0.728221,0.258333,-0.737094,0.258333,All
-0.66189,0.266667,-0.824529,0.266667,-0.51847,0.266667,-0.437694,0.266667,-0.845955,0.266667,-0.772545,0.266667,-0.529073,0.266667,-0.488782,0.266667,-0.713537,0.266667,-0.722532,0.266667,All
-0.653765,0.275,-0.815284,0.275,-0.429927,0.275,-0.414482,0.275,-0.834731,0.275,-0.767822,0.275,-0.516679,0.275,-0.442312,0.275,-0.70091,0.275,-0.721772,0.275,All
-0.596049,0.283333,-0.77776,0.283333,-0.408075,0.283333,-0.400584,0.283333,-0.785892,0.283333,-0.747273,0.283333,-0.477755,0.283333,-0.415122,0.283333,-0.697168,0.283333,-0.707525,0.283333,All
-0.577526,0.291667,-0.761879,0.291667,-0.401296,0.291667,-0.399037,0.291667,-0.722349,0.291667,-0.732606,0.291667,-0.470254,0.291667,-0.407752,0.291667,-0.681369,0.291667,-0.703366,0.291667,All
-0.516203,0.3,-0.755412,0.3,-0.340577,0.3,-0.369099,0.3,-0.629142,0.3,-0.718331,0.3,-0.453374,0.3,-0.403675,0.3,-0.675265,0.3,-0.686097,0.3,All
-0.410661,0.308333,-0.741463,0.308333,-0.329058,0.308333,-0.365839,0.308333,-0.612547,0.308333,-0.694742,0.308333,-0.438596,0.308333,-0.396594,0.308333,-0.644225,0.308333,-0.6734,0.308333,All
-0.375557,0.316667,-0.730656,0.316667,-0.3232,0.316667,-0.358248,0.316667,-0.581105,0.316667,-0.693189,0.316667,-0.43688,0.316667,-0.385425,0.316667,-0.628456,0.316667,-0.643066,0.316667,All
-0.345138,0.325,-0.695174,0.325,-0.308495,0.325,-0.353455,0.325,-0.548938,0.325,-0.691557,0.325,-0.418451,0.325,-0.361551,0.325,-0.612578,0.325,-0.641156,0.325,All
-0.316171,0.333333,-0.685653,0.333333,-0.269477,0.333333,-0.338818,0.333333,-0.473718,0.333333,-0.67346,0.333333,-0.401812,0.333333,-0.329278,0.333333,-0.572012,0.333333,-0.581493,0.333333,All
-0.271968,0.341667,-0.677217,0.341667,-0.191973,0.341667,-0.333486,0.341667,-0.408945,0.341667,-0.671543,0.341667,-0.397831,0.341667,-0.314777,0.341667,-0.554287,0.341667,-0.575949,0.341667,All
-0.261083,0.35,-0.671936,0.35,-0.11086,0.35,-0.305006,0.35,-0.341623,0.35,-0.668038,0.35,-0.395767,0.35,-0.300683,0.35,-0.551961,0.35,-0.561518,0.35,All
-0.237175,0.358333,-0.61783,0.358333,-0.105703,0.358333,-0.30308,0.358333,-0.339903,0.358333,-0.64518,0.358333,-0.388526,0.358333,-0.260884,0.358333,-0.547499,0.358333,-0.533829,0.358333,All
-0.229761,0.366667,-0.593514,0.366667,-0.102366,0.366667,-0.284263,0.366667,-0.330205,0.366667,-0.642533,0.366667,-0.380547,0.366667,-0.256834,0.366667,-0.540893,0.366667,-0.51523,0.366667,All
-0.206085,0.375,-0.574756,0.375,-0.100377,0.375,-0.265476,0.375,-0.288106,0.375,-0.642449,0.375,-0.36667,0.375,-0.237235,0.375,-0.53636,0.375,-0.500515,0.375,All
-0.19943,0.383333,-0.556129,0.383333,-0.0523345,0.383333,-0.234673,0.383333,-0.286711,0.383333,-0.637084,0.383333,-0.352716,0.383333,-0.235085,0.383333,-0.505187,0.383333,-0.477717,0.383333,All
-0.194763,0.391667,-0.552773,0.391667,-0.0426321,0.391667,-0.122281,0.391667,-0.256163,0.391667,-0.63598,0.391667,-0.350513,0.391667,-0.222886,0.391667,-0.502451,0.391667,-0.468552,0.391667,All
-0.169523,0.4,-0.541234,0.4,-0.0414691,0.4,-0.0863859,0.4,-0.254412,0.4,-0.635185,0.4,-0.33323,0.4,-0.214334,0.4,-0.500984,0.4,-0.462282,0.4,All
-0.166105,0.408333,-0.510273,0.408333,-0.0361226,0.408333,-0.0823748,0.408333,-0.198005,0.408333,-0.628487,0.408333,-0.312383,0.408333,-0.18608,0.408333,-0.491535,0.408333,-0.434586,0.408333,All
-0.164065,0.416667,-0.490735,0.416667,-0.0347285,0.416667,-0.0516172,0.416667,-0.186835,0.416667,-0.615969,0.416667,-0.304119,0.416667,-0.184906,0.416667,-0.489838,0.416667,-0.402181,0.416667,All
-0.152926,0.425,-0.476424,0.425,0.00342961,0.425,-0.00522114,0.425,0.000487388,0.425,-0.604416,0.425,-0.240263,0.425,-0.15735,0.425,-0.47447,0.425,-0.367673,0.425,All
-0.146401,0.433333,-0.467827,0.433333,0.0806932,0.433333,0.00574205,0.433333,0.051088,0.433333,-0.584998,0.433333,-0.238792,0.433333,-0.146695,0.433333,-0.446365,0.433333,-0.316631,0.433333,All
-0.130784,0.441667,-0.466002,0.441667,0.0811144,0.441667,0.00869843,0.441667,0.0644796,0.441667,-0.577566,0.441667,-0.204605,0.441667,-0.141185,0.441667,-0.420314,0.441667,-0.282252,0.441667,All
-0.106561,0.45,-0.435653,0.45,0.0830371,0.45,0.0121562,0.45,0.106818,0.45,-0.499493,0.45,-0.201202,0.45,-0.0445248,0.45,-0.418608,0.45,-0.278393,0.45,All
-0.0934973,0.458333,-0.383349,0.458333,0.1283,0.458333,0.0242466,0.458333,0.137332,0.458333,-0.400859,0.458333,-0.195519,0.458333,-0.0333703,0.458333,-0.417649,0.458333,-0.256462,0.458333,All
-0.0300163,0.466667,-0.361876,0.466667,0.144365,0.466667,0.0297729,0.466667,0.239156,0.466667,-0.397926,0.466667,-0.194366,0.466667,-0.0199119,0.466667,-0.403883,0.466667,-0.234504,0.466667,All
-0.0151767,0.475,-0.358844,0.475,0.150865,0.475,0.0443847,0.475,0.251623,0.475,-0.381517,0.475,-0.188672,0.475,0.00366312,0.475,-0.354574,0.475,-0.234073,0.475,All
-0.00883946,0.483333,-0.345028,0.483333,0.162207,0.483333,0.0465217,0.483333,0.338704,0.483333,-0.363865,0.483333,-0.181683,0.483333,0.0213812,0.483333,-0.331275,0.483333,-0.219776,0.483333,All
-0.000721578,0.491667,-0.319802,0.491667,0.185471,0.491667,0.0468063,0.491667,0.355341,0.491667,-0.351537,0.491667,-0.178153,0.491667,0.0228176,0.491667,-0.267119,0.491667,-0.213359,0.491667,All
