iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_q_exp,sd_q_exp,E_ifn0,sd_ifn0
26,-3.79758,0.185859,2.37748,0.436069,2.92573,0.197488,2.10426,0.0968524,-2.3155,0.33006,0.626066,0.0743753,5.94361,0.46724,0.495064,0.20902,-1.76525,0.223509,-4.27517,0.0154451,0.424929,0.251124
27,-3.79786,0.185764,2.38536,0.436158,2.92631,0.197018,2.10561,0.0966222,-2.31417,0.331281,0.626046,0.0745734,5.94971,0.46883,0.495648,0.209179,-1.76481,0.223497,-4.2751,0.0154112,0.424688,0.250871
28,-3.7986,0.185311,2.38845,0.43624,2.92615,0.196819,2.10559,0.0961957,-2.31309,0.331875,0.626,0.0747669,5.9547,0.468834,0.495779,0.209427,-1.76504,0.223307,-4.27504,0.0154117,0.423947,0.249898
29,-3.79874,0.184804,2.39109,0.435987,2.92624,0.197599,2.10568,0.0957224,-2.31176,0.33231,0.625904,0.0748271,5.95682,0.470491,0.495925,0.209902,-1.7651,0.223686,-4.27495,0.0154144,0.423488,0.249297
30,-3.79914,0.184608,2.39223,0.436542,2.92629,0.197591,2.10618,0.0952258,-2.31024,0.332594,0.625803,0.0748844,5.9589,0.471809,0.496028,0.210484,-1.76467,0.223934,-4.27501,0.0154233,0.424011,0.249611
31,-3.79928,0.183957,2.40149,0.438086,2.92643,0.197645,2.10603,0.0946162,-2.30876,0.33283,0.625734,0.0749883,5.95961,0.473299,0.496098,0.210638,-1.76329,0.223294,-4.27504,0.0154283,0.423833,0.249521
32,-3.79963,0.18343,2.41046,0.439047,2.92619,0.197343,2.10625,0.0938561,-2.30761,0.332549,0.625716,0.074988,5.9603,0.473208,0.496394,0.210497,-1.76277,0.223109,-4.27506,0.0154696,0.423976,0.249993
33,-3.79971,0.183095,2.41423,0.439974,2.92601,0.197023,2.10579,0.0934697,-2.30699,0.331973,0.625676,0.0751294,5.96248,0.472902,0.496488,0.209784,-1.7629,0.222399,-4.27504,0.0155125,0.42383,0.249757
34,-3.79936,0.182966,2.4156,0.440557,2.92587,0.19691,2.10526,0.0933227,-2.30654,0.331448,0.625647,0.0751596,5.96289,0.47349,0.496713,0.209287,-1.76297,0.221626,-4.275,0.0155174,0.423704,0.249609
35,-3.79908,0.183053,2.42241,0.442359,2.92601,0.196798,2.10456,0.0934091,-2.30669,0.331203,0.62565,0.0750251,5.96173,0.474521,0.496752,0.209288,-1.76351,0.221265,-4.27506,0.0155176,0.423922,0.249195
36,-3.79895,0.183043,2.425,0.443548,2.92622,0.196405,2.10421,0.0933404,-2.30661,0.331404,0.625625,0.0748678,5.96319,0.475491,0.497034,0.209517,-1.76395,0.220833,-4.2751,0.0155397,0.424243,0.248602
