iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_q_exp,sd_q_exp,E_ifn0,sd_ifn0
111,-3.79496,0.192149,2.41067,0.455324,2.91543,0.194502,2.09431,0.0928972,-2.30456,0.331787,0.625744,0.0758983,5.92695,0.496139,0.489746,0.222821,-1.77131,0.233493,-4.27529,0.0151098,0.426248,0.24718
112,-3.79499,0.19221,2.4098,0.455264,2.91534,0.194593,2.09393,0.092932,-2.30459,0.331954,0.625765,0.0759558,5.92703,0.495865,0.489699,0.22287,-1.7714,0.233466,-4.27528,0.0150809,0.42598,0.247421
113,-3.79483,0.192079,2.41001,0.455109,2.91512,0.194771,2.0939,0.092908,-2.30444,0.332075,0.625743,0.0760637,5.92623,0.495588,0.489675,0.223218,-1.77159,0.233752,-4.27527,0.0150644,0.425818,0.247396
114,-3.79463,0.192055,2.41061,0.454749,2.9148,0.194926,2.09362,0.092892,-2.30434,0.332323,0.62573,0.0761809,5.92564,0.495582,0.489572,0.223406,-1.77178,0.23395,-4.27526,0.015043,0.425613,0.247498
115,-3.79451,0.191961,2.41105,0.454217,2.91447,0.195102,2.09325,0.092908,-2.3042,0.332397,0.625712,0.0762889,5.92563,0.495216,0.489574,0.223739,-1.77199,0.234321,-4.27524,0.0150444,0.42535,0.247657
116,-3.79424,0.192058,2.41152,0.453709,2.91418,0.195171,2.09316,0.0929823,-2.30415,0.332642,0.625693,0.0763603,5.92605,0.495241,0.489587,0.223836,-1.77209,0.234415,-4.27523,0.0150424,0.425053,0.248
117,-3.79393,0.192353,2.41118,0.453313,2.91408,0.195236,2.09296,0.093005,-2.30418,0.33305,0.625687,0.0764482,5.92625,0.495726,0.489534,0.223781,-1.77226,0.2343,-4.2752,0.015043,0.424918,0.248113
118,-3.79381,0.192349,2.41099,0.452922,2.91387,0.195063,2.09281,0.0929094,-2.30412,0.333488,0.625687,0.076622,5.92692,0.495764,0.489565,0.223927,-1.7721,0.234384,-4.27518,0.0150382,0.424851,0.248115
119,-3.79369,0.19233,2.41118,0.45251,2.91368,0.195226,2.09288,0.0927829,-2.30396,0.333999,0.625671,0.0767824,5.92704,0.495577,0.489435,0.224131,-1.77241,0.234574,-4.27518,0.0150269,0.424691,0.248016
120,-3.79353,0.192404,2.41123,0.452032,2.91349,0.195373,2.09294,0.0926431,-2.3038,0.334694,0.625649,0.0770072,5.92723,0.495051,0.489358,0.224382,-1.77295,0.234888,-4.27519,0.015027,0.42459,0.24787
121,-3.79327,0.192399,2.41226,0.451702,2.91329,0.195532,2.09285,0.0926318,-2.30392,0.335282,0.625649,0.0771909,5.92753,0.494644,0.489277,0.224462,-1.77314,0.234828,-4.2752,0.0150309,0.424621,0.247945
122,-3.79284,0.192388,2.4133,0.451176,2.91309,0.195785,2.09271,0.0925978,-2.30405,0.335867,0.62564,0.0773686,5.9279,0.494297,0.489327,0.224601,-1.77307,0.234836,-4.2752,0.0150132,0.424598,0.248051
123,-3.79243,0.192347,2.41418,0.450824,2.91286,0.195861,2.09231,0.0926594,-2.3045,0.336286,0.625663,0.0774619,5.9286,0.493788,0.489188,0.224588,-1.77302,0.234893,-4.27518,0.0150011,0.424539,0.248029
124,-3.79209,0.192316,2.41541,0.450208,2.91259,0.19596,2.09216,0.0927774,-2.30486,0.336687,0.625691,0.0775454,5.92909,0.49375,0.48916,0.224494,-1.7728,0.234844,-4.27518,0.0150042,0.424362,0.24797
125,-3.79182,0.192592,2.41694,0.449785,2.91227,0.196014,2.09212,0.0929261,-2.30511,0.337089,0.62573,0.0776074,5.92937,0.493717,0.489083,0.224358,-1.77272,0.234863,-4.27518,0.0150134,0.42431,0.247943
126,-3.79174,0.192818,2.41799,0.449412,2.91199,0.196088,2.09201,0.0930134,-2.30529,0.337624,0.625781,0.0776567,5.92951,0.493502,0.489027,0.224267,-1.77272,0.23471,-4.27516,0.0150165,0.424367,0.248297
127,-3.79155,0.192829,2.41952,0.449082,2.91146,0.196226,2.09197,0.0931105,-2.30533,0.338173,0.625812,0.0777169,5.92884,0.493403,0.488882,0.224312,-1.7726,0.234616,-4.27518,0.015006,0.424202,0.247977
128,-3.79124,0.192899,2.42101,0.448817,2.91129,0.196085,2.0921,0.0931654,-2.30559,0.338708,0.625842,0.0777839,5.92871,0.493203,0.48878,0.224193,-1.77261,0.234498,-4.27518,0.0150021,0.423935,0.247727
129,-3.7911,0.192995,2.42145,0.448652,2.91118,0.196008,2.09202,0.0931417,-2.30589,0.339251,0.625862,0.077872,5.92946,0.492696,0.488764,0.224003,-1.77258,0.234583,-4.27517,0.0149879,0.42375,0.247489
130,-3.79103,0.193212,2.42162,0.448327,2.91109,0.195915,2.09184,0.0930958,-2.30641,0.339737,0.625915,0.0779413,5.92916,0.492297,0.488685,0.223925,-1.77241,0.234444,-4.27514,0.0149821,0.423621,0.247191
131,-3.79077,0.193487,2.42106,0.447922,2.9111,0.195889,2.09171,0.0930668,-2.30685,0.340241,0.625949,0.0780081,5.929,0.491713,0.488634,0.223953,-1.77235,0.234349,-4.27515,0.0149814,0.423515,0.24684
132,-3.7906,0.193687,2.42185,0.447531,2.91108,0.195956,2.09165,0.0930006,-2.30714,0.340753,0.625971,0.0781312,5.92985,0.491229,0.488541,0.223896,-1.77234,0.23449,-4.27516,0.0149837,0.423465,0.246641
133,-3.7905,0.193639,2.42375,0.447334,2.91109,0.195994,2.09169,0.0929479,-2.30722,0.341114,0.625974,0.0782074,5.93061,0.490906,0.488524,0.223752,-1.77229,0.234595,-4.27516,0.0149856,0.423396,0.246619
134,-3.79035,0.193744,2.42545,0.44732,2.91115,0.196008,2.09166,0.0929088,-2.30733,0.341478,0.625976,0.078288,5.93193,0.490815,0.488613,0.223605,-1.77218,0.234634,-4.27514,0.0149858,0.423317,0.246395
135,-3.79037,0.193667,2.42688,0.447463,2.91132,0.196008,2.09154,0.0928592,-2.30768,0.341879,0.62601,0.0783848,5.93306,0.490561,0.488634,0.223446,-1.77189,0.234839,-4.27513,0.0149721,0.423164,0.246495
136,-3.79044,0.193555,2.4286,0.447782,2.91147,0.19604,2.09153,0.0928037,-2.30797,0.342138,0.626073,0.0784682,5.9342,0.490391,0.488654,0.223368,-1.77163,0.234936,-4.27513,0.0149654,0.423061,0.246619
137,-3.79047,0.193414,2.43082,0.447851,2.9117,0.196143,2.0915,0.0928327,-2.30844,0.342445,0.626129,0.0785161,5.93509,0.489915,0.488647,0.223183,-1.77119,0.235006,-4.27512,0.0149656,0.422988,0.246714
138,-3.79037,0.193302,2.43297,0.447751,2.91182,0.196309,2.09134,0.0928073,-2.30893,0.342619,0.626182,0.0785432,5.93679,0.489292,0.488692,0.223023,-1.77098,0.235229,-4.2751,0.0149556,0.422874,0.246623
139,-3.79024,0.193186,2.43541,0.4479,2.9118,0.196495,2.0913,0.0927045,-2.30937,0.342987,0.626242,0.0785975,5.93879,0.489023,0.488754,0.223021,-1.77071,0.235215,-4.27508,0.0149657,0.422727,0.246672
140,-3.79027,0.19319,2.43602,0.44794,2.91182,0.196503,2.09135,0.0926555,-2.3097,0.343516,0.626284,0.0786904,5.93958,0.489242,0.488718,0.222859,-1.77055,0.235257,-4.27505,0.0149656,0.422576,0.246666
141,-3.7903,0.19328,2.43753,0.448091,2.91192,0.196566,2.09118,0.092607,-2.3101,0.344206,0.626332,0.0788268,5.93974,0.48957,0.488742,0.222796,-1.7703,0.235229,-4.27502,0.0149675,0.42261,0.246705
142,-3.79032,0.193349,2.43931,0.448587,2.91184,0.196483,2.09106,0.0927371,-2.31056,0.345039,0.626409,0.0789398,5.93991,0.489593,0.488724,0.222623,-1.77005,0.235398,-4.27501,0.0149693,0.422596,0.246677
143,-3.79037,0.193464,2.44147,0.449244,2.91182,0.196407,2.0911,0.0927596,-2.31086,0.345663,0.626456,0.0791015,5.93968,0.489716,0.488761,0.222659,-1.76982,0.235596,-4.275,0.0149659,0.422638,0.246647
144,-3.79026,0.193636,2.44303,0.449724,2.91176,0.196402,2.09112,0.0928147,-2.31121,0.346342,0.626505,0.0792366,5.94002,0.489883,0.48881,0.222617,-1.76958,0.235923,-4.27499,0.0149704,0.422638,0.246905
145,-3.7902,0.193745,2.44424,0.450046,2.91164,0.196427,2.09114,0.0928256,-2.31138,0.347051,0.626526,0.0793348,5.94027,0.489868,0.488924,0.222477,-1.76939,0.235912,-4.27498,0.0149757,0.422517,0.246939
146,-3.79001,0.193746,2.44593,0.450523,2.91137,0.196464,2.09123,0.0930019,-2.31132,0.347686,0.62652,0.0794299,5.94027,0.490112,0.488983,0.222336,-1.76925,0.236014,-4.27499,0.0149831,0.422504,0.246858
147,-3.79011,0.193791,2.44733,0.450676,2.91134,0.196473,2.09133,0.0930855,-2.31129,0.348381,0.626526,0.0795429,5.93997,0.489917,0.489025,0.222232,-1.7692,0.236057,-4.27497,0.0149739,0.422583,0.246789
148,-3.79029,0.193808,2.4483,0.450578,2.91121,0.196438,2.0914,0.0931744,-2.31115,0.348949,0.626531,0.0796765,5.93941,0.490087,0.48905,0.222148,-1.7693,0.236278,-4.27497,0.0149678,0.422587,0.246714
149,-3.79041,0.19386,2.44884,0.450462,2.91107,0.196425,2.09148,0.0931876,-2.31095,0.349483,0.626521,0.0797665,5.93844,0.489893,0.489144,0.222213,-1.76924,0.236488,-4.27498,0.0149581,0.422528,0.246684
150,-3.79049,0.19386,2.45007,0.450505,2.91102,0.196586,2.09165,0.0932244,-2.31078,0.349798,0.626502,0.0798388,5.93826,0.490133,0.489266,0.222459,-1.76913,0.236484,-4.275,0.014951,0.422513,0.246671
151,-3.79067,0.193815,2.45168,0.450674,2.91091,0.196703,2.0918,0.0932207,-2.31054,0.349918,0.626509,0.0798779,5.93744,0.490651,0.489339,0.222602,-1.76899,0.236487,-4.27501,0.0149482,0.42238,0.246707
152,-3.79079,0.193754,2.45243,0.450946,2.91068,0.196836,2.09181,0.0933567,-2.31047,0.350033,0.626544,0.0799237,5.93689,0.491037,0.489337,0.222861,-1.76888,0.236641,-4.27501,0.0149656,0.4223,0.246866
153,-3.79093,0.193757,2.45333,0.451209,2.91056,0.196835,2.09167,0.0935068,-2.31063,0.349972,0.626585,0.0799543,5.93642,0.491144,0.489341,0.223145,-1.7687,0.236803,-4.27501,0.0149776,0.422349,0.246623
154,-3.79098,0.193604,2.45419,0.451661,2.91043,0.196798,2.09145,0.0935943,-2.31088,0.349982,0.62664,0.079982,5.93563,0.491521,0.489344,0.223299,-1.76834,0.23692,-4.27503,0.014981,0.42243,0.246242
155,-3.79095,0.19345,2.45482,0.451956,2.91032,0.196808,2.09124,0.0936966,-2.31112,0.350031,0.626678,0.0800252,5.93492,0.491654,0.489412,0.223487,-1.76807,0.237166,-4.27505,0.0149895,0.422539,0.246158
156,-3.79088,0.193395,2.45514,0.452411,2.91032,0.196887,2.09111,0.0937751,-2.31122,0.350085,0.626682,0.0800773,5.93466,0.491814,0.489435,0.223529,-1.76805,0.237382,-4.27506,0.015007,0.422588,0.246094
157,-3.79092,0.193314,2.45469,0.452823,2.91038,0.196954,2.091,0.093859,-2.31153,0.350181,0.626718,0.0801171,5.93405,0.492128,0.489498,0.223618,-1.76818,0.23755,-4.27509,0.0150329,0.422623,0.246132
158,-3.79079,0.193196,2.45376,0.4533,2.91047,0.19686,2.09083,0.0939589,-2.31193,0.350361,0.626753,0.0801478,5.93358,0.492517,0.489511,0.223829,-1.76825,0.237649,-4.2751,0.0150487,0.422769,0.246407
159,-3.79077,0.193288,2.45228,0.453756,2.91056,0.196698,2.09079,0.0939824,-2.31252,0.350649,0.626816,0.0801964,5.9338,0.492644,0.489657,0.22388,-1.76822,0.23776,-4.27511,0.0150644,0.422909,0.246674
160,-3.79064,0.193342,2.45108,0.453931,2.91065,0.196573,2.09082,0.093974,-2.31289,0.350982,0.626851,0.0802411,5.93412,0.49271,0.489767,0.223915,-1.76816,0.237883,-4.27512,0.0150798,0.422897,0.246887
161,-3.79047,0.193381,2.44979,0.453879,2.91067,0.196565,2.09088,0.093967,-2.31333,0.351314,0.6269,0.0802842,5.93511,0.492852,0.489765,0.223879,-1.76805,0.237924,-4.27512,0.0150894,0.42292,0.246952
162,-3.79034,0.193472,2.44911,0.454144,2.91072,0.196594,2.09075,0.0939763,-2.31381,0.351592,0.626949,0.0802926,5.93562,0.492877,0.489671,0.223879,-1.76796,0.238017,-4.27513,0.0150938,0.422965,0.246883
163,-3.79021,0.193546,2.44898,0.454402,2.9108,0.196587,2.09067,0.093938,-2.31432,0.35181,0.627003,0.0803048,5.93601,0.492803,0.489572,0.223909,-1.76794,0.238168,-4.27512,0.0150967,0.422981,0.246771
164,-3.79008,0.193591,2.44941,0.454873,2.91087,0.196644,2.09063,0.0938746,-2.31476,0.351945,0.627057,0.0803004,5.93665,0.492551,0.489526,0.223893,-1.76778,0.238293,-4.27511,0.0151116,0.42302,0.246714
165,-3.78988,0.193593,2.44944,0.455014,2.91079,0.196489,2.09057,0.0937628,-2.31516,0.351923,0.627107,0.0802871,5.93714,0.492252,0.489485,0.223826,-1.76769,0.238431,-4.27511,0.015114,0.423085,0.246698
166,-3.78981,0.193676,2.4486,0.4552,2.91084,0.19645,2.09048,0.0937269,-2.31553,0.351938,0.627143,0.0802877,5.93736,0.491879,0.489489,0.22372,-1.76764,0.238589,-4.27512,0.015113,0.423263,0.246923
167,-3.78982,0.193791,2.44782,0.455271,2.911,0.196368,2.09061,0.0937562,-2.31582,0.35204,0.627186,0.0803098,5.93692,0.4916,0.489488,0.223662,-1.76763,0.238574,-4.27514,0.0151218,0.423287,0.246912
168,-3.78985,0.19405,2.44714,0.455301,2.91113,0.196278,2.09058,0.0937238,-2.31631,0.352246,0.627236,0.0803274,5.93684,0.491191,0.489403,0.223544,-1.76767,0.238617,-4.27515,0.0151273,0.423372,0.246844
169,-3.78988,0.194154,2.44667,0.455457,2.9113,0.19618,2.09052,0.09368,-2.31676,0.352381,0.627291,0.0803335,5.93647,0.491046,0.489292,0.223454,-1.76776,0.238578,-4.27517,0.0151265,0.423511,0.246832
170,-3.78983,0.194149,2.44615,0.45557,2.91132,0.196046,2.09037,0.0936207,-2.31723,0.352472,0.627343,0.0803375,5.93633,0.490877,0.48915,0.22332,-1.76779,0.238513,-4.27519,0.0151204,0.423617,0.246938
171,-3.78977,0.19417,2.44448,0.455471,2.91127,0.19583,2.09008,0.0936212,-2.31767,0.352557,0.627378,0.080335,5.93643,0.490602,0.489019,0.223263,-1.76789,0.238577,-4.2752,0.015125,0.423711,0.246892
172,-3.78972,0.194101,2.44277,0.455485,2.91125,0.195801,2.08994,0.0936201,-2.31804,0.352605,0.62741,0.0803133,5.93654,0.490358,0.488916,0.223302,-1.76798,0.238626,-4.27519,0.0151324,0.423766,0.246955
173,-3.78969,0.194073,2.44096,0.45541,2.9113,0.195767,2.08966,0.0936468,-2.31855,0.352916,0.62745,0.0803047,5.93677,0.490474,0.4889,0.223467,-1.7679,0.23872,-4.27519,0.0151329,0.423706,0.246894
174,-3.78968,0.193967,2.43908,0.455564,2.91142,0.195713,2.08948,0.0936391,-2.31911,0.353202,0.627488,0.0803,5.93733,0.490679,0.488914,0.223674,-1.76791,0.238725,-4.27518,0.0151302,0.423623,0.246816
175,-3.7896,0.194009,2.43676,0.455554,2.91148,0.195727,2.08926,0.0936582,-2.31964,0.353435,0.627525,0.0802865,5.9374,0.490821,0.488831,0.223793,-1.76796,0.238723,-4.27519,0.0151312,0.423775,0.246857
176,-3.78951,0.194119,2.43475,0.455849,2.91153,0.195696,2.08903,0.0936355,-2.3202,0.353586,0.627574,0.0802496,5.93747,0.491155,0.488962,0.224074,-1.76809,0.238841,-4.2752,0.015133,0.423783,0.246641
177,-3.78941,0.194172,2.4329,0.455936,2.91157,0.195743,2.08881,0.09363,-2.32068,0.353812,0.62761,0.080259,5.9377,0.491503,0.489027,0.224241,-1.76809,0.239007,-4.2752,0.0151379,0.423807,0.246603
178,-3.78939,0.194163,2.43205,0.455937,2.91168,0.195728,2.08884,0.0936698,-2.32091,0.353957,0.627644,0.0802733,5.93785,0.491795,0.489097,0.224328,-1.76812,0.239123,-4.27521,0.0151411,0.423724,0.246557
179,-3.78929,0.194178,2.43143,0.455925,2.91171,0.195725,2.08873,0.0936766,-2.32116,0.354071,0.627667,0.0802565,5.93788,0.492117,0.489127,0.224381,-1.76816,0.239102,-4.27521,0.0151423,0.423651,0.246609
180,-3.78923,0.194171,2.43076,0.455646,2.91182,0.195667,2.08872,0.0936868,-2.32157,0.354266,0.627709,0.0802631,5.93747,0.492244,0.489191,0.224397,-1.76815,0.239151,-4.27521,0.0151408,0.423707,0.2466
181,-3.7891,0.194115,2.4303,0.45552,2.91187,0.195682,2.08861,0.0936751,-2.32202,0.35443,0.62776,0.0802764,5.93724,0.492426,0.489178,0.224515,-1.76814,0.239111,-4.27521,0.0151366,0.423652,0.246563
182,-3.78898,0.194101,2.42983,0.455246,2.91179,0.19562,2.08857,0.0936335,-2.32223,0.354426,0.627798,0.080288,5.93679,0.492495,0.489157,0.224639,-1.76799,0.239145,-4.27521,0.0151288,0.42364,0.246417
183,-3.78893,0.194061,2.43057,0.455285,2.91176,0.195725,2.08843,0.0936051,-2.32243,0.354456,0.627828,0.080279,5.93589,0.492599,0.48912,0.224725,-1.76793,0.239109,-4.27521,0.015122,0.423654,0.246334
184,-3.78891,0.194062,2.43098,0.455223,2.91179,0.195696,2.08845,0.0935318,-2.32263,0.354471,0.627839,0.080263,5.9353,0.49265,0.48902,0.224828,-1.7679,0.239099,-4.2752,0.0151107,0.423679,0.246271
185,-3.78879,0.194057,2.43143,0.455217,2.91188,0.195757,2.08849,0.0935611,-2.32279,0.35451,0.627842,0.080241,5.93454,0.49271,0.489018,0.224943,-1.76792,0.239187,-4.27522,0.0151216,0.423733,0.246216
186,-3.78873,0.194079,2.43205,0.45493,2.91194,0.195758,2.08853,0.0935814,-2.32284,0.354645,0.627843,0.0802516,5.93368,0.492522,0.488997,0.225069,-1.76797,0.239204,-4.27522,0.0151248,0.423667,0.246112
187,-3.78874,0.194079,2.4327,0.454588,2.91205,0.195762,2.08858,0.0935866,-2.3229,0.354677,0.627848,0.0802443,5.93345,0.49248,0.488999,0.22529,-1.76796,0.239163,-4.2752,0.0151328,0.423517,0.246105
188,-3.78857,0.194039,2.43469,0.454575,2.91213,0.1957,2.08863,0.0936029,-2.32293,0.354657,0.62784,0.0802124,5.93316,0.492024,0.488948,0.225373,-1.76787,0.239184,-4.27518,0.0151368,0.423411,0.246115
189,-3.78841,0.193969,2.43599,0.454149,2.91221,0.195662,2.08862,0.0936173,-2.32294,0.354604,0.627815,0.0801595,5.93325,0.491572,0.488877,0.225321,-1.76792,0.239172,-4.27517,0.0151324,0.423352,0.246235
190,-3.78836,0.193925,2.43689,0.453789,2.91227,0.195625,2.08872,0.0936904,-2.32293,0.354502,0.627802,0.0801046,5.93379,0.49114,0.488917,0.225352,-1.76768,0.239187,-4.27515,0.0151394,0.423265,0.246354
191,-3.78826,0.193835,2.43765,0.453278,2.91235,0.195565,2.08862,0.0937334,-2.323,0.354347,0.627799,0.0800583,5.93426,0.490691,0.488958,0.225204,-1.76761,0.239095,-4.27514,0.0151288,0.423207,0.246363
192,-3.78822,0.193689,2.43874,0.452915,2.91241,0.195427,2.08857,0.0937618,-2.32301,0.35413,0.627793,0.0800154,5.93455,0.490295,0.48893,0.225096,-1.76772,0.238967,-4.27512,0.0151198,0.423175,0.246147
