iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,dF_pop,q_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_q_exp,omega_ifn0,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_ifn0_b_exp,corr_p_b_exp,corr_q_exp_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_ifn0_beta_exp,corr_p_beta_exp,corr_q_exp_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_ifn0_delta0,corr_p_delta0,corr_q_exp_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_ifn0_h_0,corr_p_h_0,corr_q_exp_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_p_ifn0,corr_q_exp_ifn0,corr_rho_exp_ifn0,corr_sigma_ifn0,corr_tc_ifn0,corr_td_ifn0,corr_q_exp_p,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_rho_exp_q_exp,corr_sigma_q_exp,corr_tc_q_exp,corr_td_q_exp,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2,a3
11,1784.44,1,-3.69927,1.07066,2.61948,1.89613,-2.35198,0.632243,6.56223,0.382554,-1.54836,-1.61453,1.0252,-4.36994,0.329023,0.861019,0.409289,0.424823,0.714808,0.127815,1.05891,0.585985,0.416176,0.104901,0.650578,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.917864,0.419359,0.571987
12,1784.38,1,-3.70811,1.05862,2.61711,1.89934,-2.34695,0.632116,6.54909,0.377228,-1.56294,-1.61977,1.04243,-4.36996,0.315964,0.855575,0.421132,0.419936,0.710006,0.126065,1.02395,0.563061,0.427296,0.109189,0.654327,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.936104,0.414089,0.570623
13,1789.45,1,-3.7213,1.04813,2.62543,1.86411,-2.34783,0.630368,6.62574,0.392372,-1.56284,-1.6226,1.04198,-4.3699,0.310447,0.866983,0.417658,0.422297,0.69545,0.124624,1.02481,0.5568,0.416737,0.11079,0.651112,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.922328,0.418906,0.588352
14,1794.77,1,-3.72796,0.999214,2.62624,1.84733,-2.33693,0.62796,6.53795,0.391836,-1.56503,-1.64499,1.04445,-4.37681,0.31683,0.890807,0.419985,0.445971,0.701174,0.123809,1.00798,0.560175,0.427504,0.11244,0.685832,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.925129,0.415364,0.591875
15,1788.21,1,-3.7194,1.01421,2.6341,1.86778,-2.32433,0.627592,6.5957,0.397177,-1.53946,-1.63899,1.04424,-4.37579,0.314628,0.861899,0.412348,0.453067,0.70817,0.125084,1.03695,0.555246,0.445382,0.11603,0.71148,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.935337,0.410811,0.581614
16,1776.81,1,-3.69697,1.03477,2.64548,1.85363,-2.3413,0.626988,6.6932,0.398189,-1.54953,-1.65535,1.03164,-4.37978,0.32761,0.85881,0.402396,0.461233,0.713771,0.126574,1.08226,0.557686,0.446987,0.114261,0.701487,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.920279,0.414696,0.600038
17,1783.74,1,-3.69827,0.997667,2.64283,1.86611,-2.35539,0.628864,6.66304,0.39652,-1.51711,-1.65993,1.05479,-4.38463,0.340666,0.887575,0.402512,0.46007,0.701015,0.122548,1.09158,0.543043,0.457671,0.126339,0.700876,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.909464,0.414895,0.584747
18,1787.33,1,-3.72357,0.97568,2.62766,1.87398,-2.31549,0.626616,6.62789,0.394059,-1.53761,-1.67739,1.05934,-4.38676,0.368,0.897928,0.396219,0.44837,0.732131,0.123514,1.08524,0.54634,0.453879,0.13026,0.648778,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.912642,0.414718,0.570549
19,1780.31,1,-3.71992,0.992813,2.62338,1.84958,-2.30189,0.627322,6.61726,0.402397,-1.53551,-1.65784,1.03674,-4.39054,0.390114,0.910805,0.409519,0.445002,0.746512,0.124765,1.07048,0.539887,0.465337,0.131674,0.657117,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.907626,0.409554,0.562902
20,1771.55,1,-3.70573,1.0035,2.61956,1.84641,-2.32736,0.626986,6.59454,0.39407,-1.56467,-1.6548,1.05289,-4.38482,0.387664,0.929943,0.406651,0.443073,0.750334,0.125916,1.08072,0.530233,0.479265,0.129859,0.690165,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.91407,0.412048,0.571665
