iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,dF_pop,q_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_q_exp,omega_ifn0,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_ifn0_b_exp,corr_p_b_exp,corr_q_exp_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_ifn0_beta_exp,corr_p_beta_exp,corr_q_exp_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_ifn0_delta0,corr_p_delta0,corr_q_exp_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_ifn0_h_0,corr_p_h_0,corr_q_exp_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_p_ifn0,corr_q_exp_ifn0,corr_rho_exp_ifn0,corr_sigma_ifn0,corr_tc_ifn0,corr_td_ifn0,corr_q_exp_p,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_rho_exp_q_exp,corr_sigma_q_exp,corr_tc_q_exp,corr_td_q_exp,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2,a3
264,1695.93,1,-3.77767,0.920096,2.80572,1.87281,-2.3674,0.629314,6.05108,0.427471,-1.53112,-1.69876,0.991679,-4.34798,0.562775,1.18761,0.41494,0.493536,1.20222,0.19181,1.54362,0.625235,0.532489,0.166833,0.284482,-0.778834,-0.560637,-0.941415,0.551773,0.229468,-0.614165,-0.787715,-0.0495837,-0.718463,0.577434,0.560557,0.666937,-0.66094,-0.357195,0.555591,0.649425,-0.136552,0.502131,-0.656139,0.591713,-0.860026,0.191216,0.738098,0.868995,0.563882,0.798709,-0.360193,-0.58446,-0.287828,0.733632,0.810197,0.0508423,0.664888,-0.364297,0.0875649,-0.816706,-0.76732,-0.237274,-0.588314,0.331714,-0.381733,0.130866,0.79735,0.303631,-0.21997,0.699256,0.0580912,0.508219,-0.0242512,0.434825,0.800308,-0.501682,0.671553,-0.136223,-0.486486,0.84969,0.394781,0.548601
265,1686.81,1,-3.78652,0.950184,2.8161,1.86788,-2.36736,0.628595,6.04897,0.4284,-1.54651,-1.68412,0.980526,-4.34835,0.568881,1.17593,0.421482,0.491142,1.20338,0.193823,1.54143,0.63157,0.545222,0.172044,0.278311,-0.781751,-0.592468,-0.944358,0.507349,0.234415,-0.630588,-0.810031,-0.0542081,-0.723193,0.549278,0.581905,0.681958,-0.643062,-0.376647,0.569822,0.685626,-0.142747,0.496246,-0.649893,0.61752,-0.855386,0.162045,0.757799,0.87101,0.541247,0.803752,-0.401134,-0.555138,-0.305614,0.752879,0.814478,0.0417419,0.673943,-0.337112,0.127558,-0.832023,-0.74846,-0.209234,-0.535486,0.286874,-0.387368,0.0920774,0.778833,0.286264,-0.249498,0.700229,0.0599347,0.524833,-0.0237777,0.395059,0.795117,-0.539881,0.670994,-0.148472,-0.473773,0.851976,0.396899,0.553741
266,1704.43,1,-3.76507,0.963505,2.82044,1.85298,-2.39075,0.629144,6.01908,0.420148,-1.5221,-1.64295,0.967836,-4.34847,0.573048,1.15943,0.442379,0.493131,1.21026,0.190857,1.53799,0.6027,0.540002,0.171657,0.268198,-0.803656,-0.575488,-0.947214,0.493092,0.224393,-0.603664,-0.787923,-0.0480802,-0.715504,0.571566,0.594705,0.71207,-0.632206,-0.368367,0.579651,0.696012,-0.116852,0.535119,-0.675211,0.592243,-0.845727,0.170972,0.72616,0.876538,0.53709,0.80791,-0.420506,-0.549931,-0.293216,0.725068,0.791388,0.0193144,0.658802,-0.369644,0.155696,-0.843765,-0.743478,-0.210119,-0.539899,0.274234,-0.403164,0.115641,0.776397,0.269759,-0.215271,0.66197,0.043795,0.516489,-0.0219694,0.404056,0.799295,-0.553742,0.66781,-0.158549,-0.496306,0.855351,0.397809,0.556284
267,1696.32,1,-3.76456,1.03631,2.81609,1.87887,-2.38477,0.628079,5.99637,0.421183,-1.51572,-1.63506,0.945944,-4.34058,0.567699,1.18663,0.429977,0.495832,1.21603,0.193972,1.57719,0.594299,0.54376,0.167872,0.253616,-0.811906,-0.54716,-0.948612,0.385455,0.248606,-0.564367,-0.778611,-0.0470863,-0.690214,0.5863,0.586538,0.705228,-0.542191,-0.381698,0.555832,0.682279,-0.073657,0.54869,-0.682852,0.545908,-0.793493,0.174193,0.697588,0.863767,0.571961,0.818435,-0.43274,-0.423618,-0.291336,0.663599,0.781964,0.0214728,0.636135,-0.394851,0.161232,-0.846997,-0.67069,-0.212099,-0.480407,0.169626,-0.420246,0.10044,0.71993,0.230734,-0.215456,0.646575,0.040542,0.482707,-0.00315013,0.442693,0.815091,-0.544984,0.692448,-0.179621,-0.509594,0.861673,0.398678,0.553517
268,1705.74,1,-3.75579,1.10598,2.82588,1.85096,-2.37412,0.627322,6.19597,0.416975,-1.51949,-1.62306,0.93864,-4.33724,0.561348,1.18682,0.443645,0.501042,1.20485,0.192309,1.55585,0.607989,0.535863,0.170708,0.245079,-0.792327,-0.562839,-0.945032,0.401584,0.217192,-0.56107,-0.780619,-0.0247926,-0.697623,0.60005,0.606418,0.6981,-0.545761,-0.361003,0.533174,0.671775,-0.0864615,0.550288,-0.694926,0.575215,-0.823464,0.139459,0.685906,0.883057,0.549993,0.819913,-0.416616,-0.465453,-0.292443,0.684236,0.780031,-0.0140992,0.634766,-0.408164,0.135077,-0.822691,-0.69665,-0.258919,-0.528701,0.224508,-0.461895,0.114878,0.73533,0.229572,-0.195131,0.640457,0.0220139,0.495666,-0.0111687,0.469839,0.844021,-0.516187,0.660295,-0.132087,-0.499636,0.865914,0.394715,0.565992
269,1704.65,1,-3.73396,1.19597,2.83494,1.8419,-2.42253,0.633759,6.25043,0.42849,-1.50089,-1.59423,0.950082,-4.33405,0.550565,1.22297,0.441094,0.496787,1.16624,0.186268,1.57933,0.618183,0.525853,0.177662,0.265513,-0.782833,-0.549242,-0.941687,0.387496,0.203569,-0.533342,-0.790046,-0.0368303,-0.689037,0.589545,0.62746,0.686365,-0.520552,-0.324361,0.485063,0.691444,-0.0783419,0.548993,-0.690779,0.552974,-0.806208,0.153108,0.673213,0.872545,0.54666,0.803987,-0.380771,-0.460076,-0.280426,0.667202,0.79477,3.69258e-05,0.617173,-0.386904,0.119296,-0.835905,-0.691885,-0.230418,-0.459771,0.153987,-0.413106,0.0890294,0.70666,0.241766,-0.206724,0.669288,0.0710414,0.454567,0.0571387,0.428927,0.812301,-0.479592,0.678246,-0.0532043,-0.457339,0.847748,0.390053,0.576397
270,1707.33,1,-3.74745,1.15287,2.83897,1.86462,-2.40589,0.63054,6.24035,0.426766,-1.51027,-1.59865,0.917424,-4.33464,0.58298,1.22393,0.439526,0.482886,1.19414,0.186716,1.61824,0.651249,0.558424,0.17326,0.264272,-0.789118,-0.549129,-0.947391,0.376241,0.213885,-0.510354,-0.76779,-0.0329355,-0.686596,0.572293,0.632151,0.686366,-0.5273,-0.3074,0.467093,0.674048,-0.100544,0.517144,-0.672305,0.548155,-0.817459,0.163268,0.662655,0.882682,0.552026,0.800462,-0.389523,-0.423184,-0.277506,0.629496,0.777827,0.0232442,0.641459,-0.384958,0.0670764,-0.802568,-0.734648,-0.310925,-0.503078,0.224519,-0.425115,0.122547,0.728849,0.248937,-0.224192,0.663186,0.103014,0.479322,0.0675594,0.455125,0.807265,-0.464049,0.6773,-0.0555757,-0.424324,0.855792,0.39345,0.563042
271,1699.98,1,-3.7583,1.11235,2.84009,1.84792,-2.40281,0.629482,6.23005,0.421712,-1.45832,-1.60706,0.913099,-4.347,0.576937,1.1875,0.438488,0.492491,1.19044,0.186183,1.60063,0.637754,0.549525,0.167138,0.275505,-0.78907,-0.53773,-0.946481,0.414524,0.226257,-0.517043,-0.77293,-0.0179698,-0.681808,0.591358,0.607335,0.69483,-0.531991,-0.32488,0.493546,0.677866,-0.101677,0.503334,-0.668054,0.542153,-0.796616,0.175892,0.644962,0.870758,0.572613,0.808544,-0.364673,-0.473092,-0.309954,0.639592,0.785432,-0.00619433,0.634938,-0.404434,0.0775611,-0.813291,-0.772178,-0.34059,-0.534562,0.248019,-0.461644,0.0662891,0.714961,0.2493,-0.19908,0.680105,0.0923631,0.482767,0.0234659,0.432132,0.802115,-0.450592,0.680225,-0.0246926,-0.402412,0.867517,0.394119,0.555256
272,1711.42,1,-3.76274,1.04729,2.84955,1.85967,-2.40319,0.628704,6.12521,0.423,-1.45391,-1.64243,0.914427,-4.34775,0.599447,1.17244,0.434121,0.497959,1.18887,0.187404,1.54499,0.638377,0.567354,0.158761,0.289021,-0.801293,-0.532719,-0.947357,0.41134,0.275458,-0.509684,-0.755728,-0.0104761,-0.693169,0.593725,0.590151,0.721814,-0.530488,-0.34021,0.472942,0.686904,-0.109923,0.500581,-0.669948,0.55134,-0.766042,0.16902,0.632666,0.879051,0.577985,0.806627,-0.335242,-0.469676,-0.371516,0.643326,0.770159,-0.010604,0.6554,-0.406139,0.104525,-0.79593,-0.77115,-0.315504,-0.51698,0.251931,-0.475152,0.0396897,0.724939,0.229518,-0.151931,0.669394,0.0886523,0.476746,0.0175248,0.434818,0.810701,-0.452585,0.669678,-0.00437444,-0.402688,0.867848,0.395152,0.54803
273,1708.55,1,-3.75603,0.988962,2.85186,1.87336,-2.36756,0.622941,5.98984,0.423993,-1.46598,-1.67469,0.925545,-4.35785,0.577262,1.17077,0.408785,0.502072,1.20086,0.188755,1.52921,0.621879,0.571155,0.159991,0.293534,-0.790149,-0.52104,-0.951776,0.350854,0.284529,-0.46515,-0.719381,-0.0400602,-0.687879,0.594299,0.608043,0.708759,-0.505342,-0.317245,0.433659,0.683277,-0.0710244,0.507721,-0.692288,0.539248,-0.809403,0.121531,0.679475,0.902298,0.58823,0.805639,-0.310918,-0.402286,-0.365313,0.590449,0.731284,0.0296815,0.654852,-0.410715,0.034224,-0.771221,-0.785727,-0.397995,-0.530425,0.216678,-0.454068,0.0471386,0.700154,0.193826,-0.134781,0.662002,0.140835,0.49932,0.0666445,0.500846,0.821181,-0.430155,0.683081,-0.0331712,-0.397856,0.86947,0.395595,0.54377
274,1711.01,1,-3.75011,1.04813,2.83409,1.87982,-2.38918,0.628123,6.23911,0.429213,-1.4527,-1.66742,0.926167,-4.34728,0.580978,1.18168,0.431855,0.506283,1.20273,0.197951,1.45959,0.593535,0.580658,0.167562,0.295177,-0.789466,-0.523957,-0.946037,0.332128,0.317438,-0.453797,-0.707571,-0.0271668,-0.711254,0.581304,0.615988,0.679446,-0.496428,-0.339148,0.423816,0.680215,-0.0956137,0.522296,-0.716108,0.521962,-0.830268,0.0869995,0.642533,0.909295,0.540485,0.80195,-0.351106,-0.378916,-0.402298,0.584208,0.699039,0.00514022,0.681523,-0.373054,0.0951236,-0.756284,-0.771665,-0.335892,-0.536285,0.196012,-0.523696,0.0188738,0.717739,0.132742,-0.139875,0.633564,0.0490646,0.497184,0.110588,0.47808,0.842335,-0.471721,0.651007,-0.0681161,-0.388699,0.860897,0.391574,0.558288
275,1707.19,1,-3.77543,1.01071,2.84426,1.87526,-2.38297,0.626586,6.18006,0.420484,-1.4484,-1.67509,0.954823,-4.35054,0.579951,1.20517,0.443546,0.505771,1.20018,0.196191,1.46134,0.58965,0.567661,0.173136,0.306114,-0.806639,-0.531175,-0.944324,0.356163,0.354945,-0.45035,-0.710564,-0.0268633,-0.71618,0.577505,0.611745,0.696069,-0.512594,-0.363593,0.416033,0.681212,-0.10722,0.53461,-0.73391,0.538101,-0.877454,0.0636327,0.63785,0.900088,0.515509,0.790928,-0.368111,-0.396659,-0.444825,0.596794,0.698134,-0.00704336,0.683768,-0.370027,0.092845,-0.760559,-0.787578,-0.353818,-0.583874,0.198441,-0.557546,-0.00859413,0.724097,0.0842983,-0.101982,0.614549,-0.00325724,0.469561,0.0978477,0.463133,0.827153,-0.472744,0.634838,-0.0526758,-0.394297,0.868399,0.398339,0.55751
276,1705.85,1,-3.75611,1.01442,2.84119,1.83484,-2.38614,0.625755,6.20599,0.428374,-1.45754,-1.65816,0.949388,-4.35133,0.573317,1.20636,0.472063,0.527244,1.20346,0.20175,1.47517,0.598856,0.561797,0.174659,0.314847,-0.804842,-0.521103,-0.947648,0.401855,0.402653,-0.461303,-0.720642,-0.0272678,-0.748331,0.59527,0.56562,0.707964,-0.535802,-0.41137,0.417657,0.63897,-0.123805,0.556771,-0.725779,0.538195,-0.836263,0.11141,0.596314,0.910097,0.553037,0.787134,-0.352419,-0.455533,-0.488692,0.612659,0.727191,-0.0048982,0.709303,-0.390048,0.178617,-0.789145,-0.761631,-0.272477,-0.555485,0.178019,-0.556917,-0.0017746,0.718999,0.0519975,-0.0619123,0.595416,-0.0367313,0.434291,0.10643,0.500144,0.860212,-0.444535,0.613344,-0.0637212,-0.452873,0.867758,0.395887,0.556463
277,1704.23,1,-3.73892,1.00742,2.83719,1.82668,-2.39506,0.625915,6.11631,0.427522,-1.46664,-1.64886,0.941458,-4.34212,0.567801,1.23349,0.442002,0.538868,1.20809,0.200206,1.50801,0.585621,0.558721,0.173328,0.324202,-0.796781,-0.549071,-0.950935,0.33182,0.332813,-0.461512,-0.736189,-0.0845502,-0.752152,0.601842,0.603638,0.715983,-0.523005,-0.365828,0.445544,0.684397,-0.0928991,0.540757,-0.721127,0.572992,-0.79293,0.13281,0.642773,0.918671,0.555317,0.787145,-0.334788,-0.388288,-0.411029,0.587224,0.727561,0.0521883,0.719754,-0.412267,0.169387,-0.817156,-0.715345,-0.257065,-0.494343,0.120761,-0.455752,0.0470694,0.704853,0.094463,-0.0533473,0.609085,0.0695093,0.489679,0.102599,0.52081,0.86362,-0.476971,0.652162,-0.0558939,-0.424504,0.869954,0.395839,0.559976
278,1698.85,1,-3.75693,0.925447,2.82144,1.82485,-2.35345,0.621337,6.00922,0.427458,-1.45172,-1.69498,0.939623,-4.34512,0.550251,1.24393,0.452445,0.537248,1.21323,0.203922,1.48323,0.574916,0.566098,0.17742,0.321462,-0.822623,-0.559635,-0.952588,0.408783,0.320766,-0.49573,-0.756504,-0.0863453,-0.775053,0.578296,0.596863,0.743515,-0.576109,-0.382623,0.499873,0.714893,-0.0836286,0.606664,-0.694624,0.581161,-0.833205,0.153979,0.68384,0.913679,0.577352,0.791523,-0.307661,-0.462644,-0.394296,0.613128,0.750775,0.0577689,0.724218,-0.390432,0.170273,-0.82902,-0.764911,-0.277748,-0.551641,0.143624,-0.427971,0.0354223,0.740032,0.111485,-0.0739968,0.645573,0.0870043,0.512912,0.0929525,0.498655,0.857145,-0.472904,0.617978,-0.063486,-0.456385,0.863942,0.399237,0.550266
279,1698.65,1,-3.74511,0.923149,2.82447,1.84851,-2.38156,0.623887,5.89485,0.416592,-1.45132,-1.68584,0.943417,-4.3416,0.547747,1.22946,0.441951,0.518361,1.20171,0.197698,1.46725,0.557207,0.573112,0.18335,0.330934,-0.826897,-0.556083,-0.951695,0.431796,0.352164,-0.503816,-0.742537,-0.104691,-0.789241,0.566896,0.600886,0.74345,-0.569565,-0.390586,0.518604,0.709157,-0.0535247,0.6197,-0.697175,0.580826,-0.828702,0.130244,0.720499,0.922292,0.599786,0.783865,-0.311509,-0.499368,-0.413538,0.617711,0.743495,0.0854099,0.739307,-0.382091,0.208043,-0.883458,-0.774881,-0.290169,-0.565321,0.13843,-0.404345,0.0326888,0.72333,0.0665854,-0.0674745,0.680796,0.14381,0.543824,0.0567557,0.528271,0.855108,-0.473315,0.616094,-0.0924195,-0.464787,0.85909,0.401844,0.548809
280,1699.56,1,-3.72551,0.962846,2.81923,1.85069,-2.39798,0.62774,5.94291,0.419485,-1.46003,-1.66619,0.969514,-4.34449,0.556011,1.23211,0.436524,0.515193,1.21403,0.193256,1.49865,0.56053,0.57995,0.178436,0.331466,-0.83233,-0.582736,-0.958275,0.419649,0.304017,-0.500736,-0.769028,-0.145362,-0.788542,0.58316,0.643457,0.757471,-0.569783,-0.318251,0.539456,0.731873,-0.0146078,0.615865,-0.71195,0.576668,-0.80752,0.163563,0.72358,0.917621,0.583821,0.790766,-0.345737,-0.444701,-0.375864,0.566719,0.751181,0.11241,0.734992,-0.418431,0.158401,-0.879408,-0.730082,-0.276885,-0.544007,0.19283,-0.362134,0.0842042,0.732449,0.120889,-0.0635795,0.672431,0.144794,0.536968,-0.0165777,0.544928,0.86111,-0.485307,0.651939,-0.0980231,-0.459266,0.864298,0.398345,0.55828
281,1696.16,1,-3.74167,0.94273,2.81399,1.85124,-2.38807,0.627489,5.86323,0.419553,-1.45224,-1.66933,0.965847,-4.34883,0.556364,1.23854,0.437588,0.493336,1.21485,0.193662,1.46269,0.567199,0.57952,0.170118,0.312193,-0.832593,-0.572591,-0.959393,0.353711,0.302681,-0.456685,-0.774548,-0.119872,-0.772207,0.577851,0.621354,0.750256,-0.507859,-0.320431,0.516107,0.730856,-0.051371,0.59425,-0.70687,0.568142,-0.772657,0.201837,0.692781,0.913359,0.567288,0.790903,-0.347858,-0.375176,-0.367833,0.529287,0.763184,0.100569,0.735239,-0.413899,0.0890225,-0.847344,-0.686299,-0.238491,-0.490326,0.211756,-0.337882,0.0904615,0.741843,0.143875,-0.102857,0.629406,0.0872799,0.475542,-0.00163488,0.512929,0.851795,-0.496536,0.650234,-0.0984157,-0.447859,0.854107,0.398558,0.569262
282,1710.19,1,-3.72643,1.02211,2.8026,1.85666,-2.42231,0.633006,5.98994,0.420188,-1.44999,-1.63359,0.944272,-4.32944,0.562556,1.24198,0.44266,0.474351,1.21127,0.194582,1.45051,0.562634,0.572676,0.18045,0.338247,-0.831524,-0.601942,-0.957292,0.381301,0.306889,-0.510505,-0.792994,-0.0921923,-0.766422,0.56211,0.641934,0.749055,-0.522154,-0.311788,0.562169,0.735602,-0.0613726,0.603571,-0.698176,0.5895,-0.775265,0.168058,0.700787,0.901905,0.551416,0.822286,-0.373339,-0.403957,-0.381252,0.5922,0.778005,0.0600054,0.719454,-0.38724,0.136562,-0.838441,-0.697885,-0.258639,-0.536679,0.198005,-0.426844,0.0428738,0.717805,0.105697,-0.149313,0.644927,0.0304908,0.504591,-0.0264186,0.476058,0.847332,-0.496815,0.622123,-0.101288,-0.439617,0.873349,0.400225,0.548366
283,1710.45,1,-3.70689,1.07414,2.80939,1.85478,-2.45811,0.636775,6.20596,0.419639,-1.44464,-1.61932,0.951806,-4.32639,0.560516,1.2276,0.436444,0.473023,1.20983,0.195127,1.4638,0.580244,0.56146,0.172589,0.354988,-0.835316,-0.607269,-0.957599,0.302037,0.324341,-0.456882,-0.786277,-0.0743308,-0.773101,0.545681,0.657356,0.746496,-0.473366,-0.313491,0.530782,0.745195,-0.0621908,0.619438,-0.697121,0.614163,-0.775679,0.125106,0.702281,0.913185,0.535601,0.829127,-0.360569,-0.334321,-0.376971,0.536023,0.789475,0.0802039,0.745691,-0.372452,0.0942611,-0.83732,-0.65744,-0.272587,-0.501251,0.172054,-0.406733,0.0101692,0.709951,0.0908816,-0.138611,0.627046,0.0351738,0.487161,-0.0181694,0.470783,0.864462,-0.472894,0.608418,-0.0775328,-0.418913,0.856682,0.389162,0.564508
284,1701.81,1,-3.721,1.03394,2.81906,1.85666,-2.42148,0.631744,6.00399,0.427026,-1.47157,-1.61748,0.963226,-4.33376,0.566078,1.22461,0.435837,0.47548,1.19137,0.194242,1.42638,0.585764,0.547224,0.165668,0.371518,-0.805282,-0.580424,-0.94968,0.185605,0.335623,-0.465283,-0.769044,-0.0698294,-0.778717,0.53478,0.625716,0.691617,-0.456303,-0.334515,0.582574,0.707869,-0.0868963,0.604027,-0.688316,0.590289,-0.742198,0.121489,0.709403,0.90637,0.531758,0.827024,-0.332216,-0.20551,-0.396289,0.534356,0.764226,0.067669,0.746985,-0.325858,0.0515136,-0.802476,-0.585207,-0.187118,-0.373238,0.164925,-0.434044,0.0297057,0.731533,0.0971499,-0.157823,0.620102,-0.0517486,0.456762,-0.0565195,0.498842,0.883698,-0.460696,0.602212,-0.107778,-0.436791,0.863646,0.395973,0.550577
285,1705.61,1,-3.73101,0.990318,2.79513,1.84147,-2.41805,0.632249,6.21181,0.42309,-1.49661,-1.61518,0.95726,-4.33828,0.574918,1.25216,0.430612,0.473915,1.17936,0.191621,1.48226,0.574181,0.541261,0.159424,0.386722,-0.799149,-0.595727,-0.948431,0.199618,0.315424,-0.460242,-0.782314,-0.09025,-0.782801,0.561013,0.63734,0.687604,-0.479503,-0.335435,0.607503,0.724002,-0.0760657,0.608361,-0.677424,0.59069,-0.761798,0.123817,0.677427,0.902006,0.515315,0.829615,-0.309557,-0.198465,-0.400508,0.533274,0.757517,0.0633991,0.740348,-0.342496,-0.0431004,-0.735531,-0.612902,-0.238017,-0.410592,0.161021,-0.479497,0.0335454,0.737835,0.0983902,-0.155249,0.606409,-0.116698,0.421192,-0.0119517,0.493789,0.896288,-0.457284,0.604824,-0.113235,-0.423927,0.873171,0.399523,0.550615
286,1692.01,1,-3.69851,1.01827,2.79295,1.8513,-2.41985,0.631212,6.35636,0.439173,-1.46316,-1.60942,0.972227,-4.33661,0.571792,1.27925,0.462628,0.482038,1.18628,0.193182,1.50542,0.581569,0.525785,0.162417,0.386047,-0.814345,-0.57718,-0.944111,0.259202,0.292709,-0.475578,-0.782892,-0.0973971,-0.77665,0.569846,0.623603,0.694699,-0.526369,-0.297529,0.616445,0.736877,-0.0741473,0.601905,-0.711281,0.564812,-0.814683,0.175366,0.647258,0.911027,0.533243,0.816153,-0.334544,-0.224806,-0.387584,0.545585,0.758137,0.0650788,0.725396,-0.333798,-0.0904672,-0.695652,-0.636682,-0.262766,-0.4571,0.252665,-0.4845,0.0690115,0.753007,0.125647,-0.185109,0.593922,-0.161937,0.392357,-0.0550807,0.494099,0.890066,-0.484324,0.614088,-0.145406,-0.453392,0.852642,0.399869,0.543018
287,1706.57,1,-3.69335,0.989057,2.79253,1.85069,-2.42233,0.629974,6.35651,0.435057,-1.46975,-1.63628,0.963029,-4.33977,0.545137,1.29368,0.467055,0.476304,1.16563,0.194967,1.52554,0.593102,0.536385,0.166934,0.385752,-0.791378,-0.593778,-0.948724,0.19431,0.254079,-0.430779,-0.78898,-0.155377,-0.79048,0.570782,0.642469,0.676594,-0.492639,-0.292219,0.581469,0.716426,-0.0425402,0.599892,-0.715561,0.577172,-0.791152,0.127779,0.661123,0.906174,0.535943,0.829258,-0.339391,-0.16967,-0.341191,0.496757,0.7621,0.121339,0.744748,-0.355953,-0.0244969,-0.725694,-0.583782,-0.24472,-0.438303,0.182997,-0.49347,0.0825638,0.76036,0.12792,-0.20008,0.567663,-0.122828,0.407513,-0.0266793,0.531927,0.89156,-0.499211,0.624771,-0.177507,-0.450339,0.863133,0.396922,0.544194
288,1719.26,1,-3.7063,0.956919,2.78338,1.82553,-2.40999,0.626031,6.15384,0.428211,-1.46447,-1.63332,0.96136,-4.33983,0.546454,1.27394,0.467343,0.469407,1.18703,0.193669,1.54478,0.577682,0.550274,0.166728,0.408695,-0.799801,-0.585289,-0.943814,0.169166,0.208766,-0.431595,-0.806273,-0.178419,-0.791946,0.556267,0.616417,0.681267,-0.468822,-0.272354,0.609895,0.730271,-0.0225219,0.591481,-0.701,0.572309,-0.777478,0.165941,0.666365,0.908633,0.591629,0.817715,-0.337108,-0.129659,-0.306362,0.483482,0.779684,0.141426,0.73913,-0.317067,-0.106269,-0.702293,-0.57428,-0.328121,-0.424973,0.233444,-0.447814,0.0936631,0.749824,0.177083,-0.252484,0.583496,-0.0877033,0.388778,-0.0434847,0.52667,0.878236,-0.486498,0.651406,-0.191475,-0.45938,0.872193,0.406776,0.557649
289,1703.38,1,-3.71772,0.931367,2.78064,1.84068,-2.40925,0.626761,6.0174,0.425663,-1.48889,-1.64276,0.978986,-4.33991,0.546157,1.24393,0.464874,0.459989,1.20736,0.191579,1.55238,0.561696,0.534451,0.166836,0.431446,-0.842737,-0.585588,-0.945813,0.135463,0.186193,-0.439934,-0.80824,-0.187159,-0.797811,0.558503,0.622948,0.745382,-0.409799,-0.252925,0.614172,0.762047,0.023808,0.64171,-0.674546,0.574495,-0.7494,0.186814,0.662533,0.906122,0.62312,0.836461,-0.344615,-0.0911155,-0.29112,0.491692,0.786839,0.152065,0.746049,-0.335048,-0.132169,-0.674203,-0.542317,-0.344991,-0.410586,0.227941,-0.45424,0.117724,0.741431,0.20277,-0.296499,0.570338,-0.0639896,0.407293,-0.0284842,0.554248,0.899245,-0.497087,0.66372,-0.208977,-0.48111,0.856453,0.400538,0.565833
290,1685.91,1,-3.72566,0.91107,2.77561,1.8519,-2.3916,0.627579,5.97532,0.425673,-1.47107,-1.65696,0.974667,-4.33412,0.550321,1.23434,0.448929,0.460765,1.23483,0.192683,1.50796,0.546016,0.531014,0.164875,0.440611,-0.851559,-0.589745,-0.954161,0.166865,0.17657,-0.420257,-0.818405,-0.167502,-0.797865,0.558014,0.618742,0.76254,-0.419657,-0.23361,0.588571,0.750608,-0.0217562,0.633834,-0.68221,0.579941,-0.767865,0.230031,0.678003,0.904609,0.583059,0.819907,-0.339842,-0.108377,-0.266588,0.474837,0.796774,0.141289,0.754722,-0.357352,-0.190858,-0.681375,-0.543229,-0.352429,-0.44512,0.250981,-0.403702,0.154087,0.740309,0.204494,-0.293578,0.549876,-0.0778726,0.396579,-0.0163795,0.537322,0.907207,-0.485729,0.649595,-0.158897,-0.472993,0.864969,0.396527,0.575814
291,1696.47,1,-3.725,0.923383,2.76725,1.86448,-2.40556,0.627115,6.0183,0.425499,-1.45599,-1.64457,0.971495,-4.33186,0.544206,1.22023,0.437669,0.437155,1.22797,0.191848,1.52688,0.561486,0.536642,0.160565,0.449668,-0.862777,-0.600864,-0.956246,0.219056,0.155631,-0.39265,-0.817611,-0.208211,-0.795899,0.556423,0.605104,0.781854,-0.444022,-0.213872,0.555332,0.748916,0.000741328,0.623343,-0.671797,0.586412,-0.778368,0.298819,0.64014,0.910923,0.594883,0.816223,-0.336119,-0.151462,-0.249827,0.438716,0.799357,0.174175,0.752486,-0.359116,-0.229134,-0.692731,-0.577802,-0.341662,-0.466055,0.2725,-0.365932,0.184703,0.742591,0.250648,-0.308366,0.524466,-0.0920252,0.357298,0.0193265,0.550087,0.897871,-0.460721,0.674261,-0.174618,-0.464234,0.875198,0.404947,0.567503
292,1694.76,1,-3.72662,0.938883,2.7666,1.86937,-2.38752,0.628514,6.13184,0.424272,-1.45336,-1.64442,0.971482,-4.33813,0.551255,1.20954,0.435845,0.440752,1.23042,0.19143,1.54614,0.553873,0.516856,0.171081,0.448852,-0.85643,-0.599479,-0.958774,0.349237,0.16805,-0.538038,-0.823688,-0.202142,-0.802332,0.527685,0.610917,0.768836,-0.548505,-0.209158,0.646824,0.751405,0.0142874,0.63863,-0.664579,0.598545,-0.822483,0.28533,0.665697,0.908624,0.604459,0.809938,-0.316921,-0.278015,-0.222591,0.565768,0.815973,0.193514,0.7627,-0.342716,-0.194669,-0.667904,-0.66865,-0.371328,-0.57493,0.372892,-0.408912,0.152485,0.742678,0.215737,-0.306404,0.629911,-0.0694603,0.470501,-0.0472353,0.544088,0.895892,-0.420988,0.656515,-0.162071,-0.440686,0.873307,0.397156,0.560208
