pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-2.21503,0.00520833,-3.19787,0.000520833,-2.1747,0.00520833,All
-1.9486,0.0104167,-3.18812,0.00104167,-1.92069,0.0104167,All
-1.74294,0.015625,-3.13673,0.0015625,-1.89659,0.015625,All
-1.73681,0.0208333,-3.02362,0.00208333,-1.81763,0.0208333,All
-1.71687,0.0260417,-3.01185,0.00260417,-1.55775,0.0260417,All
-1.5631,0.03125,-2.97888,0.003125,-1.54839,0.03125,All
-1.42821,0.0364583,-2.97164,0.00364583,-1.52711,0.0364583,All
-1.41864,0.0416667,-2.87055,0.00416667,-1.46114,0.0416667,All
-1.31394,0.046875,-2.86153,0.0046875,-1.38482,0.046875,All
-1.29625,0.0520833,-2.83971,0.00520833,-1.37708,0.0520833,All
-1.27243,0.0572917,-2.81585,0.00572917,-1.37593,0.0572917,All
-1.23326,0.0625,-2.80294,0.00625,-1.35371,0.0625,All
-1.19969,0.0677083,-2.79181,0.00677083,-1.2947,0.0677083,All
-1.19462,0.0729167,-2.79083,0.00729167,-1.28608,0.0729167,All
-1.17674,0.078125,-2.7321,0.0078125,-1.24491,0.078125,All
-1.16283,0.0833333,-2.71034,0.00833333,-1.23594,0.0833333,All
-1.13041,0.0885417,-2.60736,0.00885417,-1.2287,0.0885417,All
-1.1161,0.09375,-2.54664,0.009375,-1.22382,0.09375,All
-1.09546,0.0989583,-2.5429,0.00989583,-1.19954,0.0989583,All
-1.09493,0.104167,-2.5384,0.0104167,-1.14984,0.104167,All
-1.07121,0.109375,-2.52641,0.0109375,-1.14941,0.109375,All
-1.06199,0.114583,-2.48597,0.0114583,-1.13494,0.114583,All
-1.06131,0.119792,-2.47592,0.0119792,-1.12674,0.119792,All
-1.06027,0.125,-2.46178,0.0125,-1.11973,0.125,All
-1.03453,0.130208,-2.45333,0.0130208,-1.07529,0.130208,All
-1.03452,0.135417,-2.45035,0.0135417,-1.07313,0.135417,All
-1.0193,0.140625,-2.39902,0.0140625,-1.07116,0.140625,All
-1.00574,0.145833,-2.38538,0.0145833,-1.06823,0.145833,All
-0.995876,0.151042,-2.38384,0.0151042,-1.0393,0.151042,All
-0.990191,0.15625,-2.34637,0.015625,-1.01458,0.15625,All
-0.976784,0.161458,-2.33364,0.0161458,-1.00819,0.161458,All
-0.941194,0.166667,-2.30984,0.0166667,-0.994184,0.166667,All
-0.939064,0.171875,-2.30307,0.0171875,-0.983062,0.171875,All
-0.93125,0.177083,-2.30077,0.0177083,-0.98014,0.177083,All
-0.894034,0.182292,-2.29124,0.0182292,-0.970169,0.182292,All
-0.879475,0.1875,-2.2771,0.01875,-0.955983,0.1875,All
-0.870336,0.192708,-2.23721,0.0192708,-0.949295,0.192708,All
-0.849372,0.197917,-2.22645,0.0197917,-0.922291,0.197917,All
-0.820126,0.203125,-2.22428,0.0203125,-0.919194,0.203125,All
-0.814703,0.208333,-2.21395,0.0208333,-0.918466,0.208333,All
-0.808021,0.213542,-2.21297,0.0213542,-0.906912,0.213542,All
-0.807046,0.21875,-2.20315,0.021875,-0.893273,0.21875,All
-0.793915,0.223958,-2.18913,0.0223958,-0.859767,0.223958,All
-0.760233,0.229167,-2.1724,0.0229167,-0.856202,0.229167,All
-0.728854,0.234375,-2.13125,0.0234375,-0.847701,0.234375,All
-0.697553,0.239583,-2.11775,0.0239583,-0.838513,0.239583,All
-0.683817,0.244792,-2.09427,0.0244792,-0.804091,0.244792,All
-0.682019,0.25,-2.08212,0.025,-0.766281,0.25,All
-0.67385,0.255208,-2.07891,0.0255208,-0.716997,0.255208,All
-0.656068,0.260417,-2.07731,0.0260417,-0.707503,0.260417,All
-0.641404,0.265625,-2.07126,0.0265625,-0.668111,0.265625,All
-0.618959,0.270833,-2.06712,0.0270833,-0.662448,0.270833,All
