pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.56748,0.00972147,-2.42276,0.0214844,-1.76038,0.0132743,All
-1.29125,0.0874933,-2.32601,0.0375976,-1.55808,0.039823,All
-1.01501,0.505517,-2.22927,0.0375976,-1.35578,0.079646,All
-0.738774,0.748554,-2.13252,0.0617675,-1.15348,0.238938,All
-0.462538,1.07908,-2.03578,0.0617675,-0.951175,0.49115,All
-0.186302,0.359695,-1.93903,0.0644531,-0.748873,0.544247,All
0.089934,0.233315,-1.84229,0.0805664,-0.546571,0.530973,All
0.36617,0.194429,-1.74554,0.0805664,-0.344269,0.49115,All
0.642406,0.116658,-1.6488,0.112793,-0.141967,0.610619,All
0.918642,0.145822,-1.55205,0.136963,0.0603345,0.464601,All
1.19488,0.126379,-1.45531,0.166504,0.262636,0.252212,All
1.47111,0.0486074,-1.35856,0.187988,0.464938,0.39823,All
1.74735,0.0583288,-1.26181,0.209473,0.66724,0.185841,All
2.02359,0.0291644,-1.16507,0.201416,0.869542,0.238938,All
2.29982,0.0194429,-1.06832,0.204101,1.07184,0.225664,All
2.57606,0.0194429,-0.971578,0.201416,1.27415,0.119469,All
2.85229,0.00972147,-0.874833,0.177246,1.47645,0.0663716,All
3.12853,0,-0.778088,0.239014,1.67875,0.119469,All
3.40477,0,-0.681342,0.290039,1.88105,0.0265487,All
3.681,0.00972147,-0.584597,0.279297,2.08335,0.0530973,All
,,-0.487852,0.257812,,,All
,,-0.391106,0.255127,,,All
,,-0.294361,0.263183,,,All
,,-0.197615,0.220215,,,All
,,-0.10087,0.276611,,,All
,,-0.00412475,1.82349,,,All
,,0.0926206,0.303467,,,All
,,0.189366,0.252441,,,All
,,0.286111,0.29541,,,All
,,0.382857,0.300781,,,All
,,0.479602,0.273926,,,All
,,0.576347,0.27124,,,All
,,0.673093,0.29541,,,All
,,0.769838,0.284668,,,All
,,0.866583,0.196045,,,All
,,0.963329,0.220215,,,All
,,1.06007,0.292724,,,All
,,1.15682,0.290039,,,All
,,1.25356,0.206787,,,All
,,1.35031,0.17456,,,All
,,1.44706,0.177246,,,All
,,1.5438,0.131592,,,All
,,1.64055,0.0993652,,,All
,,1.73729,0.0939941,,,All
,,1.83404,0.0805664,,,All
,,1.93078,0.0725097,,,All
,,2.02753,0.0429687,,,All
,,2.12427,0.0510254,,,All
,,2.22102,0.0241699,,,All
,,2.31776,0.0214844,,,All
,,2.41451,0.0214844,,,All
,,2.51125,0.0349121,,,All
,,2.608,0.0107422,,,All
,,2.70475,0.00537109,,,All
,,2.80149,0.00537109,,,All
,,2.89824,0.00537109,,,All
,,2.99498,0,,,All
,,3.09173,0,,,All
,,3.18847,0.00268555,,,All
,,3.28522,0.00268555,,,All
,,3.38196,0.00268555,,,All
,,3.47871,0.00268555,,,All
,,3.57545,0.00537109,,,All
