pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.04578,0.0329706,-3.11904,0.0101355,-1.99506,0.0621299,All
-1.70728,0.0659412,-2.96137,0.013514,-1.63579,0.0621299,All
-1.36877,0.115397,-2.80371,0.027028,-1.27652,0.24852,All
-1.03027,0.395647,-2.64604,0.00675701,-0.917253,0.372779,All
-0.69176,0.313221,-2.48838,0.0304065,-0.557983,0.232987,All
-0.353255,0.329706,-2.33071,0.033785,-0.198712,0.481507,All
-0.0147504,0.544015,-2.17305,0.0371635,0.160558,0.559169,All
0.323755,0.5605,-2.01538,0.0641915,0.519828,0.372779,All
0.66226,0.28025,-1.85772,0.0945981,0.879098,0.201922,All
1.00076,0.214309,-1.70006,0.0641915,1.23837,0.170857,All
1.33927,0.131882,-1.54239,0.138519,1.59764,0.0931949,All
1.67778,0.0824265,-1.38473,0.141897,1.95691,0.0465974,All
2.01628,0.0329706,-1.22706,0.185818,2.31618,0.0465974,All
2.35479,0.0659412,-1.0694,0.20271,2.67545,0.031065,All
,,-0.911732,0.229738,,,All
,,-0.754067,0.22636,,,All
,,-0.596403,0.253388,,,All
,,-0.438738,0.371635,,,All
,,-0.281073,0.415556,,,All
,,-0.123409,0.452719,,,All
,,0.034256,0.456098,,,All
,,0.191921,0.506775,,,All
,,0.349585,0.483126,,,All
,,0.50725,0.435827,,,All
,,0.664915,0.375014,,,All
,,0.822579,0.347986,,,All
,,0.980244,0.206089,,,All
,,1.13791,0.128383,,,All
,,1.29557,0.0979766,,,All
,,1.45324,0.0878411,,,All
,,1.6109,0.0709486,,,All
,,1.76857,0.0439205,,,All
,,1.92623,0.0675701,,,All
,,2.0839,0.0506775,,,All
,,2.24156,0.0371635,,,All
,,2.39923,0.0033785,,,All
,,2.55689,0.0101355,,,All
,,2.71456,0.020271,,,All
,,2.87222,0.0168925,,,All
,,3.02988,0.0101355,,,All
,,3.18755,0.0033785,,,All
,,3.34521,0.0168925,,,All
,,3.50288,0.00675701,,,All
,,3.66054,0.0033785,,,All
