ID,time,pop,popPred,indivPredMean,indivPredMode
7,-1,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.939759,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.879518,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.819277,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.759036,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.698795,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.638554,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.578313,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.518072,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.457831,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.39759,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.337349,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.277108,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.216867,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.156627,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.0963855,-0.39794,-0.39794,-0.245529,-0.25277
7,-0.0361446,-0.39794,-0.39794,-0.245529,-0.25277
7,0,-0.39794,-0.39794,-0.245529,-0.25277
7,0.0240964,-0.39794,-0.39794,-0.245529,-0.25277
7,0.0843373,-0.39794,-0.39794,-0.245529,-0.25277
7,0.144578,-0.39794,-0.39794,-0.245529,-0.25277
7,0.204819,-0.39794,-0.39794,-0.245529,-0.25277
7,0.26506,-0.39794,-0.39794,-0.245529,-0.25277
7,0.325301,-0.39794,-0.39794,-0.245529,-0.25277
7,0.385542,-0.39794,-0.39794,-0.245529,-0.25277
7,0.445783,-0.39794,-0.39794,-0.245529,-0.25277
7,0.506024,-0.39794,-0.39794,-0.245529,-0.25277
7,0.566265,-0.39794,-0.39794,-0.245529,-0.25277
7,0.626506,-0.39794,-0.39794,-0.245529,-0.25277
7,0.686747,-0.39794,-0.39794,-0.245529,-0.25277
7,0.746988,-0.39794,-0.39794,-0.245529,-0.25277
7,0.807229,-0.39794,-0.39794,-0.245529,-0.25277
7,0.86747,-0.39794,-0.39794,-0.245529,-0.25277
7,0.927711,-0.39794,-0.39794,-0.245529,-0.25277
