ID,time,pop,popPred,indivPredMean,indivPredMode
7,6.28,2.5034,2.5034,2.47622,2.40672
7,6.30283,2.49844,2.49844,2.4856,2.41745
7,6.4,2.47673,2.47673,2.52349,2.46116
7,6.44419,2.46643,2.46643,2.53961,2.47995
7,6.5,2.45301,2.45301,2.55898,2.50272
7,6.52,2.44809,2.44809,2.56567,2.51062
7,6.58873,2.43073,2.43073,2.58753,2.53668
7,6.64,2.41733,2.41733,2.60268,2.555
7,6.7365,2.39107,2.39107,2.62854,2.58691
7,6.76,2.38447,2.38447,2.63432,2.59415
7,6.88,2.34953,2.34953,2.66058,2.62793
7,6.88759,2.34725,2.34725,2.66205,2.62988
7,7,2.31249,2.31249,2.68126,2.65623
7,7.04207,2.299,2.299,2.6872,2.66484
7,7.12,2.27334,2.27334,2.69641,2.67898
7,7.20002,2.24606,2.24606,2.70346,2.69108
7,7.24,2.23207,2.23207,2.70606,2.6962
7,7.36,2.18864,2.18864,2.71032,2.70791
7,7.3615,2.18808,2.18808,2.71034,2.70802
7,7.48,2.14301,2.14301,2.70936,2.71425
7,7.5,2.13519,2.13519,2.70871,2.7148
7,7.52661,2.12468,2.12468,2.70763,2.71531
7,7.6,2.09514,2.09514,2.7034,2.71544
7,7.69542,2.05546,2.05546,2.6953,2.71285
7,7.72,2.045,2.045,2.69275,2.71171
7,7.84,1.99253,1.99253,2.67772,2.70337
7,7.86802,1.97994,1.97994,2.67361,2.7008
7,7.96,1.9377,1.9377,2.65864,2.69079
7,8,1.91889,1.91889,2.65146,2.68571
7,8.04448,1.89766,1.89766,2.64301,2.67957
7,8.08,1.88047,1.88047,2.63593,2.67431
7,8.2,1.82083,1.82083,2.60988,2.65435
7,8.22491,1.80815,1.80815,2.60406,2.6498
7,8.32,1.75878,1.75878,2.58037,2.63127
7,8.40938,1.71102,1.71102,2.55579,2.61228
7,8.44,1.69436,1.69436,2.54676,2.60541
7,8.5,1.66127,1.66127,2.5281,2.59139
7,8.56,1.62761,1.62761,2.50831,2.57663
7,8.59799,1.60602,1.60602,2.49527,2.56689
7,8.68,1.55868,1.55868,2.4659,2.54467
7,8.79083,1.4932,1.4932,2.42319,2.51194
7,8.8,1.48771,1.48771,2.41951,2.5091
7,8.92,1.41494,1.41494,2.36928,2.47027
7,8.988,1.37299,1.37299,2.3391,2.44691
7,9,1.36555,1.36555,2.33364,2.44268
7,9.04,1.34065,1.34065,2.31519,2.42836
7,9.16,1.26518,1.26518,2.25733,2.38341
7,9.18959,1.24646,1.24646,2.24249,2.37187
7,9.28,1.18901,1.18901,2.19574,2.33549
7,9.3957,1.11522,1.11522,2.13285,2.28658
7,9.4,1.11247,1.11247,2.13044,2.28471
7,9.5,1.04861,1.04861,2.0732,2.24024
7,9.52,1.03583,1.03583,2.06144,2.23112
7,9.60643,0.980745,0.980745,2.00944,2.19077
