rep,ID,eta_beta_exp_simulated,eta_delta0_simulated,eta_p_simulated,eta_td_simulated,eta_b_exp_simulated,eta_h_0_simulated,eta_tc_simulated,eta_sigma_simulated,eta_rho_exp_simulated,eta_q_exp_simulated,eta_ifn0_simulated,split,color,filter
1,7,-0.378401,-0.89902,-1.31426,1.23156,0.26864,0.665998,1.95722,0.632019,-0.0425233,-0.52685,-0.588184,All,#4682B4,0
2,7,-1.23554,-0.104591,-0.319674,0.632041,-0.147054,-0.318043,0.751783,-0.533197,1.05048,0.846711,1.52615,All,#4682B4,0
3,7,-1.12658,-0.852911,-0.488978,1.03361,-0.744393,0.480434,-0.117554,0.658816,-0.649152,0.612423,-0.0919347,All,#4682B4,0
4,7,-0.795488,0.546143,-0.73792,1.07297,-0.308921,0.439471,1.56715,0.12332,0.697806,1.54769,1.42978,All,#4682B4,0
5,7,-0.715217,0.0258238,-0.798586,0.863487,-0.52269,1.1249,0.804622,-0.109958,-1.10318,0.0648412,0.5503,All,#4682B4,0
6,7,-0.865812,0.0749484,-0.281505,0.414764,-0.29582,0.198415,0.968354,-1.33256,0.585554,0.240403,1.59633,All,#4682B4,0
7,7,-0.542214,-0.0913025,0.113865,0.988554,-0.988801,0.792075,0.511017,-0.788278,-1.32911,-0.721235,0.219339,All,#4682B4,0
8,7,-0.409814,-0.747602,-0.839381,1.21848,-0.628577,0.418947,0.406929,0.642873,-1.34668,-0.550919,0.332785,All,#4682B4,0
9,7,-1.21282,-0.258395,-0.298727,0.892265,-1.05811,0.343564,0.907067,-0.143382,1.4852,-1.19702,-0.612881,All,#4682B4,0
10,7,-0.52811,0.492583,-0.589181,0.303451,-1.16247,0.580219,-0.546462,-0.803609,0.957214,0.635026,2.51511,All,#4682B4,0
1,8,-0.585428,-1.09002,0.967597,0.322798,-0.156099,0.719332,-0.939265,0.0830101,-1.2018,0.590057,-0.761054,All,#4682B4,0
2,8,0.189144,-0.763437,0.682319,0.523867,-0.0484576,0.376895,-1.59185,0.356799,0.784246,-0.152573,0.803762,All,#4682B4,0
3,8,-1.0045,-0.941219,1.11739,-0.781801,0.436012,-1.50673,0.168829,-0.452969,-0.859888,1.11738,1.15539,All,#4682B4,0
4,8,0.457587,-0.417755,0.230944,0.337426,0.165226,-0.785498,-0.927711,0.197942,-1.17437,-0.901037,0.509436,All,#4682B4,0
5,8,0.614555,-0.740717,0.361044,0.84053,-0.440155,0.12006,-2.07936,0.550519,0.499067,-1.74143,0.3466,All,#4682B4,0
6,8,-0.630592,-1.22206,-0.60255,-0.841677,0.234106,0.11923,-0.745424,0.442922,-0.757848,1.2596,-0.789604,All,#4682B4,0
7,8,1.57546,-0.674531,0.567182,1.27847,0.650425,0.914812,0.272413,-0.279781,-1.90877,-0.42391,-0.3898,All,#4682B4,0
8,8,0.548037,-1.45221,-1.10852,0.0321037,1.69237,-1.69164,0.644264,0.381246,0.368344,0.833607,1.5001,All,#4682B4,0
9,8,0.0675306,-1.56658,-0.0855055,0.356089,0.130068,1.00134,-1.03949,0.911345,-0.579656,2.20356,-0.716156,All,#4682B4,0
10,8,1.16311,-0.955799,0.850885,1.00406,0.669024,-0.897154,-0.229437,0.104286,0.0337707,0.749235,1.45844,All,#4682B4,0
1,9,0.120267,0.390562,0.315761,-0.465043,-0.253413,-0.751057,-1.04467,-1.12278,-1.43392,-0.106812,-1.06612,All,#4682B4,0
2,9,-0.519207,0.0563151,-0.547303,-0.855554,0.566789,0.250103,0.349369,-0.759312,-1.07617,0.999178,-1.88788,All,#4682B4,0
3,9,0.344792,-0.830855,-0.3527,-0.561455,0.528379,-1.16466,-0.839414,0.262878,1.56726,-1.34228,-0.815378,All,#4682B4,0
4,9,0.681995,-0.52613,-0.247842,-0.250289,0.46431,-0.56973,-0.128402,-0.0988306,-1.0488,-0.0395165,-0.968837,All,#4682B4,0
5,9,0.889587,0.261002,0.260583,0.41042,-0.704972,0.202391,-0.583543,1.36103,0.513993,-2.09725,-0.616235,All,#4682B4,0
6,9,0.438458,-0.453489,-0.353337,-0.446665,0.274421,-1.1315,-0.221953,-0.522129,-0.236085,0.0987521,-0.934467,All,#4682B4,0
7,9,0.902017,0.520721,1.16919,0.579474,-0.659258,-0.0509558,0.498395,-0.0638964,-0.980123,-0.691872,-0.689878,All,#4682B4,0
8,9,-1.04398,0.289402,0.707085,-0.844045,-0.0891287,-1.80414,-0.503464,-0.987744,0.80416,-1.5266,-0.763562,All,#4682B4,0
9,9,0.990716,-0.435834,-1.34412,-0.65631,0.556056,-0.406096,-0.191039,0.213057,-0.835553,0.431227,-1.00773,All,#4682B4,0
10,9,1.31739,0.500135,-0.372123,-0.0449432,0.586148,-1.18843,0.83298,0.470321,-0.432192,1.97385,1.02476,All,#4682B4,0
1,10,0.630614,1.3959,1.6925,-0.344943,0.989363,-0.682212,-0.251706,-0.360101,0.713555,-0.489188,-1.3908,All,#4682B4,0
2,10,1.00483,2.26959,1.7289,-0.557764,0.246774,1.74204,-1.2489,0.126263,-0.228642,0.302214,0.671859,All,#4682B4,0
3,10,0.551208,0.507361,0.147509,-0.71548,1.00289,1.23461,-0.167809,0.486481,0.428667,0.302711,-2.32791,All,#4682B4,0
4,10,-0.142356,0.749035,0.270278,-0.932063,0.460082,0.932365,-0.288746,0.0845606,0.225422,1.60109,-2.03746,All,#4682B4,0
5,10,1.00656,1.18306,1.44529,-0.0942871,0.516443,0.272453,-0.637083,0.257199,0.276269,-0.0766627,-1.5931,All,#4682B4,0
6,10,0.686103,0.467043,-0.0764354,-1.04965,1.51631,0.381528,0.45409,0.415385,0.264624,-1.31616,-1.36207,All,#4682B4,0
7,10,-0.519831,0.200404,0.524888,-1.22206,0.75346,0.767339,0.0476558,-0.146693,0.39507,-0.580253,-1.63961,All,#4682B4,0
8,10,0.82037,0.256511,1.12708,-0.397571,0.5178,1.0882,-0.119564,0.087334,0.701045,0.653862,-0.479159,All,#4682B4,0
9,10,0.193608,0.934129,1.27077,-0.579688,0.525222,-0.424354,-0.00637125,-0.104777,0.739484,-0.473113,-0.813467,All,#4682B4,0
10,10,0.882371,0.323357,0.698825,-0.565179,0.161297,1.01293,-1.05706,0.406162,1.01161,-0.603115,-1.18228,All,#4682B4,0
1,11,-1.15207,-1.37178,-0.526261,-1.31798,0.771419,0.0142522,-0.389988,0.977045,0.207928,0.850537,0.484226,All,#4682B4,0
2,11,-0.834944,-1.52934,-0.225781,-0.915763,1.35011,-1.15834,0.59601,0.73744,0.655746,-1.46613,0.410304,All,#4682B4,0
3,11,-0.319118,-1.59697,-0.819638,-0.776078,1.10877,-0.589369,0.380336,1.01989,-0.527404,-1.21251,-0.721928,All,#4682B4,0
4,11,0.17,-0.577294,-1.52696,-1.56044,1.57496,-2.19526,0.603751,1.43796,-0.795293,-1.21258,2.65918,All,#4682B4,0
5,11,-0.847056,-0.976793,-0.584125,-1.0055,0.974636,-0.886124,0.314891,0.505953,0.115978,0.119213,-0.801096,All,#4682B4,0
6,11,-1.06686,-1.66678,1.17459,-0.468579,0.776121,-0.567124,0.331861,0.112325,0.502441,0.7603,-0.494894,All,#4682B4,0
7,11,-1.58012,-0.348783,-0.661837,-1.46307,1.0751,-0.310678,0.195108,0.251765,-0.101227,0.225325,-0.446571,All,#4682B4,0
8,11,-0.354383,-1.27406,0.146985,-0.691852,0.409621,-0.60372,-0.289517,0.894063,-0.860819,1.51779,-0.685553,All,#4682B4,0
9,11,-0.962294,-0.574882,0.737004,-1.15375,0.889792,-1.47158,0.0163827,-0.00468733,0.230797,1.27086,1.46388,All,#4682B4,0
10,11,-0.668665,-0.471745,0.283702,-1.06216,0.786473,-1.16733,-0.0143174,0.327103,0.215725,-1.2597,1.60357,All,#4682B4,0
1,12,-0.921564,1.25245,-2.4141,0.381482,0.158724,0.291569,-1.41989,-1.83171,0.609126,-2.82111,-1.47038,All,#4682B4,0
2,12,-0.0232695,0.412689,-2.58511,1.18015,0.213041,-0.347291,-0.938314,-1.03164,1.2172,-0.328719,-1.51233,All,#4682B4,0
3,12,1.05555,0.709442,-2.85826,1.0426,0.996915,-0.946293,-0.433327,-1.41511,-0.281885,-0.44942,-0.34689,All,#4682B4,0
4,12,0.529949,1.45423,-1.66335,1.25901,0.548546,0.330142,-0.863063,-0.748993,-0.904074,-0.415,0.193819,All,#4682B4,0
5,12,0.899762,0.43788,-2.28042,1.63289,0.999268,-0.628281,0.309024,-0.274403,-1.22228,0.11473,-0.983674,All,#4682B4,0
6,12,-0.245999,1.19952,-2.13159,0.717917,1.12749,-0.461453,0.316023,-2.18519,-0.157762,-1.56762,-0.840953,All,#4682B4,0
7,12,0.364968,0.681318,-2.13178,1.24005,1.11702,-0.269633,0.58087,-0.97597,-0.334319,-0.215829,-0.472938,All,#4682B4,0
8,12,-0.543633,1.40795,-2.40123,0.579817,0.538075,0.460756,-1.19813,-1.11424,0.461282,-0.110629,-0.194657,All,#4682B4,0
9,12,0.236031,0.0288487,-2.31232,1.23693,0.552735,-0.255458,-0.184297,-0.911986,-1.20087,-0.522807,-2.45373,All,#4682B4,0
10,12,-0.251649,0.585426,-1.11658,1.54733,1.36717,-0.0406066,0.945992,-0.635192,-0.229129,-0.43681,-1.07064,All,#4682B4,0
1,13,0.982571,-0.0362374,0.802301,-0.782117,-2.34646,-0.777042,0.537733,0.133904,-0.0738279,-0.585529,-2.25206,All,#4682B4,0
2,13,1.06891,0.107541,-0.0297382,-1.62568,-1.71618,-0.323172,1.10696,0.462594,-0.217661,-0.396755,-0.855679,All,#4682B4,0
3,13,-0.0867443,0.659232,0.244881,-1.3166,-1.774,-0.44262,-0.084319,-0.0666813,0.940002,-0.0952709,-0.908057,All,#4682B4,0
4,13,1.51222,0.733404,-0.322799,-0.8724,-1.3519,-0.634675,0.440312,-0.0121732,0.629807,-0.474969,0.126035,All,#4682B4,0
5,13,1.51652,1.26903,-1.05548,-2.23397,-0.749765,-0.289036,1.21049,0.317849,-0.187016,0.902456,1.06154,All,#4682B4,0
6,13,1.21303,0.265599,0.614136,-0.471177,-1.55857,-0.461962,1.35156,-0.0705161,0.207292,0.272535,-0.256641,All,#4682B4,0
7,13,0.520658,0.563817,1.47057,-0.303149,-2.55906,-0.424354,0.199705,-0.137973,-0.199583,-0.464713,-1.36211,All,#4682B4,0
8,13,-0.262116,-0.133486,-0.0524729,-1.91815,-1.8756,0.455687,0.82867,0.00527484,-0.432419,-1.53085,-2.91598,All,#4682B4,0
9,13,0.562667,0.223103,-0.0565415,-0.805354,-1.6397,-0.17562,0.326122,-0.391631,1.09481,-0.382246,-2.02379,All,#4682B4,0
10,13,2.38507,0.149553,-0.912828,-1.35226,-0.921307,-0.87702,1.58312,0.979504,0.357461,-2.19332,1.0705,All,#4682B4,0
1,14,1.63768,-0.013983,-1.28465,-0.776572,0.883976,0.551744,-0.683474,0.941005,-0.492834,0.192679,0.0994087,All,#4682B4,0
2,14,-0.71268,0.610598,0.550373,-1.13983,1.03716,0.685257,-0.213741,-0.526719,0.117362,-1.31461,-0.401232,All,#4682B4,0
3,14,0.139431,1.11464,0.164555,-1.15123,0.781088,0.735858,-0.414586,-0.600499,-0.630047,-0.333597,0.613097,All,#4682B4,0
4,14,0.525778,-0.397663,0.778347,0.141154,-0.118936,-0.0748534,-2.12448,0.676756,1.1623,-0.157961,-0.820467,All,#4682B4,0
5,14,0.299761,0.60983,0.536288,-0.657295,0.06537,0.470728,-1.22899,-0.282787,0.535064,-2.0326,0.419212,All,#4682B4,0
6,14,-0.919556,0.306678,0.176316,-1.07166,1.26978,-0.150646,0.0038973,-0.225301,0.541819,-2.40739,-0.429439,All,#4682B4,0
7,14,1.16315,0.785329,0.1635,-0.465563,0.912673,-0.489774,-0.151563,-0.180021,-0.904007,1.12605,0.692562,All,#4682B4,0
8,14,1.13988,0.530109,1.48139,0.165928,0.200365,-0.0341578,-0.880609,-0.569425,-1.02251,-0.399667,-0.703207,All,#4682B4,0
9,14,1.2069,-0.50705,-0.277675,-0.431837,0.498054,-0.34875,-1.65588,1.11536,1.69602,-2.37008,-0.0201797,All,#4682B4,0
10,14,-0.305186,0.278921,2.24939,0.140835,-0.36784,1.2075,-1.13013,-0.389898,0.205049,1.28506,-0.594378,All,#4682B4,0
1,15,0.808077,0.538846,-0.616713,1.61363,0.141996,0.593289,2.2851,2.38987,0.0692355,0.0200499,0.481845,All,#4682B4,0
2,15,-0.137391,1.38833,-0.218229,1.09851,-0.478259,0.302469,0.902611,1.28025,0.819554,0.754121,0.459476,All,#4682B4,0
3,15,-0.199492,1.26549,-0.111214,0.543751,-1.01113,0.459628,1.41594,1.86078,1.18261,0.761623,0.545759,All,#4682B4,0
4,15,0.102222,1.24533,-0.824638,0.681627,-0.44859,0.319552,1.4028,2.23163,0.157838,-1.21983,-0.858708,All,#4682B4,0
5,15,-1.34059,1.68714,0.224613,0.0532882,-0.261561,0.943228,1.87686,0.0671335,0.453514,-0.451767,-0.730184,All,#4682B4,0
6,15,0.331465,0.510195,0.248999,1.00818,-0.943117,-0.0396486,1.89643,1.77988,0.232622,0.746194,0.704207,All,#4682B4,0
7,15,0.462063,0.100013,-1.74772,0.651489,-0.653542,0.475185,0.889051,2.95506,0.996219,0.174541,0.124271,All,#4682B4,0
8,15,-0.70708,1.25667,-0.0611963,-0.393886,-1.27979,0.281196,0.928459,0.640469,0.872745,-2.10619,-0.927577,All,#4682B4,0
9,15,-0.0507567,1.33903,0.876224,1.07003,-1.17954,-0.0547131,1.26432,0.913018,0.404166,-0.299304,0.36794,All,#4682B4,0
10,15,-0.598885,0.690691,-0.314233,0.658336,-0.606651,0.799793,1.75178,1.85356,-0.365247,0.611977,-0.660432,All,#4682B4,0
1,16,1.75498,-1.83732,-0.555824,0.901025,-0.686553,-0.274308,1.05757,-0.722962,1.23554,0.749718,0.549049,All,#4682B4,0
2,16,0.455222,-1.74992,-0.602858,-0.0841344,-0.51575,-0.0626833,0.526561,-1.88807,-0.379629,-1.57329,-1.90255,All,#4682B4,0
3,16,0.659844,-1.53838,-0.0649826,0.292828,-0.598053,-0.387911,-0.334824,-0.924332,1.09048,-0.331887,1.1037,All,#4682B4,0
4,16,1.89242,-1.33254,-0.0691324,0.679845,0.393025,-1.51716,1.07357,-1.52078,-0.0079839,1.04312,1.6754,All,#4682B4,0
5,16,0.264905,-2.06152,-1.06022,-0.926198,-0.430508,0.634554,1.44436,-0.41424,-1.05068,-1.42835,-0.981395,All,#4682B4,0
6,16,0.450579,-1.31044,-0.516597,-1.40923,-0.0298632,-0.0698623,1.45044,-2.64768,1.05618,-0.126472,1.25358,All,#4682B4,0
7,16,1.13723,-0.883136,-0.28156,0.302418,-1.26007,0.0688419,-1.01108,-1.57441,-0.444759,0.937776,0.466888,All,#4682B4,0
8,16,1.19209,0.52244,-0.454697,-1.24204,-1.63095,0.52769,-1.57619,-1.10112,-1.73366,-1.28674,3.04033,All,#4682B4,0
9,16,0.265741,-0.682289,-0.452807,-0.859171,-1.88123,0.561321,-1.96923,-0.901785,-0.676988,-0.412006,0.267718,All,#4682B4,0
10,16,-0.569048,-1.23084,-0.063911,-0.916998,-0.819809,0.19789,0.0771612,-3.11263,1.50025,0.388314,0.111383,All,#4682B4,0
1,17,-0.91974,-0.0715678,1.35,0.979689,-0.584194,-0.162813,-0.210635,-0.183175,1.68692,-1.67277,1.12974,All,#4682B4,0
2,17,0.142447,-0.400169,-0.63698,0.75466,0.640464,-0.465023,-0.0114715,-0.129736,1.25395,0.590053,1.14018,All,#4682B4,0
3,17,-0.323524,-1.33785,-0.18835,0.725291,0.191344,0.760751,-1.02709,0.79856,0.863011,0.775497,0.328214,All,#4682B4,0
4,17,-0.73997,0.302635,0.0656256,0.0517894,-1.2878,0.718279,-1.05958,-0.990705,0.63808,-1.58859,0.464716,All,#4682B4,0
5,17,-0.757357,-0.197502,-0.90797,0.213604,0.75121,0.839203,0.930396,-0.286994,-0.278133,-1.47756,-0.608073,All,#4682B4,0
6,17,0.522186,0.540698,-0.0772649,0.570655,0.805392,-0.262558,0.109057,-0.00577535,0.366713,0.262168,2.83971,All,#4682B4,0
7,17,-0.647066,0.843364,1.65546,1.13687,-1.14923,0.64175,-0.107862,-0.671815,-0.528371,2.52308,1.63267,All,#4682B4,0
8,17,-1.02877,-0.172542,1.22276,0.641923,-0.128699,0.838082,-1.15347,-0.482174,0.0294542,0.0628019,0.440039,All,#4682B4,0
9,17,0.0708861,0.170798,0.239766,0.731798,-0.968481,1.07097,-0.857737,0.0268681,0.177736,-0.660852,1.35549,All,#4682B4,0
10,17,0.0203568,0.351842,0.546308,0.682095,0.349396,-0.166208,-0.0289236,-0.954956,-0.489303,0.262445,1.43351,All,#4682B4,0
1,18,-0.999479,-0.49285,1.36135,1.00366,0.308922,-0.611621,-0.200151,0.415451,-0.0544926,1.59983,-0.923423,All,#4682B4,0
2,18,-2.07807,0.125484,0.910834,-0.100143,0.303486,0.324393,-0.548765,-0.267297,0.406058,0.187389,-0.240498,All,#4682B4,0
3,18,-2.00879,0.623414,1.49219,0.052779,0.413377,-1.12473,-0.0905545,-0.192696,0.493934,-0.861603,0.355218,All,#4682B4,0
4,18,-0.139198,-1.33003,0.627748,0.968432,0.328299,-0.171298,-1.07917,1.39425,0.158774,0.323446,-0.710194,All,#4682B4,0
5,18,-0.582494,0.818266,0.303717,0.557392,1.01775,-0.874989,0.556697,0.14234,-1.13982,-0.338402,-1.02696,All,#4682B4,0
6,18,-2.07415,0.290473,-0.169988,-0.949404,0.0343256,0.857335,-1.41658,0.399019,-0.0118083,0.915848,0.671106,All,#4682B4,0
7,18,-0.771076,0.756796,2.4173,1.37819,-0.0196597,0.14774,-0.385547,-0.598809,0.723004,1.52425,-0.911969,All,#4682B4,0
8,18,-0.98955,-0.610177,1.24777,0.649317,-0.29689,0.373569,-1.59203,0.647805,-0.435485,1.41177,-0.908548,All,#4682B4,0
9,18,-0.508829,0.0940818,0.761412,0.128871,0.588145,-0.357557,-0.381554,0.0258346,-0.227436,-0.531132,0.8597,All,#4682B4,0
10,18,-0.577215,0.361238,0.858583,0.398101,1.05894,-0.896038,0.227207,-0.317779,0.990776,0.553992,0.38196,All,#4682B4,0
