beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,alpha_exp_abscissa,alpha_exp_cdf,split
-3.99216,0.233333,0.34121,0.233333,2.41586,0.241667,1.2766,0.233333,-4.02198,0.241667,0.473598,0.233333,3.17915,0.241667,0.274901,0.233333,-2.81951,0.233333,-3.96286,0.233333,All
-3.99048,0.241667,0.346086,0.241667,2.43273,0.25,1.3155,0.241667,-4.01436,0.25,0.486505,0.241667,3.30927,0.25,0.279374,0.241667,-2.81106,0.241667,-3.95438,0.241667,All
-3.9518,0.25,0.353999,0.25,2.43338,0.258333,1.32856,0.25,-3.99579,0.258333,0.486874,0.25,3.31317,0.258333,0.282077,0.25,-2.80529,0.25,-3.94252,0.25,All
-3.90535,0.258333,0.359476,0.258333,2.46847,0.266667,1.33056,0.258333,-3.91408,0.266667,0.487332,0.258333,3.42604,0.266667,0.291514,0.258333,-2.79847,0.258333,-3.93833,0.258333,All
-3.89797,0.266667,0.364819,0.266667,2.51531,0.275,1.34331,0.266667,-3.89577,0.275,0.489178,0.266667,3.48197,0.275,0.294217,0.266667,-2.7856,0.266667,-3.93405,0.266667,All
-3.89352,0.275,0.368678,0.275,2.52686,0.283333,1.35964,0.275,-3.81607,0.283333,0.489889,0.275,3.66106,0.283333,0.303339,0.275,-2.77453,0.275,-3.93382,0.275,All
-3.86195,0.283333,0.384766,0.283333,2.53045,0.291667,1.36951,0.283333,-3.71238,0.291667,0.492995,0.283333,3.69616,0.291667,0.308808,0.283333,-2.77125,0.283333,-3.92963,0.283333,All
-3.85182,0.291667,0.391785,0.291667,2.56257,0.3,1.37061,0.291667,-3.56028,0.3,0.495225,0.291667,3.77583,0.3,0.310307,0.291667,-2.7574,0.291667,-3.92841,0.291667,All
-3.81827,0.3,0.394679,0.3,2.56866,0.308333,1.39214,0.3,-3.5332,0.308333,0.497404,0.3,3.84633,0.308333,0.31114,0.3,-2.75205,0.3,-3.92333,0.3,All
-3.76054,0.308333,0.400996,0.308333,2.57176,0.316667,1.3945,0.308333,-3.48189,0.316667,0.501027,0.308333,3.85456,0.316667,0.312591,0.308333,-2.72484,0.308333,-3.91959,0.308333,All
-3.74134,0.316667,0.405959,0.316667,2.57954,0.325,1.40003,0.316667,-3.4294,0.325,0.501266,0.316667,3.94355,0.325,0.314893,0.316667,-2.71101,0.316667,-3.91066,0.316667,All
-3.7247,0.325,0.422691,0.325,2.60018,0.333333,1.40352,0.325,-3.30666,0.333333,0.501518,0.325,4.02478,0.333333,0.319872,0.325,-2.69709,0.325,-3.9101,0.325,All
-3.70885,0.333333,0.427297,0.333333,2.64117,0.341667,1.41426,0.333333,-3.20096,0.341667,0.504317,0.333333,4.04434,0.341667,0.326728,0.333333,-2.66153,0.333333,-3.89254,0.333333,All
-3.68467,0.341667,0.431419,0.341667,2.68408,0.35,1.41819,0.341667,-3.0911,0.35,0.504615,0.341667,4.0545,0.35,0.329856,0.341667,-2.64599,0.341667,-3.89091,0.341667,All
-3.67872,0.35,0.434021,0.35,2.68681,0.358333,1.43937,0.35,-3.08829,0.358333,0.505159,0.35,4.09023,0.358333,0.332925,0.35,-2.64395,0.35,-3.88667,0.35,All
-3.66564,0.358333,0.461591,0.358333,2.68857,0.366667,1.44082,0.358333,-3.07247,0.366667,0.508724,0.358333,4.12979,0.366667,0.341747,0.358333,-2.64004,0.358333,-3.87852,0.358333,All
