beta_exp_abscissa,beta_exp_pdf,beta_exp_cdf,delta0_abscissa,delta0_pdf,delta0_cdf,p_abscissa,p_pdf,p_cdf,td_abscissa,td_pdf,td_cdf,b_exp_abscissa,b_exp_pdf,b_exp_cdf,h_0_abscissa,h_0_pdf,h_0_cdf,tc_abscissa,tc_pdf,tc_cdf,sigma_abscissa,sigma_pdf,sigma_cdf,rho_exp_abscissa,rho_exp_pdf,rho_exp_cdf,alpha_exp_abscissa,alpha_exp_pdf,alpha_exp_cdf,split
-4.31195,0.2666,0.0779949,2.62193,0.0885013,0.818104,1.90298,0.213904,0.0561948,1.92691,0.384955,0.600776,-4.65265,0.105214,0.0970489,0.588032,2.1723,0.430853,2.9086,0.0798814,0.257759,0.571232,0.927981,0.698788,-3.06813,0.266137,0.15014,-4.29062,0.208802,0.0265405,All
-4.28267,0.287225,0.0861024,2.73092,0.0822001,0.8274,1.93279,0.233549,0.0628605,1.99285,0.365359,0.625515,-4.59182,0.110355,0.103604,0.604503,2.13779,0.46637,3.02416,0.0792274,0.266951,0.592467,0.867862,0.71785,-3.02782,0.278824,0.161123,-4.26915,0.239825,0.031353,All
-4.25338,0.30856,0.0948246,2.83991,0.0764763,0.836042,1.96259,0.254191,0.0701267,2.0588,0.345972,0.648968,-4.531,0.115587,0.110476,0.620974,2.0885,0.501194,3.13971,0.078611,0.276071,0.613702,0.811179,0.735671,-2.98752,0.291499,0.172617,-4.24767,0.273992,0.0368655,All
-4.2241,0.330531,0.104181,2.9489,0.0712651,0.844089,1.9924,0.275779,0.0780224,2.12474,0.326957,0.671153,-4.47017,0.120898,0.117667,0.637444,2.02667,0.535099,3.25526,0.0780309,0.285121,0.634938,0.757874,0.752325,-2.94721,0.304106,0.18462,-4.22619,0.311365,0.0431462,All
-4.19481,0.353054,0.114189,3.05788,0.0665105,0.851593,2.0222,0.298253,0.0865749,2.19068,0.308439,0.6921,-4.40935,0.126278,0.125184,0.653915,1.95451,0.567898,3.37082,0.0774855,0.294106,0.656173,0.707849,0.767881,-2.90691,0.316589,0.19713,-4.20471,0.351954,0.0502642,All
-4.16553,0.376031,0.124864,3.16687,0.0621634,0.858601,2.05201,0.321536,0.0958095,2.25663,0.290514,0.711846,-4.34852,0.131715,0.13303,0.670386,1.87416,0.599438,3.48637,0.0769736,0.30303,0.677408,0.660986,0.78241,-2.8666,0.328888,0.210139,-4.18323,0.395721,0.0582883,All
-4.13624,0.399358,0.136217,3.27586,0.0581812,0.865156,2.08181,0.345537,0.105749,2.32257,0.273254,0.73043,-4.28769,0.137195,0.141209,0.686856,1.78765,0.629602,3.60193,0.0764939,0.311896,0.698643,0.617147,0.795975,-2.82629,0.340943,0.223639,-4.16175,0.442567,0.0672857,All
-4.10696,0.422919,0.148256,3.38485,0.0545263,0.871295,2.11162,0.370153,0.116413,2.38852,0.256705,0.7479,-4.22687,0.142704,0.149721,0.703327,1.69682,0.658302,3.71748,0.0760454,0.320709,0.719878,0.576185,0.80864,-2.78599,0.352694,0.237619,-4.14027,0.492328,0.0773211,All
-4.07767,0.446587,0.160988,3.49383,0.0511659,0.877052,2.14142,0.395266,0.127819,2.45446,0.2409,0.764303,-4.16604,0.148228,0.158569,0.719798,1.60333,0.685483,3.83304,0.0756268,0.329472,0.741113,0.537947,0.820465,-2.74568,0.36408,0.252066,-4.11879,0.544774,0.0884545,All
-4.04839,0.470231,0.174413,3.60282,0.0480709,0.882458,2.17123,0.420744,0.139979,2.52041,0.225855,0.779689,-4.10522,0.153753,0.167753,0.736269,1.50866,0.711112,3.94859,0.0752373,0.338188,0.762348,0.502279,0.831505,-2.70537,0.375039,0.266963,-4.09731,0.599604,0.100741,All
-4.0191,0.493709,0.188528,3.71181,0.0452157,0.887539,2.20103,0.446445,0.152902,2.58635,0.211574,0.794108,-4.04439,0.159262,0.177273,0.752739,1.41408,0.735181,4.06415,0.0748759,0.346861,0.783584,0.469028,0.841814,-2.66507,0.385512,0.282292,-4.07583,0.656446,0.114227,All
-3.98982,0.516876,0.203326,3.82079,0.0425776,0.892322,2.23084,0.472214,0.166592,2.65229,0.198053,0.80761,-3.98357,0.16474,0.187127,0.76921,1.32066,0.7577,4.1797,0.0745419,0.355494,0.804819,0.438046,0.851441,-2.62476,0.395441,0.298033,-4.05435,0.714858,0.128952,All
-3.96053,0.539581,0.218797,3.92978,0.0401364,0.896827,2.26064,0.497887,0.18105,2.71824,0.185278,0.820245,-3.92274,0.170169,0.197313,0.785681,1.22929,0.778696,4.29526,0.0742344,0.36409,0.826054,0.409187,0.860433,-2.58446,0.404769,0.314161,-4.03288,0.77433,0.144944,All
-3.93125,0.561672,0.234923,4.03877,0.0378741,0.901077,2.29045,0.523292,0.196269,2.78418,0.173233,0.832062,-3.86192,0.175533,0.207827,0.802151,1.14068,0.79821,4.41081,0.0739527,0.372651,0.847289,0.382313,0.868834,-2.54415,0.413442,0.330653,-4.0114,0.834294,0.162219,All
-3.90196,0.582994,0.251686,4.14776,0.0357748,0.905089,2.32026,0.54825,0.212239,2.85013,0.161894,0.843108,-3.80109,0.180815,0.218665,0.818622,1.05541,0.81629,4.52637,0.0736963,0.381182,0.868524,0.357292,0.876683,-2.50384,0.421409,0.347481,-3.98992,0.894125,0.180782,All
-3.87268,0.603393,0.26906,4.25674,0.033824,0.90888,2.35006,0.572577,0.228944,2.91607,0.151236,0.853429,-3.74026,0.185997,0.229821,0.835093,0.973893,0.832997,4.64192,0.0734645,0.389684,0.889759,0.333997,0.88402,-2.46354,0.428622,0.364614,-3.96844,0.953156,0.200623,All
-3.84339,0.622719,0.287016,4.36573,0.032009,0.912467,2.37987,0.596088,0.246363,2.98202,0.141231,0.863069,-3.67944,0.191062,0.241289,0.851563,0.896425,0.848394,4.75747,0.0732569,0.398161,0.910995,0.31231,0.89088,-2.42323,0.435038,0.382022,-3.94696,1.01068,0.221718,All
-3.81411,0.640825,0.305521,4.47472,0.0303182,0.915862,2.40967,0.618597,0.264467,3.04796,0.13185,0.87207,-3.61861,0.195992,0.253061,0.868034,0.823201,0.86255,4.87303,0.0730729,0.406615,0.93223,0.29212,0.897295,-2.38292,0.440618,0.399672,-3.92548,1.06599,0.244025,All
-3.78482,0.65757,0.324536,4.58371,0.0287412,0.919079,2.43948,0.639921,0.283226,3.1139,0.123063,0.880471,-3.55779,0.200771,0.265129,0.884505,0.754321,0.875535,4.98858,0.0729123,0.41505,0.953465,0.273322,0.903296,-2.34262,0.445327,0.41753,-3.904,1.11835,0.26749,All
-3.75554,0.672821,0.34402,4.69269,0.0272688,0.922131,2.46928,0.659882,0.3026,3.17985,0.114839,0.888313,-3.49696,0.20538,0.277482,0.900975,0.68981,0.887422,5.10414,0.0727745,0.423467,0.9747,0.255818,0.908912,-2.30231,0.449136,0.435559,-3.88252,1.16705,0.292041,All
-3.72625,0.686455,0.363928,4.80168,0.0258923,0.925027,2.49909,0.678308,0.322547,3.24579,0.107149,0.895629,-3.43614,0.209804,0.29011,0.917446,0.629631,0.898282,5.21969,0.0726594,0.431869,0.995935,0.239515,0.914169,-2.26201,0.452021,0.453723,-3.86104,1.21139,0.317593,All
-3.69697,0.698362,0.384209,4.91067,0.0246043,0.927778,2.52889,0.695038,0.343017,3.31174,0.0999622,0.902455,-3.37531,0.214025,0.303,0.933917,0.573695,0.908186,5.33525,0.0725666,0.44026,1.01717,0.22433,0.919092,-2.2217,0.453963,0.471985,-3.83956,1.25074,0.344044,All
-3.66768,0.708442,0.404813,5.01966,0.0233977,0.930393,2.5587,0.709924,0.36396,3.37768,0.0932501,0.908823,-3.31449,0.218028,0.316142,0.950387,0.521877,0.917203,5.4508,0.072496,0.448641,1.03841,0.210182,0.923704,-2.18139,0.454952,0.490306,-3.81808,1.2845,0.371282,All
-3.6384,0.71661,0.425684,5.12864,0.0222663,0.932881,2.5885,0.722829,0.385317,3.44363,0.0869844,0.914764,-3.25366,0.221797,0.329519,0.966858,0.474018,0.925399,5.56636,0.0724474,0.457015,1.05964,0.196997,0.928025,-2.14109,0.454979,0.508647,-3.7966,1.31217,0.399181,All
-3.60911,0.722798,0.446765,5.23763,0.0212044,0.935249,2.61831,0.733636,0.407027,3.50957,0.0811379,0.920305,-3.19283,0.225319,0.343118,0.983329,0.429938,0.932839,5.68191,0.0724207,0.465385,1.08088,0.184706,0.932077,-2.10078,0.454046,0.52697,-3.77513,1.33331,0.427604,All
-3.57983,0.726953,0.467998,5.34662,0.0202068,0.937505,2.64811,0.742245,0.429027,3.57551,0.0756848,0.925474,-3.13201,0.228579,0.356924,0.999799,0.389443,0.939582,5.79747,0.0724157,0.473753,1.10211,0.173246,0.935876,-2.06047,0.452157,0.545236,-3.75365,1.3476,0.456408,All
-3.55054,0.72904,0.489323,5.45561,0.0192688,0.939656,2.67792,0.748573,0.45125,3.64146,0.0706001,0.930295,-3.07118,0.231563,0.37092,1.01627,0.352329,0.945686,5.91302,0.0724326,0.482122,1.12335,0.162557,0.93944,-2.02017,0.449326,0.563407,-3.73217,1.3548,0.485444,All
-3.52126,0.72904,0.510677,5.56459,0.018386,0.941707,2.70772,0.752563,0.473627,3.7074,0.0658602,0.934793,-3.01036,0.234261,0.385088,1.03274,0.318388,0.951205,6.02858,0.0724712,0.490494,1.14458,0.152585,0.942785,-1.97986,0.445569,0.581445,-3.71069,1.3548,0.514556,All
