beta_exp_abscissa,beta_exp_pdf,beta_exp_cdf,delta0_abscissa,delta0_pdf,delta0_cdf,p_abscissa,p_pdf,p_cdf,td_abscissa,td_pdf,td_cdf,b_exp_abscissa,b_exp_pdf,b_exp_cdf,h_0_abscissa,h_0_pdf,h_0_cdf,tc_abscissa,tc_pdf,tc_cdf,sigma_abscissa,sigma_pdf,sigma_cdf,rho_exp_abscissa,rho_exp_pdf,rho_exp_cdf,alpha_exp_abscissa,alpha_exp_pdf,alpha_exp_cdf,split
-2.96484,0.422919,0.851744,7.63536,0.00833482,0.967641,3.27402,0.455417,0.842419,4.96035,0.0180674,0.980855,-1.85467,0.224204,0.66132,1.34568,0.0405647,0.994084,8.22411,0.0777211,0.653695,1.54805,0.0491452,0.979231,-1.21404,0.254212,0.859747,-3.30259,0.492328,0.922679,All
-2.93556,0.399358,0.863783,7.74434,0.00803006,0.968533,3.30383,0.429674,0.855609,5.02629,0.0169119,0.982008,-1.79385,0.2206,0.674849,1.36215,0.0362488,0.994716,8.33967,0.0782766,0.662708,1.56928,0.0464642,0.980246,-1.17374,0.24165,0.86974,-3.28111,0.442567,0.932714,All
-2.90627,0.376031,0.875136,7.85333,0.00773928,0.969392,3.33363,0.404101,0.868034,5.09223,0.015834,0.983088,-1.73302,0.216753,0.688151,1.37863,0.032386,0.995281,8.45522,0.078867,0.671787,1.59052,0.0439441,0.981205,-1.13343,0.229224,0.879229,-3.25963,0.395721,0.941712,All
-2.87699,0.353054,0.885811,7.96232,0.00746173,0.97022,3.36344,0.378846,0.879701,5.15818,0.0148283,0.984098,-1.67219,0.212678,0.701213,1.3951,0.0289302,0.995785,8.57078,0.0794937,0.680936,1.61175,0.0415744,0.982113,-1.09312,0.216978,0.888221,-3.23815,0.351954,0.949736,All
-2.8477,0.330531,0.895819,8.07131,0.00719667,0.971019,3.39325,0.354043,0.890622,5.22412,0.0138897,0.985045,-1.61137,0.208389,0.71402,1.41157,0.0258396,0.996236,8.68633,0.0801584,0.69016,1.63299,0.0393453,0.982972,-1.05282,0.204952,0.896723,-3.21667,0.311365,0.956854,All
-2.81842,0.30856,0.905175,8.18029,0.00694343,0.971789,3.42305,0.329815,0.900811,5.29007,0.0130135,0.985931,-1.55054,0.203903,0.726559,1.42804,0.0230764,0.996638,8.80189,0.0808627,0.699463,1.65422,0.0372477,0.983785,-1.01251,0.193184,0.904746,-3.19519,0.273992,0.963135,All
-2.78913,0.287225,0.913898,8.28928,0.00670136,0.972533,3.45286,0.306271,0.910289,5.35601,0.0121956,0.986762,-1.48972,0.199237,0.738821,1.44451,0.0206065,0.996997,8.91744,0.0816086,0.70885,1.67546,0.0352733,0.984555,-0.972205,0.181707,0.9123,-3.17371,0.239825,0.968647,All
-2.75985,0.2666,0.922005,8.39827,0.00646987,0.97325,3.48266,0.283506,0.919076,5.42196,0.0114317,0.987541,-1.42889,0.194407,0.750794,1.46098,0.0183995,0.997318,9.033,0.0823982,0.718325,1.6967,0.033414,0.985284,-0.931899,0.170552,0.919398,-3.15223,0.208802,0.973459,All
-2.73056,0.246747,0.92952,8.50726,0.0062484,0.973943,3.51247,0.261602,0.927197,5.4879,0.0107183,0.988271,-1.36807,0.189431,0.762468,1.47745,0.0164278,0.997605,9.14855,0.0832336,0.727895,1.71793,0.0316627,0.985975,-0.891593,0.159742,0.926053,-3.13075,0.180827,0.977639,All
-2.70128,0.22772,0.936465,8.61624,0.00603643,0.974613,3.54227,0.240624,0.93468,5.55384,0.0100518,0.988956,-1.30724,0.184326,0.773835,1.49392,0.0146667,0.997861,9.2641,0.0841172,0.737563,1.73917,0.0300125,0.986629,-0.851286,0.149302,0.93228,-3.10927,0.155768,0.981248,All
-2.67199,0.209558,0.942866,8.72523,0.00583346,0.975259,3.57208,0.220627,0.941551,5.61979,0.00942905,0.989598,-1.24642,0.17911,0.784889,1.51039,0.0130939,0.998089,9.37966,0.0850514,0.747337,1.7604,0.028457,0.98725,-0.81098,0.13925,0.938094,-3.08779,0.133468,0.98435,All
-2.64271,0.192293,0.948748,8.83422,0.00563904,0.975885,3.60188,0.201651,0.947841,5.68573,0.00884699,0.9902,-1.18559,0.1738,0.795622,1.52686,0.0116895,0.998293,9.49521,0.086039,0.757221,1.78164,0.0269902,0.987838,-0.770674,0.1296,0.943511,-3.06631,0.113753,0.987,All
-2.61342,0.175945,0.954137,8.94321,0.00545273,0.976489,3.63169,0.183722,0.953582,5.75168,0.00830286,0.990765,-1.12476,0.168412,0.80603,1.54333,0.0104357,0.998475,9.61077,0.0870827,0.767223,1.80287,0.0256068,0.988397,-0.730367,0.120364,0.948547,-3.04484,0.0964354,0.989254,All
-2.58414,0.160526,0.959062,9.05219,0.00527412,0.977073,3.66149,0.166857,0.958804,5.81762,0.00779408,0.991296,-1.06394,0.162966,0.816109,1.5598,0.00931646,0.998637,9.72632,0.0881856,0.777349,1.82411,0.0243015,0.988927,-0.690061,0.111551,0.95322,-3.02336,0.0813197,0.991159,All
-2.55485,0.14604,0.963548,9.16118,0.00510282,0.977639,3.6913,0.15106,0.963539,5.88357,0.00731824,0.991794,-1.00311,0.157476,0.825855,1.57627,0.00831741,0.998782,9.84188,0.0893506,0.787606,1.84534,0.0230695,0.989429,-0.649755,0.103164,0.957545,-3.00188,0.0682088,0.992761,All
-2.52557,0.13248,0.967624,9.27017,0.00493849,0.978186,3.7211,0.136325,0.967819,5.94951,0.00687311,0.992262,-0.942288,0.15196,0.835265,1.59274,0.00742573,0.998912,9.95743,0.090581,0.798002,1.86658,0.0219063,0.989907,-0.609449,0.0952064,0.961542,-2.9804,0.0569078,0.994102,All
-2.49628,0.119836,0.971317,9.37916,0.00478076,0.978716,3.75091,0.122637,0.971676,6.01545,0.00645661,0.992701,-0.881462,0.146434,0.84434,1.60921,0.00662992,0.999028,10.073,0.0918796,0.808543,1.88781,0.0208077,0.99036,-0.569142,0.0876771,0.965226,-2.95892,0.0472269,0.995218,All
-2.467,0.108088,0.974652,9.48814,0.00462933,0.979228,3.78071,0.109974,0.97514,6.0814,0.00606681,0.993114,-0.820637,0.140913,0.853079,1.62569,0.00591971,0.999131,10.1885,0.0932492,0.819239,1.90905,0.0197699,0.990791,-0.528836,0.0805727,0.968615,-2.93744,0.0389846,0.996141,All
-2.43771,0.0972127,0.977656,9.59713,0.00448389,0.979725,3.81052,0.0983055,0.978241,6.14734,0.00570191,0.993502,-0.759811,0.135412,0.861483,1.64216,0.00528591,0.999223,10.3041,0.0946923,0.830097,1.93028,0.0187891,0.9912,-0.48853,0.0738876,0.971727,-2.91596,0.0320098,0.996901,All
-2.40843,0.0871814,0.980354,9.70612,0.00434415,0.980206,3.84032,0.0875967,0.981009,6.21329,0.00536024,0.993867,-0.698986,0.129945,0.869553,1.65863,0.00472031,0.999305,10.4197,0.0962102,0.841126,1.95152,0.0178619,0.991589,-0.448224,0.067614,0.974577,-2.89448,0.0261432,0.997524,All
-2.37914,0.0779616,0.98277,9.8151,0.00420985,0.980672,3.87013,0.077807,0.983472,6.27923,0.00504025,0.994209,-0.63816,0.124525,0.877292,1.6751,0.00421557,0.999379,10.5352,0.0978028,0.852335,1.97275,0.0169851,0.991959,-0.407917,0.0617425,0.977183,-2.873,0.0212384,0.998031,All
-2.34986,0.0695172,0.984928,9.92409,0.00408074,0.981124,3.89993,0.0688922,0.985656,6.34518,0.00474049,0.994532,-0.577334,0.119166,0.884703,1.69157,0.00376514,0.999444,10.6508,0.0994674,0.863732,1.99399,0.0161558,0.992311,-0.367611,0.0562618,0.97956,-2.85152,0.0171621,0.998442,All
-2.32057,0.0618101,0.986849,10.0331,0.00395656,0.981562,3.92974,0.0608056,0.987587,6.41112,0.00445961,0.994835,-0.516509,0.113879,0.89179,1.70804,0.00336317,0.999503,10.7663,0.101197,0.875325,2.01522,0.0153711,0.992646,-0.327305,0.0511593,0.981723,-2.83004,0.0137945,0.998774,All
-2.29129,0.0548001,0.988555,10.1421,0.00383709,0.981986,3.95955,0.053498,0.989289,6.47706,0.00419638,0.99512,-0.455683,0.108675,0.898558,1.72451,0.00300443,0.999555,10.8819,0.102978,0.887121,2.03646,0.0146284,0.992964,-0.286999,0.0464213,0.983688,-2.80857,0.0110288,0.999039,All
-2.26201,0.0484462,0.990065,10.2511,0.00372212,0.982398,3.98935,0.0469194,0.990783,6.54301,0.00394961,0.995389,-0.394858,0.103566,0.905012,1.74098,0.00268426,0.999602,10.9974,0.104784,0.899125,2.05769,0.0139252,0.993267,-0.246692,0.0420332,0.98547,-2.78709,0.00877069,0.999251,All
-2.23272,0.0427063,0.991398,10.36,0.00361144,0.982798,4.01916,0.0410194,0.992092,6.60895,0.00371822,0.995642,-0.334032,0.0985592,0.911159,1.75745,0.00239849,0.999644,11.113,0.106569,0.911337,2.07893,0.0132593,0.993556,-0.206386,0.0379795,0.987081,-2.76561,0.00693789,0.999419,All
-2.20344,0.0375388,0.992572,10.469,0.00350487,0.983186,4.04896,0.0357475,0.993235,6.6749,0.00350121,0.99588,-0.273206,0.0936646,0.917005,1.77392,0.00214342,0.999681,11.2285,0.108249,0.92375,2.10016,0.0126285,0.993831,-0.16608,0.0342443,0.988536,-2.74413,0.00545892,0.999552,All
-2.17415,0.0329021,0.993602,10.578,0.00340221,0.983562,4.07877,0.0310545,0.994229,6.74084,0.00329763,0.996104,-0.212381,0.0888894,0.922556,1.79039,0.00191573,0.999715,11.3441,0.109673,0.936345,2.1214,0.0120308,0.994092,-0.125774,0.0308112,0.989846,-2.72265,0.00427241,0.999656,All
-2.14487,0.0287556,0.994504,10.687,0.00330329,0.983927,4.10857,0.0268921,0.995091,6.80679,0.00310661,0.996315,-0.151555,0.0842405,0.927821,1.80686,0.00171246,0.999745,11.4596,0.110551,0.949076,2.14263,0.0114642,0.994342,-0.0854674,0.0276637,0.991023,-2.70117,0.00332602,0.999737,All
-2.11558,0.0250598,0.995291,10.796,0.00320796,0.984282,4.13838,0.0232137,0.995837,6.87273,0.00292733,0.996514,-0.0907297,0.079724,0.932807,1.82333,0.00153098,0.999771,11.5752,0.1103,0.961852,2.16387,0.0109271,0.994579,-0.0451611,0.0247854,0.99208,-2.67969,0.00257551,0.9998,All
-2.0863,0.0217764,0.995975,10.905,0.00311605,0.984627,4.16818,0.019975,0.996479,6.93867,0.00275903,0.996701,-0.0299041,0.0753448,0.937522,1.8398,0.00136893,0.999795,11.6908,0.107603,0.974475,2.1851,0.0104177,0.994806,-0.00485485,0.0221596,0.993025,-2.65821,0.00198375,0.999849,All
