time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
-14.0567,0.00520833,0.0165746,0,0.0344828,All
-13.8806,0.00520833,0.0167598,0.00542009,0.0381474,All
-13.7044,0.00520833,0.0170455,0.00546448,0.039216,All
-13.5283,0.00520833,0.0174419,0.00549451,0.0403462,All
-13.3521,0.00520833,0.0218579,0.00552486,0.042816,All
-13.1759,0.00520833,0.0223464,0.00554021,0.0446941,All
-12.9998,0.00520833,0.0231214,0.00561798,0.0467852,All
-12.8236,0.00520833,0.0273224,0.00566577,0.0494505,All
-12.6475,0.00520833,0.027933,0.0108108,0.0511364,All
-12.4713,0.00520833,0.0284091,0.010929,0.0547949,All
-12.2952,0.00520833,0.0327869,0.0110497,0.0560228,All
-12.119,0.0104167,0.0333333,0.0112677,0.0584815,All
-11.9428,0.0208333,0.0340909,0.0139037,0.0606065,All
-11.7667,0.0208333,0.0382514,0.0162603,0.0636092,All
-11.5905,0.0208333,0.0391061,0.0165746,0.0672274,All
-11.4144,0.0208333,0.0403462,0.0168069,0.0687685,All
-11.2382,0.0208333,0.0441989,0.0215635,0.0735745,All
-11.0621,0.0260417,0.0453261,0.021978,0.0780283,All
-10.8859,0.0260417,0.0494505,0.0227922,0.0812135,All
-10.7097,0.0260417,0.0505618,0.0274725,0.0842723,All
-10.5336,0.0260417,0.0546448,0.0277786,0.0880737,All
-10.3574,0.0260417,0.0558659,0.0284903,0.0898156,All
-10.1813,0.0260417,0.0604396,0.032967,0.0969356,All
-10.0051,0.03125,0.0621469,0.0342857,0.101409,All
-9.82896,0.03125,0.0659341,0.0382514,0.104486,All
-9.6528,0.03125,0.0677966,0.0387815,0.105556,All
-9.47664,0.03125,0.0718397,0.0408194,0.109143,All
-9.30049,0.03125,0.0747126,0.0448183,0.115385,All
-9.12433,0.03125,0.0777778,0.0474457,0.117318,All
-8.94817,0.0364583,0.0816333,0.0502793,0.123147,All
-8.77202,0.0416667,0.0847458,0.0547949,0.128492,All
-8.59586,0.046875,0.0885776,0.0569805,0.133706,All
-8.4197,0.046875,0.0921727,0.0602744,0.138733,All
-8.24355,0.046875,0.0949721,0.0626786,0.141274,All
-8.06739,0.046875,0.0989011,0.0659341,0.148242,All
-7.89123,0.0520833,0.103825,0.0700814,0.153846,All
-7.71507,0.0520833,0.108031,0.07324,0.157609,All
-7.53892,0.0520833,0.11236,0.0769231,0.162982,All
-7.36276,0.0572917,0.116022,0.0802299,0.168509,All
-7.1866,0.0572917,0.119119,0.0849865,0.171604,All
-7.01045,0.0572917,0.123217,0.0891372,0.177714,All
-6.83429,0.0572917,0.128417,0.0931514,0.184286,All
-6.65813,0.0625,0.132232,0.0949721,0.186788,All
-6.48197,0.0625,0.136877,0.1,0.190881,All
-6.30582,0.0625,0.140449,0.101637,0.198847,All
-6.12966,0.0625,0.1453,0.105409,0.202351,All
-5.9535,0.0625,0.149425,0.10989,0.206114,All
-5.77735,0.0625,0.154696,0.114228,0.215317,All
-5.60119,0.0677083,0.159341,0.11828,0.222524,All
-5.42503,0.0729167,0.163934,0.121547,0.227767,All
-5.24888,0.0729167,0.168572,0.123596,0.233807,All
-5.07272,0.0729167,0.173549,0.129213,0.241758,All
-4.89656,0.0729167,0.178771,0.134455,0.246546,All
-4.7204,0.078125,0.183095,0.139665,0.254182,All
-4.54425,0.078125,0.187157,0.144848,0.258334,All
-4.36809,0.078125,0.193276,0.150838,0.265545,All
-4.19193,0.078125,0.198895,0.155812,0.27147,All
-4.01578,0.0833333,0.204483,0.162527,0.279993,All
-3.83962,0.0833333,0.21127,0.168054,0.287714,All
-3.66346,0.0833333,0.217391,0.173549,0.292807,All
-3.4873,0.0885417,0.223464,0.180333,0.301479,All
-3.31115,0.09375,0.231841,0.185892,0.312162,All
-3.13499,0.104167,0.238105,0.190217,0.321297,All
-2.95883,0.114583,0.247253,0.195652,0.326252,All
-2.78268,0.130208,0.255682,0.204988,0.337829,All
-2.60652,0.130208,0.264045,0.211111,0.346372,All
-2.43036,0.140625,0.272727,0.216288,0.360349,All
-2.25421,0.145833,0.283333,0.229454,0.372199,All
-2.07805,0.145833,0.294444,0.23913,0.37971,All
-1.90189,0.151042,0.304348,0.247191,0.392265,All
-1.72573,0.166667,0.3188,0.259368,0.407934,All
-1.54958,0.171875,0.33518,0.271197,0.420172,All
-1.37342,0.182292,0.35,0.282923,0.436464,All
-1.19726,0.203125,0.368568,0.298548,0.452776,All
-1.02111,0.203125,0.38674,0.312849,0.472376,All
-0.844949,0.229167,0.40678,0.334264,0.489446,All
-0.668792,0.255208,0.432959,0.357748,0.515638,All
-0.492635,0.291667,0.461111,0.388434,0.5442,All
-0.316478,0.296875,0.494286,0.416426,0.569061,All
-0.140321,0.421875,0.528572,0.45454,0.603352,All
0.0358361,0.489583,0.563536,0.494413,0.641382,All
0.211993,0.546875,0.601093,0.537572,0.677929,All
0.38815,0.5625,0.636888,0.570227,0.709765,All
0.564307,0.59375,0.672464,0.603306,0.740436,All
0.740464,0.630208,0.706522,0.64305,0.775631,All
0.916621,0.666667,0.738889,0.676948,0.801136,All
1.09278,0.723958,0.767442,0.708791,0.829137,All
1.26894,0.776042,0.794444,0.736264,0.849419,All
1.44509,0.8125,0.820941,0.76619,0.874284,All
1.62125,0.84375,0.846154,0.795517,0.893082,All
1.79741,0.859375,0.866294,0.818681,0.910645,All
1.97356,0.890625,0.887938,0.8421,0.936047,All
2.14972,0.911458,0.906593,0.862637,0.948864,All
2.32588,0.932292,0.923077,0.884615,0.961538,All
2.50203,0.958333,0.939891,0.909091,0.974579,All
2.67819,0.979167,0.955556,0.926345,0.983606,All
2.85435,0.989583,0.967213,0.944444,0.994203,All
3.03051,0.989583,0.982759,0.960563,1,All
3.20666,0.994792,0.98913,0.976879,1,All
3.38282,1,1,1,1,All
