time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
4.973,-0.00257186,4.973,0.0681519,4.973,0.13296,0.000175076,-0.490335,0.000200094,0.261089,0.000175076,-0.205372,All
5.07,0.00058052,5.07,0.0712644,5.07,0.134897,0.000367081,-0.490424,0.000421052,0.259358,0.000367081,-0.205621,All
5.27739,0.010712,5.27739,0.0772732,5.27739,0.142861,0.000769656,-0.49061,0.00088601,0.255868,0.000769656,-0.206145,All
5.44,0.0186557,5.44,0.0819846,5.44,0.149105,0.00161373,-0.491,0.00186441,0.248884,0.00161373,-0.207243,All
5.60041,0.0217483,5.60041,0.0839125,5.60041,0.151611,0.0033835,-0.491819,0.00392323,0.236152,0.0033835,-0.209546,All
5.81,0.0220855,5.81,0.084308,5.81,0.152033,0.00709416,-0.493535,0.00825555,0.217189,0.00709416,-0.214374,All
5.94321,0.0222998,5.94321,0.0845594,5.94321,0.152301,0.0148743,-0.497133,0.017372,0.209388,0.0148743,-0.224496,All
6.18,0.0157806,6.18,0.0926668,6.18,0.14503,0.0311868,-0.504677,0.0365554,0.246024,0.0311868,-0.245719,All
6.30698,0.0111172,6.30698,0.0983106,6.30698,0.139819,0.0529919,-0.514762,0.0634741,0.271468,0.0529919,-0.274088,All
6.55,0.00164042,6.55,0.112516,6.55,0.128587,0.0653891,-0.520496,0.0769225,0.2652,0.0653891,-0.290217,All
6.69302,-0.0051903,6.69302,0.12861,6.69302,0.119111,0.105984,-0.539271,0.126948,0.156023,0.105984,-0.343031,All
6.92,-0.0160309,6.92,0.154152,6.92,0.104072,0.137101,-0.531043,0.161866,0.0870599,0.137101,-0.342324,All
7.10269,-0.0300594,7.10269,0.158545,7.10269,0.0883964,0.158976,-0.51778,0.190422,0.0658573,0.158976,-0.328204,All
7.29,-0.0486785,7.29,0.150138,7.29,0.0694706,0.211968,-0.485649,0.253896,0.0957994,0.211968,-0.293998,All
7.53743,-0.0768491,7.53743,0.127989,7.53743,0.0420818,0.264959,-0.453517,0.31737,0.138521,0.264959,-0.259793,All
7.66,-0.100738,7.66,0.0863265,7.66,0.0218785,0.287458,-0.449869,0.340611,0.145141,0.287458,-0.258004,All
7.99879,-0.16677,7.99879,-0.0288329,7.99879,-0.0339661,0.317951,-0.450874,0.380844,0.147065,0.317951,-0.26316,All
8.03,-0.174399,8.03,-0.0370447,8.03,-0.0416034,0.370943,-0.452621,0.444318,0.139002,0.370943,-0.272121,All
8.4,-0.265587,8.4,-0.133246,8.4,-0.133334,0.423935,-0.454369,0.507792,0.130269,0.423935,-0.281082,All
8.48838,-0.287369,8.48838,-0.156225,8.48838,-0.155246,0.476927,-0.456116,0.571266,0.123605,0.476927,-0.290044,All
8.77,-0.319554,8.77,-0.163125,8.77,-0.191182,0.529919,-0.409045,0.634741,0.119369,0.529919,-0.242173,All
9.00794,-0.343683,9.00794,-0.164771,9.00794,-0.218449,0.582911,-0.361128,0.698215,0.115431,0.582911,-0.193317,All
