time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
-1,-0.093747,-1,-0.0785392,-1,-0.104723,-0.969594,-0.138527,-1.41735,-0.320427,-0.969594,-0.148298,All
-0.848485,-0.0774904,-0.848485,-0.0623019,-0.848485,-0.0885494,-0.941108,-0.132714,-1.38106,-0.292526,-0.941108,-0.142394,All
-0.69697,-0.0612338,-0.69697,-0.0460647,-0.69697,-0.0723758,-0.912623,-0.126901,-1.34477,-0.26475,-0.912623,-0.13649,All
-0.545455,-0.0449772,-0.545455,-0.0298274,-0.545455,-0.0562022,-0.884138,-0.121088,-1.30848,-0.236973,-0.884138,-0.130586,All
-0.393939,-0.0287207,-0.393939,-0.0135902,-0.393939,-0.0400285,-0.855653,-0.115275,-1.27219,-0.209197,-0.855653,-0.124682,All
-0.242424,-0.0124641,-0.242424,0.00264709,-0.242424,-0.0238549,-0.827168,-0.109462,-1.2359,-0.19205,-0.827168,-0.118778,All
-0.0909091,0.00379251,-0.0909091,0.0188843,-0.0909091,-0.00768131,-0.798682,-0.103649,-1.19961,-0.176061,-0.798682,-0.112874,All
0.0606061,0.00862103,0.0606061,0.0154125,0.0606061,-0.00273474,-0.770197,-0.0978366,-1.16332,-0.16634,-0.770197,-0.106971,All
0.212121,-0.00369256,0.212121,-0.017623,0.212121,-0.0146287,-0.741712,-0.0920237,-1.12703,-0.156618,-0.741712,-0.101067,All
0.363636,-0.0160061,0.363636,-0.0506585,0.363636,-0.0265227,-0.713227,-0.0862108,-1.09074,-0.14928,-0.713227,-0.0951629,All
0.515152,-0.0283197,0.515152,-0.083694,0.515152,-0.0384167,-0.684741,-0.0803979,-1.05445,-0.145376,-0.684741,-0.089259,All
0.666667,-0.0406333,0.666667,-0.116729,0.666667,-0.0503107,-0.656256,-0.0745849,-1.01816,-0.143894,-0.656256,-0.0833551,All
0.818182,-0.0529469,0.818182,-0.149765,0.818182,-0.0622047,-0.627771,-0.068772,-0.981873,-0.145816,-0.627771,-0.0774513,All
0.969697,-0.0652605,0.969697,-0.1828,0.969697,-0.0740987,-0.599286,-0.0629591,-0.945584,-0.149013,-0.599286,-0.0715474,All
1.12121,-0.0768639,1.12121,-0.183658,1.12121,-0.0847753,-0.570801,-0.0571462,-0.909294,-0.15221,-0.570801,-0.0656435,All
1.27273,-0.0882896,1.27273,-0.176471,1.27273,-0.0951474,-0.542315,-0.0759674,-0.873005,-0.155406,-0.542315,-0.0839347,All
1.42424,-0.0997154,1.42424,-0.169283,1.42424,-0.10552,-0.51383,-0.103731,-0.836716,-0.161924,-0.51383,-0.111009,All
1.57576,-0.111141,1.57576,-0.162096,1.57576,-0.115892,-0.485345,-0.131495,-0.800426,-0.16859,-0.485345,-0.138083,All
1.72727,-0.122567,1.72727,-0.154909,1.72727,-0.126264,-0.45686,-0.159259,-0.764137,-0.176073,-0.45686,-0.165158,All
1.87879,-0.133993,1.87879,-0.147722,1.87879,-0.136636,-0.428374,-0.187023,-0.727848,-0.184054,-0.428374,-0.192232,All
2.0303,-0.139959,2.0303,-0.140058,2.0303,-0.141868,-0.399889,-0.0945847,-0.691558,-0.192163,-0.399889,-0.107212,All
2.18182,-0.124084,2.18182,-0.130486,2.18182,-0.126538,-0.371404,-0.0865585,-0.655269,-0.200188,-0.371404,-0.0993684,All
2.33333,-0.10821,2.33333,-0.120915,2.33333,-0.111209,-0.342919,-0.0852641,-0.61898,-0.207733,-0.342919,-0.0976896,All
2.48485,-0.0923362,2.48485,-0.111343,2.48485,-0.0958795,-0.314434,-0.0839696,-0.58269,-0.21454,-0.314434,-0.0960109,All
2.63636,-0.076462,2.63636,-0.101771,2.63636,-0.0805501,-0.285948,-0.0826752,-0.546401,-0.22062,-0.285948,-0.0943322,All
2.78788,-0.0605879,2.78788,-0.0921994,2.78788,-0.0652206,-0.257463,-0.0813807,-0.510111,-0.225321,-0.257463,-0.0926535,All
2.93939,-0.0447137,2.93939,-0.0826277,2.93939,-0.0498911,-0.228978,-0.0800863,-0.473822,-0.228519,-0.228978,-0.0909747,All
3.09091,-0.0360991,3.09091,-0.0791284,3.09091,-0.0420295,-0.200493,-0.0787918,-0.437533,-0.229546,-0.200493,-0.089296,All
3.24242,-0.0323243,3.24242,-0.0796774,3.24242,-0.0391464,-0.172007,-0.0800704,-0.401243,-0.227929,-0.172007,-0.0900222,All
3.39394,-0.0285494,3.39394,-0.0802264,3.39394,-0.0362634,-0.143522,-0.0954999,-0.364954,-0.223107,-0.143522,-0.104475,All
3.54545,-0.0247745,3.54545,-0.0807754,3.54545,-0.0333804,-0.115037,-0.0948474,-0.328665,-0.21417,-0.115037,-0.104555,All
3.69697,-0.0209996,3.69697,-0.0813245,3.69697,-0.0304973,-0.0865517,-0.0941948,-0.292375,-0.20114,-0.0865517,-0.104636,All
3.84848,-0.0172247,3.84848,-0.0818735,3.84848,-0.0276143,-0.0580665,-0.0935423,-0.256086,-0.18717,-0.0580665,-0.104717,All
4,-0.0134499,4,-0.0824225,4,-0.0247312,-0.0295813,-0.0928897,-0.219797,-0.177545,-0.0295813,-0.104798,All
4.15152,-0.0145726,4.15152,-0.0822791,4.15152,-0.0259866,-0.00109603,-0.0922372,-0.183507,-0.171566,-0.00109603,-0.104879,All
4.30303,-0.0156953,4.30303,-0.0821356,4.30303,-0.0272419,0.0273892,-0.0915846,-0.147218,-0.170593,0.0273892,-0.10496,All
4.45455,-0.016818,4.45455,-0.0819922,4.45455,-0.0284973,0.0558744,-0.0909321,-0.110928,-0.171736,0.0558744,-0.105041,All
4.60606,-0.0179408,4.60606,-0.0818488,4.60606,-0.0297526,0.0843596,-0.0902795,-0.0746391,-0.176013,0.0843596,-0.105122,All
4.75758,-0.0190635,4.75758,-0.0817054,4.75758,-0.031008,0.112845,-0.089627,-0.0383497,-0.181289,0.112845,-0.105203,All
4.90909,-0.0201862,4.90909,-0.081562,4.90909,-0.0322633,0.14133,-0.0889744,-0.00206034,-0.187073,0.14133,-0.105283,All
5.06061,-0.0165508,5.06061,-0.077113,5.06061,-0.0282716,0.169815,-0.0883219,0.034229,-0.192708,0.169815,-0.105364,All
5.21212,-0.00577798,5.21212,-0.0662059,5.21212,-0.0164093,0.198301,-0.0876693,0.0705184,-0.196946,0.198301,-0.105445,All
5.36364,0.0049948,5.36364,-0.0552988,5.36364,-0.00454692,0.226786,-0.0870168,0.106808,-0.198989,0.226786,-0.105526,All
5.51515,0.0157676,5.51515,-0.0443916,5.51515,0.00731543,0.255271,-0.0855545,0.143097,-0.196083,0.255271,-0.104715,All
5.66667,0.0265404,5.66667,-0.0334845,5.66667,0.0191778,0.283756,-0.0778754,0.179386,-0.191765,0.283756,-0.0970596,All
5.81818,0.0373132,5.81818,-0.0225774,5.81818,0.0310401,0.312241,-0.0701964,0.215676,-0.183416,0.312241,-0.0894039,All
5.9697,0.0480859,5.9697,-0.0116702,5.9697,0.0429025,0.340727,-0.0625174,0.251965,-0.167292,0.340727,-0.0817483,All
6.12121,0.0586966,6.12121,-0.000963035,6.12121,0.0547586,0.369212,-0.0548383,0.288255,-0.146441,0.369212,-0.0740926,All
6.27273,0.0692666,6.27273,0.00969417,6.27273,0.0666131,0.397697,-0.0471593,0.324544,-0.118311,0.397697,-0.0664369,All
6.42424,0.0798367,6.42424,0.0203514,6.42424,0.0784676,0.426182,-0.0394803,0.360833,-0.0871107,0.426182,-0.0587812,All
6.57576,0.0904068,6.57576,0.0310086,6.57576,0.0903221,0.454668,-0.0318013,0.397123,-0.0535908,0.454668,-0.0511256,All
6.72727,0.100977,6.72727,0.0416658,6.72727,0.102177,0.483153,-0.0241222,0.433412,-0.0199168,0.483153,-0.0434699,All
6.87879,0.111547,6.87879,0.052323,6.87879,0.114031,0.511638,-0.0164432,0.469701,0.0119714,0.511638,-0.0358142,All
7.0303,0.1195,7.0303,0.060773,7.0303,0.123025,0.540123,-0.00876416,0.505991,0.0400472,0.540123,-0.0281586,All
7.18182,0.116982,7.18182,0.0603944,7.18182,0.120576,0.568608,-0.00108513,0.54228,0.06254,0.568608,-0.0205029,All
7.33333,0.114464,7.33333,0.0600158,7.33333,0.118127,0.597094,0.0065939,0.57857,0.0776043,0.597094,-0.0128472,All
7.48485,0.111947,7.48485,0.0596371,7.48485,0.115677,0.625579,0.0142729,0.614859,0.0830844,0.625579,-0.00519155,All
7.63636,0.109429,7.63636,0.0592585,7.63636,0.113228,0.654064,0.021952,0.651148,0.0798847,0.654064,0.00246412,All
7.78788,0.106911,7.78788,0.0588798,7.78788,0.110779,0.682549,0.027578,0.687438,0.0711548,0.682549,0.00878407,All
7.93939,0.104394,7.93939,0.0585012,7.93939,0.10833,0.711035,0.0327974,0.723727,0.0560491,0.711035,0.0148394,All
8.09091,0.0996513,8.09091,0.0559135,8.09091,0.102475,0.73952,0.0380167,0.760016,0.0372042,0.73952,0.0208947,All
8.24242,0.0934254,8.24242,0.0518532,8.24242,0.094349,0.768005,0.043236,0.796306,0.015246,0.768005,0.02695,All
8.39394,0.0871995,8.39394,0.0477928,8.39394,0.0862232,0.79649,0.0484554,0.832595,-0.00671229,0.79649,0.0330054,All
8.54545,0.0809737,8.54545,0.0437325,8.54545,0.0780975,0.824976,0.0536747,0.868884,-0.0285118,0.824976,0.0390607,All
8.69697,0.0747478,8.69697,0.0396721,8.69697,0.0699717,0.853461,0.0588941,0.905174,-0.0480788,0.853461,0.045116,All
8.84848,0.0685219,8.84848,0.0356117,8.84848,0.061846,0.881946,0.0641134,0.941463,-0.0643039,0.881946,0.0511713,All
9,0.0622961,9,0.0315514,9,0.0537202,0.910431,0.0693327,0.977753,-0.0736117,0.910431,0.0572266,All
9.15152,0.0542584,9.15152,0.0212389,9.15152,0.0438604,0.938916,0.0745521,1.01404,-0.0783676,0.938916,0.063282,All
9.30303,0.0462207,9.30303,0.0109265,9.30303,0.0340007,0.967402,0.0797714,1.05033,-0.0731546,0.967402,0.0693373,All
9.45455,0.038183,9.45455,0.000614092,9.45455,0.0241409,0.995887,0.0849908,1.08662,-0.0595747,0.995887,0.0753926,All
9.60606,0.0301453,9.60606,-0.00969833,9.60606,0.0142812,1.02437,0.0902101,1.12291,-0.0416053,1.02437,0.0814479,All
