rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,7,-1,-0.414398,0.442415,0.442415,0,All,#4682B4,0
2,7,-1,-0.15418,-0.0233963,-0.0233963,0,All,#4682B4,0
3,7,-1,-0.201698,0.0616656,0.0616656,0,All,#4682B4,0
4,7,-1,-0.29433,0.227483,0.227483,0,All,#4682B4,0
5,7,-1,-0.244983,0.139149,0.139149,0,All,#4682B4,0
6,7,-1,-0.164736,-0.00450029,-0.00450029,0,All,#4682B4,0
7,7,-1,-0.248727,0.145851,0.145851,0,All,#4682B4,0
8,7,-1,-0.170305,0.00546855,0.00546855,0,All,#4682B4,0
9,7,-1,-0.4804,0.560565,0.560565,0,All,#4682B4,0
10,7,-1,-0.073574,-0.167688,-0.167688,0,All,#4682B4,0
1,7,0,-0.414398,0.186881,-1.39345,1,All,#4682B4,0
2,7,0,-0.15418,-0.278931,-1.25117,1,All,#4682B4,0
3,7,0,-0.201698,-0.193869,-0.299202,1,All,#4682B4,0
4,7,0,-0.29433,-0.0280513,-1.00715,1,All,#4682B4,0
5,7,0,-0.244983,-0.116386,-1.13012,1,All,#4682B4,0
6,7,0,-0.164736,-0.260035,-0.389189,1,All,#4682B4,0
7,7,0,-0.248727,-0.109684,-0.786446,1,All,#4682B4,0
8,7,0,-0.170305,-0.250066,-0.982204,1,All,#4682B4,0
9,7,0,-0.4804,0.30503,-0.683572,1,All,#4682B4,0
10,7,0,-0.073574,-0.423222,-0.992197,1,All,#4682B4,0
1,7,1,-0.414398,0.832881,0.832881,0,All,#4682B4,0
2,7,1,-0.15418,0.367069,0.367069,0,All,#4682B4,0
3,7,1,-0.201698,0.452131,0.452131,0,All,#4682B4,0
4,7,1,-0.29433,0.617949,0.617949,0,All,#4682B4,0
5,7,1,-0.244983,0.529614,0.529614,0,All,#4682B4,0
6,7,1,-0.164736,0.385965,0.385965,0,All,#4682B4,0
7,7,1,-0.248727,0.536316,0.536316,0,All,#4682B4,0
8,7,1,-0.170305,0.395934,0.395934,0,All,#4682B4,0
9,7,1,-0.4804,0.95103,0.95103,0,All,#4682B4,0
10,7,1,-0.073574,0.222778,0.222778,0,All,#4682B4,0
1,7,2,-0.414398,0.219563,0.219563,0,All,#4682B4,0
2,7,2,-0.15418,-0.246249,-0.246249,0,All,#4682B4,0
3,7,2,-0.201698,-0.161187,-0.161187,0,All,#4682B4,0
4,7,2,-0.29433,0.00463022,0.00463022,0,All,#4682B4,0
5,7,2,-0.244983,-0.083704,-0.083704,0,All,#4682B4,0
6,7,2,-0.164736,-0.227353,-0.227353,0,All,#4682B4,0
7,7,2,-0.248727,-0.0770022,-0.0770022,0,All,#4682B4,0
8,7,2,-0.170305,-0.217384,-0.217384,0,All,#4682B4,0
9,7,2,-0.4804,0.337712,0.337712,0,All,#4682B4,0
10,7,2,-0.073574,-0.390541,-0.390541,0,All,#4682B4,0
1,7,3,-0.454678,0.258985,-1.15663,1,All,#4682B4,0
2,7,3,-0.244418,-0.117397,-0.15986,1,All,#4682B4,0
3,7,3,-0.201698,-0.193869,-0.235572,1,All,#4682B4,0
4,7,3,-0.385058,0.134359,-1.09262,1,All,#4682B4,0
5,7,3,-0.253709,-0.100766,-1.1941,1,All,#4682B4,0
6,7,3,-0.358639,0.0870674,-0.392534,1,All,#4682B4,0
7,7,3,-0.354302,0.079305,-0.329608,1,All,#4682B4,0
8,7,3,-0.170305,-0.250066,-0.637454,1,All,#4682B4,0
9,7,3,-0.780217,0.841727,0.26191,1,All,#4682B4,0
10,7,3,-0.322441,0.0222713,-0.855222,1,All,#4682B4,0
1,7,4,-0.801743,1.80277,1.80277,0,All,#4682B4,0
2,7,4,-0.60349,1.44788,1.44788,0,All,#4682B4,0
3,7,4,-0.549505,1.35125,1.35125,0,All,#4682B4,0
4,7,4,-0.78734,1.77699,1.77699,0,All,#4682B4,0
5,7,4,-0.652456,1.53553,1.53553,0,All,#4682B4,0
6,7,4,-0.684742,1.59333,1.59333,0,All,#4682B4,0
7,7,4,-0.704957,1.62952,1.62952,0,All,#4682B4,0
8,7,4,-0.504442,1.27058,1.27058,0,All,#4682B4,0
9,7,4,-1.05454,2.2553,2.2553,0,All,#4682B4,0
10,7,4,-0.693546,1.60909,1.60909,0,All,#4682B4,0
1,7,5,0.096676,0.0585519,0.0585519,0,All,#4682B4,0
2,7,5,-0.057828,0.335127,0.335127,0,All,#4682B4,0
3,7,5,-0.140314,0.482783,0.482783,0,All,#4682B4,0
4,7,5,-0.628969,1.35752,1.35752,0,All,#4682B4,0
5,7,5,-0.265836,0.707478,0.707478,0,All,#4682B4,0
6,7,5,0.0387259,0.162287,0.162287,0,All,#4682B4,0
7,7,5,0.0421848,0.156096,0.156096,0,All,#4682B4,0
8,7,5,-0.321525,0.807166,0.807166,0,All,#4682B4,0
9,7,5,-0.0938868,0.399675,0.399675,0,All,#4682B4,0
10,7,5,-0.142219,0.486193,0.486193,0,All,#4682B4,0
1,7,6,1.05822,-1.19356,-1.19356,0,All,#4682B4,0
2,7,6,0.72529,-0.597587,-0.597587,0,All,#4682B4,0
3,7,6,0.683519,-0.522813,-0.522813,0,All,#4682B4,0
4,7,6,0.476952,-0.153042,-0.153042,0,All,#4682B4,0
5,7,6,0.8004,-0.732041,-0.732041,0,All,#4682B4,0
6,7,6,0.925796,-0.95651,-0.95651,0,All,#4682B4,0
7,7,6,0.988923,-1.06951,-1.06951,0,All,#4682B4,0
8,7,6,0.53181,-0.251241,-0.251241,0,All,#4682B4,0
9,7,6,0.990217,-1.07183,-1.07183,0,All,#4682B4,0
10,7,6,0.953536,-1.00617,-1.00617,0,All,#4682B4,0
1,7,7,1.57715,-0.0860939,-0.0860939,0,All,#4682B4,0
2,7,7,1.21301,0.565744,0.565744,0,All,#4682B4,0
3,7,7,1.1731,0.637193,0.637193,0,All,#4682B4,0
4,7,7,1.3081,0.395532,0.395532,0,All,#4682B4,0
5,7,7,1.48956,0.0706972,0.0706972,0,All,#4682B4,0
6,7,7,1.473,0.100331,0.100331,0,All,#4682B4,0
7,7,7,1.55931,-0.054166,-0.054166,0,All,#4682B4,0
8,7,7,1.1095,0.751029,0.751029,0,All,#4682B4,0
9,7,7,1.66052,-0.235329,-0.235329,0,All,#4682B4,0
10,7,7,1.70597,-0.316691,-0.316691,0,All,#4682B4,0
1,7,8,1.70346,1.54629,1.54629,0,All,#4682B4,0
2,7,8,1.44607,2.00704,2.00704,0,All,#4682B4,0
3,7,8,1.37242,2.13887,2.13887,0,All,#4682B4,0
4,7,8,1.66011,1.62388,1.62388,0,All,#4682B4,0
