rep,id,eta_beta_exp,eta_delta0,eta_p,eta_td,eta_b_exp,eta_h_0,eta_tc,eta_sigma,eta_phi_exp,eta_rho_exp,eta_alpha_exp
1,7,0.062854,1.03916,-0.248625,0.142768,-1.87819,0.402411,0.759314,-0.180748,0,0.831501,-0.716757
2,7,-0.00509687,0.956954,-0.373268,0.410435,-1.60196,0.412653,1.22013,0.309582,0,1.0921,0.269151
3,7,0.0889631,0.954397,-0.374375,0.322722,-1.75458,0.422223,0.873596,0.208467,0,1.39513,0.267198
4,7,0.0702761,1.27675,-0.346345,0.116853,-1.76842,0.413175,0.712137,-0.318422,0,1.20042,-0.403134
5,7,0.318801,2.48223,-0.0189959,-0.105409,-2.6874,0.576077,0.554398,-0.316431,0,1.57104,0.871824
1,8,-0.146771,-1.16472,-0.133283,0.284308,1.16956,-0.191728,-0.56487,-0.153832,0,-0.583059,-0.248999
2,8,-0.329659,-1.34963,0.147233,0.250294,1.63106,-0.364149,-1.40016,-0.531094,0,-1.50939,0.106187
3,8,-0.339818,-1.77219,-0.0507661,0.224996,1.91275,-0.449477,-0.946116,-0.10266,0,-1.10741,-0.0681428
4,8,-0.279737,-1.46936,0.208345,0.232317,1.37523,-0.286547,-1.27187,-0.293002,0,-1.0405,-0.072384
5,8,-0.289388,-1.75148,-0.0319926,0.255179,1.47124,-0.293068,-1.5136,-0.2585,0,-0.946585,0.0100656
1,9,-0.0903674,-0.755485,0.382984,-0.0127353,1.13336,-0.411338,-0.866896,-0.167417,0,-1.16345,0.204905
2,9,0.144798,0.0372578,0.18639,-0.196555,-0.423531,0.0742199,-0.902267,-0.416939,0,0.267481,-0.464495
3,9,-0.0736955,-0.823517,0.337276,-0.116384,0.600226,-0.214832,-0.985427,-0.50431,0,-0.701719,0.411023
4,9,-0.0851664,-0.9404,0.28401,-0.0617852,1.10382,-0.335264,-1.00097,-0.170758,0,-1.26584,-0.00326748
5,9,-0.238117,-0.223595,0.288256,-0.100323,0.805341,-0.202309,-0.692283,-0.0394525,0,-0.322531,-0.156331
1,10,0.0478275,0.141402,0.169498,-0.367511,0.648049,-0.146601,0.804681,0.388133,0,0.126734,0.294681
2,10,0.122981,-0.465147,0.237268,-0.374598,1.08227,-0.203501,-0.019397,0.139211,0,-0.504304,0.717006
3,10,0.294372,1.17836,-0.0450606,-0.476049,-0.0442784,0.0827471,0.748286,0.146418,0,0.426486,-0.225525
4,10,0.160757,0.0344277,0.365312,-0.395856,0.0762429,0.043228,1.2343,0.519613,0,-0.426031,0.658001
5,10,-0.0923509,0.135085,0.317405,-0.344565,0.717341,-0.0790206,0.69937,0.158906,0,-0.577195,0.284148
1,11,-0.249664,-1.64045,-0.079326,-0.0406849,1.93686,-0.434702,-0.688091,0.404509,0,-1.22064,-0.436521
2,11,-0.245158,-0.802388,0.0622207,-0.0843266,1.16671,-0.14454,-0.176562,0.547473,0,-0.205124,0.0295213
3,11,-0.278758,-0.850618,0.167831,-0.0600084,1.73297,-0.317118,-0.0401757,0.500821,0,-0.840448,0.424039
4,11,-0.688272,-1.81854,0.187282,-0.0508368,2.35344,-0.530848,-0.455612,0.659646,0,-1.0675,0.470179
5,11,-0.276755,-0.789782,0.322063,-0.10406,1.82526,-0.427563,-0.400308,0.238054,0,-1.15937,-0.0194819
1,12,-0.503376,-1.01061,-0.539696,0.806335,1.54929,-0.236035,-1.8776,-0.244167,0,-0.0162965,1.041
2,12,-0.357592,-1.16584,-0.333403,0.776152,0.946606,-0.141849,-2.87311,-0.751043,0,-0.448075,1.5094
3,12,-0.335671,-1.17882,-0.347601,0.816031,1.35413,-0.271882,-1.56082,-0.253259,0,-0.361375,1.16855
4,12,-0.331188,-0.585149,-0.611189,0.742062,1.04346,-0.154474,-2.28114,-0.483009,0,-0.347228,0.920716
5,12,-0.512817,-1.03063,-0.622731,0.796626,1.17582,-0.116946,-1.92244,-0.476449,0,-0.0287231,1.00427
1,13,0.811906,2.33546,0.525369,-0.906426,-3.13887,0.445928,2.21324,-0.0248644,0,1.05508,0.716048
2,13,0.576292,1.63301,0.346398,-0.845818,-2.46928,0.347888,3.31045,0.296063,0,0.989384,0.582335
3,13,0.71046,1.44306,0.399407,-0.93817,-2.88144,0.394051,2.79555,0.271472,0,0.834479,0.62126
4,13,0.786407,1.73046,0.382373,-0.865259,-2.35211,0.296639,2.32942,0.250054,0,0.914441,0.304343
5,13,0.6821,2.15739,0.403491,-0.79654,-2.81072,0.419802,3.78123,0.282382,0,0.994409,0.563341
1,14,0.151888,0.204116,0.160685,-0.155689,0.394922,0.00340237,-0.985918,-0.607252,0,-0.548246,-0.527511
2,14,-0.0657765,0.221946,0.291817,-0.12024,0.471246,-0.0165137,-0.481793,-0.467719,0,-0.522362,0.375197
3,14,-0.152799,-0.460649,0.177854,-0.0789184,1.17148,-0.174299,-2.15962,-0.480976,0,-0.974079,-0.233477
4,14,-0.269486,0.0668698,0.154119,-0.0528791,0.900677,-0.0251042,-0.945305,-0.320727,0,-0.437407,-0.171046
5,14,0.0489054,0.250181,0.351009,-0.159995,0.0160893,0.0676451,-0.543069,-0.605137,0,-0.456373,0.0107067
1,15,0.221289,0.567198,-0.287369,-0.0138463,-1.29517,0.293115,2.74304,1.34321,0,0.945343,0.302675
2,15,0.427638,1.71804,-0.225864,-0.0991189,-1.72714,0.352508,3.36107,1.30372,0,1.48612,-0.416649
3,15,0.230508,1.98033,-0.286942,-0.086762,-1.49229,0.396683,2.43348,0.67415,0,1.11062,0.20259
4,15,0.206344,0.656971,-0.25576,-0.0153161,-0.930661,0.171767,2.79635,1.50708,0,1.18456,0.0306875
5,15,0.240162,1.06297,-0.213253,-0.0371466,-1.4564,0.307676,2.52129,1.35748,0,1.3322,0.16774
1,16,-0.231704,0.0878082,-0.172354,0.109117,-0.486699,0.0609683,-0.483046,-0.795507,0,-0.0907028,-0.296867
2,16,-0.488478,-0.918276,0.257949,0.065092,0.0218143,-0.062434,-1.74399,-0.858834,0,-0.363166,0.106121
3,16,-0.0839762,-0.326423,0.0850928,-0.0961958,-0.997887,0.122281,-0.720109,-0.876971,0,-0.49589,-0.427706
4,16,0.196604,1.18361,0.281649,-0.166076,-1.92997,0.287134,-0.742722,-1.34625,0,-0.0414372,-0.365221
5,16,0.0356207,0.226103,-0.0361864,0.0710011,-0.86795,0.129004,-0.947333,-0.654129,0,0.167997,-0.926737
1,17,-0.0438239,0.791008,-0.0650288,0.213813,-0.898448,0.231028,-0.234941,-0.238581,0,0.216944,-0.730078
2,17,-0.133462,-0.188174,-0.381196,0.381491,0.344447,-0.0193902,-0.00930684,0.20145,0,-0.0826427,-0.570828
3,17,0.189274,0.937796,-0.0317196,0.128738,-1.70961,0.342437,-0.378913,-0.509163,0,0.699563,-0.984441
4,17,-0.250644,0.337337,-0.225577,0.258518,-1.10063,0.333615,-0.461968,-0.306088,0,0.870678,-0.739984
5,17,0.0586382,0.00727463,-0.224474,0.294266,-0.453322,0.137533,0.0270403,-0.296381,0,-0.128578,-0.281782
1,18,-0.221586,-0.495754,-0.180922,0.236189,1.24463,-0.16695,-0.324036,0.321236,0,-0.244959,-0.435676
2,18,-0.353771,-1.01644,-0.0460725,0.289512,1.49174,-0.260734,-0.96293,0.324146,0,-0.642973,-0.161372
3,18,-0.2463,-1.4516,-0.0775753,0.341062,1.56107,-0.217117,-1.17487,0.180927,0,-0.624974,-0.406073
4,18,-0.330275,-1.72972,0.0295214,0.345351,1.63831,-0.380589,-1.07704,0.31764,0,-0.857807,0.00160897
5,18,-0.15264,-0.8195,-0.208751,0.22898,1.51735,-0.263437,-0.814018,0.486372,0,-0.0457088,-0.958652
