rep,id,beta_exp,delta0,p,td,b_exp,h_0,tc,sigma,phi_exp,rho_exp,alpha_exp
1,7,-3.53656,2.91134,2.63198,2.22959,-4.28112,0.903431,8.4395,0.356316,-0.204537,-1.35081,-6.42742
2,7,-3.60451,2.68158,2.50734,2.91387,-4.00489,0.912731,9.47783,0.581812,-0.204537,-1.09021,-5.44151
3,7,-3.51045,2.67473,2.50623,2.66918,-4.15751,0.921508,8.71888,0.525859,-0.204537,-0.787177,-5.44346
4,7,-3.52914,3.69211,2.53426,2.17255,-4.17135,0.913208,8.32024,0.310487,-0.204537,-0.981891,-6.11379
5,7,-3.28062,12.3256,2.86161,1.73957,-5.09032,1.07477,7.90602,0.311106,-0.204537,-0.61127,-4.83883
1,8,-3.74619,0.321335,2.74732,2.56859,-1.23336,0.498728,4.64052,0.366037,-0.204537,-2.76537,-5.95966
2,8,-3.92908,0.267088,3.02784,2.48269,-0.771862,0.419742,2.57716,0.251005,-0.204537,-3.69171,-5.60447
3,8,-3.93923,0.17504,2.82984,2.42067,-0.490181,0.385412,3.61233,0.385255,-0.204537,-3.28972,-5.7788
4,8,-3.87915,0.236949,3.08895,2.43846,-1.0277,0.453612,2.84624,0.318481,-0.204537,-3.22281,-5.78304
5,8,-3.8888,0.178703,2.84861,2.49485,-0.931685,0.450663,2.35501,0.329661,-0.204537,-3.1289,-5.70059
1,9,-3.68978,0.483824,3.26359,1.90849,-1.26956,0.400395,3.81545,0.361098,-0.204537,-3.34576,-5.50575
2,9,-3.45462,1.06898,3.067,1.58803,-2.82646,0.650674,3.72401,0.281358,-0.204537,-1.91483,-6.17515
3,9,-3.67311,0.452003,3.21788,1.72059,-1.8027,0.487337,3.51386,0.257818,-0.204537,-2.88403,-5.29964
4,9,-3.68458,0.402142,3.16462,1.81714,-1.29911,0.432043,3.47536,0.359893,-0.204537,-3.44815,-5.71393
5,9,-3.83753,0.823539,3.16886,1.74844,-1.59759,0.493479,4.28354,0.410392,-0.204537,-2.50484,-5.86699
1,10,-3.55159,1.18632,3.0501,1.33848,-1.75488,0.52175,8.55205,0.629357,-0.204537,-2.05558,-5.41598
2,10,-3.47644,0.646814,3.11787,1.32903,-1.32066,0.492891,6.25278,0.490672,-0.204537,-2.68662,-4.99365
3,10,-3.30504,3.34615,2.83555,1.20081,-2.44721,0.656246,8.41182,0.494222,-0.204537,-1.75583,-5.93618
4,10,-3.43866,1.06596,3.24592,1.30108,-2.32668,0.630818,9.50594,0.717791,-0.204537,-2.60834,-5.05266
5,10,-3.69177,1.17885,3.19801,1.36955,-1.68559,0.558228,8.28759,0.500432,-0.204537,-2.75951,-5.42651
1,11,-3.84908,0.199688,2.80128,1.85589,-0.466072,0.391148,4.2951,0.639748,-0.204537,-3.40296,-6.14718
