time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
9.09133e-19,0.148338,0.231309,0.17527,0.317015,All
0.0493939,0.248082,0.378381,0.289692,0.51147,All
0.0987879,0.28133,0.388539,0.2979,0.525944,All
0.148182,0.309463,0.400712,0.305856,0.534701,All
0.197576,0.345269,0.411281,0.316746,0.544964,All
0.24697,0.368286,0.42357,0.328448,0.554764,All
0.296364,0.386189,0.434274,0.337095,0.567163,All
0.345758,0.411765,0.446028,0.349707,0.57683,All
0.395152,0.424552,0.457178,0.362517,0.588949,All
0.444545,0.439898,0.468261,0.372865,0.600561,All
0.493939,0.455243,0.479761,0.384039,0.609323,All
0.543333,0.470588,0.492752,0.392604,0.620576,All
0.592727,0.485934,0.504717,0.404787,0.629992,All
0.642121,0.511509,0.515222,0.415181,0.642403,All
0.691515,0.529412,0.526932,0.425624,0.653455,All
0.740909,0.55243,0.539179,0.443662,0.670125,All
0.790303,0.56266,0.550955,0.455634,0.681757,All
0.839697,0.567775,0.5625,0.46939,0.691696,All
0.889091,0.578005,0.57229,0.479039,0.702522,All
0.938485,0.598465,0.584723,0.48851,0.72057,All
0.987879,0.608696,0.595926,0.500597,0.736697,All
1.03727,0.629156,0.607012,0.51025,0.748058,All
1.08667,0.657289,0.617021,0.521905,0.756015,All
1.13606,0.670077,0.631079,0.53448,0.765251,All
1.18545,0.68798,0.643361,0.545346,0.77462,All
1.23485,0.705882,0.651551,0.554754,0.789316,All
1.28424,0.71867,0.663079,0.570395,0.797578,All
1.33364,0.71867,0.67354,0.581227,0.813495,All
1.38303,0.71867,0.681438,0.591184,0.826886,All
1.43242,0.71867,0.69249,0.604819,0.834624,All
1.48182,0.71867,0.701734,0.617302,0.84521,All
1.53121,0.71867,0.712973,0.628024,0.860729,All
1.58061,0.721228,0.724551,0.638929,0.868773,All
1.63,0.726343,0.733412,0.647905,0.880961,All
1.67939,0.741688,0.742015,0.658181,0.893831,All
1.72879,0.744246,0.752052,0.668262,0.910714,All
1.77818,0.757033,0.760998,0.680099,0.921104,All
1.82758,0.764706,0.76995,0.68755,0.932283,All
1.87697,0.772379,0.778547,0.700844,0.942216,All
1.92636,0.774936,0.786925,0.712184,0.943839,All
1.97576,0.777494,0.795724,0.721947,0.955754,All
2.02515,0.782609,0.804246,0.731622,0.964421,All
2.07455,0.785166,0.812125,0.739907,0.965687,All
2.12394,0.800512,0.820421,0.749398,0.967927,All
2.17333,0.805627,0.827758,0.758213,0.978412,All
2.22273,0.818414,0.835311,0.765198,1,All
2.27212,0.828645,0.842537,0.774579,1,All
2.32152,0.836317,0.84856,0.782544,1,All
2.37091,0.838875,0.856972,0.79053,1,All
2.4203,0.838875,0.863267,0.798577,1,All
2.4697,0.838875,0.869767,0.806248,1,All
2.51909,0.838875,0.875575,0.812274,1,All
2.56848,0.84399,0.881115,0.82005,1,All
2.61788,0.84399,0.888224,0.826399,1,All
2.66727,0.849105,0.893519,0.834161,1,All
2.71667,0.851662,0.899168,0.841412,1,All
2.76606,0.859335,0.904309,0.846621,1,All
2.81545,0.86445,0.910152,0.852796,1,All
2.86485,0.872123,0.915339,0.860872,1,All
2.91424,0.879795,0.919048,0.868545,1,All
2.96364,0.887468,0.924481,0.876184,1,All
3.01303,0.895141,0.928829,0.880096,1,All
3.06242,0.895141,0.932387,0.884892,1,All
3.11182,0.897698,0.937046,0.889706,1,All
3.16121,0.897698,0.94023,0.896271,1,All
3.21061,0.905371,0.944441,0.903846,1,All
3.26,0.907928,0.946882,0.909205,1,All
3.30939,0.910486,0.950413,0.914221,1,All
3.35879,0.918159,0.953847,0.917269,1,All
3.40818,0.925831,0.957597,0.921969,1,All
3.45758,0.928389,0.960047,0.925748,1,All
3.50697,0.930946,0.962264,0.930538,1,All
3.55636,0.933504,0.964806,0.933253,1,All
3.60576,0.941176,0.967136,0.937355,1,All
3.65515,0.943734,0.969448,0.940757,1,All
3.70455,0.951407,0.972254,0.944578,1,All
3.75394,0.956522,0.974148,0.94862,1,All
3.80333,0.959079,0.976498,0.952267,1,All
3.85273,0.961637,0.978848,0.954436,1,All
3.90212,0.966752,0.980952,0.957697,1,All
3.95152,0.971867,0.983092,0.961768,1,All
4.00091,0.976982,0.983607,0.964664,1,All
4.0503,0.976982,0.98568,0.966627,1,All
4.0997,0.976982,0.986577,0.969412,1,All
4.14909,0.97954,0.988426,0.971428,1,All
4.19848,0.97954,0.990361,0.973526,1,All
4.24788,0.982097,0.990741,0.97599,1,All
4.29727,0.984655,0.992814,0.97852,1,All
4.34667,0.987212,0.993023,0.979334,1,All
4.39606,0.98977,0.995192,0.981265,1,All
4.44545,0.992327,0.995305,0.983071,1,All
4.49485,0.994885,0.995397,0.985366,1,All
4.54424,0.994885,0.997596,0.98603,1,All
4.59364,0.994885,0.99763,0.988138,1,All
4.64303,0.994885,0.997655,0.99051,1,All
4.69242,0.997442,0.997725,0.99278,1,All
4.74182,0.997442,1,0.992982,1,All
4.79121,0.997442,1,0.995261,1,All
4.84061,0.997442,1,0.997585,1,All
4.89,1,1,1,1,All
