time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
-2.07676,0.00520833,0.00520833,0,0.0442708,All
-2.02162,0.00520833,0.00520833,0,0.0475017,All
-1.96647,0.00520833,0.00520833,0,0.0516098,All
-1.91132,0.00520833,0.0052356,0,0.0520833,All
-1.85617,0.0104167,0.0104167,0,0.0546709,All
-1.80103,0.015625,0.0104167,0,0.0563421,All
-1.74588,0.0208333,0.0136265,0,0.0570549,All
-1.69073,0.0208333,0.015625,0,0.0598958,All
-1.63558,0.0260417,0.0208333,0.00520833,0.0673737,All
-1.58044,0.0260417,0.0209424,0.00520833,0.0678856,All
-1.52529,0.0260417,0.0260417,0.00522197,0.0729167,All
-1.47014,0.0364583,0.03125,0.0104167,0.078125,All
-1.415,0.046875,0.0364583,0.015625,0.0837843,All
-1.35985,0.046875,0.0416667,0.0164662,0.0896366,All
-1.3047,0.0520833,0.046875,0.0208333,0.101478,All
-1.24955,0.0572917,0.0572173,0.0260417,0.106644,All
-1.19441,0.0729167,0.0625,0.03125,0.116815,All
-1.13926,0.078125,0.0729167,0.0416667,0.125,All
-1.08411,0.0885417,0.0833333,0.046875,0.138021,All
-1.02896,0.09375,0.09375,0.0524938,0.147385,All
-0.973817,0.114583,0.104167,0.0625,0.163392,All
-0.91867,0.125,0.114583,0.0729167,0.17253,All
-0.863522,0.145833,0.130208,0.0833333,0.1875,All
-0.808375,0.161458,0.145833,0.09375,0.203125,All
-0.753228,0.182292,0.157068,0.109375,0.21875,All
-0.69808,0.197917,0.177083,0.119792,0.23545,All
-0.642933,0.21875,0.188482,0.130208,0.2587,All
-0.587786,0.25,0.208333,0.151042,0.276042,All
-0.532638,0.270833,0.223958,0.166667,0.291667,All
-0.477491,0.270833,0.240838,0.178391,0.3125,All
-0.422344,0.276042,0.260417,0.201563,0.334206,All
-0.367196,0.28125,0.28125,0.21875,0.349872,All
-0.312049,0.296875,0.298437,0.234375,0.371179,All
-0.256902,0.34375,0.317708,0.255208,0.392121,All
-0.201755,0.375,0.336048,0.276764,0.411458,All
-0.146607,0.416667,0.354167,0.296875,0.427083,All
-0.09146,0.447917,0.375,0.3125,0.447917,All
-0.0363127,0.473958,0.395833,0.328125,0.467359,All
0.0188346,0.489583,0.411458,0.348958,0.48911,All
0.0739819,0.510417,0.432292,0.369792,0.509135,All
0.129129,0.53125,0.447917,0.390625,0.526042,All
0.184277,0.541667,0.46875,0.40625,0.544229,All
0.239424,0.552083,0.484375,0.421875,0.557292,All
0.294571,0.557292,0.5,0.438645,0.572917,All
0.349718,0.557292,0.515625,0.453125,0.588542,All
0.404866,0.567708,0.534031,0.473958,0.606429,All
0.460013,0.572917,0.552083,0.484375,0.623929,All
0.51516,0.588542,0.567708,0.505208,0.642866,All
0.570308,0.59375,0.583333,0.520833,0.65625,All
0.625455,0.604167,0.598958,0.536458,0.673775,All
0.680602,0.609375,0.614583,0.552083,0.685864,All
0.73575,0.625,0.630208,0.565104,0.69812,All
0.790897,0.640625,0.645833,0.579638,0.713542,All
0.846044,0.65625,0.659686,0.59375,0.726494,All
0.901191,0.661458,0.671875,0.608352,0.744252,All
0.956339,0.682292,0.6875,0.619792,0.760417,All
1.01149,0.692708,0.703125,0.639684,0.776592,All
1.06663,0.708333,0.718014,0.65625,0.787084,All
1.12178,0.734375,0.729167,0.670157,0.803899,All
1.17693,0.734375,0.74726,0.6875,0.814071,All
1.23208,0.760417,0.760417,0.703125,0.830264,All
1.28722,0.78125,0.776042,0.713542,0.84375,All
1.34237,0.791667,0.790576,0.729167,0.859375,All
1.39752,0.796875,0.805376,0.744792,0.869792,All
1.45266,0.8125,0.817708,0.755208,0.882812,All
1.50781,0.822917,0.828125,0.770833,0.89481,All
1.56296,0.833333,0.838542,0.786458,0.906717,All
1.61811,0.838542,0.854167,0.800524,0.918039,All
1.67325,0.848958,0.864583,0.8125,0.928184,All
1.7284,0.848958,0.875672,0.822917,0.9375,All
1.78355,0.859375,0.890339,0.840323,0.943421,All
1.8387,0.864583,0.895833,0.853785,0.953125,All
1.89384,0.875,0.90625,0.864583,0.960227,All
1.94899,0.890625,0.916667,0.875,0.964725,All
2.00414,0.890625,0.926702,0.885417,0.96875,All
2.05928,0.895833,0.932292,0.890625,0.973958,All
2.11443,0.90625,0.942558,0.901042,0.983098,All
2.16958,0.916667,0.947917,0.911458,0.984035,All
2.22473,0.921875,0.953125,0.91886,0.984375,All
2.27987,0.932292,0.958333,0.927083,0.989444,All
2.33502,0.9375,0.963542,0.937336,0.994667,All
2.39017,0.942708,0.96875,0.942708,0.994792,All
2.44532,0.953125,0.973958,0.947917,0.997396,All
2.50046,0.958333,0.979167,0.953125,1,All
2.55561,0.973958,0.984375,0.958333,1,All
2.61076,0.979167,0.984375,0.963542,1,All
2.66591,0.979167,0.989529,0.96875,1,All
2.72105,0.984375,0.989583,0.96875,1,All
2.7762,0.984375,0.989583,0.973958,1,All
2.83135,0.989583,0.994792,0.979167,1,All
2.88649,0.989583,0.994792,0.979167,1,All
2.94164,0.989583,0.994792,0.984375,1,All
2.99679,0.989583,0.994792,0.989418,1,All
3.05194,0.989583,1,0.989583,1,All
3.10708,0.994792,1,0.989583,1,All
3.16223,0.994792,1,0.994764,1,All
3.21738,0.994792,1,0.994792,1,All
3.27253,0.994792,1,0.994792,1,All
3.32767,0.994792,1,1,1,All
3.38282,1,1,1,1,All
