time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
0.0657509,0.00255754,0.0615385,0.0366502,0.132854,All
0.164652,0.00767263,0.066838,0.0412374,0.151598,All
0.263554,0.0153453,0.0723392,0.0463321,0.162634,All
0.362455,0.0255754,0.0780235,0.0514801,0.170306,All
0.461357,0.0306905,0.0832216,0.0565795,0.183582,All
0.560258,0.0409207,0.0903086,0.0603954,0.189721,All
0.65916,0.0485934,0.0956072,0.0639386,0.197532,All
0.758061,0.0511509,0.101554,0.0692308,0.212109,All
0.856963,0.056266,0.106218,0.0735247,0.214293,All
0.955864,0.0613811,0.110825,0.0775194,0.223326,All
1.05477,0.0741688,0.116187,0.0798969,0.234442,All
1.15367,0.084399,0.120685,0.084748,0.239872,All
1.25257,0.0920716,0.126158,0.0877238,0.250495,All
1.35147,0.0997442,0.131105,0.092545,0.261515,All
1.45037,0.0997442,0.135834,0.0959623,0.270373,All
1.54927,0.109974,0.141026,0.100516,0.283017,All
1.64818,0.11509,0.145078,0.103404,0.293657,All
1.74708,0.117647,0.151282,0.106022,0.308416,All
1.84598,0.120205,0.156047,0.110384,0.320203,All
1.94488,0.127877,0.161954,0.11454,0.326079,All
2.04378,0.13555,0.167959,0.118891,0.333333,All
2.14268,0.148338,0.174192,0.125641,0.3379,All
2.24158,0.15601,0.179921,0.127375,0.341932,All
2.34049,0.171355,0.186423,0.134042,0.352408,All
2.43939,0.181586,0.194049,0.14028,0.356035,All
2.53829,0.196931,0.20155,0.147803,0.374901,All
2.63719,0.204604,0.208388,0.152654,0.38414,All
2.73609,0.219949,0.216427,0.158975,0.395935,All
2.83499,0.242967,0.224675,0.166454,0.399613,All
2.93389,0.265985,0.232899,0.171795,0.414031,All
3.0328,0.2711,0.24293,0.179088,0.433364,All
3.1317,0.276215,0.251282,0.187096,0.457106,All
3.2306,0.278772,0.261598,0.195061,0.47467,All
3.3295,0.286445,0.271209,0.20361,0.48758,All
3.4284,0.289003,0.281462,0.212821,0.494188,All
3.5273,0.304348,0.29199,0.222944,0.53268,All
3.62621,0.319693,0.304124,0.230561,0.553362,All
3.72511,0.327366,0.316129,0.24031,0.587201,All
3.82401,0.342711,0.327366,0.250323,0.593419,All
3.92291,0.350384,0.337732,0.261875,0.593419,All
4.02181,0.373402,0.350854,0.270619,0.593419,All
4.12071,0.381074,0.361757,0.28141,0.62581,All
4.21961,0.393862,0.374507,0.296593,0.648342,All
4.31852,0.404092,0.386124,0.307593,0.660997,All
4.41742,0.41688,0.399174,0.319231,0.678001,All
4.51632,0.429668,0.413437,0.329884,0.69111,All
4.61522,0.439898,0.425167,0.341494,0.702346,All
4.71412,0.450128,0.437824,0.35742,0.713582,All
4.81302,0.457801,0.449089,0.369031,0.721072,All
4.91192,0.468031,0.460922,0.383527,0.729441,All
5.01083,0.475703,0.473821,0.393041,0.740971,All
5.10973,0.485934,0.488432,0.406498,0.759305,All
5.20863,0.485934,0.498708,0.421073,0.764923,All
5.30753,0.501279,0.511907,0.434446,0.816537,All
5.40643,0.511509,0.525967,0.447028,0.826832,All
5.50533,0.519182,0.537953,0.457474,0.835822,All
5.60424,0.534527,0.550262,0.472727,0.845185,All
5.70314,0.549872,0.562982,0.485128,0.845185,All
5.80204,0.554987,0.576923,0.502564,0.852676,All
5.90094,0.56266,0.589945,0.514801,0.912001,All
5.99984,0.575448,0.602614,0.528957,0.980349,All
6.09874,0.59335,0.616773,0.542746,0.9869,All
6.19764,0.613811,0.628866,0.55483,1,All
6.29655,0.639386,0.643799,0.567703,1,All
6.39545,0.657289,0.658914,0.580726,1,All
6.49435,0.662404,0.673548,0.596899,1,All
6.59325,0.677749,0.688312,0.614881,1,All
6.69215,0.690537,0.703414,0.630888,1,All
6.79105,0.69821,0.717224,0.646076,1,All
6.88995,0.70844,0.732793,0.660646,1,All
6.98886,0.736573,0.747747,0.673997,1,All
7.08776,0.751918,0.761651,0.690415,1,All
7.18666,0.759591,0.776196,0.707189,1,All
7.28556,0.787724,0.790366,0.725743,1,All
7.38446,0.800512,0.806701,0.738441,1,All
7.48336,0.810742,0.820051,0.752895,1,All
7.58227,0.828645,0.836171,0.76744,1,All
7.68117,0.841432,0.848718,0.785421,1,All
7.78007,0.849105,0.861538,0.803637,1,All
7.87897,0.85422,0.874516,0.81902,1,All
7.97787,0.86445,0.886788,0.833333,1,All
8.07677,0.87468,0.898549,0.848443,1,All
8.17567,0.882353,0.909794,0.864583,1,All
8.27458,0.897698,0.919418,0.875648,1,All
8.37348,0.907928,0.930322,0.88601,1,All
8.47238,0.928389,0.940539,0.899073,1,All
8.57128,0.948849,0.94832,0.911917,1,All
8.67018,0.953964,0.956072,0.922481,1,All
8.76908,0.964194,0.963731,0.932817,1,All
8.86798,0.974425,0.969072,0.943005,1,All
8.96689,0.976982,0.974293,0.950777,1,All
9.06579,0.97954,0.979381,0.957839,1,All
9.16469,0.982097,0.984456,0.965699,1,All
9.26359,0.984655,0.987147,0.971466,1,All
9.36249,0.987212,0.992053,0.976834,1,All
9.46139,0.98977,0.994792,0.981842,1,All
9.5603,0.994885,0.994885,0.986825,1,All
9.6592,0.994885,0.997429,0.989704,1,All
9.7581,0.994885,1,0.994819,1,All
9.857,1,1,1,1,All
