bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median,theoretical_median_piLower,theoretical_median_piUpper,theoretical_lower_median,theoretical_lower_piLower,theoretical_lower_piUpper,theoretical_upper_median,theoretical_upper_piLower,theoretical_upper_piUpper,split
1.25,0.820094,0.130964,2.92576,0.195513,-0.236118,0.622119,-0.996772,-1.52067,-0.518067,2.36922,1.03369,5.49864,All
2.25,3.26043,0.357822,7.249,2.87865,0.643891,5.49486,-0.524055,-1.10659,0.290771,7.44054,5.85854,8.68734,All
3.25,6.7165,1.68959,8.8366,6.49523,4.80174,7.58822,0.6559,-0.735302,4.64741,8.7814,7.79389,9.81244,All
4.25,7.4675,3.60683,8.5834,7.56804,6.66439,8.21196,4.32601,0.0640496,6.45797,9.23702,8.45243,9.9093,All
5.25,7.644,6.1289,8.7425,7.72497,7.02739,8.34757,5.74872,2.86601,6.90064,9.14078,8.55278,9.80785,All
6.25,8.11,6.1032,8.8139,7.55174,6.94757,8.05441,5.9174,4.07764,6.73979,8.92054,8.3394,9.60948,All
7.25,7.5715,6.3276,9.1642,7.19434,6.59144,7.74951,5.5249,4.2563,6.39565,8.64976,8.03353,9.37013,All
8.25,6.6775,5.5522,7.9736,6.76343,6.1001,7.32679,4.9423,3.58958,5.85243,8.30722,7.6261,9.019,All
9.25,6.248,5.0842,7.5823,6.26614,5.51559,6.9956,4.32399,3.08358,5.19925,7.93138,7.15717,8.71997,All
10.25,5.6415,3.9394,7.1289,5.72211,4.99503,6.60801,3.75835,2.67553,4.68902,7.52868,6.64402,8.49052,All
11.25,4.6605,1.96565,7.2998,5.18439,4.4627,6.0075,3.27885,2.0456,4.2064,7.16164,6.2596,8.05516,All
12.25,4.491,2.47031,6.9075,4.64167,3.9388,5.47721,2.74778,1.5252,3.6647,6.65295,5.64723,7.65719,All
13.25,3.451,1.76378,5.6506,4.14722,3.40674,4.93059,2.24843,1.01932,3.15686,6.04806,5.07983,7.27647,All
14.25,3.5475,1.95917,5.4179,3.65293,2.93057,4.35542,1.68205,0.358598,2.61978,5.5254,4.54076,6.78636,All
15.2273,2.38586,1.31284,4.1072,3.2047,2.34697,3.96695,1.0592,-0.109472,2.14741,5.12976,4.23003,6.5275,All
16.4524,2.88943,1.88617,4.4528,2.71708,1.4604,3.76276,0.374855,-0.729364,1.81413,4.72969,3.46943,6.54195,All
18.0833,2.05311,0.707845,3.3912,2.14424,0.34999,3.80346,0.0169578,-1.2426,1.90377,4.04157,2.50098,6.21321,All
