bins_middles,empirical_median,empirical_lower,empirical_upper,theoretical_median_median,theoretical_median_piLower,theoretical_median_piUpper,theoretical_lower_median,theoretical_lower_piLower,theoretical_lower_piUpper,theoretical_upper_median,theoretical_upper_piLower,theoretical_upper_piUpper,split
1.25,1.9374e-16,3.17765e-17,4.02003e-16,1.55659e-17,-8.48993e-17,1.13259e-16,-2.75426e-16,-4.05187e-16,-1.50396e-16,3.58768e-16,1.90594e-16,0.427048,All
2.25,2.11109e-16,4.65465e-17,2.85,2.18218e-16,2.82483e-17,0.645951,-2.04945e-16,-3.51844e-16,-5.9332e-17,1.97974,0.845443,3.06633,All
3.25,1.615,1.4055e-16,4.299,1.25592,0.424854,2.04017,-3.38579e-17,-2.68437e-16,0.171096,3.3351,2.35358,4.45666,All
4.25,2.11,0.20778,3.68,2.01045,1.38204,2.70216,0.11751,-1.58881e-16,1.12451,3.9105,3.06975,4.96113,All
5.25,2.515,0.939537,3.737,2.24259,1.60026,2.92506,0.715453,2.28905e-17,1.45317,4.0067,3.17206,4.98886,All
6.25,2.865,0.843174,3.971,2.15923,1.64137,2.77294,0.82003,2.14332e-16,1.3404,3.8974,3.07004,4.89379,All
7.25,2.235,0.91797,4.246,1.99032,1.41935,2.55478,0.732673,0.055446,1.26455,3.65766,2.84337,4.52662,All
8.25,1.09224,0.16227,2.433,1.70391,1.24164,2.21644,0.625846,0.0668154,1.05325,3.24423,2.5873,4.39137,All
9.25,0.960283,0.211195,1.794,1.41236,0.999753,1.92073,0.425681,1.45363e-16,0.875742,2.92599,2.15599,4.04111,All
10.25,1.07726,0.327224,1.831,1.11459,0.716542,1.64657,0.252508,-1.88448e-17,0.647678,2.53793,1.78569,3.51638,All
11.25,0.772057,0.389187,1.688,0.830411,0.433067,1.302,0.0478765,-1.72394e-16,0.384176,2.18318,1.44791,3.25028,All
12.25,0.588384,0.0311554,1.15689,0.516291,0.146856,1.06015,-1.68479e-17,-2.6879e-16,0.151375,1.84902,1.05259,3.03343,All
13.25,0.192645,2.70009e-16,0.721293,0.217136,2.02252e-16,0.697782,-1.33758e-16,-3.26646e-16,1.05805e-16,1.52739,0.700677,2.82411,All
14.25,0.123072,7.80207e-17,0.501602,0.00032763,5.448e-17,0.421719,-1.89427e-16,-3.70639e-16,-8.13922e-18,1.31794,0.470494,2.62774,All
15.2273,0.00385421,1.21892e-16,0.431379,2.18862e-16,2.76955e-18,0.294776,-2.0748e-16,-3.61143e-16,-3.6217e-17,1.16738,0.293473,2.41302,All
16.4524,0.00202616,9.55732e-17,0.228264,1.35248e-16,-2.74953e-17,0.276594,-2.22155e-16,-3.8155e-16,-4.87796e-17,1.04432,4.64366e-16,2.76226,All
18.0833,0.000348783,2.42495e-17,0.0945035,1.14704e-16,-9.95205e-17,0.621057,-2.32842e-16,-4.58363e-16,4.84383e-17,0.597779,1.99368e-16,2.69492,All
