time,empiricalCdf,theoreticalCdf,piLower,piUpper,split
0.0620117,0.00255754,0.0590502,0.0362226,0.115734,All
0.160951,0.0102302,0.0645995,0.041223,0.120085,All
0.25989,0.0204604,0.0695876,0.0439276,0.127255,All
0.35883,0.028133,0.0753247,0.0488432,0.136008,All
0.457769,0.0332481,0.0804152,0.0516796,0.144398,All
0.556708,0.0409207,0.086351,0.0568475,0.154442,All
0.655647,0.056266,0.0906736,0.0617762,0.164096,All
0.754587,0.0613811,0.0967704,0.0650196,0.169241,All
0.853526,0.0690537,0.101994,0.0695876,0.175375,All
0.952465,0.0690537,0.106941,0.0718872,0.184173,All
1.0514,0.0767263,0.11141,0.0747423,0.189361,All
1.15034,0.0818414,0.116732,0.0793855,0.198662,All
1.24928,0.0971867,0.122662,0.0822622,0.204903,All
1.34822,0.102302,0.127741,0.0850515,0.21024,All
1.44716,0.102302,0.132558,0.0879691,0.220364,All
1.5461,0.109974,0.137929,0.0923083,0.226411,All
1.64504,0.11509,0.143594,0.0967322,0.24099,All
1.74398,0.122762,0.1491,0.100645,0.24573,All
1.84292,0.13555,0.155039,0.105944,0.256108,All
1.94186,0.143223,0.160622,0.109958,0.262134,All
2.0408,0.163683,0.167526,0.113403,0.269329,All
2.13974,0.168798,0.173127,0.118404,0.271001,All
2.23868,0.173913,0.179949,0.122895,0.279056,All
2.33762,0.181586,0.187661,0.129534,0.284998,All
2.43655,0.194373,0.195343,0.136422,0.296508,All
2.53549,0.212276,0.203191,0.141556,0.306787,All
2.63443,0.219949,0.2124,0.147099,0.314544,All
2.73337,0.232737,0.219229,0.152652,0.329825,All
2.83231,0.250639,0.228792,0.161709,0.341862,All
2.93125,0.258312,0.238462,0.167734,0.355853,All
3.03019,0.2711,0.245308,0.172728,0.370556,All
3.12913,0.276215,0.254522,0.182285,0.376502,All
3.22807,0.278772,0.265724,0.191214,0.391618,All
3.32701,0.286445,0.275628,0.201811,0.410065,All
3.42595,0.289003,0.287918,0.209704,0.41976,All
3.52489,0.304348,0.297679,0.219638,0.438481,All
3.62383,0.319693,0.309371,0.230864,0.44943,All
3.72276,0.327366,0.321761,0.241645,0.464493,All
3.8217,0.342711,0.335516,0.250971,0.472209,All
3.92064,0.350384,0.347097,0.262819,0.485621,All
4.01958,0.373402,0.359459,0.274838,0.50072,All
4.11852,0.381074,0.373402,0.289744,0.520437,All
4.21746,0.393862,0.383033,0.302836,0.53757,All
4.3164,0.404092,0.396419,0.314344,0.552843,All
4.41534,0.414322,0.407742,0.326899,0.560956,All
4.51428,0.429668,0.418971,0.338897,0.57519,All
4.61322,0.439898,0.431323,0.351352,0.583409,All
4.71216,0.450128,0.444733,0.366327,0.601852,All
4.8111,0.457801,0.45939,0.378065,0.61605,All
4.91004,0.468031,0.47416,0.394839,0.634358,All
5.00898,0.475703,0.484615,0.413357,0.670036,All
5.10791,0.485934,0.5,0.425807,0.683794,All
5.20685,0.485934,0.511628,0.442434,0.695804,All
5.30579,0.501279,0.528351,0.457254,0.712971,All
5.40473,0.511509,0.542526,0.471728,0.730553,All
5.50367,0.519182,0.556848,0.485614,0.741561,All
5.60261,0.534527,0.571795,0.503836,0.751436,All
5.70155,0.549872,0.586118,0.517372,0.763702,All
5.80049,0.554987,0.599486,0.532217,0.767047,All
5.89943,0.56266,0.614987,0.553658,0.785441,All
5.99837,0.575448,0.628719,0.569569,0.814249,All
6.09731,0.59335,0.644501,0.583548,0.841501,All
6.19625,0.613811,0.659767,0.599742,0.868628,All
6.29519,0.639386,0.674897,0.615186,0.901729,All
6.39413,0.654731,0.691517,0.63006,0.923831,All
6.49306,0.662404,0.70437,0.644792,0.937967,All
6.592,0.677749,0.720415,0.660622,0.958613,All
6.69094,0.690537,0.735897,0.676129,0.974408,All
6.78988,0.69821,0.75,0.691517,0.984647,All
6.88882,0.70844,0.764176,0.70801,1,All
6.98776,0.736573,0.779221,0.725743,1,All
7.0867,0.751918,0.792208,0.740025,1,All
7.18564,0.759591,0.806576,0.75355,1,All
7.28458,0.787724,0.820051,0.770617,1,All
7.38352,0.800512,0.833982,0.785806,1,All
7.48246,0.810742,0.846154,0.799744,1,All
7.5814,0.828645,0.859045,0.812098,1,All
7.68034,0.841432,0.8713,0.824904,1,All
7.77928,0.849105,0.882051,0.836788,1,All
7.87821,0.85422,0.89433,0.852968,1,All
7.97715,0.86445,0.904884,0.865459,1,All
8.07609,0.87468,0.914948,0.875808,1,All
8.17503,0.882353,0.92278,0.886744,1,All
8.27397,0.897698,0.933076,0.899094,1,All
8.37291,0.907928,0.940645,0.908949,1,All
8.47185,0.928389,0.94852,0.917632,1,All
8.57079,0.948849,0.955844,0.927649,1,All
8.66973,0.953964,0.96144,0.935567,1,All
8.76867,0.961637,0.966667,0.944307,1,All
8.86761,0.974425,0.971795,0.950904,1,All
8.96655,0.976982,0.976864,0.956072,1,All
9.06549,0.97954,0.981959,0.963918,1,All
9.16443,0.982097,0.986979,0.968831,1,All
9.26336,0.984655,0.989637,0.974227,1,All
9.3623,0.987212,0.992248,0.979221,1,All
9.46124,0.98977,0.994832,0.984456,1,All
9.56018,0.994885,0.997375,0.987147,1,All
9.65912,0.994885,0.997436,0.992188,1,All
9.75806,0.994885,1,0.994832,1,All
9.857,1,1,1,1,All
