parameter,res_sa
beta_exp_pop,7.02311
delta0_pop,28.414
p_pop,9.66558
td_pop,11.0014
b_exp_pop,17.9057
h_0_pop,9.98852
tc_pop,16.7654
sigma_pop,33.5672
phi_exp_pop,nan
rho_exp_pop,26.105
dF_pop,0.237562
q_exp_pop,nan
omega_beta_exp,21.1195
omega_delta0,35.377
omega_p,34.6669
omega_td,22.8635
omega_b_exp,18.8655
omega_h_0,21.7704
omega_tc,60.3396
omega_sigma,28.7602
omega_rho_exp,18.9403
omega_q_exp,44.7459
omega_ifn0,40.2688
corr_beta_exp_b_exp,nan
corr_delta0_b_exp,nan
corr_h_0_b_exp,nan
corr_ifn0_b_exp,nan
corr_p_b_exp,nan
corr_q_exp_b_exp,56.2184
corr_rho_exp_b_exp,nan
corr_sigma_b_exp,nan
corr_tc_b_exp,nan
corr_td_b_exp,53.7534
corr_delta0_beta_exp,nan
corr_h_0_beta_exp,nan
corr_ifn0_beta_exp,nan
corr_p_beta_exp,nan
corr_q_exp_beta_exp,nan
corr_rho_exp_beta_exp,nan
corr_sigma_beta_exp,nan
corr_tc_beta_exp,nan
corr_td_beta_exp,nan
corr_h_0_delta0,nan
corr_ifn0_delta0,nan
corr_p_delta0,nan
corr_q_exp_delta0,nan
corr_rho_exp_delta0,nan
corr_sigma_delta0,nan
corr_tc_delta0,nan
corr_td_delta0,nan
corr_ifn0_h_0,nan
corr_p_h_0,nan
corr_q_exp_h_0,nan
corr_rho_exp_h_0,nan
corr_sigma_h_0,nan
corr_tc_h_0,nan
corr_td_h_0,97.2949
corr_p_ifn0,nan
corr_q_exp_ifn0,nan
corr_rho_exp_ifn0,nan
corr_sigma_ifn0,nan
corr_tc_ifn0,nan
corr_td_ifn0,nan
corr_q_exp_p,nan
corr_rho_exp_p,nan
corr_sigma_p,nan
corr_tc_p,nan
corr_td_p,nan
corr_rho_exp_q_exp,nan
corr_sigma_q_exp,nan
corr_tc_q_exp,nan
corr_td_q_exp,nan
corr_sigma_rho_exp,nan
corr_tc_rho_exp,nan
corr_td_rho_exp,nan
corr_tc_sigma,nan
corr_td_sigma,nan
corr_td_tc,14.6306
a1,4.5338
b2,6.91369
