ID,time,pop,popPred,indivPredMean,indivPredMode
7,6.30283,2.11443,2.11443,3.19532,3.03284
7,6.4,2.09362,2.09362,3.18411,3.0495
7,6.44419,2.08381,2.08381,3.17279,3.0496
7,6.5,2.07104,2.07104,3.15389,3.04391
7,6.52,2.06636,2.06636,3.14602,3.04044
7,6.58873,2.0499,2.0499,3.11527,3.0234
7,6.64,2.0373,2.0373,3.08924,3.00615
7,6.7365,2.01272,2.01272,3.03525,2.96541
7,6.76,2.00655,2.00655,3.0214,2.95417
7,6.88,1.97402,1.97402,2.94838,2.89108
7,6.88759,1.97191,1.97191,2.9437,2.88686
7,7,1.9398,1.9398,2.8746,2.82229
7,7.04207,1.92738,1.92738,2.84916,2.79758
7,7.12,1.90378,1.90378,2.80319,2.75187
7,7.20002,1.87874,1.87874,2.75796,2.70571
7,7.24,1.86592,1.86592,2.73624,2.68302
7,7.36,1.82621,1.82621,2.67506,2.61755
7,7.3615,1.8257,1.8257,2.67434,2.61676
7,7.48,1.78461,1.78461,2.62024,2.55738
7,7.5,1.77749,1.77749,2.61174,2.54782
7,7.52661,1.76794,1.76794,2.60071,2.53532
7,7.6,1.74111,1.74111,2.57196,2.50233
7,7.69542,1.70515,1.70515,2.53816,2.46331
7,7.72,1.69568,1.69568,2.5301,2.45391
7,7.84,1.64831,1.64831,2.49436,2.41093
7,7.86802,1.63697,1.63697,2.48684,2.40161
7,7.96,1.599,1.599,2.46428,2.37379
7,8,1.58213,1.58213,2.45544,2.36303
7,8.04448,1.56312,1.56312,2.44626,2.35173
7,8.08,1.54776,1.54776,2.43941,2.34292
7,8.2,1.49462,1.49462,2.41929,2.316
7,8.22491,1.48336,1.48336,2.41566,2.31109
7,8.32,1.43965,1.43965,2.40286,2.29321
7,8.40938,1.39754,1.39754,2.3915,2.27629
7,8.44,1.3829,1.3829,2.38754,2.27026
7,8.5,1.35389,1.35389,2.37929,2.25802
7,8.56,1.32448,1.32448,2.37004,2.2453
7,8.59799,1.30565,1.30565,2.3635,2.23699
7,8.68,1.26453,1.26453,2.34833,2.21838
7,8.79083,1.20797,1.20797,2.32599,2.19169
7,8.8,1.20324,1.20324,2.32405,2.18943
7,8.92,1.14088,1.14088,2.29679,2.15862
7,8.988,1.10516,1.10516,2.27985,2.14026
7,9,1.09883,1.09883,2.27676,2.13698
7,9.04,1.0777,1.0777,2.26628,2.12594
7,9.16,1.01406,1.01406,2.23311,2.09095
7,9.18959,0.998296,0.998296,2.22454,2.08205
7,9.28,0.950153,0.950153,2.19749,2.05424
7,9.3957,0.888771,0.888771,2.16107,2.01634
7,9.4,0.886491,0.886491,2.15968,2.0149
7,9.5,0.833595,0.833595,2.12662,1.98073
7,9.52,0.823008,0.823008,2.1198,1.9737
7,9.60643,0.777193,0.777193,2.08921,1.94295
7,9.64,0.759365,0.759365,2.07678,1.93053
7,9.76,0.695614,0.695614,2.03137,1.88465
7,9.82189,0.662845,0.662845,2.00711,1.86051
7,9.88,0.632198,0.632198,1.98294,1.83655
7,10,0.569518,0.569518,1.93142,1.78656
7,10.0422,0.547714,0.547714,1.91307,1.76832
7,10.12,0.507903,0.507903,1.87874,1.73391
7,10.24,0.447667,0.447667,1.82352,1.67899
7,10.2674,0.434125,0.434125,1.81058,1.66601
7,10.36,0.389019,0.389019,1.76645,1.62106
7,10.48,0.332032,0.332032,1.70663,1.56113
7,10.4977,0.323788,0.323788,1.69729,1.55206
7,10.5,0.322714,0.322714,1.69606,1.55087
7,10.6,0.27686,0.27686,1.64222,1.4986
7,10.72,0.223437,0.223437,1.57627,1.43353
7,10.7331,0.217698,0.217698,1.56895,1.42624
7,10.84,0.171864,0.171864,1.5082,1.36572
7,10.96,0.122046,0.122046,1.43701,1.29514
7,10.9739,0.116391,0.116391,1.42862,1.2868
7,11,0.105804,0.105804,1.41273,1.27097
7,11.08,0.073969,0.073969,1.36361,1.22165
7,11.2,0.0276438,0.0276438,1.28723,1.14521
7,11.22,0.0200419,0.0200419,1.27391,1.13219
7,11.32,0,0,1.20569,1.06585
7,11.44,0,0,1.12237,0.983089
7,11.4716,0,0,1.10015,0.960693
7,11.5,0,0,1.08,0.940422
7,11.56,0,0,1.0366,0.896823
7,11.68,0,0,0.946179,0.806137
7,11.7289,0,0,0.908242,0.76824
7,11.8,0,0,0.851923,0.713105
7,11.92,0,0,0.753987,0.617623
7,11.992,0,0,0.694047,0.557944
7,12,0,0,0.687277,0.551194
7,12.04,0,0,0.65306,0.517072
7,12.16,0,0,0.547834,0.412469
7,12.261,0,0,0.456156,0.32112
7,12.28,0,0,0.438536,0.303563
7,12.4,0,0,0.325402,0.191074
7,12.5,0,0,0.228255,0.0942166
7,12.52,0,0,0.208604,0.0744874
7,12.536,0,0,0.192771,0.0586682
7,12.64,0,0,0.0864477,0
7,12.76,0,0,0,0
7,12.8171,0,0,0,0
7,12.88,0,0,0,0
