iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,dF_pop,q_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_q_exp,omega_ifn0,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_ifn0_b_exp,corr_p_b_exp,corr_q_exp_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_ifn0_beta_exp,corr_p_beta_exp,corr_q_exp_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_ifn0_delta0,corr_p_delta0,corr_q_exp_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_ifn0_h_0,corr_p_h_0,corr_q_exp_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_p_ifn0,corr_q_exp_ifn0,corr_rho_exp_ifn0,corr_sigma_ifn0,corr_tc_ifn0,corr_td_ifn0,corr_q_exp_p,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_rho_exp_q_exp,corr_sigma_q_exp,corr_tc_q_exp,corr_td_q_exp,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2
561,1451.14,1,-3.74508,1.26955,2.95207,2.02321,-2.28841,0.590909,7.49987,0.345791,-1.36627,-1.75937,0.366348,-4.47119,0.652773,0.782761,0.258872,0.368609,1.32942,0.272495,1.85313,0.704321,1.02779,0.521656,0.993708,-0.707549,-0.856565,-0.937093,0.875855,0.691582,0.168297,-0.840393,-0.307434,-0.703465,0.370436,0.775402,0.573439,-0.67219,-0.747531,-0.244977,0.667157,0.666029,0.902149,-0.721188,0.856561,-0.709173,-0.528482,-0.466912,0.661015,0.388138,0.866498,-0.641144,-0.822135,-0.580897,-0.218512,0.800955,0.272861,0.663626,-0.300402,0.856766,-0.16343,-0.935164,-0.463861,-0.600314,0.138192,-0.305513,-0.874393,-0.637477,-0.584155,0.194132,0.242406,0.125537,-0.41361,0.677122,0.593637,0.616367,-0.114431,0.675314,-0.328738,-0.762079,0.881065,0.395948
562,1452.91,1,-3.73989,1.32876,2.94193,2.00166,-2.32916,0.594941,7.66656,0.340551,-1.36163,-1.71389,0.366849,-4.42549,0.666371,0.831923,0.262467,0.365044,1.34191,0.279069,1.89511,0.720947,1.08303,0.537617,1.03976,-0.712897,-0.873116,-0.940349,0.877291,0.680651,0.194626,-0.842675,-0.270424,-0.673808,0.411979,0.746468,0.585195,-0.69993,-0.766433,-0.132515,0.689684,0.67216,0.889565,-0.709782,0.883284,-0.718679,-0.514884,-0.459309,0.673409,0.344479,0.838807,-0.635859,-0.822833,-0.560931,-0.279549,0.797276,0.236156,0.648509,-0.34065,0.868418,-0.157633,-0.938599,-0.452565,-0.588621,0.183467,-0.331422,-0.86787,-0.644287,-0.570992,0.211955,0.232288,0.215925,-0.365211,0.615747,0.571827,0.600378,-0.144387,0.678913,-0.307362,-0.762356,0.88009,0.400479
563,1460.16,1,-3.72037,1.31377,2.93177,2.00363,-2.33143,0.594168,7.88146,0.360008,-1.37968,-1.70564,0.359721,-4.42509,0.669175,0.789668,0.271109,0.357196,1.35835,0.283473,1.92871,0.765429,1.08455,0.507255,1.03329,-0.680827,-0.868734,-0.942805,0.867392,0.687311,0.145834,-0.841872,-0.250097,-0.655891,0.413362,0.720292,0.552502,-0.694617,-0.744907,-0.135176,0.675866,0.667476,0.879818,-0.7328,0.875808,-0.724836,-0.546737,-0.456731,0.681872,0.337278,0.815868,-0.62652,-0.821082,-0.596687,-0.249955,0.793229,0.192516,0.624317,-0.33423,0.872522,-0.1443,-0.928984,-0.455537,-0.608008,0.217965,-0.303501,-0.850186,-0.589032,-0.573129,0.246627,0.257833,0.182326,-0.365021,0.605692,0.554934,0.621406,-0.17202,0.711729,-0.345279,-0.751949,0.878824,0.39967
564,1459.59,1,-3.709,1.34646,2.91645,2.00549,-2.3764,0.6025,7.9615,0.357426,-1.3581,-1.6623,0.358581,-4.43779,0.688522,0.747544,0.276976,0.364802,1.37736,0.285889,2.07109,0.767389,1.08176,0.522112,1.01273,-0.649777,-0.869457,-0.94731,0.865213,0.651129,0.0790873,-0.857566,-0.22175,-0.643413,0.421796,0.721804,0.535955,-0.668123,-0.747377,-0.0697662,0.664359,0.695522,0.889234,-0.737603,0.876688,-0.728865,-0.523412,-0.376474,0.711275,0.335495,0.818101,-0.631216,-0.814203,-0.551049,-0.171698,0.814278,0.167986,0.616026,-0.345203,0.852507,-0.236063,-0.923569,-0.399276,-0.577978,0.222549,-0.405731,-0.826044,-0.587637,-0.555033,0.242753,0.296788,0.199144,-0.314819,0.560344,0.517152,0.620339,-0.207928,0.715308,-0.350487,-0.753805,0.873194,0.397027
565,1460.58,1,-3.69461,1.37483,2.87762,1.97801,-2.40147,0.606029,8.00049,0.354394,-1.35378,-1.59623,0.352223,-4.44145,0.696962,0.75649,0.286142,0.359429,1.34629,0.286628,2.04326,0.747621,1.07783,0.500546,1.0581,-0.656829,-0.889078,-0.941214,0.871876,0.650211,0.0557453,-0.863656,-0.232738,-0.67051,0.403127,0.67093,0.529238,-0.663905,-0.732362,-0.0618116,0.648785,0.686795,0.881578,-0.73224,0.895404,-0.774913,-0.511974,-0.324468,0.737853,0.29616,0.80439,-0.556445,-0.827656,-0.538949,-0.148667,0.82058,0.180555,0.635858,-0.30027,0.836336,-0.223563,-0.925017,-0.421789,-0.603285,0.219773,-0.477334,-0.839433,-0.61286,-0.539059,0.190742,0.309922,0.225081,-0.332771,0.540074,0.524997,0.610756,-0.175476,0.662438,-0.336879,-0.752021,0.873997,0.403447
566,1457.22,1,-3.64885,1.42803,2.85482,1.96023,-2.48173,0.61368,8.32844,0.363172,-1.30392,-1.558,0.355322,-4.45238,0.683696,0.760252,0.271509,0.361622,1.3617,0.280655,2.02489,0.759669,1.06701,0.489282,1.08616,-0.664736,-0.884963,-0.945746,0.875213,0.581145,0.0843519,-0.866089,-0.220666,-0.656856,0.407814,0.678651,0.526983,-0.664412,-0.692742,-0.0880341,0.663862,0.676456,0.864229,-0.750796,0.884807,-0.781976,-0.427629,-0.372875,0.734441,0.297297,0.808415,-0.555365,-0.853535,-0.479815,-0.138204,0.82451,0.161938,0.613828,-0.301953,0.7598,-0.171131,-0.913928,-0.374043,-0.589977,0.248285,-0.514553,-0.803932,-0.61672,-0.480122,0.158172,0.28018,0.192624,-0.367623,0.55336,0.502778,0.599412,-0.213717,0.665762,-0.407928,-0.776343,0.879223,0.399717
567,1464.58,1,-3.65205,1.35276,2.87242,1.9942,-2.41196,0.605568,7.87158,0.352666,-1.3045,-1.58361,0.355439,-4.45473,0.673851,0.74873,0.283651,0.378739,1.36624,0.285331,2.00242,0.777166,1.06425,0.484116,1.08844,-0.670026,-0.888181,-0.946736,0.886639,0.609302,0.12179,-0.863215,-0.213586,-0.654136,0.40917,0.686538,0.540339,-0.676217,-0.661926,-0.109624,0.638328,0.646941,0.877478,-0.776944,0.900276,-0.811559,-0.491799,-0.384169,0.732254,0.261714,0.795302,-0.532304,-0.865202,-0.54017,-0.180985,0.823466,0.152968,0.612017,-0.296616,0.780892,-0.102395,-0.897657,-0.35788,-0.601298,0.27866,-0.496285,-0.833664,-0.614117,-0.48929,0.174405,0.264076,0.25129,-0.364915,0.504972,0.50086,0.580082,-0.208745,0.629913,-0.404515,-0.803178,0.883832,0.395939
568,1467.82,1,-3.66374,1.30717,2.86831,1.9787,-2.37711,0.600627,7.75431,0.361253,-1.30618,-1.58765,0.365393,-4.46686,0.689109,0.722945,0.277672,0.374511,1.3732,0.285929,2.0409,0.757851,1.07688,0.48098,1.08552,-0.629076,-0.897119,-0.942087,0.861451,0.605919,0.0890156,-0.879016,-0.254515,-0.637549,0.385311,0.674564,0.484417,-0.705716,-0.721997,-0.0579464,0.631919,0.709721,0.866153,-0.740738,0.905124,-0.802243,-0.506707,-0.327573,0.760125,0.327366,0.790036,-0.530789,-0.816936,-0.499672,-0.140654,0.835215,0.191734,0.595767,-0.273657,0.794494,-0.144547,-0.895218,-0.462125,-0.64129,0.292469,-0.497446,-0.824309,-0.673994,-0.529307,0.191082,0.279972,0.245186,-0.317794,0.519037,0.509485,0.59246,-0.204757,0.708837,-0.450038,-0.790456,0.880222,0.402505
569,1472.93,1,-3.64147,1.32823,2.86039,1.95646,-2.39507,0.603321,7.84458,0.367896,-1.29116,-1.58789,0.364578,-4.47426,0.706439,0.713557,0.28622,0.375604,1.34827,0.282205,1.99482,0.783491,1.08666,0.489052,1.10096,-0.596152,-0.896665,-0.946517,0.866748,0.568423,0.0633191,-0.874013,-0.234635,-0.65331,0.381893,0.656329,0.454806,-0.690621,-0.747569,-0.0226791,0.624567,0.732505,0.873565,-0.738223,0.891343,-0.777298,-0.461465,-0.325999,0.733354,0.28461,0.784292,-0.567258,-0.818112,-0.462817,-0.0929966,0.832677,0.166243,0.601695,-0.27505,0.774765,-0.200488,-0.906801,-0.468245,-0.659457,0.306809,-0.514205,-0.806526,-0.717904,-0.564471,0.232503,0.31486,0.301386,-0.241894,0.493566,0.499766,0.612478,-0.212623,0.706013,-0.451356,-0.793411,0.88933,0.399453
570,1458.67,1,-3.66176,1.35517,2.86484,1.9933,-2.36861,0.602826,7.96389,0.374202,-1.26679,-1.60236,0.373095,-4.50514,0.7046,0.725891,0.288134,0.37821,1.33756,0.282763,1.98449,0.778184,1.09798,0.48226,1.12035,-0.594066,-0.908954,-0.943851,0.902362,0.628907,0.0497938,-0.883631,-0.259406,-0.666223,0.413414,0.677377,0.451338,-0.654934,-0.767123,-0.00233078,0.604861,0.745361,0.903077,-0.758091,0.899859,-0.853033,-0.58259,-0.244088,0.776869,0.331745,0.794073,-0.570144,-0.858273,-0.52531,-0.0898814,0.845576,0.189997,0.592244,-0.285214,0.794237,-0.181696,-0.921538,-0.438582,-0.669767,0.3085,-0.487953,-0.827845,-0.73727,-0.653182,0.286212,0.329431,0.329742,-0.190154,0.490334,0.501686,0.623109,-0.214078,0.716363,-0.423971,-0.786871,0.87989,0.40156
571,1448.24,1,-3.63208,1.39553,2.85874,1.95779,-2.4152,0.608767,8.19683,0.379665,-1.26708,-1.57675,0.372255,-4.5073,0.701161,0.72449,0.286907,0.374839,1.35286,0.282498,2.04307,0.755325,1.07659,0.468211,1.18227,-0.583076,-0.914657,-0.940664,0.909126,0.609301,0.0596453,-0.889165,-0.26772,-0.657137,0.436593,0.644209,0.431617,-0.639343,-0.758615,-0.00729344,0.607004,0.764451,0.901097,-0.765324,0.909476,-0.848315,-0.52585,-0.262298,0.783252,0.317042,0.78401,-0.582717,-0.866464,-0.490629,-0.10207,0.843067,0.188798,0.585227,-0.307044,0.78166,-0.189363,-0.947107,-0.445105,-0.668842,0.313731,-0.487322,-0.826579,-0.742566,-0.637235,0.284944,0.30736,0.27223,-0.191283,0.529545,0.497752,0.625482,-0.246508,0.72549,-0.448572,-0.788232,0.88479,0.398876
572,1451.59,1,-3.64129,1.40604,2.85669,1.96632,-2.41574,0.610455,8.39623,0.380522,-1.27365,-1.57224,0.375366,-4.52532,0.712611,0.715509,0.292097,0.374779,1.3417,0.286033,2.06757,0.734317,1.08577,0.498929,1.22467,-0.579116,-0.924599,-0.939346,0.892461,0.584387,0.0769242,-0.882858,-0.266382,-0.659879,0.440059,0.639922,0.432737,-0.618864,-0.758499,0.0198148,0.602195,0.767696,0.907883,-0.750901,0.916961,-0.854836,-0.54821,-0.232714,0.794664,0.330602,0.776792,-0.566779,-0.853785,-0.47146,-0.132401,0.826512,0.195904,0.591431,-0.328951,0.793037,-0.209683,-0.95439,-0.456682,-0.667819,0.278921,-0.501608,-0.823921,-0.747928,-0.661848,0.283259,0.322216,0.328607,-0.153096,0.520718,0.4894,0.628146,-0.23476,0.730896,-0.431202,-0.775249,0.875237,0.395837
573,1455.03,1,-3.64744,1.39764,2.85512,1.99766,-2.39075,0.604655,8.34317,0.376256,-1.30883,-1.62019,0.36728,-4.51818,0.696178,0.712998,0.305181,0.373501,1.3542,0.284541,2.16878,0.713948,1.10741,0.497432,1.25191,-0.596178,-0.909471,-0.945321,0.895444,0.566418,0.0641565,-0.886572,-0.290291,-0.637307,0.398975,0.662109,0.442392,-0.632626,-0.728595,0.0871091,0.625484,0.738904,0.896674,-0.734955,0.897879,-0.842419,-0.505192,-0.234995,0.779443,0.374661,0.780344,-0.571868,-0.865912,-0.464919,-0.110676,0.839269,0.229436,0.565508,-0.285496,0.776877,-0.222707,-0.947276,-0.49382,-0.634483,0.265386,-0.579029,-0.815122,-0.75586,-0.59551,0.225662,0.322661,0.376322,-0.120242,0.45701,0.51902,0.607899,-0.229292,0.740404,-0.408079,-0.775251,0.858711,0.40127
574,1458.58,1,-3.62307,1.38911,2.84019,1.99238,-2.42506,0.61176,8.45937,0.384366,-1.31485,-1.60265,0.370515,-4.51781,0.700723,0.687385,0.300796,0.376029,1.35372,0.288589,1.96471,0.716112,1.11192,0.491349,1.22618,-0.592179,-0.920948,-0.939859,0.908381,0.562559,0.033585,-0.874767,-0.273616,-0.629824,0.388676,0.612839,0.43407,-0.650826,-0.759999,0.0969991,0.604449,0.716932,0.896766,-0.742556,0.908646,-0.868296,-0.472685,-0.211616,0.755404,0.284155,0.704505,-0.513521,-0.876869,-0.446774,-0.0738332,0.825876,0.226277,0.558117,-0.265305,0.73937,-0.19348,-0.931413,-0.472036,-0.667345,0.3303,-0.564297,-0.811269,-0.794935,-0.660986,0.317113,0.376856,0.430438,-0.0509164,0.417807,0.51774,0.593641,-0.215408,0.744065,-0.414225,-0.763104,0.857686,0.391341
575,1462.51,1,-3.6332,1.42706,2.84136,1.96926,-2.44541,0.61295,8.39814,0.375323,-1.297,-1.58854,0.369153,-4.48504,0.707514,0.716429,0.296796,0.375236,1.37041,0.291985,1.95592,0.717999,1.10329,0.521525,1.23462,-0.604288,-0.927025,-0.943314,0.889529,0.521146,0.0310766,-0.8599,-0.237839,-0.620477,0.381618,0.600584,0.448067,-0.654165,-0.731059,0.12918,0.598819,0.72464,0.902277,-0.725683,0.920534,-0.847317,-0.428566,-0.208509,0.746603,0.253769,0.690847,-0.501708,-0.861491,-0.416515,-0.0644572,0.819659,0.179251,0.546758,-0.259755,0.732214,-0.250561,-0.928794,-0.47594,-0.653529,0.281411,-0.600022,-0.789011,-0.781034,-0.621656,0.271758,0.409055,0.46793,0.00245512,0.412391,0.487883,0.577469,-0.165057,0.748919,-0.384525,-0.736901,0.882801,0.399085
576,1467.51,1,-3.67683,1.39858,2.85894,1.96527,-2.37275,0.601931,8.33842,0.374328,-1.28955,-1.65667,0.376996,-4.49451,0.70777,0.718528,0.306659,0.379403,1.37916,0.29519,1.92269,0.734339,1.10719,0.526439,1.26722,-0.6035,-0.929087,-0.942073,0.883694,0.512575,0.0554522,-0.851067,-0.252614,-0.626096,0.385326,0.597359,0.4431,-0.603235,-0.718753,0.028825,0.569793,0.721067,0.920594,-0.768464,0.916774,-0.847237,-0.427049,-0.230674,0.73949,0.241959,0.668972,-0.470656,-0.88302,-0.431499,-0.049742,0.82425,0.203104,0.543852,-0.248901,0.720978,-0.232416,-0.91647,-0.475069,-0.657795,0.258007,-0.571908,-0.778126,-0.833423,-0.686532,0.309906,0.407609,0.463853,0.0135825,0.418452,0.506128,0.597099,-0.178453,0.777078,-0.401191,-0.702179,0.892833,0.402592
577,1471.8,1,-3.66909,1.35711,2.86036,2.00272,-2.29755,0.594066,8.00245,0.366037,-1.3022,-1.6781,0.363608,-4.5162,0.715604,0.713916,0.308559,0.386137,1.38312,0.295588,1.93438,0.746944,1.11327,0.546625,1.27088,-0.585506,-0.904245,-0.937737,0.904916,0.521909,-0.00321437,-0.863812,-0.25848,-0.606788,0.377782,0.562232,0.408829,-0.593399,-0.715821,0.097345,0.576307,0.723888,0.898833,-0.780546,0.901412,-0.826726,-0.394825,-0.220411,0.714461,0.218528,0.664935,-0.475096,-0.886525,-0.422905,-0.0266796,0.824386,0.20102,0.530661,-0.237293,0.72034,-0.256514,-0.935668,-0.460895,-0.645973,0.265946,-0.606292,-0.774916,-0.821071,-0.669366,0.313396,0.441991,0.479838,0.0205759,0.364302,0.505156,0.58789,-0.184796,0.777394,-0.432472,-0.730504,0.879861,0.399485
578,1459.16,1,-3.69995,1.34114,2.86788,2.01658,-2.25366,0.591951,7.77781,0.356571,-1.30212,-1.72622,0.363651,-4.5302,0.690604,0.73538,0.292936,0.377947,1.36502,0.292307,1.92659,0.732272,1.11635,0.534096,1.25998,-0.596625,-0.895858,-0.930685,0.929577,0.579234,-0.0193612,-0.876979,-0.224431,-0.597701,0.392332,0.57143,0.42308,-0.588742,-0.712264,0.112965,0.576856,0.711745,0.897761,-0.782427,0.898844,-0.839064,-0.422136,-0.232939,0.714497,0.201835,0.675353,-0.495123,-0.907176,-0.489648,-0.0366136,0.830162,0.173789,0.523212,-0.255576,0.728537,-0.214706,-0.932198,-0.382284,-0.624188,0.27397,-0.624296,-0.818003,-0.790896,-0.651295,0.269265,0.431352,0.455515,-0.0122055,0.377075,0.460449,0.562544,-0.186886,0.759677,-0.4263,-0.74948,0.884676,0.399421
579,1457.71,1,-3.69984,1.27745,2.86665,2.01681,-2.27356,0.593938,7.79385,0.359065,-1.28584,-1.71645,0.378542,-4.52297,0.666861,0.710406,0.302773,0.363737,1.34112,0.289693,1.81248,0.720708,1.10458,0.524277,1.25231,-0.57179,-0.877471,-0.939762,0.933683,0.540747,0.0182877,-0.87015,-0.208485,-0.578746,0.352013,0.599211,0.416964,-0.585652,-0.715392,0.0908175,0.5873,0.704801,0.893386,-0.747171,0.871261,-0.807335,-0.380433,-0.295074,0.684713,0.238507,0.705956,-0.546021,-0.908236,-0.461105,-0.0450951,0.831061,0.165447,0.511986,-0.239996,0.701916,-0.18658,-0.928746,-0.381135,-0.620235,0.256623,-0.615224,-0.805218,-0.791396,-0.652292,0.247613,0.402397,0.478495,0.0175541,0.456844,0.486758,0.593711,-0.183965,0.772698,-0.384093,-0.718042,0.877,0.39788
580,1458.37,1,-3.7028,1.26412,2.8655,2.02135,-2.26165,0.589212,7.77218,0.35667,-1.23599,-1.68771,0.392837,-4.48908,0.661153,0.754561,0.304055,0.370538,1.36225,0.293038,1.95236,0.738679,1.13936,0.507706,1.24355,-0.584159,-0.872984,-0.936126,0.936442,0.524562,0.00481816,-0.872939,-0.2687,-0.622654,0.387792,0.593849,0.415988,-0.584134,-0.682874,0.0616859,0.590172,0.742425,0.89747,-0.77977,0.862508,-0.80196,-0.323857,-0.323413,0.664808,0.229965,0.720033,-0.565837,-0.923736,-0.449068,-0.0280283,0.829102,0.210507,0.546119,-0.250442,0.67769,-0.182394,-0.927515,-0.429528,-0.657497,0.289487,-0.646088,-0.799575,-0.794824,-0.603894,0.254247,0.413274,0.432861,-0.037505,0.428936,0.513001,0.601396,-0.224064,0.758072,-0.437291,-0.724469,0.890105,0.404803
581,1443.58,1,-3.70767,1.23122,2.87154,2.03033,-2.22402,0.590175,7.7807,0.362102,-1.24991,-1.73413,0.392551,-4.49088,0.657171,0.753468,0.306699,0.37175,1.35351,0.283253,1.9475,0.725211,1.14409,0.504174,1.25134,-0.563145,-0.881185,-0.939717,0.917963,0.529804,0.0227963,-0.868523,-0.269979,-0.617543,0.382638,0.623287,0.395728,-0.624534,-0.707404,0.0712897,0.564174,0.745295,0.902279,-0.785022,0.844878,-0.79524,-0.360177,-0.323913,0.658975,0.268329,0.743946,-0.603111,-0.897909,-0.45979,-0.0400213,0.833262,0.215528,0.531874,-0.244356,0.733332,-0.211111,-0.93633,-0.504845,-0.690553,0.313049,-0.643663,-0.80324,-0.821245,-0.626725,0.259317,0.407744,0.435027,-0.0456792,0.441908,0.512006,0.577441,-0.194898,0.756896,-0.459006,-0.75219,0.878153,0.39442
582,1454.13,1,-3.72719,1.16315,2.87155,2.01032,-2.21677,0.587827,7.51225,0.358147,-1.24895,-1.73525,0.389045,-4.49222,0.659262,0.737817,0.297537,0.371331,1.35785,0.280909,1.90942,0.733176,1.14433,0.48752,1.23962,-0.570942,-0.878304,-0.94447,0.913843,0.511645,0.0874778,-0.859252,-0.272421,-0.598737,0.377687,0.62133,0.423335,-0.640551,-0.693114,-0.0328922,0.539924,0.736661,0.885828,-0.787721,0.852287,-0.785045,-0.340776,-0.375757,0.647311,0.256951,0.717813,-0.573961,-0.895605,-0.468967,-0.0516003,0.85193,0.228057,0.533694,-0.237793,0.713065,-0.149891,-0.924269,-0.505835,-0.681887,0.331707,-0.581012,-0.786424,-0.846849,-0.649163,0.260105,0.356936,0.414897,-0.0826541,0.516789,0.518553,0.565926,-0.154347,0.778913,-0.445308,-0.726112,0.891601,0.400906
583,1455.83,1,-3.70617,1.19834,2.87264,1.98207,-2.25605,0.592639,7.80371,0.361739,-1.26819,-1.70733,0.381066,-4.49804,0.651232,0.711928,0.309183,0.362369,1.35867,0.27441,1.89509,0.701947,1.12221,0.470395,1.18637,-0.591241,-0.896381,-0.9464,0.917758,0.51665,0.104322,-0.863037,-0.295373,-0.615413,0.40073,0.625812,0.448391,-0.645522,-0.666986,-0.0619012,0.545582,0.749614,0.887847,-0.810777,0.858585,-0.817903,-0.339478,-0.371893,0.661762,0.262067,0.704326,-0.567313,-0.906752,-0.500387,-0.0490298,0.866702,0.263673,0.543078,-0.255811,0.693497,-0.103905,-0.900183,-0.498405,-0.692241,0.354806,-0.576081,-0.791353,-0.815529,-0.630364,0.242441,0.327981,0.36476,-0.0941394,0.534645,0.519871,0.572963,-0.173508,0.786817,-0.451263,-0.716184,0.900545,0.398377
584,1457.23,1,-3.70728,1.21974,2.8659,1.986,-2.2424,0.590625,7.72896,0.358992,-1.25152,-1.69899,0.392944,-4.48396,0.652259,0.722617,0.295495,0.364667,1.34527,0.273077,1.88781,0.693168,1.10915,0.483578,1.17023,-0.54469,-0.889452,-0.949674,0.908996,0.501749,0.131451,-0.861292,-0.298114,-0.621057,0.42525,0.61811,0.400684,-0.597682,-0.630366,-0.076467,0.512686,0.758848,0.868375,-0.808742,0.855518,-0.810552,-0.349362,-0.34263,0.675482,0.29065,0.742722,-0.574188,-0.899244,-0.472389,-0.0662184,0.866376,0.258705,0.552623,-0.270193,0.665471,-0.0856351,-0.89129,-0.489161,-0.690782,0.350492,-0.602013,-0.785402,-0.78068,-0.599031,0.19423,0.311223,0.329887,-0.0881017,0.561,0.527263,0.595751,-0.191287,0.772072,-0.453846,-0.674236,0.883299,0.40235
585,1463.08,1,-3.7459,1.22907,2.8913,2.00019,-2.18002,0.582237,7.46694,0.342263,-1.26993,-1.78428,0.385967,-4.49735,0.650336,0.705985,0.312606,0.351749,1.32713,0.2693,1.80015,0.695019,1.1368,0.484105,1.13763,-0.552188,-0.899867,-0.949441,0.897662,0.486557,0.0860238,-0.857937,-0.281162,-0.585736,0.427367,0.596335,0.416962,-0.61222,-0.647367,-0.0315144,0.539809,0.769159,0.847024,-0.80138,0.869582,-0.811525,-0.330669,-0.271153,0.688473,0.262267,0.71356,-0.537835,-0.876558,-0.459596,-0.0217991,0.857493,0.234023,0.524877,-0.27435,0.642132,-0.103066,-0.855834,-0.444429,-0.631026,0.366138,-0.632582,-0.788488,-0.773888,-0.571108,0.17634,0.361222,0.346583,-0.0514277,0.549527,0.513515,0.566511,-0.190942,0.768245,-0.442029,-0.651126,0.888437,0.408636
586,1461.88,1,-3.75337,1.25637,2.88293,1.9978,-2.18059,0.58307,7.44324,0.338777,-1.24824,-1.77316,0.392104,-4.51142,0.671485,0.67251,0.324229,0.350077,1.31061,0.267305,1.69448,0.709206,1.13021,0.50036,1.19227,-0.570203,-0.89394,-0.945017,0.906017,0.511051,0.0215639,-0.83953,-0.262892,-0.60853,0.427536,0.553741,0.423098,-0.605357,-0.640691,-0.0181613,0.546254,0.722833,0.849324,-0.791972,0.874541,-0.824102,-0.329443,-0.183211,0.66721,0.170469,0.691393,-0.486963,-0.90686,-0.480861,0.0291634,0.832474,0.216724,0.564968,-0.274646,0.650118,-0.134669,-0.862552,-0.441238,-0.688293,0.369966,-0.639683,-0.826073,-0.792299,-0.617816,0.153855,0.439932,0.423591,0.0365104,0.566226,0.553447,0.613164,-0.16546,0.721961,-0.357671,-0.613764,0.89097,0.406162
587,1464.64,1,-3.73773,1.25042,2.88212,1.9987,-2.22305,0.589718,7.52216,0.339232,-1.22966,-1.74881,0.387865,-4.50643,0.701369,0.671713,0.348164,0.347556,1.3044,0.263361,1.72735,0.67963,1.15165,0.502145,1.28318,-0.584907,-0.876409,-0.938419,0.919311,0.507029,0.00886865,-0.834165,-0.302336,-0.651661,0.413654,0.565387,0.421943,-0.614775,-0.635819,0.0332473,0.537565,0.736561,0.886022,-0.767976,0.831959,-0.814713,-0.276588,-0.238633,0.616522,0.178464,0.725583,-0.500268,-0.922296,-0.466214,0.0408364,0.825638,0.248973,0.560215,-0.265318,0.622907,-0.124966,-0.862257,-0.446887,-0.709121,0.382179,-0.690191,-0.81569,-0.765483,-0.572819,0.131475,0.473895,0.453307,0.029605,0.533642,0.552776,0.589276,-0.129241,0.697492,-0.393503,-0.650244,0.892368,0.40188
588,1474.86,1,-3.753,1.21761,2.89281,2.00499,-2.18417,0.588026,7.43583,0.341958,-1.23088,-1.76644,0.382775,-4.5128,0.690849,0.646887,0.362489,0.344589,1.30266,0.260499,1.65025,0.673922,1.15645,0.517933,1.25845,-0.587126,-0.887747,-0.944318,0.919998,0.535907,-0.0011177,-0.842813,-0.309116,-0.64133,0.420902,0.580593,0.426687,-0.631197,-0.649205,0.022173,0.527895,0.711694,0.878177,-0.757497,0.851671,-0.844981,-0.357604,-0.171189,0.665126,0.233782,0.707269,-0.470731,-0.904691,-0.473451,0.0441401,0.833188,0.255402,0.557031,-0.269478,0.595199,-0.0535711,-0.828707,-0.43273,-0.712084,0.442197,-0.67981,-0.804802,-0.710393,-0.604619,0.140138,0.471064,0.448764,0.0748705,0.534834,0.560205,0.610154,-0.137625,0.746764,-0.362645,-0.617427,0.888979,0.39634
589,1467.63,1,-3.78785,1.1927,2.9082,1.97914,-2.13928,0.583271,7.28723,0.340305,-1.18807,-1.78916,0.395166,-4.5358,0.696204,0.621974,0.362428,0.363139,1.33189,0.262129,1.69843,0.665698,1.1716,0.517469,1.2135,-0.613953,-0.886368,-0.943763,0.932425,0.547593,-0.00340552,-0.830677,-0.371927,-0.667285,0.483963,0.563387,0.444409,-0.678681,-0.705073,0.132149,0.583685,0.748279,0.890191,-0.735325,0.853822,-0.820452,-0.339278,-0.199392,0.640158,0.277386,0.697711,-0.524476,-0.89897,-0.482144,0.030574,0.824603,0.322026,0.573168,-0.334611,0.613403,-0.0513324,-0.834384,-0.501577,-0.737411,0.524952,-0.693728,-0.823258,-0.751632,-0.651311,0.199927,0.481463,0.469427,0.149382,0.479972,0.636591,0.657454,-0.183083,0.778402,-0.369181,-0.609695,0.90277,0.390798
