iteration,convergenceIndicator,phase,beta_exp_pop,delta0_pop,p_pop,td_pop,b_exp_pop,h_0_pop,tc_pop,sigma_pop,phi_exp_pop,rho_exp_pop,dF_pop,q_exp_pop,omega_beta_exp,omega_delta0,omega_p,omega_td,omega_b_exp,omega_h_0,omega_tc,omega_sigma,omega_rho_exp,omega_q_exp,omega_ifn0,corr_beta_exp_b_exp,corr_delta0_b_exp,corr_h_0_b_exp,corr_ifn0_b_exp,corr_p_b_exp,corr_q_exp_b_exp,corr_rho_exp_b_exp,corr_sigma_b_exp,corr_tc_b_exp,corr_td_b_exp,corr_delta0_beta_exp,corr_h_0_beta_exp,corr_ifn0_beta_exp,corr_p_beta_exp,corr_q_exp_beta_exp,corr_rho_exp_beta_exp,corr_sigma_beta_exp,corr_tc_beta_exp,corr_td_beta_exp,corr_h_0_delta0,corr_ifn0_delta0,corr_p_delta0,corr_q_exp_delta0,corr_rho_exp_delta0,corr_sigma_delta0,corr_tc_delta0,corr_td_delta0,corr_ifn0_h_0,corr_p_h_0,corr_q_exp_h_0,corr_rho_exp_h_0,corr_sigma_h_0,corr_tc_h_0,corr_td_h_0,corr_p_ifn0,corr_q_exp_ifn0,corr_rho_exp_ifn0,corr_sigma_ifn0,corr_tc_ifn0,corr_td_ifn0,corr_q_exp_p,corr_rho_exp_p,corr_sigma_p,corr_tc_p,corr_td_p,corr_rho_exp_q_exp,corr_sigma_q_exp,corr_tc_q_exp,corr_td_q_exp,corr_sigma_rho_exp,corr_tc_rho_exp,corr_td_rho_exp,corr_tc_sigma,corr_td_sigma,corr_td_tc,a1,b2
11,1450.01,1,-3.65986,1.2486,2.67041,1.86253,-2.37802,0.63137,7.13474,0.430442,-1.45176,-1.54864,0.923482,-4.3833,0.341229,0.949964,0.293076,0.412179,0.692801,0.121543,1.11901,0.565817,0.43664,0.097833,0.331619,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.931477,0.407063
12,1456.27,1,-3.66136,1.28629,2.67696,1.87262,-2.39101,0.633907,7.22574,0.432176,-1.46077,-1.52455,0.872896,-4.38277,0.358065,0.978372,0.316191,0.40395,0.701204,0.120027,1.13118,0.558801,0.426376,0.105003,0.333462,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.916409,0.407293
13,1461.11,1,-3.67806,1.1922,2.68503,1.83472,-2.37784,0.633432,7.0398,0.434204,-1.42746,-1.55297,0.923337,-4.38076,0.356886,0.954253,0.324139,0.412334,0.687908,0.113628,1.13384,0.584883,0.441492,0.109697,0.312127,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.920082,0.406965
14,1469.19,1,-3.68969,1.12526,2.70858,1.8321,-2.36681,0.630659,7.04358,0.43547,-1.42331,-1.58027,0.922123,-4.39157,0.355076,0.887444,0.313447,0.454429,0.695536,0.112879,1.11979,0.595024,0.462333,0.104289,0.308103,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.927082,0.40457
15,1461.02,1,-3.69008,1.11446,2.71672,1.84931,-2.36293,0.626794,7.02835,0.437247,-1.39208,-1.58728,0.936121,-4.39365,0.357614,0.870441,0.296194,0.447162,0.678781,0.109599,1.09612,0.593147,0.463526,0.103684,0.313129,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.932871,0.409012
16,1465.03,1,-3.67477,1.16626,2.71869,1.86365,-2.36791,0.62868,7.14728,0.440613,-1.41618,-1.59112,0.898368,-4.39334,0.369372,0.871388,0.308985,0.446586,0.691722,0.114171,1.10737,0.60324,0.46893,0.10123,0.325602,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.932013,0.405036
17,1447.93,1,-3.67968,1.15333,2.70902,1.84405,-2.37411,0.629831,7.14136,0.440477,-1.43993,-1.58832,0.868817,-4.39411,0.358537,0.852223,0.310422,0.450784,0.684812,0.112583,1.14754,0.614115,0.455055,0.106341,0.322294,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.922108,0.402974
18,1443.3,1,-3.71086,1.11629,2.70493,1.87071,-2.35253,0.629132,7.01185,0.426494,-1.37141,-1.59015,0.906821,-4.39965,0.356034,0.868124,0.320353,0.441282,0.688316,0.111536,1.18027,0.613391,0.456143,0.108824,0.301718,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.931875,0.409164
19,1453.8,1,-3.70157,1.09765,2.69439,1.87432,-2.32271,0.625373,6.996,0.42455,-1.36418,-1.60025,0.89176,-4.39393,0.355788,0.890828,0.318299,0.449826,0.715868,0.119091,1.2066,0.602418,0.4743,0.0986138,0.323247,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.930343,0.405367
20,1446.92,1,-3.69777,1.11906,2.69909,1.88058,-2.32889,0.622457,7.06786,0.428503,-1.37157,-1.60511,0.905446,-4.3912,0.355444,0.873783,0.314686,0.439123,0.736753,0.122445,1.24833,0.587567,0.498547,0.0975991,0.341958,-0.755308,-0.533204,-0.941369,0.184084,0.237561,-0.149644,-0.777061,-0.120114,-0.801141,0.540664,0.617779,0.637211,-0.599832,-0.390737,0.16428,0.571483,-0.0924705,0.609738,-0.602486,0.541204,-0.72451,-0.0314183,0.276885,0.767358,0.451826,0.787716,-0.152808,-0.0959444,-0.330087,0.30282,0.743348,0.069124,0.755058,-0.322582,0.0711549,-0.145083,-0.393015,-0.217519,-0.426926,0.241162,-0.70952,0.178099,0.756113,0.0175922,-0.187786,-0.0375411,-0.3521,0.174996,0.502499,0.595581,0.881239,-0.470939,0.541453,-0.152872,-0.365043,0.924958,0.41766
