time,empiricalCumulatedFrequencies,median,piLower,piUpper,split
10.8543,0.558333,0.379167,0.295833,0.466667,All
10.9472,0.558333,0.379167,0.295833,0.466667,All
11.0402,0.571429,0.388889,0.301587,0.480159,All
11.1332,0.571429,0.388889,0.301587,0.480159,All
11.2261,0.571429,0.388889,0.301587,0.480159,All
11.3191,0.571429,0.388889,0.301587,0.480159,All
11.4121,0.571429,0.388889,0.301587,0.480159,All
11.505,0.587121,0.397727,0.310606,0.492424,All
11.598,0.587121,0.397727,0.310606,0.492424,All
11.691,0.587121,0.397727,0.310606,0.492424,All
11.7839,0.587121,0.397727,0.310606,0.492424,All
11.8769,0.587121,0.397727,0.310606,0.492424,All
11.9698,0.587121,0.397727,0.310606,0.492424,All
12.0628,0.601449,0.405797,0.315217,0.5,All
12.1558,0.601449,0.405797,0.315217,0.5,All
12.2487,0.601449,0.405797,0.315217,0.5,All
12.3417,0.601449,0.405797,0.315217,0.5,All
12.4347,0.601449,0.405797,0.315217,0.5,All
12.5276,0.618056,0.413194,0.326389,0.503472,All
12.6206,0.618056,0.413194,0.326389,0.503472,All
12.7136,0.618056,0.413194,0.326389,0.503472,All
12.8065,0.618056,0.413194,0.326389,0.503472,All
12.8995,0.618056,0.413194,0.326389,0.503472,All
12.9925,0.618056,0.413194,0.326389,0.503472,All
13.0854,0.633333,0.423333,0.335,0.51,All
13.1784,0.633333,0.423333,0.335,0.51,All
13.2714,0.633333,0.423333,0.335,0.51,All
13.3643,0.633333,0.423333,0.335,0.51,All
13.4573,0.633333,0.423333,0.335,0.51,All
13.5503,0.647436,0.432692,0.350962,0.516026,All
13.6432,0.647436,0.432692,0.350962,0.516026,All
13.7362,0.647436,0.432692,0.350962,0.516026,All
13.8291,0.647436,0.432692,0.350962,0.516026,All
13.9221,0.647436,0.432692,0.350962,0.516026,All
14.0151,0.660494,0.438272,0.361111,0.524691,All
14.108,0.660494,0.438272,0.361111,0.524691,All
14.201,0.660494,0.438272,0.361111,0.524691,All
14.294,0.660494,0.438272,0.361111,0.524691,All
14.3869,0.660494,0.438272,0.361111,0.524691,All
14.4799,0.660494,0.438272,0.361111,0.524691,All
14.5729,0.672619,0.44494,0.369048,0.529762,All
14.6658,0.672619,0.44494,0.369048,0.529762,All
14.7588,0.672619,0.44494,0.369048,0.529762,All
14.8518,0.672619,0.44494,0.369048,0.529762,All
14.9447,0.672619,0.44494,0.369048,0.529762,All
15.0377,0.683908,0.451149,0.37931,0.531609,All
15.1307,0.683908,0.451149,0.37931,0.531609,All
15.2236,0.683908,0.451149,0.37931,0.531609,All
15.3166,0.683908,0.451149,0.37931,0.531609,All
15.4095,0.683908,0.451149,0.37931,0.531609,All
15.5025,0.692737,0.455307,0.385475,0.53352,All
15.5955,0.692737,0.455307,0.385475,0.53352,All
15.6884,0.692737,0.455307,0.385475,0.53352,All
15.7814,0.692737,0.455307,0.385475,0.53352,All
15.8744,0.692737,0.455307,0.385475,0.53352,All
15.9673,0.692737,0.455307,0.385475,0.53352,All
16.0603,0.699454,0.456284,0.387978,0.535519,All
16.1533,0.699454,0.456284,0.387978,0.535519,All
16.2462,0.699454,0.456284,0.387978,0.535519,All
16.3392,0.699454,0.456284,0.387978,0.535519,All
16.4322,0.699454,0.456284,0.387978,0.535519,All
16.5251,0.705094,0.458445,0.391421,0.536193,All
16.6181,0.705094,0.458445,0.391421,0.536193,All
16.7111,0.705094,0.458445,0.391421,0.536193,All
16.804,0.705094,0.458445,0.391421,0.536193,All
16.897,0.705094,0.458445,0.391421,0.536193,All
16.9899,0.705094,0.458445,0.391421,0.536193,All
17.0829,0.709763,0.461741,0.391821,0.53562,All
17.1759,0.709763,0.461741,0.391821,0.53562,All
17.2688,0.709763,0.461741,0.391821,0.53562,All
17.3618,0.709763,0.461741,0.391821,0.53562,All
17.4548,0.709763,0.461741,0.391821,0.53562,All
17.5477,0.713542,0.463542,0.393229,0.53776,All
17.6407,0.713542,0.463542,0.393229,0.53776,All
17.7337,0.713542,0.463542,0.393229,0.53776,All
17.8266,0.713542,0.463542,0.393229,0.53776,All
17.9196,0.713542,0.463542,0.393229,0.53776,All
18.0126,0.715762,0.462532,0.395349,0.53876,All
18.1055,0.715762,0.462532,0.395349,0.53876,All
18.1985,0.715762,0.462532,0.395349,0.53876,All
