ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
7,1,0,14.9131,-0.0564604,0,5.71957e+15,1.2505,0,5.71957e+15,0,0,2.58861,0.499027,1,All,#4682B4,0
7,1.5,0,3.98532,-0.229434,0,5.71957e+15,0,0,5.71957e+15,1.77857,0,2.047,0.296744,1,All,#4682B4,0
7,2,0,1.15738,-0.437444,0,5.71957e+15,0,0,5.71957e+15,0,0,1.24764,0.385136,1,All,#4682B4,0
7,2.5,1.04267,0.378076,0.244739,0,5.71957e+15,0,0,5.71957e+15,0,1.04267,0.569124,0.502785,1,All,#4682B4,0
7,3,1.6954,-0.00691266,-0.567658,0,5.71957e+15,0,0,5.71957e+15,0,1.6954,0.208776,-0.225169,1,All,#4682B4,0
7,3.5,2.06854,-0.267754,-0.362519,0,5.71957e+15,0,0,5.71957e+15,0,2.06854,-0.0881788,-0.205788,1,All,#4682B4,0
7,4,2.27279,-0.425079,-1.2039,0,5.71957e+15,0,0,5.71957e+15,0,2.27279,-0.324214,-0.937628,1,All,#4682B4,0
7,4.5,2.347,-0.498291,-1.04017,0.270231,8.96244,-0.567717,0.126296,21.9374,0.0295395,2.347,-0.443258,-0.984507,1,All,#4682B4,0
7,5,2.33123,-0.603184,-0.862679,1.23905,0.0605162,-0.00862572,1.03015,0.564025,-0.911007,2.33123,-0.547536,-0.869156,1,All,#4682B4,0
7,5.5,2.26472,0.512717,0.512717,2.26116,0.534434,0.534434,1.9869,0.942594,0.942594,2.26472,0.5388,0.5388,0,All,#4682B4,0
7,6,2.17388,1.32296,1.32296,3.06077,0.482187,0.482187,2.81004,0.741361,0.741361,2.17388,1.36775,1.36775,0,All,#4682B4,0
7,6.5,2.06942,0.709988,0.709988,3.15418,-0.210579,-0.210579,3.04303,-0.129786,-0.129786,2.06942,0.768486,0.768486,0,All,#4682B4,0
7,7,1.93798,0.116412,0.116412,2.87393,-0.584927,-0.584927,2.82,-0.549785,-0.549785,1.93798,0.261255,0.261255,0,All,#4682B4,0
7,7.5,1.7756,1.48003,1.48003,2.61114,0.982355,0.982355,2.54593,1.06957,1.06957,1.7756,1.36696,1.36696,0,All,#4682B4,0
7,8,1.5803,0.343431,0.343431,2.45594,-0.331363,-0.331363,2.36148,-0.247719,-0.247719,1.5803,0.463966,0.463966,0,All,#4682B4,0
7,8.5,1.35207,0.16624,0.16624,2.38173,-0.510315,-0.510315,2.25869,-0.40615,-0.40615,1.35207,0.313472,0.313472,0,All,#4682B4,0
7,9,1.09666,-0.239611,-1.08613,2.27947,-1.07281,-1.92636,2.13726,-0.983003,-1.22796,1.09666,-0.117301,-1.11257,1,All,#4682B4,0
7,9.5,0.827579,1.64751,1.64751,2.12959,1.22901,1.22901,1.98156,1.50178,1.50178,0.827579,1.55756,1.55756,0,All,#4682B4,0
7,10,0.56154,0.700027,0.700027,1.93559,0.255833,0.255833,1.78741,0.477874,0.477874,0.56154,0.808809,0.808809,0,All,#4682B4,0
7,10.5,0.316844,0.413776,0.413776,1.69658,-0.0379582,-0.0379582,1.55089,0.186045,0.186045,0.316844,0.581266,0.581266,0,All,#4682B4,0
7,11,0.102384,0.204128,-0.972959,1.41287,-0.244965,-0.63918,1.27094,-0.00178619,-0.993459,0.102384,0.360637,-0.916995,1,All,#4682B4,0
7,11.5,0,0.340395,-0.9922,1.07844,0.430303,-0.617354,0.939675,0.851582,0.829961,0,0.512995,-1.09561,1,All,#4682B4,0
7,12,0,0.452351,-0.93465,0.68519,2.0676,0.0700133,0.549994,3.17132,1.73635,0,0.507987,-0.846758,1,All,#4682B4,0
7,12.5,0,0.698039,-0.812066,0.224195,11.3002,2.03373,0.093171,30.5982,-1.00619,0,0.828766,-0.589272,1,All,#4682B4,0
7,13,0,0.885787,-0.750852,0,5.71957e+15,0,0,5.71957e+15,0,0,0.985673,-0.584705,1,All,#4682B4,0
7,13.5,0,1.0815,-0.660255,0,5.71957e+15,0,0,5.71957e+15,1.6389,0,1.06113,-0.318162,1,All,#4682B4,0
7,14,0,1.23182,-0.580076,0,5.71957e+15,0,0,5.71957e+15,0,0,1.15021,-0.385096,1,All,#4682B4,0
7,14.5,0,1.57181,-0.518272,0,5.71957e+15,1.30736,0,5.71957e+15,0,0,1.33089,-0.0304182,1,All,#4682B4,0
7,15,0,1.60446,-0.493001,0,5.71957e+15,0,0,5.71957e+15,1.35312,0,1.40788,-0.00973711,1,All,#4682B4,0
7,15.5,0,1.76975,-0.433688,0,5.71957e+15,1.66647,0,5.71957e+15,0,0,1.47891,0.12369,1,All,#4682B4,0
7,16,0,1.88609,-0.424566,0,5.71957e+15,0,0,5.71957e+15,1.33023,0,1.50077,0.055608,1,All,#4682B4,0
8,1,0,212.835,-0.0447214,0,5.71957e+15,0,0,5.71957e+15,0,0,2.81537,1.46609,1,All,#4682B4,0
8,1.5,0,4.38665,-0.253221,0,5.71957e+15,1.77857,0,5.71957e+15,0,0,2.10418,0.777801,1,All,#4682B4,0
8,2,0,1.09556,-0.458179,0,5.71957e+15,0,0,5.71957e+15,0,0,1.19731,-0.0797513,1,All,#4682B4,0
8,2.5,1.04267,0.428565,-0.117272,0,5.71957e+15,0,0,5.71957e+15,0,1.04267,0.605712,0.27959,1,All,#4682B4,0
8,3,1.6954,0.448615,0.448615,1.82945,0.0404525,0.0404525,1.41133,0.770119,0.770119,1.6954,0.538405,0.538405,0,All,#4682B4,0
8,3.5,2.06854,-0.292639,-1.10469,2.42172,-1.15209,-1.39173,2.24658,-1.05305,-2.05463,2.06854,-0.19124,-0.762632,1,All,#4682B4,0
8,4,2.27279,1.16178,1.16178,2.66834,0.836742,0.836742,2.56735,0.964947,0.964947,2.27279,1.10049,1.10049,0,All,#4682B4,0
8,4.5,2.347,-0.535884,-0.88034,2.76013,-1.30785,-1.59777,2.71747,-1.29035,-1.80782,2.347,-0.480245,-0.771644,1,All,#4682B4,0
8,5,2.33123,1.45035,1.45035,2.76634,1.01902,1.01902,2.76869,1.0161,1.0161,2.33123,1.34401,1.34401,0,All,#4682B4,0
8,5.5,2.26472,-0.569279,-0.810177,2.73196,-1.29636,-1.55774,2.76166,-1.30846,-1.56156,2.26472,-0.521727,-0.732349,1,All,#4682B4,0
8,6,2.17388,1.50425,1.50425,2.67725,1.17878,1.17878,2.72377,1.11728,1.11728,2.17388,1.48938,1.48938,0,All,#4682B4,0
