ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
9,0,-7,1.35867,-0.231176,-7,1.43675,-0.602245,-7,1.43675,0.971293,-7,1.45443,-0.25658,1,All,#4682B4,0
9,1,-7,1.32528,-0.505636,-7,1.43675,-0.478637,-7,1.43675,-1.37904,-7,1.36252,-0.517698,1,All,#4682B4,0
9,2,-1.46233,0.605492,0.449986,-0.40198,0.132367,-0.146569,-0.710366,0.454938,-0.287566,-1.46233,0.480241,0.24647,1,All,#4682B4,0
9,3,1.4853,0.123846,0.123846,1.91372,-0.900246,-0.900246,1.49075,-0.75613,-0.75613,1.4853,-0.0951375,-0.0951375,0,All,#4682B4,0
9,4,2.32409,0.196581,0.196581,2.43889,-0.277261,-0.277261,2.1572,-0.142993,-0.142993,2.32409,0.170799,0.170799,0,All,#4682B4,0
9,5,2.36195,0.0762739,0.0762739,2.26479,-0.192118,-0.192118,2.21581,-0.16783,-0.16783,2.36195,0.0625628,0.0625628,0,All,#4682B4,0
9,6,2.09102,0.22717,0.22717,1.76771,0.202679,0.202679,1.92178,0.0951671,0.0951671,2.09102,0.216155,0.216155,0,All,#4682B4,0
9,7,1.69343,0.0175129,0.0175129,1.06354,0.297923,0.297923,1.42618,-0.0284576,-0.0284576,1.69343,0.0183422,0.0183422,0,All,#4682B4,0
9,8,1.09248,-0.520051,-0.520051,0.21717,0.0666443,0.0666443,0.787773,-0.573854,-0.573854,1.09248,-0.833036,-0.833036,0,All,#4682B4,0
9,9,0.29198,-0.373245,-0.373245,-0.588623,0.855045,0.855045,0.0929287,0.0165458,0.0165458,0.29198,-0.476858,-0.476858,0,All,#4682B4,0
9,10,-0.56737,-0.125595,-0.125595,-1.18321,1.07617,1.07617,-0.531679,0.777812,0.777812,-0.56737,-0.234786,-0.234786,0,All,#4682B4,0
9,11,-1.28532,0.091529,0.091529,-1.58926,1.09114,1.09114,-1.01792,0.906072,0.906072,-1.28532,0.0155999,0.0155999,0,All,#4682B4,0
9,12,-1.8256,0.347764,0.347764,-1.89034,1.18486,1.18486,-1.38772,1.07212,1.07212,-1.8256,0.271703,0.271703,0,All,#4682B4,0
9,13,-2.25822,0.680109,0.680109,-2.14917,1.26705,1.26705,-1.68818,1.19187,1.19187,-2.25822,0.741319,0.741319,0,All,#4682B4,0
9,14,-2.63939,0.921856,0.921856,-2.39338,1.38054,1.38054,-1.95812,1.33482,1.33482,-2.63939,0.981605,0.981605,0,All,#4682B4,0
10,-1,-7,1.29439,0.048632,-7,1.43675,-0.00717305,-7,1.43675,0.446093,-7,1.30284,0.0272283,1,All,#4682B4,0
10,0,-7,1.49072,1.49072,-7,1.46741,1.46741,-7,1.46741,1.46741,-7,1.54646,1.54646,0,All,#4682B4,0
10,1,-7,1.24546,-1.96116,-7,1.43675,0.971293,-7,1.43675,-1.53315,-7,1.18858,-1.84438,1,All,#4682B4,0
10,2,-1.46233,0.657137,0.657137,1.63246,-1.1987,-1.1987,1.48713,-1.16844,-1.16844,-1.46233,0.53625,0.53625,0,All,#4682B4,0
10,3,1.4853,0.721823,0.721823,2.712,-0.100741,-0.100741,2.68547,-0.0886768,-0.0886768,1.4853,0.894742,0.894742,0,All,#4682B4,0
10,4,2.32409,0.274587,0.274587,2.32147,-0.0621206,-0.0621206,2.35807,-0.0809708,-0.0809708,2.32409,0.2112,0.2112,0,All,#4682B4,0
10,5,2.36195,0.12765,0.12765,1.7161,0.0434761,0.0434761,1.7827,-0.00137379,-0.00137379,2.36195,0.0257874,0.0257874,0,All,#4682B4,0
10,6,2.09102,0.0342938,0.0342938,1.11662,0.350549,0.350549,1.20449,0.260158,0.260158,2.09102,-0.0985587,-0.0985587,0,All,#4682B4,0
10,7,1.69343,-0.00907261,-0.00907261,0.599544,0.717719,0.717719,0.697302,0.557338,0.557338,1.69343,-0.150545,-0.150545,0,All,#4682B4,0
10,8,1.09248,-0.0580415,-0.0580415,0.229829,0.983157,0.983157,0.321766,0.757088,0.757088,1.09248,-0.0894958,-0.0894958,0,All,#4682B4,0
10,9,0.29198,-0.260088,-0.260088,0.0191631,-0.06394,-0.06394,0.0998382,-0.215022,-0.215022,0.29198,-0.520129,-0.520129,0,All,#4682B4,0
10,10,-0.56737,-0.024251,-0.024251,-0.26965,0.388625,0.388625,-0.17966,0.265733,0.265733,-0.56737,-0.205045,-0.205045,0,All,#4682B4,0
10,11,-1.28532,0.0418211,-0.601835,-0.686943,0.435278,-1.37904,-0.58308,0.339811,-0.457702,-1.28532,-0.24193,-0.924659,1,All,#4682B4,0
10,12,-1.8256,0.167046,-0.864409,-1.14764,0.733108,0.139091,-1.03659,0.675326,-1.17251,-1.8256,0.0643213,-1.16412,1,All,#4682B4,0
10,13,-2.25822,0.473442,-0.871793,-1.60474,0.9137,-1.4062,-1.48712,0.874266,-1.0417,-2.25822,0.419934,-1.07026,1,All,#4682B4,0
10,14,-2.63939,0.641752,-0.952731,-2.04945,1.03291,0.694296,-1.92374,1.00322,-0.0485434,-2.63939,0.69842,-1.07927,1,All,#4682B4,0
11,-1,-7,1.46163,1.46163,-7,1.51194,1.51194,-7,1.51194,1.51194,-7,1.3768,1.3768,0,All,#4682B4,0
11,0,-7,1.53016,1.53016,-7,1.49096,1.49096,-7,1.49096,1.49096,-7,1.53687,1.53687,0,All,#4682B4,0
11,1,-7,1.37233,0.222677,-7,1.43675,0.446093,-7,1.43675,-2.08212,-7,1.34641,0.198043,1,All,#4682B4,0
11,2,-1.46233,0.640253,0.640253,-0.195599,-0.168385,-0.168385,-0.336966,0.0689525,0.0689525,-1.46233,0.58682,0.58682,0,All,#4682B4,0
11,3,1.4853,0.0991877,0.0991877,1.93301,-1.09725,-1.09725,1.89795,-1.08974,-1.08974,1.4853,-0.172873,-0.172873,0,All,#4682B4,0
11,4,2.32409,-0.0231456,-0.0231456,2.39339,-0.675544,-0.675544,2.38257,-0.672129,-0.672129,2.32409,-0.125447,-0.125447,0,All,#4682B4,0
11,5,2.36195,0.03441,0.03441,2.38956,-0.407214,-0.407214,2.40186,-0.412114,-0.412114,2.36195,-0.107007,-0.107007,0,All,#4682B4,0
11,6,2.09102,0.247605,0.247605,2.2127,-0.0508952,-0.0508952,2.26421,-0.0784365,-0.0784365,2.09102,0.234628,0.234628,0,All,#4682B4,0
11,7,1.69343,0.82643,0.82643,1.82322,0.82731,0.82731,1.9611,0.700775,0.700775,1.69343,0.96525,0.96525,0,All,#4682B4,0
11,8,1.09248,0.0543698,0.0543698,1.07293,0.156018,0.156018,1.39002,-0.11321,-0.11321,1.09248,0.10395,0.10395,0,All,#4682B4,0
11,9,0.29198,0.160203,0.160203,-0.271406,1.96441,1.96441,0.353841,0.879594,0.879594,0.29198,0.233971,0.233971,0,All,#4682B4,0
11,10,-0.56737,-0.310354,-0.310354,-1.77952,1.03426,1.03426,-1.18868,0.842401,0.842401,-0.56737,-0.443829,-0.443829,0,All,#4682B4,0
11,11,-1.28532,0.00217002,0.00217002,-2.59417,1.16836,1.16836,-2.20932,1.10382,1.10382,-1.28532,-0.151208,-0.151208,0,All,#4682B4,0
11,12,-1.8256,0.136759,-1.07266,-3.11239,1.20677,-1.53315,-2.75736,1.1604,-1.26979,-1.8256,0.0262231,-1.25869,1,All,#4682B4,0
11,13,-2.25822,0.382524,-0.881912,-3.55242,1.25364,0.304385,-3.16825,1.2133,-1.39822,-2.25822,0.316184,-1.04698,1,All,#4682B4,0
11,14,-2.63939,0.644069,-0.580809,-3.98011,1.29084,-1.17251,-3.55697,1.25407,0.357606,-2.63939,0.575729,-0.703837,1,All,#4682B4,0
12,-1,-7,1.5106,1.5106,-7,1.44438,1.44438,-7,1.44438,1.44438,-7,1.47373,1.47373,0,All,#4682B4,0
12,0,-7,1.40387,1.40387,-7,1.45164,1.45164,-7,1.45164,1.45164,-7,1.44793,1.44793,0,All,#4682B4,0
12,1,-7,1.25497,-0.232417,-7,1.43675,-2.08212,-7,1.43675,-1.78027,-7,1.23434,-0.226787,1,All,#4682B4,0
12,2,-1.46233,0.624111,0.558648,-7,1.43675,-1.26979,-7,1.43675,0.255332,-1.46233,0.477332,0.33554,1,All,#4682B4,0
12,3,1.4853,0.0389554,-0.202548,-7,1.43675,-1.39822,-7,1.43675,0.672197,1.4853,-0.284947,-0.660446,1,All,#4682B4,0
12,4,2.32409,-0.523206,-0.611417,-7,1.43675,0.386684,-7,1.43675,-0.522658,2.32409,-0.921239,-1.03196,1,All,#4682B4,0
12,5,2.36195,-0.750871,-1.2565,1.93031,-1.38934,-2.0394,1.78676,-1.37374,-1.89606,2.36195,-1.18139,-1.62894,1,All,#4682B4,0
12,6,2.09102,-0.871788,-1.45187,2.664,-1.44861,-1.5855,2.67969,-1.4496,-1.48525,2.09102,-1.17778,-1.75814,1,All,#4682B4,0
12,7,1.69343,-0.377689,-0.377689,2.37831,-0.870538,-0.870538,2.41496,-0.879728,-0.879728,1.69343,-0.473996,-0.473996,0,All,#4682B4,0
12,8,1.09248,0.803921,0.803921,1.84125,0.368962,0.368962,1.87823,0.340393,0.340393,1.09248,0.921536,0.921536,0,All,#4682B4,0
12,9,0.29198,0.961105,0.961105,1.16793,1.05213,1.05213,1.20481,1.00101,1.00101,0.29198,1.12932,1.12932,0,All,#4682B4,0
12,10,-0.56737,0.735254,0.735254,0.409428,1.47575,1.47575,0.440704,1.39361,1.39361,-0.56737,0.813611,0.813611,0,All,#4682B4,0
12,11,-1.28532,0.707375,0.707375,-0.281104,2.19709,2.19709,-0.27756,2.19892,2.19892,-1.28532,0.995403,0.995403,0,All,#4682B4,0
12,12,-1.8256,0.170498,-1.97308,-0.728398,0.46965,-0.939696,-0.75879,0.493654,0.10535,-1.8256,0.0875909,-1.6152,1,All,#4682B4,0
12,13,-2.25822,0.453278,-1.59684,-0.959751,0.630964,-0.620399,-1.00843,0.659518,-0.725853,-2.25822,0.384859,-1.48152,1,All,#4682B4,0
12,14,-2.63939,0.600567,0.182437,-1.0873,0.702578,-0.633053,-1.14303,0.730846,0.606308,-2.63939,0.546961,0.113415,1,All,#4682B4,0
13,-1,-7,1.44682,0.472679,-7,1.43675,-1.78027,-7,1.43675,-0.154006,-7,1.38045,0.497855,1,All,#4682B4,0
13,0,-7,1.44047,1.44047,-7,1.44988,1.44988,-7,1.44988,1.44988,-7,1.43907,1.43907,0,All,#4682B4,0
13,1,-7,1.26826,-1.67474,-3.36574,1.23498,0.607512,-3.28792,1.22669,0.701331,-7,1.25867,-1.58909,1,All,#4682B4,0
13,2,-1.46233,0.68055,0.28623,-0.807482,0.530165,-0.522658,-0.658806,0.410801,0.0688705,-1.46233,0.49229,0.05735,1,All,#4682B4,0
13,3,1.4853,-0.0112213,-0.233848,1.05806,-1.25648,-1.80502,1.23542,-1.29293,-1.73223,1.4853,-0.344467,-0.686964,1,All,#4682B4,0
13,4,2.32409,-0.0593376,-0.0593376,2.25334,-0.667729,-0.667729,2.35981,-0.701832,-0.701832,2.32409,-0.278633,-0.278633,0,All,#4682B4,0
13,5,2.36195,-0.182976,-0.182976,2.13131,-0.543913,-0.543913,2.07315,-0.52085,-0.52085,2.36195,-0.269946,-0.269946,0,All,#4682B4,0
13,6,2.09102,0.0368608,0.0368608,1.42525,0.157169,0.157169,1.34317,0.228462,0.228462,2.09102,-0.0529612,-0.0529612,0,All,#4682B4,0
13,7,1.69343,-0.216543,-0.216543,0.884774,0.066433,0.066433,0.819816,0.137855,0.137855,1.69343,-0.288744,-0.288744,0,All,#4682B4,0
13,8,1.09248,0.236518,0.236518,0.597497,1.05595,1.05595,0.572613,1.10694,1.10694,1.09248,0.299483,0.299483,0,All,#4682B4,0
13,9,0.29198,0.237175,0.237175,0.520331,0.767558,0.767558,0.529972,0.749308,0.749308,0.29198,0.390611,0.390611,0,All,#4682B4,0
13,10,-0.56737,0.153686,0.153686,0.595455,-0.135322,-0.135322,0.633372,-0.177101,-0.177101,-0.56737,0.178939,0.178939,0,All,#4682B4,0
13,11,-1.28532,-0.00293642,-1.09005,0.768872,-1.17887,-1.2188,0.828723,-1.19726,-2.45063,-1.28532,-0.197241,-1.35692,1,All,#4682B4,0
13,12,-1.8256,0.787754,0.787754,0.804574,-0.00233488,-0.00233488,0.878145,-0.0772424,-0.0772424,-1.8256,1.01451,1.01451,0,All,#4682B4,0
13,13,-2.25822,1.38741,1.38741,0.404971,1.47061,1.47061,0.517384,1.19363,1.19363,-2.25822,1.81422,1.81422,0,All,#4682B4,0
13,14,-2.63939,1.05669,1.05669,-0.323819,1.31628,1.31628,-0.153143,1.25067,1.25067,-2.63939,1.35027,1.35027,0,All,#4682B4,0
14,-1,-7,1.44727,-2.12716,-7,1.43675,-0.154006,-7,1.43675,1.03301,-7,1.41159,-2.23131,1,All,#4682B4,0
14,0,-7,1.50351,1.50351,-7,1.46906,1.46906,-7,1.46906,1.46906,-7,1.45882,1.45882,0,All,#4682B4,0
14,1,-7,1.32788,1.32788,-7,1.43853,1.43853,-7,1.43853,1.43853,-7,1.35734,1.35734,0,All,#4682B4,0
14,2,-1.46233,0.617425,-0.0404185,-0.0315862,-0.589228,-1.52342,-0.439454,0.180451,-0.892273,-1.46233,0.471474,-0.345264,1,All,#4682B4,0
14,3,1.4853,0.109882,0.109882,2.75519,-1.1384,-1.1384,2.6557,-1.12302,-1.12302,1.4853,-0.132806,-0.132806,0,All,#4682B4,0
14,4,2.32409,0.25212,0.25212,2.78865,-0.322266,-0.322266,2.80117,-0.326997,-0.326997,2.32409,0.24883,0.24883,0,All,#4682B4,0
14,5,2.36195,0.448447,0.448447,2.37749,0.228302,0.228302,2.42026,0.2028,0.2028,2.36195,0.473397,0.473397,0,All,#4682B4,0
14,6,2.09102,0.314319,0.314319,1.79622,0.290852,0.290852,1.88274,0.226686,0.226686,2.09102,0.299289,0.299289,0,All,#4682B4,0
14,7,1.69343,0.112293,0.112293,1.02866,0.516282,0.516282,1.1833,0.342246,0.342246,1.69343,0.0938445,0.0938445,0,All,#4682B4,0
14,8,1.09248,0.18662,0.18662,0.1106,2.32794,2.32794,0.342711,1.48382,1.48382,1.09248,0.317921,0.317921,0,All,#4682B4,0
14,9,0.29198,0.179184,0.179184,-0.716897,1.77658,1.77658,-0.466454,1.79934,1.79934,0.29198,0.213597,0.213597,0,All,#4682B4,0
14,10,-0.56737,0.270272,0.270272,-1.23932,1.59655,1.59655,-1.01399,1.58776,1.58776,-0.56737,0.427439,0.427439,0,All,#4682B4,0
14,11,-1.28532,-0.0737198,-1.69716,-1.53504,0.890823,0.123858,-1.3267,0.813301,-1.69156,-1.28532,-0.202023,-1.78643,1,All,#4682B4,0
14,12,-1.8256,0.194683,-0.343979,-1.73991,0.954429,-0.807093,-1.52712,0.888133,0.55993,-1.8256,0.103796,-0.550986,1,All,#4682B4,0
14,13,-2.25822,0.39387,-1.60083,-1.92495,1.00352,-2.21109,-1.69058,0.940087,-0.169749,-2.25822,0.327831,-1.57949,1,All,#4682B4,0
14,14,-2.63939,0.639807,-0.264793,-2.11191,1.04669,-0.420169,-1.85854,0.986701,0.119927,-2.63939,0.638218,-0.43033,1,All,#4682B4,0
15,-1,-7,1.43815,-1.67475,-7,1.43675,1.03301,-7,1.43675,-0.85278,-7,1.47501,-1.65672,1,All,#4682B4,0
15,0,-7,1.54387,0.341056,-7,1.43675,-0.892273,-7,1.43675,0.790566,-7,1.51803,0.372244,1,All,#4682B4,0
15,1,-7,1.50542,1.50542,-7,1.43755,1.43755,-7,1.43755,1.43755,-7,1.81035,1.81035,0,All,#4682B4,0
15,2,-1.46233,0.586469,0.182942,-7,1.43675,-1.69156,-7,1.43675,0.24486,-1.46233,0.438565,-0.118152,1,All,#4682B4,0
15,3,1.4853,-0.0194045,-0.204932,-0.47209,0.219937,-1.30362,-0.826455,0.543783,-0.0793565,1.4853,-0.440317,-0.700313,1,All,#4682B4,0
15,4,2.32409,-0.425574,-0.44732,1.46635,-1.33166,-1.42257,1.43001,-1.32611,-2.11712,2.32409,-0.791331,-0.839079,1,All,#4682B4,0
15,5,2.36195,-0.804748,-0.804748,2.11727,-1.32477,-1.32477,2.1996,-1.33427,-1.33427,2.36195,-1.14941,-1.14941,0,All,#4682B4,0
15,6,2.09102,0.378914,0.378914,1.95777,0.308266,0.308266,2.03363,0.254578,0.254578,2.09102,0.464248,0.464248,0,All,#4682B4,0
15,7,1.69343,1.02362,1.02362,1.51147,1.37495,1.37495,1.53922,1.33818,1.33818,1.69343,1.13383,1.13383,0,All,#4682B4,0
15,8,1.09248,0.0759995,0.0759995,1.13494,0.0961678,0.0961678,1.13811,0.0932146,0.0932146,1.09248,0.15011,0.15011,0,All,#4682B4,0
15,9,0.29198,0.28661,0.28661,0.913598,0.301459,0.301459,0.933509,0.278268,0.278268,0.29198,0.397752,0.397752,0,All,#4682B4,0
15,10,-0.56737,-0.298045,-0.298045,0.828041,-1.0017,-1.0017,0.876273,-1.02132,-1.02132,-0.56737,-0.42915,-0.42915,0,All,#4682B4,0
15,11,-1.28532,-0.0683941,-0.518186,0.83053,-1.19779,-1.31039,0.909547,-1.21999,-1.43523,-1.28532,-0.217431,-0.740648,1,All,#4682B4,0
15,12,-1.8256,0.73994,0.73994,0.586417,0.203215,0.203215,0.730314,0.0222174,0.0222174,-1.8256,0.853233,0.853233,0,All,#4682B4,0
15,13,-2.25822,0.521787,0.521787,-0.74068,0.650308,0.650308,-0.539502,0.492577,0.492577,-2.25822,0.471136,0.471136,0,All,#4682B4,0
15,14,-2.63939,0.666936,-1.06807,-2.44139,1.11047,-0.644554,-2.21467,1.0681,-2.59108,-2.63939,0.652932,-1.09494,1,All,#4682B4,0
16,-1,-7,1.40092,-0.160908,-7,1.43675,-0.85278,-7,1.43675,-1.55345,-7,1.52469,-0.177767,1,All,#4682B4,0
16,0,-7,1.35127,1.35127,-7,1.43755,1.43755,-7,1.43755,1.43755,-7,1.39712,1.39712,0,All,#4682B4,0
16,1,-7,1.36736,1.36736,-7,1.43755,1.43755,-7,1.43755,1.43755,-7,1.36726,1.36726,0,All,#4682B4,0
16,2,-1.46233,0.686768,0.032335,-1.89533,0.996125,0.601618,-1.88494,0.993491,-0.303933,-1.46233,0.682128,-0.231178,1,All,#4682B4,0
16,3,1.4853,0.200649,0.200649,-0.0188553,1.02395,1.02395,-0.0741957,1.06675,1.06675,1.4853,0.00243211,0.00243211,0,All,#4682B4,0
