rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
10,7,4.5,5.63427,-0.435413,-0.435413,0,All,#4682B4,0
1,7,5,5.45669,0.248184,0.248184,0,All,#4682B4,0
2,7,5,6.26016,-0.65285,-0.65285,0,All,#4682B4,0
3,7,5,6.19469,-0.579423,-0.579423,0,All,#4682B4,0
4,7,5,5.71206,-0.0381905,-0.0381905,0,All,#4682B4,0
5,7,5,5.76496,-0.0975148,-0.0975148,0,All,#4682B4,0
6,7,5,6.53476,-0.960783,-0.960783,0,All,#4682B4,0
7,7,5,5.90573,-0.255378,-0.255378,0,All,#4682B4,0
8,7,5,6.15087,-0.530285,-0.530285,0,All,#4682B4,0
9,7,5,6.395,-0.804058,-0.804058,0,All,#4682B4,0
10,7,5,6.3628,-0.767948,-0.767948,0,All,#4682B4,0
1,7,5.5,6.85967,0.544259,0.544259,0,All,#4682B4,0
2,7,5.5,7.16838,0.198068,0.198068,0,All,#4682B4,0
3,7,5.5,6.85927,0.54471,0.54471,0,All,#4682B4,0
4,7,5.5,6.61474,0.818923,0.818923,0,All,#4682B4,0
5,7,5.5,6.82055,0.588131,0.588131,0,All,#4682B4,0
6,7,5.5,7.94825,-0.676498,-0.676498,0,All,#4682B4,0
7,7,5.5,6.8043,0.606355,0.606355,0,All,#4682B4,0
8,7,5.5,6.86508,0.53819,0.53819,0,All,#4682B4,0
9,7,5.5,7.09575,0.279513,0.279513,0,All,#4682B4,0
10,7,5.5,7.03567,0.346885,0.346885,0,All,#4682B4,0
1,7,6,8.33644,0.197997,0.197997,0,All,#4682B4,0
2,7,6,7.87276,0.717984,0.717984,0,All,#4682B4,0
3,7,6,7.36574,1.28656,1.28656,0,All,#4682B4,0
4,7,6,7.47248,1.16686,1.16686,0,All,#4682B4,0
5,7,6,7.78788,0.813163,0.813163,0,All,#4682B4,0
6,7,6,7.93378,0.649546,0.649546,0,All,#4682B4,0
7,7,6,7.49126,1.1458,1.1458,0,All,#4682B4,0
8,7,6,7.4271,1.21775,1.21775,0,All,#4682B4,0
9,7,6,7.57853,1.04793,1.04793,0,All,#4682B4,0
10,7,6,7.55633,1.07283,1.07283,0,All,#4682B4,0
1,7,6.5,8.41655,-0.65553,-0.65553,0,All,#4682B4,0
2,7,6.5,7.99569,-0.183571,-0.183571,0,All,#4682B4,0
3,7,6.5,7.53385,0.334348,0.334348,0,All,#4682B4,0
4,7,6.5,7.86411,-0.0360102,-0.0360102,0,All,#4682B4,0
5,7,6.5,8.02861,-0.220487,-0.220487,0,All,#4682B4,0
6,7,6.5,7.45922,0.418044,0.418044,0,All,#4682B4,0
7,7,6.5,7.57834,0.284461,0.284461,0,All,#4682B4,0
8,7,6.5,7.67695,0.173873,0.173873,0,All,#4682B4,0
9,7,6.5,7.70553,0.141829,0.141829,0,All,#4682B4,0
10,7,6.5,7.77183,0.0674748,0.0674748,0,All,#4682B4,0
1,7,7,8.07519,-1.25956,-1.25956,0,All,#4682B4,0
2,7,7,7.72978,-0.872216,-0.872216,0,All,#4682B4,0
3,7,7,7.39302,-0.494572,-0.494572,0,All,#4682B4,0
4,7,7,7.70867,-0.848545,-0.848545,0,All,#4682B4,0
5,7,7,7.83477,-0.989954,-0.989954,0,All,#4682B4,0
6,7,7,7.12556,-0.19463,-0.19463,0,All,#4682B4,0
7,7,7,7.35113,-0.447594,-0.447594,0,All,#4682B4,0
8,7,7,7.58441,-0.709193,-0.709193,0,All,#4682B4,0
9,7,7,7.59576,-0.721924,-0.721924,0,All,#4682B4,0
10,7,7,7.69469,-0.832863,-0.832863,0,All,#4682B4,0
