rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
1,7,-1,-7,1.46741,1.46741,0,All,#4682B4,0
2,7,-1,-7,1.46741,1.46741,0,All,#4682B4,0
3,7,-1,-7,1.46741,1.46741,0,All,#4682B4,0
4,7,-1,-7,1.46741,1.46741,0,All,#4682B4,0
5,7,-1,-7,1.46741,1.46741,0,All,#4682B4,0
6,7,-1,-7,1.46741,1.46741,0,All,#4682B4,0
7,7,-1,-7,1.46741,1.46741,0,All,#4682B4,0
8,7,-1,-7,1.46741,1.46741,0,All,#4682B4,0
9,7,-1,-7,1.46741,1.46741,0,All,#4682B4,0
10,7,-1,-7,1.46741,1.46741,0,All,#4682B4,0
1,7,0,-7,1.43675,0.851171,1,All,#4682B4,0
2,7,0,-7,1.43675,0.719265,1,All,#4682B4,0
3,7,0,-7,1.43675,-0.116038,1,All,#4682B4,0
4,7,0,-7,1.43675,0.653689,1,All,#4682B4,0
5,7,0,-7,1.43675,-1.07444,1,All,#4682B4,0
6,7,0,-7,1.43675,0.110075,1,All,#4682B4,0
7,7,0,-7,1.43675,0.493231,1,All,#4682B4,0
8,7,0,-7,1.43675,-0.82938,1,All,#4682B4,0
9,7,0,-7,1.43675,-0.683572,1,All,#4682B4,0
10,7,0,-7,1.43675,0.485322,1,All,#4682B4,0
1,7,1,-4.8504,1.45623,1.45623,0,All,#4682B4,0
2,7,1,-7,1.51425,1.51425,0,All,#4682B4,0
3,7,1,-4.14607,1.42615,1.42615,0,All,#4682B4,0
4,7,1,-4.57844,1.44556,1.44556,0,All,#4682B4,0
5,7,1,-7,1.51425,1.51425,0,All,#4682B4,0
6,7,1,-4.43406,1.43944,1.43944,0,All,#4682B4,0
7,7,1,-3.5799,1.39489,1.39489,0,All,#4682B4,0
8,7,1,-7,1.51425,1.51425,0,All,#4682B4,0
9,7,1,-7,1.51425,1.51425,0,All,#4682B4,0
10,7,1,-7,1.51425,1.51425,0,All,#4682B4,0
1,7,2,-4.02722,1.30089,1.30089,0,All,#4682B4,0
2,7,2,-3.63339,1.26816,1.26816,0,All,#4682B4,0
3,7,2,-2.76015,1.16945,1.16945,0,All,#4682B4,0
4,7,2,-3.39561,1.2454,1.2454,0,All,#4682B4,0
5,7,2,-3.61345,1.26635,1.26635,0,All,#4682B4,0
6,7,2,-3.65734,1.27032,1.27032,0,All,#4682B4,0
7,7,2,-2.6328,1.15081,1.15081,0,All,#4682B4,0
8,7,2,-4.97892,1.36141,1.36141,0,All,#4682B4,0
9,7,2,-3.28215,1.23359,1.23359,0,All,#4682B4,0
10,7,2,-3.42362,1.24822,1.24822,0,All,#4682B4,0
1,7,3,-3.14215,1.21027,-1.15663,1,All,#4682B4,0
2,7,3,-2.19032,1.06316,-0.0450284,1,All,#4682B4,0
3,7,3,-1.40633,0.844692,0.022634,1,All,#4682B4,0
4,7,3,-2.21443,1.06805,-1.09262,1,All,#4682B4,0
5,7,3,-2.44331,1.11081,-1.14981,1,All,#4682B4,0
6,7,3,-2.55436,1.12942,0.248103,1,All,#4682B4,0
7,7,3,-1.55891,0.898813,-0.329608,1,All,#4682B4,0
8,7,3,-2.47961,1.11703,-0.43884,1,All,#4682B4,0
9,7,3,-1.62686,0.920682,0.279275,1,All,#4682B4,0
10,7,3,-1.7398,0.954397,-0.855222,1,All,#4682B4,0
1,7,4,-1.85449,1.31453,1.31453,0,All,#4682B4,0
2,7,4,-0.595317,0.987289,0.987289,0,All,#4682B4,0
3,7,4,-0.022547,0.487909,0.487909,0,All,#4682B4,0
4,7,4,-0.831982,1.08841,1.08841,0,All,#4682B4,0
5,7,4,-0.998044,1.14307,1.14307,0,All,#4682B4,0
6,7,4,-0.93788,1.12451,1.12451,0,All,#4682B4,0
7,7,4,-0.248208,0.752704,0.752704,0,All,#4682B4,0
8,7,4,-0.605394,0.992312,0.992312,0,All,#4682B4,0
9,7,4,-0.0170527,0.479533,0.479533,0,All,#4682B4,0
10,7,4,-0.158147,0.662711,0.662711,0,All,#4682B4,0
1,7,5,0.13919,-0.0182559,-0.0182559,0,All,#4682B4,0
2,7,5,1.16856,-0.899605,-0.899605,0,All,#4682B4,0
3,7,5,1.37683,-0.974422,-0.974422,0,All,#4682B4,0
4,7,5,0.799613,-0.717874,-0.717874,0,All,#4682B4,0
5,7,5,0.822872,-0.73184,-0.73184,0,All,#4682B4,0
6,7,5,1.59317,-1.03809,-1.03809,0,All,#4682B4,0
7,7,5,1.37601,-0.974155,-0.974155,0,All,#4682B4,0
8,7,5,1.01725,-0.834226,-0.834226,0,All,#4682B4,0
9,7,5,1.53191,-1.02128,-1.02128,0,All,#4682B4,0
10,7,5,1.31877,-0.955076,-0.955076,0,All,#4682B4,0
1,7,6,2.96548,-1.15219,-1.15219,0,All,#4682B4,0
2,7,6,2.70949,-1.11427,-1.11427,0,All,#4682B4,0
3,7,6,2.49407,-1.07772,-1.07772,0,All,#4682B4,0
4,7,6,2.53665,-1.08532,-1.08532,0,All,#4682B4,0
5,7,6,2.80069,-1.12841,-1.12841,0,All,#4682B4,0
6,7,6,2.65907,-1.10613,-1.10613,0,All,#4682B4,0
7,7,6,2.88626,-1.14103,-1.14103,0,All,#4682B4,0
8,7,6,2.24325,-1.02855,-1.02855,0,All,#4682B4,0
9,7,6,2.64409,-1.10366,-1.10366,0,All,#4682B4,0
10,7,6,2.46105,-1.07168,-1.07168,0,All,#4682B4,0
1,7,7,2.49068,-0.493409,-0.493409,0,All,#4682B4,0
2,7,7,2.41225,-0.464387,-0.464387,0,All,#4682B4,0
3,7,7,2.40725,-0.462489,-0.462489,0,All,#4682B4,0
4,7,7,2.58786,-0.527478,-0.527478,0,All,#4682B4,0
5,7,7,2.68279,-0.558903,-0.558903,0,All,#4682B4,0
6,7,7,1.89859,-0.231909,-0.231909,0,All,#4682B4,0
7,7,7,2.61749,-0.537476,-0.537476,0,All,#4682B4,0
8,7,7,2.2776,-0.411063,-0.411063,0,All,#4682B4,0
9,7,7,2.56691,-0.520305,-0.520305,0,All,#4682B4,0
10,7,7,2.49249,-0.494062,-0.494062,0,All,#4682B4,0
1,7,8,1.99522,0.346383,0.346383,0,All,#4682B4,0
2,7,8,1.81289,0.489221,0.489221,0,All,#4682B4,0
3,7,8,1.93765,0.389398,0.389398,0,All,#4682B4,0
4,7,8,2.00326,0.340521,0.340521,0,All,#4682B4,0
5,7,8,2.43539,0.0688395,0.0688395,0,All,#4682B4,0
6,7,8,1.689,0.598428,0.598428,0,All,#4682B4,0
7,7,8,2.24424,0.179361,0.179361,0,All,#4682B4,0
8,7,8,1.77625,0.520407,0.520407,0,All,#4682B4,0
9,7,8,2.09112,0.278602,0.278602,0,All,#4682B4,0
10,7,8,2.0475,0.308857,0.308857,0,All,#4682B4,0
1,7,9,1.63928,-0.633147,-0.633147,0,All,#4682B4,0
2,7,9,1.52409,-0.580976,-0.580976,0,All,#4682B4,0
3,7,9,1.71403,-0.6644,-0.6644,0,All,#4682B4,0
4,7,9,1.65217,-0.638674,-0.638674,0,All,#4682B4,0
5,7,9,2.12947,-0.808572,-0.808572,0,All,#4682B4,0
6,7,9,1.67629,-0.64886,-0.64886,0,All,#4682B4,0
7,7,9,2.0837,-0.794756,-0.794756,0,All,#4682B4,0
8,7,9,1.5262,-0.581982,-0.581982,0,All,#4682B4,0
9,7,9,1.60958,-0.620183,-0.620183,0,All,#4682B4,0
10,7,9,1.67405,-0.647924,-0.647924,0,All,#4682B4,0
1,7,10,1.30611,0.0196769,0.0196769,0,All,#4682B4,0
2,7,10,1.22535,0.0883797,0.0883797,0,All,#4682B4,0
3,7,10,1.62927,-0.208702,-0.208702,0,All,#4682B4,0
4,7,10,1.30371,0.0216353,0.0216353,0,All,#4682B4,0
5,7,10,1.62911,-0.208602,-0.208602,0,All,#4682B4,0
6,7,10,1.56789,-0.170213,-0.170213,0,All,#4682B4,0
7,7,10,1.81552,-0.314245,-0.314245,0,All,#4682B4,0
8,7,10,1.51042,-0.132285,-0.132285,0,All,#4682B4,0
9,7,10,1.17587,0.133323,0.133323,0,All,#4682B4,0
