time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
-1,0.427725,-1,0.351684,-1,0.342406,-7,0.559548,-7,0.707798,-7,0.583248,All
-0.848485,0.449967,-0.848485,0.373513,-0.848485,0.365917,-6.90543,0.551246,-6.901,0.70435,-6.90543,0.573839,All
-0.69697,0.472209,-0.69697,0.395341,-0.69697,0.389428,-6.81087,0.542943,-6.802,0.700902,-6.81087,0.564431,All
-0.545455,0.49445,-0.545455,0.41717,-0.545455,0.412939,-6.7163,0.534641,-6.70299,0.697454,-6.7163,0.555023,All
-0.393939,0.516692,-0.393939,0.438999,-0.393939,0.43645,-6.62174,0.526338,-6.60399,0.694005,-6.62174,0.545614,All
-0.242424,0.538934,-0.242424,0.460828,-0.242424,0.459961,-6.52717,0.518035,-6.50499,0.690557,-6.52717,0.536206,All
-0.0909091,0.561175,-0.0909091,0.482656,-0.0909091,0.483472,-6.43261,0.509733,-6.40599,0.687109,-6.43261,0.526798,All
0.0606061,0.563865,0.0606061,0.481589,0.0606061,0.488347,-6.33804,0.50143,-6.30699,0.683661,-6.33804,0.517389,All
0.212121,0.537226,0.212121,0.446179,0.212121,0.465267,-6.24348,0.493128,-6.20799,0.680212,-6.24348,0.507981,All
0.363636,0.510587,0.363636,0.410769,0.363636,0.442188,-6.14891,0.484825,-6.10898,0.676764,-6.14891,0.498573,All
0.515152,0.483948,0.515152,0.375359,0.515152,0.419108,-6.05435,0.476522,-6.00998,0.673316,-6.05435,0.489164,All
0.666667,0.457308,0.666667,0.339948,0.666667,0.396028,-5.95978,0.46822,-5.91098,0.669868,-5.95978,0.479756,All
0.818182,0.430669,0.818182,0.304538,0.818182,0.372949,-5.86522,0.459917,-5.81198,0.66642,-5.86522,0.470348,All
0.969697,0.40403,0.969697,0.269128,0.969697,0.349869,-5.77065,0.451614,-5.71298,0.662971,-5.77065,0.460939,All
1.12121,0.392591,1.12121,0.253103,1.12121,0.331576,-5.67609,0.443312,-5.61398,0.659523,-5.67609,0.451531,All
1.27273,0.384952,1.27273,0.241924,1.27273,0.314481,-5.58152,0.435009,-5.51497,0.656075,-5.58152,0.442123,All
1.42424,0.377313,1.42424,0.230746,1.42424,0.297385,-5.48696,0.426707,-5.41597,0.652627,-5.48696,0.432714,All
1.57576,0.369674,1.57576,0.219567,1.57576,0.280289,-5.39239,0.418404,-5.31697,0.649178,-5.39239,0.423306,All
1.72727,0.362034,1.72727,0.208388,1.72727,0.263193,-5.29783,0.410101,-5.21797,0.64573,-5.29783,0.413898,All
1.87879,0.354395,1.87879,0.19721,1.87879,0.246097,-5.20326,0.401799,-5.11897,0.642282,-5.20326,0.404489,All
2.0303,0.345121,2.0303,0.18469,2.0303,0.228854,-5.1087,0.393496,-5.01997,0.638834,-5.1087,0.395081,All
2.18182,0.32931,2.18182,0.166808,2.18182,0.211018,-5.01413,0.385194,-4.92096,0.635385,-5.01413,0.385673,All
2.33333,0.313499,2.33333,0.148926,2.33333,0.193181,-4.91957,0.376891,-4.82196,0.631937,-4.91957,0.376264,All
2.48485,0.297687,2.48485,0.131044,2.48485,0.175345,-4.825,0.368588,-4.72296,0.628489,-4.825,0.366856,All
2.63636,0.281876,2.63636,0.113162,2.63636,0.157509,-4.73044,0.360286,-4.62396,0.625041,-4.73044,0.357448,All
2.78788,0.266064,2.78788,0.0952795,2.78788,0.139673,-4.63587,0.351983,-4.52496,0.621592,-4.63587,0.348039,All
2.93939,0.250253,2.93939,0.0773973,2.93939,0.121837,-4.5413,0.34368,-4.42595,0.618144,-4.5413,0.338631,All
3.09091,0.235859,3.09091,0.0640275,3.09091,0.108287,-4.44674,0.335378,-4.32695,0.597964,-4.44674,0.329223,All
3.24242,0.22241,3.24242,0.0536661,3.24242,0.0975943,-4.35217,0.327075,-4.22795,0.569338,-4.35217,0.319814,All
3.39394,0.208962,3.39394,0.0433046,3.39394,0.0869016,-4.25761,0.318773,-4.12895,0.540711,-4.25761,0.310406,All
3.54545,0.195513,3.54545,0.0329431,3.54545,0.0762089,-4.16304,0.31047,-4.02995,0.512085,-4.16304,0.300998,All
3.69697,0.182064,3.69697,0.0225817,3.69697,0.0655163,-4.06848,0.302167,-3.93095,0.483459,-4.06848,0.29159,All
3.84848,0.168616,3.84848,0.0122202,3.84848,0.0548236,-3.97391,0.293865,-3.83194,0.454833,-3.97391,0.282181,All
