rep,id,eta_beta_exp,eta_delta0,eta_p,eta_td,eta_b_exp,eta_h_0,eta_tc,eta_sigma,eta_phi_exp,eta_rho_exp,eta_dF,eta_q_exp,eta_ifn0
7,14,0.0807105,0.128743,0.120837,-0.344051,-0.48506,0.181866,1.67712,0.367468,0,0.128636,0,-0.188488,-0.45826
8,14,0.0238841,0.127946,0.587935,-0.122766,1.19979,-0.265616,1.54408,0.53271,0,-1.26342,0,-0.222378,0.0746253
9,14,0.393762,0.0890532,0.189162,-0.204457,-0.118832,0.101319,2.32126,0.639446,0,-0.055573,0,-0.135786,-0.316738
10,14,0.331212,0.528903,-0.0772744,-0.357331,-1.1178,0.310904,1.9645,0.387102,0,0.767769,0,-0.567124,-0.594808
1,15,0.409544,0.450525,-0.223733,0.148864,-0.838458,0.175219,2.43131,1.86957,0,1.357,0,0.212044,0.450115
2,15,0.591367,0.288034,-0.678352,0.153164,-0.689435,0.17275,1.81773,1.5583,0,1.66538,0,0.436778,0.507768
3,15,1.1616,0.242796,-0.938201,-0.0359381,-1.37137,0.270589,3.09071,1.80943,0,2.29436,0,0.539487,0.271372
4,15,0.440208,0.232031,-0.529365,0.181117,-0.497561,0.135101,1.19909,1.21409,0,1.29898,0,0.082463,0.294181
5,15,0.986209,0.219721,-0.640567,0.0593288,-1.18657,0.232911,2.38103,1.9203,0,2.24226,0,0.558628,0.496135
6,15,0.389783,0.304454,-0.610689,0.196641,-0.526528,0.172521,1.912,1.70438,0,1.63705,0,0.32692,0.216447
7,15,0.179673,0.0449751,-0.517451,0.0132134,-0.348031,0.122909,1.42571,1.51454,0,1.36278,0,0.204022,0.0557147
8,15,0.7231,0.565636,-0.520148,0.178011,-0.845475,0.188534,2.29075,1.88519,0,1.23475,0,0.155977,0.385078
9,15,0.82863,0.206352,-0.345481,0.281144,-0.55517,0.102491,1.49149,1.63912,0,1.19478,0,0.36468,0.600653
10,15,0.258386,0.250904,-0.221655,0.137043,-0.754867,0.15223,1.66896,1.8826,0,1.44032,0,0.212817,0.21937
1,16,0.0960329,0.161902,-0.109169,-0.315831,-1.3636,0.230878,0.865651,-0.573816,0,0.823133,0,-0.144263,-0.327514
2,16,0.000616514,0.274981,0.0481536,-0.00406497,-1.08904,0.150962,-0.0233737,-1.57738,0,0.317348,0,-0.223683,-0.0976081
3,16,0.978111,0.917636,-0.227207,-0.340584,-2.43317,0.350262,1.16824,-0.460878,0,1.05337,0,-0.882887,-0.321479
4,16,0.288492,0.412636,-0.168946,-0.114401,-0.904302,0.11498,0.137855,-0.273392,0,0.719709,0,-0.305616,-0.134512
5,16,0.549503,0.307935,-0.25992,-0.146653,-1.71642,0.246426,0.915106,-0.676653,0,0.990426,0,-0.20132,-0.0426269
6,16,0.298298,0.641848,0.118293,-0.179582,-1.85682,0.284295,1.06898,-0.290314,0,0.867656,0,-0.249127,-0.370622
7,16,-0.224673,0.748396,0.354998,0.0971431,-0.63187,0.0794375,-0.443887,-1.15294,0,-0.29661,0,-0.238752,-0.0656404
8,16,0.927066,0.453898,-0.558509,-0.0495949,-1.85477,0.304102,1.42723,0.0212136,0,1.3109,0,-0.0712537,0.103328
9,16,0.371062,0.647412,-0.15227,-0.249023,-2.01425,0.353202,2.79778,-0.0129371,0,1.17289,0,-0.170728,-0.44569
10,16,0.197705,-0.143812,-0.0721546,-0.489037,-1.56155,0.219047,-0.568309,-0.850944,0,0.909768,0,-0.126502,-0.270609
1,17,0.0221504,0.727333,0.306959,-0.0255526,-2.10451,0.384065,0.828155,-1.78607,0,-0.0640426,0,-0.675948,-0.0888714
2,17,-0.373574,0.111679,0.0013732,0.221361,-0.875229,0.254829,-1.24233,-1.14668,0,-0.0210624,0,-0.147506,0.185462
3,17,-0.246726,0.727058,0.105756,0.101695,-1.23119,0.2966,-1.44116,-1.55067,0,-0.013287,0,-0.52354,-0.417164
4,17,-0.766316,-0.298592,0.355348,0.309267,0.485754,-0.0189257,-3.13321,-1.27495,0,-0.749651,0,-0.131841,0.0277414
5,17,-0.482573,0.215276,0.007291,0.223301,-0.408665,0.165519,-1.27082,-0.907452,0,-0.0308549,0,-0.207309,-0.191577
6,17,-0.243246,0.323843,0.0267132,-0.157556,-1.77384,0.395137,-1.08101,-1.1738,0,0.624646,0,-0.29743,-0.679048
7,17,-0.288598,0.289052,-0.0469708,0.20182,-0.885156,0.252159,-0.701597,-0.941241,0,0.156661,0,-0.220676,-0.13313
8,17,-0.27655,0.555819,0.135418,0.1838,-1.40281,0.340803,-0.37116,-1.58148,0,0.215173,0,-0.230829,-0.0884545
9,17,-0.744283,-0.217255,0.243345,0.289113,0.196898,0.0309177,-1.88594,-0.696852,0,-0.891395,0,-0.285369,-0.0491256
10,17,-0.439805,0.0788839,-0.148522,0.146521,-0.751062,0.257179,-1.28587,-0.451964,0,0.632236,0,-0.187853,-0.252549
1,18,-0.924852,0.108206,0.421867,0.24837,1.04856,-0.103899,-2.08205,-0.763626,0,-1.14458,0,-0.0866644,0.0240174
2,18,-0.782352,-0.00818753,0.467349,0.199952,0.752583,-0.0447262,-2.06571,-1.23214,0,-0.954799,0,-0.121426,-0.0603085
3,18,-0.809241,-0.673485,0.289304,0.160511,1.3193,-0.24217,-3.23583,-1.09551,0,-1.21474,0,0.260614,0.149946
4,18,-0.816025,-0.0862998,0.28408,0.08018,0.548632,0.0131954,-2.67707,-1.68607,0,-0.805822,0,-0.174161,-0.283903
5,18,-0.974418,-0.254472,0.363284,0.229495,1.10277,-0.0266252,-3.37287,-1.17616,0,-0.758127,0,-0.105366,-0.174415
6,18,-0.989422,-0.0297182,0.298886,0.20617,1.45196,-0.161405,-1.9226,-0.326255,0,-1.24702,0,-0.227934,0.0213654
7,18,-0.917236,-0.69461,0.419383,0.190867,1.17537,-0.194708,-2.49033,-0.501392,0,-1.10002,0,0.0712407,0.160718
8,18,-0.594409,-0.501987,0.26791,0.351036,1.64687,-0.198023,-2.36458,-0.523585,0,-1.23322,0,0.0270934,0.0631581
9,18,-0.876822,-0.656938,0.434174,0.219433,1.49881,-0.25417,-2.96791,-0.89937,0,-1.56776,0,0.25741,0.376743
10,18,-0.882191,-0.597963,0.0683803,0.247884,1.39856,-0.158587,-3.98625,-1.05757,0,-1.21318,0,0.0335011,0.200427
