parameters,shrinkage_mode,shrinkage_mean,shrinkage_condDist
beta_exp,0.639964,2.36186,-0.67293
delta0,9.31545,9.36336,-2.43885
p,2.85485,5.87857,0.229116
td,0.638785,1.07939,-2.06175
b_exp,4.34301,2.97024,-3.13096
h_0,6.79658,6.08956,-5.69571
tc,4.84529,2.43709,-3.57496
sigma,6.08438,5.57399,-8.19692
phi_exp,nan,nan,nan
rho_exp,1.05931,2.80594,-3.35437
dF,nan,nan,nan
q_exp,16.5655,15.5081,-1.3897
ifn0,14.5335,15.1997,0.331728
