iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_q_exp,sd_q_exp,E_ifn0,sd_ifn0
1,-3.76477,0.283536,2.10469,0.254493,3.00397,0.227032,2.11244,0.0862952,-2.43019,0.472226,0.637674,0.110621,8.06284,0.962605,0.4734,0.408764,-1.54074,0.449602,-4.44522,0.241496,0.443478,0.241676
2,-3.77004,0.258819,2.10937,0.227885,3.01022,0.199351,2.1113,0.0774287,-2.42532,0.414347,0.637191,0.0979892,8.04414,0.806454,0.475972,0.361074,-1.54769,0.394703,-4.44564,0.211751,0.44518,0.211736
3,-3.77187,0.2491,2.07705,0.217617,3.00844,0.190286,2.10782,0.075275,-2.423,0.393576,0.636968,0.0921595,8.01869,0.740187,0.475213,0.344352,-1.5457,0.370135,-4.44511,0.197873,0.441501,0.210014
4,-3.77733,0.247642,2.05521,0.219595,3.00921,0.185266,2.1044,0.0751829,-2.42196,0.383959,0.636492,0.0895708,7.99085,0.709685,0.478799,0.342119,-1.54383,0.355363,-4.44445,0.192162,0.440203,0.215086
5,-3.77962,0.24566,2.0531,0.217404,3.01292,0.179344,2.10558,0.0744739,-2.42309,0.379017,0.636047,0.0882887,7.98642,0.701552,0.481816,0.333234,-1.54101,0.347165,-4.44144,0.192211,0.44076,0.217466
6,-3.78088,0.241306,2.04863,0.214635,3.01457,0.178288,2.10761,0.0738413,-2.42476,0.37656,0.636323,0.0879903,7.97895,0.683847,0.480027,0.333199,-1.53676,0.34594,-4.43916,0.192884,0.442842,0.218876
7,-3.78466,0.237837,2.03559,0.213011,3.01627,0.179971,2.11131,0.0735749,-2.42083,0.378802,0.635642,0.0893085,7.98852,0.677482,0.47724,0.335955,-1.53898,0.357333,-4.43726,0.190194,0.443844,0.2208
8,-3.78573,0.236138,2.02865,0.213394,3.0186,0.18118,2.11228,0.0736495,-2.41413,0.381762,0.63467,0.0902065,7.99218,0.67744,0.477734,0.338188,-1.54092,0.366807,-4.43504,0.188587,0.445306,0.222728
9,-3.78727,0.235597,2.01731,0.214073,3.01985,0.181572,2.11404,0.0751286,-2.40993,0.383329,0.6339,0.0910772,7.98061,0.684989,0.480259,0.341861,-1.5427,0.371428,-4.43212,0.18791,0.447486,0.222772
10,-3.7885,0.2341,2.00797,0.218281,3.02089,0.181222,2.11354,0.0764755,-2.40744,0.38424,0.633214,0.0919329,7.98144,0.690245,0.484442,0.345795,-1.54392,0.380335,-4.43009,0.186736,0.446506,0.224248
